Date, Close/Last, Volume, Open, High, Low
03/30/2020, $34.98, 9148305, $35.01, $35.47, $33.52
03/27/2020, $36, 10078950, $37.83, $38.39, $34.88
03/26/2020, $39.53, 9264151, $36.12, $40.2, $36.12
03/25/2020, $39.69, 9492513, $39.09, $41.57, $36.7
03/24/2020, $39.8, 10485920, $36.44, $40, $35.72
03/23/2020, $34.54, 8642077, $34.6, $36.53, $33.11
03/20/2020, $34.89, 12411380, $34.69, $37.24, $33.5201
03/19/2020, $33.22, 9407920, $29.94, $34.55, $29.76
03/18/2020, $29.76, 7759557, $28.19, $30.145, $27.0001
03/17/2020, $30.89, 10122060, $31.39, $33.24, $29.62
03/16/2020, $31.1, 10311130, $29.99, $36.085, $28.11
03/13/2020, $34.8, 13961080, $35.25, $35.82, $30.25
03/12/2020, $32.5, 12383950, $35.19, $35.945, $31.66
03/11/2020, $38.86, 13209200, $39.45, $39.945, $37.56
03/10/2020, $41.6, 13788480, $39.88, $41.71, $35.811
03/09/2020, $37.6, 18938170, $38.22, $40.18, $34.89
03/06/2020, $55.3, 9915224, $58.92, $59.9, $53.87
03/05/2020, $61.87, 4905103, $61.78, $63.74, $60.71
03/04/2020, $64.08, 5455079, $63.62, $64.5, $62.28
03/03/2020, $62.43, 6432237, $62.93, $65.41, $60.89
03/02/2020, $62.86, 8008580, $63.81, $63.9, $60.16
02/28/2020, $63.26, 11081620, $57.3, $63.26, $56.3392
02/27/2020, $60, 7699285, $60.59, $63.56, $58.85
02/26/2020, $63.2, 5371313, $67.72, $67.765, $63.08
02/25/2020, $66.99, 6558424, $70.15, $70.32, $65.55
02/24/2020, $69.91, 3854437, $71.33, $71.33, $69.4033
02/21/2020, $74.21, 2963934, $74.87, $74.87, $73.65
02/20/2020, $75.99, 2447053, $76.79, $77.37, $75.69
02/19/2020, $77.28, 2765294, $74.93, $77.665, $74.93
02/18/2020, $74.53, 2520808, $74.53, $75.07, $73.53
02/14/2020, $74.92, 2087730, $76, $76.221, $73.84
02/13/2020, $75.68, 2197890, $75, $76.04, $74.7515
02/12/2020, $75.38, 2860077, $76.6, $76.91, $75.17
02/11/2020, $74.79, 2191531, $75.13, $75.4064, $74.3084
02/10/2020, $73.7, 2865804, $73.9, $74.14, $73.055
02/07/2020, $74.35, 2257832, $74.85, $75.32, $73.9
02/06/2020, $75.87, 2128799, $77.4, $77.4, $75.22
02/05/2020, $77.05, 3724789, $75.5, $77.98, $75.28
02/04/2020, $73.62, 4725257, $72.91, $74.8, $72.9
02/03/2020, $71.37, 3803196, $72.83, $73, $71.27
01/31/2020, $72.91, 5004178, $74.32, $74.8, $72.51
01/30/2020, $75.82, 4535903, $74.13, $75.99, $73.59
01/29/2020, $75.14, 2701153, $77.67, $77.94, $75.04
01/28/2020, $77.05, 2794264, $77.47, $77.93, $76.57
01/27/2020, $76.64, 2968295, $77.59, $78.27, $76.61
01/24/2020, $79.85, 3129028, $81.2, $81.21, $78.9717
01/23/2020, $81.83, 3369407, $82.1, $82.24, $80.65
01/22/2020, $83.09, 4030354, $84.04, $84.1, $82.78
01/21/2020, $84.04, 4522916, $85.1, $86.165, $84.03
01/17/2020, $85.31, 4542649, $87.07, $87.14, $84.3
01/16/2020, $87.02, 5128592, $86.96, $88.09, $86.67
01/15/2020, $86.74, 2562517, $85.68, $86.77, $85.25
01/14/2020, $86.33, 4281709, $85.37, $86.66, $84.56
01/13/2020, $85.52, 3399902, $85.88, $85.973, $84.34
01/10/2020, $86.27, 2951628, $87.55, $87.61, $86.15
01/09/2020, $88.25, 6909154, $86.55, $88.37, $84.71
01/08/2020, $87.34, 5337726, $89.24, $89.54, $86.97
01/07/2020, $89.29, 4339399, $88.63, $89.33, $87.23
01/06/2020, $88.44, 8486146, $85.9, $89.29, $85.78
01/03/2020, $84.99, 3716592, $85.58, $86.85, $84.06
01/02/2020, $84.14, 2428311, $84.32, $84.61, $83.54
12/31/2019, $83.76, 2238897, $81.85, $83.78, $81.38
12/30/2019, $82.39, 2251911, $82.9, $83.5, $82.23
12/27/2019, $83.14, 1868549, $84.07, $84.085, $82.93
12/26/2019, $83.65, 2588888, $84.29, $84.69, $83.47
12/24/2019, $83.81, 1236187, $83.8, $84.5, $83.53
12/23/2019, $83.38, 3159194, $82.36, $83.5, $81.82
12/20/2019, $82.66, 9119076, $82.72, $83.62, $81.4
12/19/2019, $81.25, 6791787, $80.17, $81.655, $79.69
12/18/2019, $80.59, 7743335, $78.91, $81.365, $78.81
12/17/2019, $78.81, 5508174, $78.12, $79.5, $78.05
12/16/2019, $77.91, 6744528, $76.25, $78.16, $75.99
12/13/2019, $75.49, 2728991, $77.46, $77.65, $75.39
12/12/2019, $76.71, 3754791, $74.66, $77.12, $74.37
12/11/2019, $74.67, 3158915, $74.76, $75.03, $74.05
12/10/2019, $74.84, 3646852, $74.05, $75.1, $73.74
12/09/2019, $74.51, 3822638, $73.28, $74.9, $72.78
12/06/2019, $73.96, 4367961, $70.91, $74.12, $70.7
12/05/2019, $70.59, 3481493, $72.52, $72.81, $70.16
12/04/2019, $72.05, 5312256, $69.72, $72.55, $69.63
12/03/2019, $68.78, 4630820, $70.01, $70.12, $68.08
12/02/2019, $70.79, 3939544, $71.62, $72.62, $70.71
11/29/2019, $70.9, 1497555, $71.37, $71.845, $70.46
11/27/2019, $72.35, 2346697, $72.07, $72.56, $71.33
11/26/2019, $71.91, 3322881, $73.48, $73.68, $71.85
11/25/2019, $73.52, 3129218, $72.82, $73.59, $72.07
11/22/2019, $72.99, 2903339, $73.51, $74.305, $72.83
11/21/2019, $73.32, 4147691, $72.06, $73.46, $71.3
11/20/2019, $72.06, 4027556, $70.74, $73.365, $70.305
11/19/2019, $70.4, 3763517, $71.36, $71.39, $69.78
11/18/2019, $71.26, 2965774, $72.72, $72.94, $70.7
11/15/2019, $73.48, 3505273, $72.81, $74.01, $72.54
11/14/2019, $72.35, 3425150, $72.87, $74.24, $72.11
11/13/2019, $72.61, 3965854, $72.67, $72.94, $71.1
11/12/2019, $73.29, 3262054, $74.1, $74.38, $72.48
11/11/2019, $73.82, 2906125, $73.5, $74.6, $72.92
11/08/2019, $74.7, 3136411, $74, $75.28, $73.14
11/07/2019, $74.74, 7641172, $72.45, $75.6, $71.8688
11/06/2019, $71.42, 5247795, $73.49, $73.7, $70.68
11/05/2019, $74.01, 4412790, $74.4, $75.36, $73.42
11/04/2019, $73.69, 6808495, $72.42, $74.24, $72.37
11/01/2019, $71.15, 3033116, $70.06, $71.38, $69.64
10/31/2019, $69.31, 5272197, $69.17, $69.73, $68.11
10/30/2019, $69.62, 3361404, $72.01, $72.5, $69.49
10/29/2019, $71.81, 3939510, $70.66, $72.28, $70.05
10/28/2019, $71.05, 3211378, $73.09, $73.33, $71.015
10/25/2019, $72.48, 2398791, $71.83, $72.81, $71.2
10/24/2019, $71.97, 4415680, $72.29, $72.56, $70.67
10/23/2019, $71.94, 5633593, $69.65, $72.74, $69.06
10/22/2019, $69.57, 4537820, $67.87, $70.695, $67.4
10/21/2019, $67.66, 5720800, $64.4, $67.73, $64.33
10/18/2019, $64.44, 6596311, $66.69, $66.9, $64.44
10/17/2019, $66.77, 4337947, $68.37, $68.69, $66.4
10/16/2019, $68.18, 4382506, $68.51, $69.71, $68.16
10/15/2019, $69.25, 6133763, $67.6, $69.79, $67.3
10/14/2019, $68.19, 5367749, $68.07, $68.52, $66.015
10/11/2019, $69.25, 5674393, $69.88, $70.77, $69.05
10/10/2019, $68.91, 3089102, $68.69, $69.61, $68.095
10/09/2019, $68.59, 3620790, $69.71, $70.08, $68.09
10/08/2019, $68.73, 5584885, $68.89, $69.75, $68.105
10/07/2019, $69.76, 3830631, $71.4, $71.44, $69.73
10/04/2019, $70.92, 2526681, $70.71, $71.4199, $69.54
10/03/2019, $70.84, 3584400, $69.16, $71.09, $69.1
10/02/2019, $69.8, 4314525, $71.33, $72.29, $69.47
10/01/2019, $71.58, 4167691, $74.79, $74.79, $71.395
09/30/2019, $74.22, 3165573, $74.38, $74.87, $73.78
09/27/2019, $74.98, 3422349, $74, $75.4462, $73.49
09/26/2019, $75.09, 4116210, $76, $76.42, $74.4291
09/25/2019, $76.77, 3240515, $77.73, $78.43, $76.11
09/24/2019, $78.56, 4390142, $78.75, $79.77, $77.88
09/23/2019, $80.13, 3771859, $80, $81, $79.71
09/20/2019, $81, 4785366, $81.99, $82.14, $80.08
09/19/2019, $81.61, 4111489, $82.39, $82.4651, $80.97
09/18/2019, $81.32, 3882765, $80, $81.39, $79.6828
09/17/2019, $81.22, 4938287, $84.4, $84.99, $80.83
09/16/2019, $85.64, 11888900, $85.99, $87, $83.23
09/13/2019, $79.39, 4123513, $80.17, $81.094, $78.12
09/12/2019, $79.68, 3200221, $79.22, $80.47, $78
09/11/2019, $81.03, 3585256, $80.88, $82.75, $79.8
09/10/2019, $80.1, 4342752, $80.39, $82.39, $79.72
09/09/2019, $80, 5133640, $77.25, $80.42, $77.05
09/06/2019, $76.44, 3793969, $74.73, $76.53, $73.48
09/05/2019, $75.6, 4059674, $75.83, $77.32, $75.11
09/04/2019, $75.57, 2951076, $75.7, $76.3657, $74.915
09/03/2019, $74.13, 2466970, $72.56, $74.345, $72.39
08/30/2019, $74.19, 3164019, $74.59, $75.41, $73.35
08/29/2019, $74.48, 3726710, $73.19, $75.84, $73.04
08/28/2019, $72.53, 3055915, $71.67, $73.48, $71.62
08/27/2019, $71.66, 2649348, $72.93, $72.99, $70.83
08/26/2019, $72.25, 2688939, $72.74, $73.22, $71.366
08/23/2019, $71.75, 5160018, $74.18, $74.86, $71.36
08/22/2019, $75.51, 2300786, $77.62, $77.75, $75.47
08/21/2019, $77.22, 2886754, $77.59, $78.1294, $76.35
08/20/2019, $76.69, 3039077, $77.25, $77.39, $76.2
08/19/2019, $77.81, 3529987, $77.42, $78.19, $76.16
08/16/2019, $75.92, 2540864, $75.19, $76.57, $74.83
08/15/2019, $74.94, 4008289, $74.91, $75.52, $73.95
08/14/2019, $75.02, 6971586, $76.48, $76.88, $74.26
08/13/2019, $78.52, 4903604, $77.49, $79.93, $76.83
08/12/2019, $77.92, 4615336, $78.75, $79.63, $77.8
08/09/2019, $79.37, 2787751, $80.8, $80.88, $79.26
08/08/2019, $80.36, 6235207, $78, $80.39, $77.6
08/07/2019, $77.55, 5249921, $76.65, $78.0971, $74.84
08/06/2019, $78.28, 4257173, $79.53, $79.91, $76.87
08/05/2019, $79, 5476354, $80.25, $81.63, $78.8
08/02/2019, $82.46, 6795820, $83.05, $87.84, $80.06
08/01/2019, $81.07, 8080042, $84, $84.3, $79.45
07/31/2019, $85.85, 3144344, $85.86, $88.13, $85.25
07/30/2019, $86.06, 3707635, $83.6, $86.73, $83.05
07/29/2019, $83.92, 3407039, $84.06, $84.39, $82.01
07/26/2019, $84.29, 3026076, $85.02, $85.2, $83.47
07/25/2019, $85.47, 2945053, $88.02, $88.18, $85.02
07/24/2019, $87.68, 1849387, $87.46, $88.74, $87.34
07/23/2019, $87.59, 2908162, $87.14, $88.37, $86.46
07/22/2019, $87.21, 3331384, $87.37, $88.77, $86.9
07/19/2019, $87.04, 3130164, $85.72, $87.4, $84.9
07/18/2019, $85.43, 3332069, $84.95, $85.56, $84.52
07/17/2019, $85.19, 3693655, $87.23, $87.73, $85.11
07/16/2019, $87, 3012038, $88.79, $88.79, $86.26
