Date, Close/Last, Volume, Open, High, Low
04/13/2020, $657.19, 540961, $681.61, $681.61, $644.76
04/09/2020, $686.94, 904326, $666.89, $692.63, $666.21
04/08/2020, $664.26, 533944, $624.02, $668.73, $621.55
04/07/2020, $623.62, 621299, $678.92, $679.66, $621.72
04/06/2020, $652.22, 698841, $639.78, $658.98, $630
04/03/2020, $624.69, 557167, $626.31, $636.21, $604.41
04/02/2020, $626.15, 801510, $594.79, $629.04, $590.7
04/01/2020, $595.46, 714774, $608.18, $620, $580.69
03/31/2020, $624.57, 1136958, $640, $644.93, $611.06
03/30/2020, $644.87, 778575, $605.99, $649, $594.02
03/27/2020, $594.27, 616178, $573.52, $605, $553.9
03/26/2020, $587.58, 754677, $559.53, $604.25, $551.26
03/25/2020, $553.92, 723826, $535.8, $593.6899, $535.37
03/24/2020, $545.89, 914339, $509.84, $552.95, $496.66
03/23/2020, $489.14, 882142, $505.04, $506, $477.87
03/20/2020, $506.52, 1230296, $549.75, $559.98, $493.2
03/19/2020, $550, 985200, $571.89, $590.11, $535.55
03/18/2020, $572.14, 1027899, $545, $585.035, $534.44
03/17/2020, $575.18, 1215502, $558.62, $598.23, $554.72
03/16/2020, $542.43, 1019308, $582.59, $586.28, $530
03/13/2020, $621.09, 1081099, $585.29, $623.84, $566.735
03/12/2020, $565.13, 1004231, $556.91, $595, $546.15
03/11/2020, $598.8, 897893, $591.64, $604.98, $584.89
03/10/2020, $610.28, 706412, $600, $615.04, $571.05
03/09/2020, $574.06, 724461, $571, $601.94, $570.1325
03/06/2020, $608.67, 826253, $599.59, $609.99, $582.52
03/05/2020, $616.67, 578078, $629.02, $641.83, $611.05
03/04/2020, $645.49, 586430, $626, $646.52, $621.92
03/03/2020, $615.16, 678769, $621.72, $634.0442, $600
03/02/2020, $618.88, 757104, $577.88, $620.285, $577.26
02/28/2020, $572.8, 1131986, $586.53, $589.96, $563.55
02/27/2020, $597.49, 718175, $623.92, $630.73, $597.2603
02/26/2020, $629.84, 414557, $634.55, $637.83, $624.88
02/25/2020, $631.98, 677678, $643.05, $645.91, $627.5
02/24/2020, $644.9, 543220, $648.18, $654.44, $637.69
02/21/2020, $655.99, 604905, $651.96, $657, $644.1
02/20/2020, $648.39, 353598, $644, $648.52, $639.3
02/19/2020, $643.72, 405005, $648.19, $650.11, $641.4
02/18/2020, $643.585, 427944, $644.17, $649.99, $639.351
02/14/2020, $648.65, 438565, $639.09, $654.32, $637.19
02/13/2020, $635.75, 508311, $615.1, $636.435, $611.99
02/12/2020, $623.14, 566387, $616.23, $624.575, $612.33
02/11/2020, $613.57, 345008, $613.1, $619.745, $611.01
02/10/2020, $612.03, 270314, $609.19, $613.74, $607.065
02/07/2020, $606, 186876, $605.14, $607.55, $602.13
02/06/2020, $603.73, 215032, $606.26, $607.825, $594.56
02/05/2020, $601.26, 327508, $608.49, $609.22, $600
02/04/2020, $607.85, 325945, $608.09, $609.47, $605.26
02/03/2020, $603.6, 445663, $592.56, $606.14, $591.05
01/31/2020, $589.73, 488697, $604.07, $605.27, $587.36
01/30/2020, $603, 348426, $602.7, $608.105, $602.7
01/29/2020, $602.68, 243157, $600.06, $604.25, $596.79
01/28/2020, $602.57, 318132, $595.99, $604.67, $595.39
01/27/2020, $593.95, 233163, $589.91, $594.96, $585.61
01/24/2020, $591.96, 328988, $597.37, $603.35, $590.04
01/23/2020, $596.01, 352248, $594.49, $603.7, $592.56
01/22/2020, $591.67, 444116, $595.35, $599.18, $590.79
01/21/2020, $590, 680932, $591.51, $594.55, $583.94
01/17/2020, $588, 794241, $594, $596.69, $587.9
01/16/2020, $595.12, 522099, $587.55, $596.4023, $586.61
01/15/2020, $586.24, 394310, $588.56, $592.53, $585.055
01/14/2020, $586.5, 385353, $595.81, $597, $582.93
01/13/2020, $594.96, 396294, $594.89, $598.5311, $592.26
01/10/2020, $594, 307931, $593.32, $595.77, $587.32
01/09/2020, $588.99, 229579, $582.95, $590, $575.41
01/08/2020, $583.8, 260997, $583, $586.16, $575.01
01/07/2020, $581.88, 252637, $584.47, $586.5, $575.02
01/06/2020, $584.48, 284324, $585.13, $588, $579.75
01/03/2020, $585.12, 385180, $575.47, $590.36, $575.47
01/02/2020, $579.35, 448647, $583.91, $584.91, $576.03
12/31/2019, $583.7, 292656, $580.54, $583.91, $578.36
12/30/2019, $580.24, 247132, $580.3, $582.4327, $575.03
12/27/2019, $582.5, 231827, $582.37, $584.45, $578.15
12/26/2019, $579.51, 153068, $573.67, $580.12, $572.16
12/24/2019, $573.24, 82630, $571.54, $576.71, $569.16
12/23/2019, $571.64, 181712, $577.37, $579.3354, $570.1075
12/20/2019, $577.71, 931949, $581.85, $582.2, $573.805
12/19/2019, $575.92, 388886, $566.52, $578.48, $564.52
12/18/2019, $565.45, 491747, $559.6, $566.85, $558.34
12/17/2019, $557.52, 411547, $565.58, $571.01, $556
12/16/2019, $562.8, 473051, $552.55, $563.86, $547.145
12/13/2019, $551.84, 553615, $547.67, $552.73, $543.11
12/12/2019, $547.8, 387306, $561.37, $561.37, $546.26
12/11/2019, $559.14, 332957, $559.22, $564.12, $554.495
12/10/2019, $557.73, 340459, $563.48, $564.83, $556.18
12/09/2019, $560.72, 216786, $559.56, $562.62, $557.29
12/06/2019, $559.19, 307253, $562.19, $566.99, $558.88
12/05/2019, $560.06, 337743, $561.27, $563.98, $555.93
12/04/2019, $562.93, 413708, $549.76, $564.02, $548.76
12/03/2019, $552.6, 447880, $550.7, $555.97, $547.06
12/02/2019, $549.74, 395225, $564.81, $564.81, $549.69
11/29/2019, $566.85, 187198, $565.61, $569.07, $565.17
11/27/2019, $565.19, 302277, $555.46, $566.97, $551.52
11/26/2019, $554.68, 850823, $553.22, $556.71, $550.907
11/25/2019, $553.85, 472531, $559.61, $563.47, $553.2
11/22/2019, $557.58, 318920, $562.84, $567.35, $556.25
11/21/2019, $560.17, 323028, $565.58, $570.6, $558.13
11/20/2019, $568.76, 398165, $565, $573.18, $563.895
11/19/2019, $564.96, 404269, $557.29, $568.9, $555.3724
11/18/2019, $558.21, 352314, $550, $560.96, $550
11/15/2019, $550.41, 452555, $548.84, $552.01, $543.72
11/14/2019, $544.71, 524028, $542.2, $549.095, $539.32
11/13/2019, $540.73, 434239, $533.72, $541.96, $532.53
11/12/2019, $531.24, 359814, $535.63, $539.01, $526.85
11/11/2019, $535, 312559, $530.26, $539.36, $530.26
11/08/2019, $530.31, 506731, $523.46, $535.96, $521.92
11/07/2019, $522.5, 387073, $530.96, $530.96, $519.37
11/06/2019, $531.88, 377467, $530.07, $534.9899, $527.85
11/05/2019, $527.19, 939810, $542.14, $542.14, $523.79
11/04/2019, $543.2, 662380, $560.67, $560.8, $542.38
11/01/2019, $562.24, 431932, $565.33, $567.455, $557.14
10/31/2019, $566.78, 697845, $572.7, $574.9, $553.81
10/30/2019, $571.16, 562788, $570.72, $577.7052, $566.45
10/29/2019, $567.52, 307090, $565.89, $576.25, $565.76
10/28/2019, $567.13, 288101, $564.23, $568.56, $563.18
10/25/2019, $565.74, 381855, $562.34, $566.54, $553.665
10/24/2019, $563.34, 330878, $569.5, $569.5, $561.28
10/23/2019, $566.62, 370559, $569.69, $572.606, $558.935
10/22/2019, $569.93, 271583, $582.68, $582.68, $569.83
10/21/2019, $577.35, 271458, $576.41, $578.32, $572.03
10/18/2019, $576.41, 250904, $574.82, $577.175, $571.32
10/17/2019, $571.84, 198927, $570.93, $576.48, $569.45
