Date, Close/Last, Volume, Open, High, Low
03/30/2020, $62.58, 3550714, $63.49, $63.89, $59.34
03/27/2020, $62.68, 2830571, $57.28, $64.43, $57.01
03/26/2020, $59.23, 3252425, $54.57, $59.38, $53.34
03/25/2020, $54.57, 3843943, $51.68, $57.88, $50.18
03/24/2020, $52.15, 3835083, $53.09, $54.45, $50.64
03/23/2020, $51.39, 3681983, $55.29, $55.395, $49.62
03/20/2020, $55.29, 3495123, $60.29, $61.21, $54.62
03/19/2020, $60.61, 3510893, $60.5, $62.93, $59.01
03/18/2020, $60.87, 3663651, $62.2, $64.71, $58.605
03/17/2020, $66.46, 3220814, $63.06, $66.88, $60.85
03/16/2020, $61.16, 4111774, $68.57, $68.84, $61.1
03/13/2020, $73.61, 4670841, $74, $74.22, $69.29
03/12/2020, $70.01, 5119199, $70.36, $75.93, $68.3
03/11/2020, $75.1, 3700882, $78.01, $78.03, $74.67
03/10/2020, $79.93, 4259790, $76.15, $79.93, $75.13
03/09/2020, $74.47, 3436039, $73.15, $75.58, $73.1
03/06/2020, $77.64, 2233463, $77.3, $78.2, $75.33
03/05/2020, $79.37, 1623649, $79.92, $80.46, $78.22
03/04/2020, $81.03, 2379570, $79.69, $81.18, $78.835
03/03/2020, $78.56, 2805441, $79.09, $81.07, $78
03/02/2020, $79.07, 2325393, $75.56, $79.1, $75.23
02/28/2020, $75.1, 3257545, $77.16, $77.16, $73.3
02/27/2020, $78.46, 2179536, $82.4, $83.365, $78.45
02/26/2020, $83.36, 1997257, $83.92, $84.575, $83.35
02/25/2020, $83.51, 1270545, $86.04, $86.21, $83.39
02/24/2020, $85.79, 1058987, $86.37, $87.19, $85.73
02/21/2020, $87.01, 1517417, $86.18, $87.14, $86.1
02/20/2020, $86.4, 1023789, $85.4, $86.47, $85.083
02/19/2020, $85.34, 1068522, $86.19, $86.2699, $85.325
02/18/2020, $86.27, 879840, $86.68, $86.86, $85.44
02/14/2020, $86.46, 939223, $85.57, $86.46, $85.45
02/13/2020, $85.22, 1202459, $84.62, $85.42, $84.62
02/12/2020, $84.79, 1418230, $84.65, $85.265, $84.23
02/11/2020, $84.79, 1265248, $84.85, $85.29, $84.5
02/10/2020, $84.94, 1477786, $84.74, $84.97, $84.34
02/07/2020, $84.2, 1517544, $84.12, $84.45, $83.82
02/06/2020, $83.87, 1141503, $83.52, $84.04, $83.47
02/05/2020, $83.31, 976527, $83.56, $84.21, $83.03
02/04/2020, $83.64, 815069, $83, $83.99, $82.96
02/03/2020, $82.84, 1560519, $83.35, $83.87, $82.66
01/31/2020, $83.08, 1514218, $83.99, $84.24, $82.88
01/30/2020, $83.97, 1820328, $81.96, $83.99, $81.83
01/29/2020, $82.27, 2311017, $86.2, $87.53, $81.21
01/28/2020, $82.72, 1473476, $82.48, $83.07, $82.23
01/27/2020, $82.34, 1198930, $82.45, $83.01, $82.12
01/24/2020, $82.76, 1117913, $83.25, $83.28, $82.27
01/23/2020, $83.08, 1308475, $82.42, $83.11, $82.05
01/22/2020, $82.39, 1427405, $83.63, $83.78, $82.1
01/21/2020, $83.3, 1577335, $82.94, $83.32, $82.38
01/17/2020, $82.5, 1797376, $82.45, $82.79, $81.99
01/16/2020, $82.51, 1021590, $82.19, $82.53, $81.63
