Date, Close/Last, Volume, Open, High, Low
04/13/2020, $86.72, 2258525, $88.73, $89.8, $85.48
04/09/2020, $90.1, 2348679, $84.45, $91, $84.14
04/08/2020, $83.35, 2055662, $80.24, $84.03, $78.89
04/07/2020, $79.78, 2830615, $83.25, $83.99, $79.45
04/06/2020, $82.09, 1736850, $78.01, $82.88, $77.13
04/03/2020, $75.06, 2394021, $78.2, $79.09, $74.4
04/02/2020, $79.29, 3084235, $74.53, $79.89, $74.53
04/01/2020, $75.99, 2425655, $75.5, $77.18, $75
03/31/2020, $78.21, 2984629, $82.55, $82.74, $78.04
03/30/2020, $83.65, 2672562, $82.64, $84, $79.66
03/27/2020, $80.96, 1749817, $76.43, $83.63, $75.42
03/26/2020, $78.74, 2771379, $71.99, $79.48, $71.5
03/25/2020, $71.9, 2180953, $70.24, $74.55, $68.01
03/24/2020, $71.44, 2697786, $64.7, $72.46, $61.96
03/23/2020, $62.23, 3432215, $67.69, $67.89, $60.69
03/20/2020, $68.34, 4340543, $77.51, $77.75, $67.42
03/19/2020, $77.05, 3691538, $86.72, $86.72, $75.46
03/18/2020, $86.25, 4556405, $83.2, $88.74, $78.44
03/17/2020, $87.21, 5762952, $78.63, $90.16, $78.63
03/16/2020, $77.18, 4690230, $81.34, $84.1, $76.47
03/13/2020, $88.53, 4368882, $85.89, $88.69, $81.43
03/12/2020, $82.62, 3491336, $83.72, $84.45, $73.903
03/11/2020, $87.79, 2653771, $89.23, $89.59, $86.26
03/10/2020, $91.14, 3524352, $93.34, $94.34, $87.45
03/09/2020, $92.56, 3900036, $91.4, $94.59, $90
03/06/2020, $96.36, 2262738, $95.19, $96.81, $93.3
03/05/2020, $97.44, 1990391, $97.25, $98.92, $96.44
03/04/2020, $98.54, 1989594, $93.19, $98.64, $93.1803
03/03/2020, $92.4, 2409286, $93.03, $95.09, $91.6
03/02/2020, $93.62, 3191542, $86.61, $93.71, $86.61
02/28/2020, $86.46, 3405927, $88, $88, $84.48
02/27/2020, $89.52, 2295226, $93.41, $93.93, $89.46
02/26/2020, $93.46, 2277460, $93.44, $94.724, $93.04
02/25/2020, $93.38, 2102468, $95.31, $96.17, $93.09
02/24/2020, $95.21, 2160428, $95.87, $96.44, $95.105
02/21/2020, $95.96, 2462337, $95.72, $97.24, $95.46
02/20/2020, $95.65, 2063157, $97.07, $99.42, $94.77
02/19/2020, $94.3, 1695022, $94.84, $94.93, $94.3
02/18/2020, $94.81, 1628380, $94.13, $94.9, $93.75
02/14/2020, $93.66, 1160261, $92.79, $93.81, $92.79
02/13/2020, $92.48, 1426387, $91.36, $92.55, $91
02/12/2020, $91.26, 1267056, $90.78, $91.68, $90.62
02/11/2020, $91.18, 940792, $91.43, $91.75, $91.09
02/10/2020, $91.37, 1246204, $90.7, $91.37, $90.6
02/07/2020, $90.58, 1243858, $91.11, $91.23, $90.42
02/06/2020, $90.87, 1286170, $90.82, $91.33, $90.6
02/05/2020, $90.49, 2131982, $90.37, $90.59, $89.78
02/04/2020, $90.6, 2599035, $92.02, $92.28, $90.44
02/03/2020, $92.41, 1399163, $92.64, $92.77, $91.85
01/31/2020, $92.44, 4749769, $93.22, $93.56, $92.01
01/30/2020, $93.21, 1508332, $92.25, $93.29, $92.095
01/29/2020, $92.39, 1376172, $91.87, $92.52, $91.41
01/28/2020, $91.79, 1743609, $91.52, $92.08, $91.08
01/27/2020, $91.37, 1727066, $91.68, $92.14, $91.14
01/24/2020, $91.81, 2008431, $91.01, $92.13, $90.95
01/23/2020, $91.24, 1809777, $90.02, $91.27, $89.92
01/22/2020, $89.95, 1521372, $89.37, $90.26, $88.65
01/21/2020, $89.8, 2227733, $88.93, $89.85, $88.6
01/17/2020, $88.73, 2209620, $87.9, $88.82, $87.4
01/16/2020, $87.76, 1908692, $87.19, $87.81, $87.19
01/15/2020, $87.32, 2197166, $86.2, $87.73, $86.145
01/14/2020, $85.85, 2317871, $85.26, $85.91, $85.15
01/13/2020, $85.15, 1691142, $84.49, $85.33, $84.41
01/10/2020, $84.41, 2028497, $83.64, $84.56, $83.64
01/09/2020, $83.4, 1372097, $82.55, $83.52, $82.54
01/08/2020, $82.75, 1548931, $82.61, $83.17, $82.34
01/07/2020, $82.68, 2432858, $83.3, $83.3, $82.09
01/06/2020, $83.31, 2718639, $83.05, $83.75, $83
01/03/2020, $82.86, 2199106, $83.13, $83.51, $82.7
01/02/2020, $83.23, 3173615, $85.03, $85.03, $83.08
12/31/2019, $85.07, 1625867, $84.45, $85.09, $84.39
12/30/2019, $84.41, 1352504, $84.11, $84.42, $83.78
12/27/2019, $84.32, 1474318, $84.3, $84.54, $84.075
12/26/2019, $84.3, 838814, $84.04, $84.34, $83.58
12/24/2019, $83.96, 494517, $83.69, $84.08, $83.26
12/23/2019, $83.73, 1920782, $84.7, $84.82, $83.3
12/20/2019, $84.59, 4670650, $83.98, $85.325, $83.83
12/19/2019, $83.78, 2311644, $83.08, $83.905, $82.96
12/18/2019, $83.59, 3030883, $83.22, $83.71, $82.73
12/17/2019, $82.8, 1037371, $82.21, $82.965, $82.06
12/16/2019, $82.05, 1439054, $81.48, $82.05, $81.19
12/13/2019, $81.34, 1001261, $80.85, $81.4804, $80.25
12/12/2019, $80.85, 1066301, $81.31, $81.52, $80.74
12/11/2019, $81.35, 1561945, $80.92, $81.5, $80.48
12/10/2019, $80.98, 1127829, $80.76, $81.16, $80.63
12/09/2019, $80.72, 2089078, $81.26, $81.27, $80.25
12/06/2019, $81.2, 2115702, $81.9, $82.31, $81.1
12/05/2019, $82.16, 2420317, $82.78, $82.895, $81.97
12/04/2019, $83.02, 2286497, $81.94, $83.08, $81.76
12/03/2019, $82.03, 1666427, $82.34, $82.55, $81.635
12/02/2019, $82.02, 2334910, $82.32, $82.57, $81.76
11/29/2019, $82.64, 863403, $83.12, $83.485, $82.54
11/27/2019, $82.9, 2256328, $82.94, $83.04, $82.55
11/26/2019, $82.72, 3333699, $82.05, $82.93, $81.99
11/25/2019, $82.15, 1783153, $82.25, $82.57, $81.83
11/22/2019, $82.23, 2169524, $82.29, $82.63, $81.56
11/21/2019, $82.22, 2921844, $82.49, $82.84, $81.24
11/20/2019, $82.5, 2164728, $82.36, $83.12, $82.03
11/19/2019, $82.2, 1835828, $81.88, $82.635, $81.53
11/18/2019, $82.15, 2413792, $81.67, $82.89, $81.59
11/15/2019, $81.27, 2249399, $80.98, $81.43, $80.57
11/14/2019, $80.8, 2512060, $81.16, $81.18, $80.63
11/13/2019, $80.91, 1809817, $79.53, $80.93, $79.29
11/12/2019, $79.19, 1413907, $79.27, $79.525, $78.9
11/11/2019, $79.29, 1442827, $79.38, $79.55, $78.92
11/08/2019, $79.41, 1326311, $79.12, $79.6, $78.58
11/07/2019, $79.39, 2050759, $80.68, $81.11, $78.72
11/06/2019, $81.39, 1906141, $81.09, $81.62, $80.68
11/05/2019, $81.08, 2168167, $81.05, $81.682, $80.53
11/04/2019, $81.42, 1669115, $82.61, $82.725, $80.995
11/01/2019, $82.79, 1556053, $83.84, $83.98, $82.69
10/31/2019, $83.74, 1559412, $83.39, $84.05, $82.96
10/30/2019, $83.24, 2189674, $83.08, $83.78, $82.68
10/29/2019, $82.9, 2105861, $82.72, $83.12, $82.21
10/28/2019, $83.85, 1373184, $84.82, $85.146, $83.58
10/25/2019, $85.31, 1424370, $86.33, $86.55, $85.2
10/24/2019, $86.2, 914237, $86.02, $86.525, $85.87
10/23/2019, $86.06, 1408103, $86.05, $86.235, $85.51
10/22/2019, $85.86, 1011957, $86.36, $86.54, $85.67
10/21/2019, $86.14, 1570768, $85.65, $86.19, $85.32
10/18/2019, $85.6, 1256835, $84.92, $85.76, $84.55
10/17/2019, $85.12, 1106148, $84.54, $85.33, $84.47
10/16/2019, $84.58, 1474329, $83.97, $84.7, $83.57
10/15/2019, $84.09, 1722986, $84.89, $85.14, $83.785
10/14/2019, $84.76, 847376, $85.79, $85.875, $84.72
10/11/2019, $85.57, 1149584, $85.2, $86, $84.9
10/10/2019, $85.54, 1501086, $85.64, $85.96, $84.82
10/09/2019, $86.09, 1824327, $84.93, $86.26, $84.93
10/08/2019, $84.85, 1344363, $85.41, $85.58, $84.84
10/07/2019, $85.37, 1471168, $85.31, $85.69, $85.08
10/04/2019, $85.61, 1480549, $84.79, $85.71, $84.58
10/03/2019, $84.66, 2098866, $84.52, $84.71, $84
10/02/2019, $84.42, 2225041, $85.38, $85.49, $84.17
10/01/2019, $85.36, 1257370, $85.06, $85.45, $84.53
09/30/2019, $85.47, 2284594, $85.5, $85.9327, $85.18
09/27/2019, $85.34, 1421302, $85.44, $85.62, $84.67
09/26/2019, $85.26, 1344841, $84.87, $85.51, $84.66
09/25/2019, $84.64, 1256756, $84.61, $84.81, $84.21
09/24/2019, $84.66, 1936639, $83.82, $84.83, $83.59
09/23/2019, $83.49, 1276741, $83.35, $83.83, $83.04
09/20/2019, $83.26, 3289876, $83.3, $83.62, $82.91
09/19/2019, $83.23, 1918433, $83.31, $83.4, $82.99
09/18/2019, $83.37, 1557946, $83.41, $83.61, $82.775
09/17/2019, $83.15, 1673912, $82.38, $83.43, $82.38
09/16/2019, $82.44, 1083006, $82.6, $82.6, $82.18
09/13/2019, $82.38, 1717631, $82.5, $83.08, $82.27
09/12/2019, $82.86, 1621561, $82.65, $83.22, $82.41
09/11/2019, $82.17, 1692328, $81.43, $82.44, $81.12
09/10/2019, $81.87, 2448540, $81.62, $81.89, $80.95
09/09/2019, $81.8, 2888732, $81.82, $82.44, $81.58
09/06/2019, $82.35, 1704754, $82.11, $82.46, $81.94
09/05/2019, $82.03, 2244052, $82, $82.23, $80.97
09/04/2019, $82.49, 1915678, $83.1, $83.1, $81.82
09/03/2019, $81.47, 2018910, $80.03, $81.48, $79.87
08/30/2019, $80.13, 1344253, $80.55, $80.73, $80.01
08/29/2019, $80.41, 1243191, $80.51, $80.82, $79.54
08/28/2019, $80.29, 1307009, $80.85, $81.13, $79.71
08/27/2019, $80.56, 1339383, $80.29, $81.15, $80.17
08/26/2019, $79.94, 817871, $79.27, $79.97, $79.12
08/23/2019, $79.17, 1716027, $80.03, $80.17, $78.85
08/22/2019, $79.77, 1408231, $79.48, $79.91, $79.045
08/21/2019, $79.56, 930007, $78.82, $79.59, $78.6796
08/20/2019, $79.1, 1235097, $79.24, $79.32, $78.665
