Date, Close/Last, Volume, Open, High, Low
04/13/2020, $78.39, 2238205, $79.4, $79.93, $76.7385
04/09/2020, $81.44, 4472118, $80.69, $84.835, $80.5
04/08/2020, $80.14, 3272812, $77.24, $80.7, $76.13
04/07/2020, $76.16, 3372098, $81.17, $82.25, $75.935
04/06/2020, $77.4, 3109271, $75.21, $77.89, $75.13
04/03/2020, $71.25, 2606693, $74.12, $74.12, $70.34
04/02/2020, $73.59, 3162497, $72.44, $75.09, $71.58
04/01/2020, $73.14, 3769692, $72.57, $74.035, $71.13
03/31/2020, $77.69, 5641240, $77.67, $79.04, $75.87
03/30/2020, $78.32, 2873415, $74.42, $78.71, $74
03/27/2020, $74.54, 2621388, $73.03, $76.51, $71.92
03/26/2020, $78.25, 3073456, $76.29, $78.96, $73.82
03/25/2020, $74.6, 5259105, $72.09, $79.31, $69.412
03/24/2020, $71.21, 5155932, $61.64, $72.41, $61.165
03/23/2020, $57.77, 6097249, $63.83, $64.31, $56.415
03/20/2020, $64.93, 4540884, $73.86, $73.86, $64.475
03/19/2020, $72.45, 4599012, $67.52, $72.68, $62.1
03/18/2020, $68.82, 5784857, $68.13, $69.44, $58.72
03/17/2020, $73.74, 5774007, $76.9, $77.98, $70.28
03/16/2020, $75.32, 4825509, $75.81, $81.28, $74.87
03/13/2020, $85.56, 5712266, $80.82, $87.04, $78.19
03/12/2020, $75.92, 5814852, $78.25, $80.49, $75.01
03/11/2020, $84.37, 4422864, $86.41, $87.5, $83.11
03/10/2020, $89.06, 4973962, $86.23, $89.52, $84.63
03/09/2020, $83.13, 5205877, $85.09, $86.47, $78
03/06/2020, $92.77, 4760047, $90.31, $93.93, $90.08
03/05/2020, $93.66, 3980361, $94.92, $96.395, $93.32
03/04/2020, $98.12, 4268982, $94.71, $98.2, $94.425
03/03/2020, $92.85, 5114596, $96.27, $99.26, $92.49
03/02/2020, $95.68, 5188931, $91.5, $95.75, $91.01
02/28/2020, $90.72, 6790079, $90.82, $92.1, $89.08
02/27/2020, $93.24, 5546358, $94.34, $96.63, $92.63
02/26/2020, $96.58, 4108627, $98.89, $99.7407, $96.58
02/25/2020, $98.21, 4140859, $101.95, $102.46, $98.1
02/24/2020, $101.65, 4178141, $101.67, $102.65, $101.12
02/21/2020, $104.93, 2465728, $104.23, $105.14, $103.8061
02/20/2020, $105.1, 1755692, $104.26, $105.78, $104.095
02/19/2020, $104.31, 1873054, $104.5, $104.98, $104.16
02/18/2020, $104.47, 2298410, $104.03, $104.64, $103.52
02/14/2020, $103.55, 1991932, $102.96, $103.6, $102.51
02/13/2020, $102.89, 2059513, $103.41, $103.98, $102.82
02/12/2020, $104.03, 2006249, $104.5, $104.97, $103.8
02/11/2020, $103.53, 2481266, $103.42, $104.39, $103.01
02/10/2020, $102.91, 2039630, $101.84, $102.93, $101.5
02/07/2020, $101.96, 3063989, $101.9, $102.94, $101.13
02/06/2020, $102.48, 2507867, $103.5, $103.5, $101.86
02/05/2020, $102.34, 3339436, $102.32, $103.205, $101.675
02/04/2020, $100.91, 4735385, $97.97, $101.54, $97.86
02/03/2020, $95.49, 2745651, $95.06, $96.81, $94.95
01/31/2020, $94.47, 4701832, $96.38, $96.86, $94.025
01/30/2020, $97.23, 2680516, $95.62, $97.41, $95.49
01/29/2020, $96.87, 2108130, $96.87, $97.48, $96.12
01/28/2020, $96.27, 3394249, $94.84, $97.02, $94.68
01/27/2020, $94.64, 2194436, $94.86, $95.15, $93.96
01/24/2020, $96.84, 2626023, $98.26, $98.31, $96.43
01/23/2020, $97.9, 3081270, $96.33, $97.97, $95.41
01/22/2020, $97.16, 5604149, $98.32, $99.82, $96.59
01/21/2020, $94.52, 3505271, $95.35, $95.49, $94.32
01/17/2020, $95.68, 2978620, $94.79, $95.95, $94.62
01/16/2020, $94.82, 1677013, $94.71, $94.84, $93.98
