Date, Close/Last, Volume, Open, High, Low
04/13/2020, $97.89, 1762902, $101.66, $101.66, $97.14
04/09/2020, $102.91, 1497443, $102.08, $107.22, $101.63
04/08/2020, $100.52, 1429999, $93.82, $101.57, $93.82
04/07/2020, $93.65, 1360258, $96.1, $96.67, $92.64
04/06/2020, $93, 1300240, $87.41, $93.99, $86.17
04/03/2020, $83.38, 2375923, $87.2, $89.16, $82.94
04/02/2020, $88.2, 2064958, $83.45, $89.645, $82.805
04/01/2020, $85.58, 1530492, $89.97, $91.7, $84.15
03/31/2020, $93.97, 2621231, $98.71, $100.04, $93.31
03/30/2020, $100.07, 1826006, $98.37, $101.19, $95.32
03/27/2020, $97.34, 1835630, $92.76, $100.6, $92.4
03/26/2020, $96.71, 1672689, $89.63, $98.07, $89.12
03/25/2020, $88.96, 1921966, $86.06, $92.99, $83.77
03/24/2020, $86.33, 1860519, $81.61, $87.25, $79.6
03/23/2020, $78.18, 2180374, $78.96, $82.5, $75.195
03/20/2020, $79.99, 2493841, $85.72, $89.58, $79.07
03/19/2020, $84.05, 2802081, $85.6, $88.1613, $77.59
03/18/2020, $86.41, 4108822, $93.7, $95.43, $79.51
03/17/2020, $99.62, 3470969, $88.71, $99.85, $87.39
03/16/2020, $86.74, 3434997, $94.58, $96.04, $85.84
03/13/2020, $102.93, 2675228, $106.64, $107.28, $96.62
03/12/2020, $101.64, 2872192, $105.44, $107.43, $98.45
03/11/2020, $111.62, 1765423, $116.36, $116.61, $109.53
03/10/2020, $119.29, 2819893, $117.36, $119.57, $113.66
03/09/2020, $115.4, 3271958, $118.18, $118.92, $114.01
03/06/2020, $124.28, 1877638, $123.96, $125, $120.4503
03/05/2020, $127.46, 2199969, $126.05, $128.16, $124.43
03/04/2020, $128.36, 1505994, $123.61, $128.75, $123.61
03/03/2020, $121.89, 1980000, $124.48, $126.74, $121.09
03/02/2020, $124.12, 1956962, $117.4, $124.38, $116.9
02/28/2020, $116.91, 2735526, $118.78, $118.78, $113.89
02/27/2020, $120.8, 2554253, $125.29, $125.49, $120.69
02/26/2020, $125.65, 1529870, $126.26, $127.22, $125.6
02/25/2020, $126.3, 1599175, $129.84, $129.995, $125.79
02/24/2020, $129.74, 1559609, $129.77, $131.08, $129.27
02/21/2020, $129.96, 2846272, $131.37, $132.085, $129.78
02/20/2020, $131.45, 1933666, $133.02, $133.08, $130.84
02/19/2020, $133.09, 1633132, $135, $135.55, $132.9
02/18/2020, $134.78, 1455244, $134.71, $135.46, $133.85
02/14/2020, $134.13, 1639020, $133.64, $134.485, $133.08
02/13/2020, $133.24, 738461, $131.67, $133.5, $131.18
02/12/2020, $131.56, 915702, $131.28, $132.185, $130.56
02/11/2020, $132.89, 1035259, $133.07, $133.83, $132.58
02/10/2020, $132.89, 696716, $132.14, $132.93, $131.7
02/07/2020, $131.94, 1371634, $131.8, $132.57, $131.7
02/06/2020, $131.41, 1127336, $130.63, $131.68, $130.62
02/05/2020, $130.56, 1361349, $130.37, $131.495, $130.0788
02/04/2020, $130.56, 953595, $132.14, $132.88, $130.42
02/03/2020, $132.19, 834389, $131.91, $132.39, $131.45
01/31/2020, $131.52, 2408274, $131.7, $132.02, $130.67
01/30/2020, $131.72, 769653, $130.5, $131.79, $130.02
01/29/2020, $130.55, 885303, $130.13, $130.75, $129.42
01/28/2020, $129.99, 1165352, $129.63, $130.26, $128.71
01/27/2020, $129.55, 1134885, $130.67, $131.49, $129.08
01/24/2020, $130.73, 874994, $129.8, $131.19, $129.71
01/23/2020, $129.95, 1278332, $127.9, $130.03, $127.57
01/22/2020, $127.89, 895866, $128, $128.48, $127.42
01/21/2020, $127.36, 1110816, $126.44, $127.43, $125.99
01/17/2020, $126.31, 1054148, $125.09, $126.43, $124.915
01/16/2020, $124.95, 1130048, $123.84, $124.99, $123.73
01/15/2020, $123.74, 1235386, $122.05, $123.92, $121.83
01/14/2020, $121.58, 1127503, $121.44, $121.88, $120.63
01/13/2020, $121.52, 1917527, $120.59, $122.175, $120.59
01/10/2020, $120.61, 1058165, $120.58, $121.24, $120.38
01/09/2020, $120.26, 819957, $118.86, $120.29, $118.56
01/08/2020, $118.96, 867526, $119.56, $119.59, $118.69
01/07/2020, $119.13, 1026521, $118.63, $119.59, $118.3
01/06/2020, $119.15, 1527898, $118.99, $119.89, $118.6
01/03/2020, $118.73, 1422920, $117.71, $118.84, $117.4103
01/02/2020, $117.93, 1388789, $119.83, $119.83, $117.46
12/31/2019, $119.8, 1045444, $119.34, $119.85, $118.97
12/30/2019, $119.28, 722068, $119.37, $119.5708, $118.75
12/27/2019, $119.86, 637301, $119.52, $119.89, $119.18
12/26/2019, $119.52, 1339336, $119.31, $119.81, $118.89
12/24/2019, $119.44, 667934, $119.12, $119.66, $118.6
12/23/2019, $118.57, 2268371, $120.05, $120.345, $118.32
12/20/2019, $120.17, 3620257, $119.89, $120.35, $119.06
12/19/2019, $119.51, 947348, $119.42, $120.03, $119.01
12/18/2019, $119.66, 2033911, $119.02, $119.78, $118.26
12/17/2019, $118.82, 1729256, $119.25, $120.32, $118.57
12/16/2019, $119.12, 2597513, $117.6, $119.12, $117.18
12/13/2019, $118.3, 1944628, $116.77, $118.34, $115.72
12/12/2019, $116.92, 1861323, $117.95, $118.15, $116.48
12/11/2019, $118.18, 1636604, $117.87, $118.55, $117.65
12/10/2019, $117.67, 1080437, $118.18, $118.33, $117.32
12/09/2019, $118.18, 1475577, $118.49, $118.49, $117.46
12/06/2019, $118.09, 869432, $118.03, $118.72, $117.69
12/05/2019, $118.42, 1059441, $117.92, $118.5, $117.59
12/04/2019, $118.11, 1560137, $116.71, $118.58, $116.71
12/03/2019, $116.92, 1590318, $116.8, $117.7, $116.215
12/02/2019, $115.98, 1813091, $115.95, $116.27, $115.05
11/29/2019, $116.39, 750422, $116.82, $117.31, $115.9427
11/27/2019, $116.92, 746737, $116.55, $117.16, $116.16
11/26/2019, $116.47, 2332340, $115.52, $116.5, $115.18
11/25/2019, $115.38, 1171881, $115.73, $116.43, $115.23
11/22/2019, $115.72, 1223178, $116.23, $116.465, $115.25
11/21/2019, $115.9, 1995197, $116.94, $117.35, $115.31
11/20/2019, $117.06, 1131852, $116.38, $117.1, $116
11/19/2019, $116.19, 1116208, $116.59, $117.05, $115.65
11/18/2019, $116.89, 1139481, $117, $118.11, $116.71
11/15/2019, $116.71, 1308283, $116.92, $117, $115.78
11/14/2019, $116.89, 1215200, $117.67, $118.36, $116.78
11/13/2019, $117.52, 2321720, $115.34, $117.65, $115.34
