Date, Close/Last, Volume, Open, High, Low
03/30/2020, $196.06, 1855728, $198.1, $202.5, $186.03
03/27/2020, $198.15, 1200112, $191.97, $202, $191.71
03/26/2020, $199.44, 1558782, $193.66, $201.49, $191.99
03/25/2020, $190.93, 1979340, $185.15, $198.38, $184
03/24/2020, $184.89, 2515435, $165.78, $185.98, $164.59
03/23/2020, $157.23, 2636011, $163.9, $164.29, $154.52
03/20/2020, $166.45, 2354829, $181.36, $188, $162.6
03/19/2020, $180.37, 2592726, $172.75, $186.525, $168.23
03/18/2020, $173.14, 2468473, $166.3, $174.82, $162.22
03/17/2020, $176.4, 2648476, $169.08, $176.81, $162.19
03/16/2020, $165.73, 2519099, $170, $176.33, $165.19
03/13/2020, $185.5, 3869628, $194.93, $196, $173.325
03/12/2020, $187.02, 3101981, $185.83, $197.51, $178.61
03/11/2020, $197.37, 1892910, $196.96, $202.49, $194.57
03/10/2020, $202.87, 2134241, $198.07, $202.94, $192.61
03/09/2020, $191.06, 1945542, $190.68, $196.865, $190.5
03/06/2020, $205.85, 1790119, $202.52, $206.79, $199.76
03/05/2020, $208.96, 1890134, $219.13, $219.13, $206.86
03/04/2020, $217.38, 2360190, $213.37, $217.3999, $208.79
03/03/2020, $208.56, 2331507, $213.74, $216.843, $205.39
03/02/2020, $212.92, 2022240, $207, $212.93, $205.88
02/28/2020, $204.84, 3356450, $207.76, $207.76, $199.1521
02/27/2020, $212.96, 2284693, $217.53, $220.51, $212.76
02/26/2020, $221.58, 1041113, $225.16, $229.43, $220.45
02/25/2020, $224.07, 1409949, $227.64, $228.4237, $223.17
02/24/2020, $226.29, 1412953, $224.16, $228.11, $223.57
02/21/2020, $231.25, 844796, $232.8, $232.8, $230.13
02/20/2020, $233.91, 1024230, $235.3, $235.64, $229.71
02/19/2020, $235.31, 1571491, $230.82, $237.32, $230.45
02/18/2020, $229.54, 1357051, $228.57, $230.21, $227.28
02/14/2020, $230.55, 679722, $228.27, $230.77, $227.0257
02/13/2020, $226.54, 1389385, $225.17, $229.425, $225.17
02/12/2020, $226.81, 1368360, $231.37, $231.935, $224.67
02/11/2020, $231.15, 859720, $230.26, $231.78, $228.33
02/10/2020, $228.44, 1234911, $230.78, $232, $227.07
02/07/2020, $232.41, 1096386, $235.65, $235.862, $230.93
02/06/2020, $236.64, 1496157, $232.84, $236.68, $230.48
02/05/2020, $231.13, 1719433, $227.31, $231.43, $227.31
02/04/2020, $226.35, 1373693, $223.39, $228.36, $222.86
02/03/2020, $219.92, 2274900, $219.5, $224.28, $219
01/31/2020, $219.86, 4140744, $242.46, $242.98, $215.16
01/30/2020, $233.97, 1189651, $230.42, $234.51, $229.4
01/29/2020, $232.73, 1520090, $233, $236.07, $232.48
01/28/2020, $232.92, 1305523, $229.29, $233.95, $227.16
01/27/2020, $228.92, 1935206, $226.99, $230.34, $224.74
01/24/2020, $230.45, 1670309, $232.14, $234.05, $229.1
01/23/2020, $231.27, 3278329, $241.5, $242.4, $228.5
01/22/2020, $242.99, 1297867, $243.47, $245.71, $242.845
01/21/2020, $242.12, 845811, $238.66, $243.31, $238.47
01/17/2020, $238.64, 1357816, $239.81, $239.97, $238.02
01/16/2020, $238.58, 708167, $238.39, $239.5, $235.575
01/15/2020, $236.79, 955280, $236, $237.92, $235.13
01/14/2020, $236.03, 1232378, $233.95, $236.54, $233.11
01/13/2020, $233.4, 1113910, $233.48, $234.81, $232.545
01/10/2020, $232.84, 1155216, $235.69, $236, $232.34
01/09/2020, $233.92, 1379252, $232.92, $235.65, $232.08
01/08/2020, $231.46, 1439784, $234, $234, $229.84
01/07/2020, $233.01, 874452, $234.25, $235.8, $232.15
01/06/2020, $234.8, 1081444, $230.95, $235.06, $230.01
01/03/2020, $231.63, 997853, $228.5, $232.5, $228.32
01/02/2020, $232.5, 1378952, $230, $233.7487, $229.89
12/31/2019, $233.29, 748482, $232.01, $233.505, $231
12/30/2019, $232.42, 878953, $234.93, $235.59, $231.35
12/27/2019, $234.61, 524223, $236.04, $236.6, $233.99
12/26/2019, $235.78, 677954, $235.94, $236.505, $234.17
12/24/2019, $235.79, 314562, $237.36, $237.64, $234.63
12/23/2019, $237.32, 749966, $236.73, $238.5, $236.3889
12/20/2019, $236.39, 2077610, $235.07, $236.44, $231.67
12/19/2019, $233.22, 1472887, $237.05, $238.48, $233.05
12/18/2019, $235.63, 1224867, $238.13, $239.6173, $235.4
12/17/2019, $237.92, 1342947, $236.84, $238.4, $235.02
12/16/2019, $234.96, 1264090, $233.07, $236.69, $232.53
12/13/2019, $232.64, 1045393, $229.71, $233.1, $229.7
12/12/2019, $230.7, 1400662, $230.53, $231.34, $227.7634
12/11/2019, $230.32, 1853958, $229.26, $230.795, $226.1
