Date, Close/Last, Volume, Open, High, Low
03/30/2020, $37.23, 7186313, $35.69, $37.48, $35.5
03/27/2020, $35.5, 6617432, $35, $36.865, $34.68
03/26/2020, $36.59, 6956192, $34.57, $36.99, $34.26
03/25/2020, $34.55, 9018783, $34.03, $36.31, $33.2
03/24/2020, $34.51, 11154270, $31.46, $34.57, $31.36
03/23/2020, $29.98, 9696507, $31.45, $31.94, $29.28
03/20/2020, $31, 8645011, $32.67, $33.48, $30.82
03/19/2020, $32.41, 7480928, $32.98, $34.34, $30.51
03/18/2020, $33.04, 9679988, $33.85, $34.73, $30.92
03/17/2020, $36, 13613680, $31.28, $36.25, $29.42
03/16/2020, $30.51, 8626644, $33.17, $35.59, $29.78
03/13/2020, $36.36, 11414570, $36.15, $37.9969, $34.1
03/12/2020, $35.27, 13262280, $37.5, $38.23, $34.425
03/11/2020, $39.81, 9143220, $42.08, $42.08, $39.37
03/10/2020, $43.12, 13291560, $42.68, $43.68, $40.88
03/09/2020, $41.91, 12448040, $42.99, $44.61, $41.13
03/06/2020, $45.17, 9421638, $44.01, $45.37, $43.56
03/05/2020, $46.13, 8488883, $45.75, $46.39, $45.29
03/04/2020, $46.82, 8139821, $44.61, $46.865, $44.51
03/03/2020, $44.19, 11652220, $45.08, $46.58, $44.04
03/02/2020, $45.43, 9653778, $43.19, $45.44, $42.9
02/28/2020, $43.11, 14879090, $44.34, $44.36, $42.32
02/27/2020, $45.14, 8275434, $47.11, $47.14, $45.12
02/26/2020, $47.05, 6901530, $48.19, $48.3, $47.03
02/25/2020, $47.63, 7610224, $48.77, $48.875, $47.51
02/24/2020, $48.82, 5989460, $50.05, $50.47, $48.8
02/21/2020, $49.72, 7352332, $49.84, $50.044, $49.65
02/20/2020, $49.85, 3745514, $49.48, $49.93, $49.42
02/19/2020, $49.6, 4023511, $49.83, $50.0392, $49.395
02/18/2020, $50.38, 5163076, $49.92, $50.54, $49.65
02/14/2020, $49.76, 3643068, $49.6, $49.78, $49.33
02/13/2020, $49.57, 5165541, $49.45, $49.695, $49.205
02/12/2020, $49.26, 5279708, $49.44, $49.62, $49.01
02/11/2020, $49.34, 6187445, $48.31, $49.465, $48.31
02/10/2020, $48.31, 4227498, $48.29, $48.36, $48.055
02/07/2020, $48.19, 4831435, $48.37, $48.58, $48.15
02/06/2020, $48.26, 4162485, $48.35, $48.57, $48.2
02/05/2020, $48.33, 5062968, $48.01, $48.44, $47.82
02/04/2020, $48.09, 6091442, $48.11, $48.51, $47.89
02/03/2020, $48.2, 6122899, $47.68, $48.3, $47.6
01/31/2020, $47.59, 6880671, $48, $48.16, $47.25
01/30/2020, $48.06, 5240488, $47.62, $48.15, $47.4
01/29/2020, $47.81, 6526332, $47.66, $48.275, $47.58
01/28/2020, $47.73, 5118538, $47.26, $47.91, $47.23
01/27/2020, $47.27, 5451092, $47.76, $48.17, $47.19
01/24/2020, $47.73, 4801223, $47.85, $48.17, $47.55
01/23/2020, $47.95, 6076021, $47.67, $48, $47.44
01/22/2020, $47.66, 8751545, $47.57, $47.91, $47.5
01/21/2020, $47.58, 5097360, $47.44, $47.61, $47.23
01/17/2020, $47.39, 7566295, $46.96, $47.47, $46.73
01/16/2020, $46.74, 5763883, $46.65, $47.03, $46.55
01/15/2020, $46.55, 5877284, $46.05, $46.91, $46.01
01/14/2020, $45.81, 6279667, $46.09, $46.095, $45.57
01/13/2020, $46.19, 6653880, $46.23, $46.58, $46.12
01/10/2020, $46.26, 5738539, $46.3, $46.43, $46.115
01/09/2020, $46.15, 5320854, $45.92, $46.19, $45.58
01/08/2020, $46.005, 6139503, $45.68, $46.18, $45.625
01/07/2020, $45.68, 6777396, $45.53, $45.69, $45.12
01/06/2020, $45.635, 5551464, $45.54, $45.76, $45.39
01/03/2020, $45.57, 5385573, $45.33, $45.765, $45.32
01/02/2020, $45.43, 4888826, $45.78, $45.78, $45.25
