Date, Close/Last, Volume, Open, High, Low
03/30/2020, $124.31, 2281016, $122.38, $125.61, $119.25
03/27/2020, $120.58, 2619719, $120.05, $124.345, $116
03/26/2020, $125.6, 2714418, $119.36, $127, $119.01
03/25/2020, $118.31, 4133236, $121.36, $126.94, $114.93
03/24/2020, $120.04, 3014374, $118, $121.8, $115.43
03/23/2020, $111.76, 3933899, $110.94, $115.0542, $107.25
03/20/2020, $111.06, 4479231, $113.88, $118.7, $106.59
03/19/2020, $111.68, 4646855, $98.85, $116.155, $97.3712
03/18/2020, $99.68, 6997651, $90.39, $100.7, $89.802
03/17/2020, $94.96, 5548740, $92.9, $100.15, $88.69
03/16/2020, $90.49, 4417391, $92, $99.87, $90.49
03/13/2020, $106.63, 4274965, $102.46, $106.68, $96
03/12/2020, $97, 5156535, $103.2, $105.18, $96.2
03/11/2020, $111.01, 4758296, $117.39, $118.303, $108.53
03/10/2020, $120.67, 3564910, $120.14, $121.75, $113.87
03/09/2020, $115.7, 4048083, $120.4, $121.58, $113.85
03/06/2020, $127.68, 3886348, $125.75, $130.65, $123.79
03/05/2020, $129.93, 3150049, $132.01, $133.14, $128.75
03/04/2020, $136.41, 2854702, $135.06, $136.46, $132.1848
03/03/2020, $133.09, 4373332, $140, $142.17, $132.56
03/02/2020, $139.75, 4418592, $142.18, $142.52, $135.28
02/28/2020, $141.17, 4395611, $135, $141.195, $134.055
02/27/2020, $138.76, 3534997, $140.76, $145.49, $136.48
02/26/2020, $144.53, 2767399, $147.42, $149.39, $143.56
02/25/2020, $145.6, 4224244, $155.66, $155.8, $144.81
02/24/2020, $154.85, 3116493, $156.26, $157.715, $152.62
02/21/2020, $163.25, 1645324, $163.26, $164.1431, $161.69
02/20/2020, $164.91, 2602941, $161.07, $165.25, $159.5
02/19/2020, $161.14, 1699254, $159, $161.69, $158.83
02/18/2020, $158.57, 1924077, $159.31, $160.91, $156.3921
02/14/2020, $158.62, 1679023, $160.46, $161.29, $158
02/13/2020, $161.47, 2624570, $157.79, $161.83, $156.48
02/12/2020, $158.51, 1607548, $159.2, $159.81, $157.23
02/11/2020, $158, 2016806, $158.27, $159.56, $156.871
02/10/2020, $156.78, 3948585, $158.8, $160.29, $156.2
02/07/2020, $155.66, 6532572, $147.3, $157.44, $146.417
02/06/2020, $148.63, 1706790, $151.38, $151.38, $148.49
02/05/2020, $149.95, 2013840, $149.5, $150.85, $148.82
02/04/2020, $147.51, 2573855, $146.37, $148.24, $146
02/03/2020, $143.84, 1988791, $145.5, $147.4, $143.6
01/31/2020, $144.64, 3286187, $147.1, $147.2886, $143.585
01/30/2020, $148.26, 3380173, $146, $148.4, $143.36
01/29/2020, $148.06, 2524115, $149.16, $150.07, $147.91
01/28/2020, $148.4, 2189970, $149.75, $149.95, $147.11
01/27/2020, $148.49, 3368402, $150.11, $150.18, $147.51
01/24/2020, $154.07, 1973550, $155.64, $155.64, $152.31
01/23/2020, $154.88, 2059099, $155, $155.34, $152.729
01/22/2020, $155.54, 1911072, $157.49, $158.8485, $155.47
01/21/2020, $157.53, 2460352, $159.1, $159.16, $156.81
01/17/2020, $159.98, 1846149, $159.39, $161.18, $158.555
01/16/2020, $159.54, 2343849, $160.59, $161.47, $158.84
01/15/2020, $159.15, 2971759, $163.02, $163.02, $158.67
01/14/2020, $162.13, 5079642, $159.15, $164.5, $158.62
01/13/2020, $159.28, 1985446, $156.72, $159.53, $156.71
01/10/2020, $156.63, 2449562, $158.07, $158.4256, $156.14
01/09/2020, $158.05, 2240318, $157.95, $158.3149, $156.59
01/08/2020, $157.13, 3053816, $154.57, $157.75, $153.93
01/07/2020, $154.8, 2152799, $153.36, $155.22, $152.3396
01/06/2020, $153.3, 2390922, $151.25, $153.55, $150.17
01/03/2020, $153.18, 2218066, $152.5, $153.34, $151.84
01/02/2020, $155.1, 2924449, $152.42, $155.1, $151.6001
12/31/2019, $151.21, 2155198, $149.22, $151.57, $148.75
12/30/2019, $150.14, 2612782, $153.1, $153.3, $149.94
12/27/2019, $152.53, 2693072, $153.07, $154.11, $152.11
12/26/2019, $152.49, 2654623, $150.9, $152.78, $150.51
12/24/2019, $150.78, 1797221, $151.07, $152.38, $150.42
12/23/2019, $151.69, 4370020, $149.56, $152.7567, $148.5
12/20/2019, $148.12, 5260753, $148.36, $148.55, $146.67
12/19/2019, $147.02, 5827575, $147.07, $148.82, $146.24
12/18/2019, $146.86, 21550320, $151.42, $152.77, $146.29
12/17/2019, $163.23, 6070302, $161.5, $164.78, $161.02
12/16/2019, $164.1, 5062869, $166.93, $168.37, $161.5
12/13/2019, $165.67, 2897974, $165.64, $167.87, $163.91
12/12/2019, $164.89, 2989271, $159.31, $165.82, $158.75
12/11/2019, $159.08, 1676012, $157.25, $159.52, $156.39
12/10/2019, $157, 1633632, $156.5, $158.14, $155.52
12/09/2019, $156.51, 1733713, $156.2, $157.48, $156.02
12/06/2019, $156.61, 2437059, $155, $157.29, $154.9
12/05/2019, $153.94, 1628261, $154.84, $154.89, $152.3383
12/04/2019, $153.87, 2301764, $152.64, $155.69, $152.3678
12/03/2019, $151.14, 3806182, $154.22, $154.47, $151.02
12/02/2019, $158.03, 2705245, $160.46, $163.7, $158.03
11/29/2019, $160.05, 789408, $161.11, $161.46, $159.83
11/27/2019, $161.51, 1646893, $161.75, $162.07, $160.21
11/26/2019, $161.5, 2771057, $159.71, $162.76, $158.63
11/25/2019, $159.54, 2505944, $157.41, $160.34, $156.39
11/22/2019, $156.55, 2226835, $152.31, $156.79, $152.26
11/21/2019, $152.08, 1595379, $152.5, $153.77, $151.7475
11/20/2019, $152.27, 2476706, $155, $155.09, $151.55
11/19/2019, $155.52, 1524407, $158.21, $158.23, $155.17
11/18/2019, $157.55, 1794509, $157.13, $157.72, $154.5
11/15/2019, $158.33, 1597360, $157.27, $158.51, $156.35
11/14/2019, $156.68, 1828262, $155.82, $158, $155.48
11/13/2019, $156.23, 2228233, $160, $160.01, $156.15
11/12/2019, $161.22, 1280065, $162.35, $163.835, $160.76
11/11/2019, $162.18, 1063400, $161.96, $163.02, $161.33
11/08/2019, $163.22, 1152934, $163.8, $164, $161.6
11/07/2019, $163.92, 1978197, $165.46, $166.825, $163.47
11/06/2019, $163.17, 1767364, $164.56, $164.62, $161.9095
11/05/2019, $164.85, 2510240, $164.6, $167.59, $163.01
11/04/2019, $164.84, 4303590, $159.85, $165.03, $159.5
11/01/2019, $156.52, 2129391, $154.16, $157.1, $153.96
10/31/2019, $152.66, 2110548, $155, $155.84, $151.62
10/30/2019, $155.84, 1576153, $157.75, $157.76, $154.02
10/29/2019, $158.01, 1464068, $158.93, $158.93, $156.8
10/28/2019, $158.4, 2597072, $158.9, $160.39, $157.17
10/25/2019, $158.09, 2080572, $153.8, $158.24, $153.51
10/24/2019, $154.05, 1731453, $156.3, $156.9799, $153.04
10/23/2019, $155.98, 2181549, $154.39, $156.7299, $153.69
10/22/2019, $154.63, 3010530, $151.32, $154.69, $149.85
10/21/2019, $152.04, 3471683, $150.68, $154.13, $150.09
10/18/2019, $149.91, 2789819, $150.48, $151.12, $149.19
10/17/2019, $150.7, 2650390, $151.38, $152.42, $150.48
10/16/2019, $150.77, 3441718, $150.03, $152.36, $149.75
10/15/2019, $149.96, 3224274, $147.6, $150.13, $147.18
10/14/2019, $146.78, 2422853, $145.11, $147.7, $144.39
10/11/2019, $145.54, 3983054, $143.17, $147.05, $143.17
10/10/2019, $141.36, 1785719, $139.54, $141.62, $139.15
10/09/2019, $139.25, 2254860, $138.83, $139.77, $137.78
10/08/2019, $138.39, 2402354, $140.8, $140.935, $138.38
10/07/2019, $142.09, 1828128, $141.84, $144.23, $141.13
10/04/2019, $143, 2196227, $141.79, $143.06, $140.69
10/03/2019, $141.71, 2320552, $140.5, $141.9, $138.59
10/02/2019, $140.78, 2746906, $140.16, $141.9, $139.1
10/01/2019, $141.64, 3453072, $145.59, $146.84, $140.62
09/30/2019, $145.57, 1708734, $145.31, $146.495, $144.96
09/27/2019, $144.96, 1967673, $145.67, $146.82, $143.91
09/26/2019, $145.16, 2060136, $147.27, $147.48, $144.47
09/25/2019, $147.04, 3586406, $143.15, $147.82, $143.15
09/24/2019, $143.25, 5589208, $145.93, $147.62, $142.49
09/23/2019, $145.67, 4142331, $147.54, $149.1, $145.46
09/20/2019, $148.78, 5633810, $153.36, $153.36, $148.45
09/19/2019, $152.45, 5580365, $150.22, $152.6, $149.5
09/18/2019, $150.91, 22942060, $153.3, $154.57, $148.5
09/17/2019, $173.3, 4762017, $172.37, $174.44, $171.14
09/16/2019, $173.57, 1546388, $172.38, $174.95, $171.01
09/13/2019, $174.1, 1456411, $174.9, $176.25, $173.01
09/12/2019, $173.51, 1520477, $174.09, $174.68, $171.4098
09/11/2019, $173.96, 1642723, $172.8, $173.96, $169.6902
09/10/2019, $172.26, 2407391, $167.33, $172.5, $166.89
09/09/2019, $167.42, 2271626, $163.1, $167.634, $162.95
09/06/2019, $161.87, 1413400, $164, $164.82, $161.62
09/05/2019, $164.38, 2119272, $161.06, $165.36, $160.71
09/04/2019, $159.06, 1260389, $157.54, $159.58, $157.22
09/03/2019, $155.37, 1270790, $155.79, $157.25, $153.91
08/30/2019, $158.61, 1151587, $158.49, $160.31, $158.16
