Date, Close/Last, Volume, Open, High, Low
04/13/2020, $43.93, 3006153, $44.11, $44.5, $43.06
04/09/2020, $44.75, 5735721, $43.77, $45.315, $43.77
04/08/2020, $43.23, 3674729, $40.72, $43.59, $40.4
04/07/2020, $40.47, 6177622, $42.43, $42.76, $40.39
04/06/2020, $41.36, 5157876, $39.37, $41.9, $39.37
04/03/2020, $37.95, 3445045, $39.58, $40.27, $37.56
04/02/2020, $40, 4823647, $38.23, $40.52, $38.23
04/01/2020, $38.86, 6979869, $38.33, $39.32, $38.14
03/31/2020, $40.07, 7706748, $40.03, $40.83, $39.11
03/30/2020, $40.49, 6295925, $39.19, $40.91, $38.31
03/27/2020, $38.6, 5802985, $37.36, $40.325, $37.11
03/26/2020, $38.67, 4915505, $35.47, $39.27, $35.42
03/25/2020, $35.5, 5194414, $35.33, $37.29, $33.575
03/24/2020, $35.48, 5400329, $34.21, $36.02, $33.91
03/23/2020, $33.19, 6180733, $34.02, $35.75, $32
03/20/2020, $34.28, 5393464, $35.97, $36.695, $33.98
03/19/2020, $35.99, 5291344, $37.32, $37.36, $33.5
03/18/2020, $37.2, 7253257, $37.49, $38.69, $33.555
03/17/2020, $40.11, 9171895, $35.26, $40.49, $32.91
03/16/2020, $34.3, 6701874, $37.7, $39.76, $33.865
03/13/2020, $41.24, 6070126, $40.69, $41.25, $38.72
03/12/2020, $38.52, 7357014, $40.15, $41.61, $37.95
03/11/2020, $43.13, 8592221, $43.69, $44.35, $42.48
03/10/2020, $44.95, 7231891, $43.94, $45.17, $42.92
03/09/2020, $42.93, 10151910, $43.52, $44.25, $39.25
03/06/2020, $46.48, 5994924, $45.73, $46.69, $44.73
03/05/2020, $47.13, 6141779, $47.52, $48.27, $46.56
03/04/2020, $48.5, 5367342, $46.66, $48.51, $46.27
03/03/2020, $45.92, 7906685, $47.2, $48.17, $45.82
03/02/2020, $47.32, 5894514, $44.79, $47.42, $44.67
02/28/2020, $44.53, 9412792, $45.23, $45.23, $43.57
02/27/2020, $46.23, 5322770, $48.06, $48.355, $46.23
02/26/2020, $48.3, 4162553, $48.92, $49.38, $48.29
02/25/2020, $48.89, 4461062, $50.71, $50.87, $48.83
02/24/2020, $50.63, 4427591, $51.22, $51.475, $50.62
02/21/2020, $51.57, 5933281, $51.7, $51.88, $51.39
02/20/2020, $51.79, 2594486, $52.13, $52.195, $51.705
02/19/2020, $52.15, 2511889, $52.26, $52.29, $51.985
