Date, Close/Last, Volume, Open, High, Low
04/13/2020, $123.6, 4525599, $124.17, $124.65, $120.41
04/09/2020, $125.12, 4682624, $126.42, $128.66, $123.88
04/08/2020, $124.77, 3645535, $121.88, $126.06, $120.34
04/07/2020, $120.14, 5157238, $128.83, $130.83, $119.91
04/06/2020, $123.02, 5708203, $121.73, $123.72, $119.35
04/03/2020, $115.22, 3741280, $116.54, $117.18, $112.2
04/02/2020, $117.11, 3565661, $113.29, $118.45, $112.47
04/01/2020, $114.56, 5207285, $116.28, $117.51, $113.185
03/31/2020, $121.64, 8623551, $123.98, $125.11, $119.1
03/30/2020, $125.29, 3758416, $123.1, $125.89, $120.68
03/27/2020, $120.1, 3940563, $119.92, $124.26, $117.03
03/26/2020, $123.64, 6534468, $121.76, $124.3, $118.34
03/25/2020, $120.37, 5841160, $119.46, $124.735, $115.05
03/24/2020, $119.16, 7863588, $109.01, $120.26, $108.635
03/23/2020, $102.45, 8300727, $100.58, $104.79, $98.3275
03/20/2020, $102.82, 10109700, $106.3, $109.28, $99.1
03/19/2020, $105.23, 8058809, $102, $108.5, $96.93
03/18/2020, $102.94, 10211780, $105.23, $108.15, $91.68
03/17/2020, $113.96, 7426143, $110.01, $116.39, $105.6
03/16/2020, $108.35, 8146971, $111.5, $118.56, $108.35
03/13/2020, $129.9, 6787353, $124.52, $130.73, $119.25
03/12/2020, $118.46, 8314695, $123.26, $129.355, $118.4
03/11/2020, $132.96, 4872887, $136.53, $138.74, $131.46
03/10/2020, $140.9, 6580767, $134.99, $141, $131.24
03/09/2020, $130.04, 6199907, $130.12, $133.83, $127
03/06/2020, $139.91, 5042727, $139.94, $140.7, $135.6
03/05/2020, $142.75, 4237962, $145.79, $147.15, $141.05
03/04/2020, $149.93, 2692501, $145.24, $150, $144.06
03/03/2020, $143.09, 4561488, $149.06, $150.44, $141.6
03/02/2020, $148.61, 6618584, $140.06, $148.87, $139.29
02/28/2020, $139.72, 8619931, $135.87, $141.12, $135.15
02/27/2020, $138.87, 4392539, $141.23, $145.38, $138.75
02/26/2020, $143.9, 4085891, $144.97, $148.13, $143.56
02/25/2020, $144.66, 5343871, $151.05, $151.675, $144.39
02/24/2020, $150.72, 3651245, $150.57, $152.96, $149.56
02/21/2020, $154.93, 2759449, $155.78, $156.37, $153.74
02/20/2020, $156.78, 2326658, $157, $157.29, $152.96
02/19/2020, $157.29, 2328480, $156.55, $157.92, $156.35
02/18/2020, $155.65, 4518898, $157.45, $157.58, $151.21
02/14/2020, $157.44, 4133614, $154.35, $158.21, $153.87
02/13/2020, $154.32, 7114813, $148.85, $156.82, $147.48
