Date, Close/Last, Volume, Open, High, Low
03/30/2020, $98.33, 4787764, $93.95, $98.735, $93.7446
03/27/2020, $93.95, 7067593, $94.54, $96.79, $92.02
03/26/2020, $97.69, 5699233, $92.23, $98.35, $90.4969
03/25/2020, $91.2, 5645406, $86.6, $94.59, $85.09
03/24/2020, $86.65, 6874945, $81.62, $87.38, $80.7399
03/23/2020, $77, 9240462, $81.42, $81.73, $74.85
03/20/2020, $81.77, 9676616, $87.11, $89.59, $81.135
03/19/2020, $84.46, 9574578, $80.5, $85.99, $73.5
03/18/2020, $80.95, 9787943, $84.67, $86.92, $75.91
03/17/2020, $90.89, 8093485, $88.45, $91.17, $83.91
03/16/2020, $86.18, 11294860, $93.69, $94.81, $84.76
03/13/2020, $103.42, 8218255, $100.16, $103.65, $95.36
03/12/2020, $94.92, 13496020, $95.2, $101.11, $93.58
03/11/2020, $102.42, 8779504, $103.8, $108.04, $101.88
03/10/2020, $107.03, 8579658, $102.75, $107.09, $99.1
03/09/2020, $100.03, 5444709, $99.87, $103, $98.11
03/06/2020, $106.81, 4426357, $103.98, $107.38, $103.07
03/05/2020, $109.25, 4642429, $109.15, $111.53, $107.64
03/04/2020, $112.18, 5787535, $111, $112.91, $109.38
03/03/2020, $109.37, 5171299, $113, $114.95, $108.385
03/02/2020, $114.23, 5516409, $108.64, $114.29, $107.175
02/28/2020, $109.36, 7131794, $105.12, $109.51, $104.58
02/27/2020, $108.54, 6824483, $110.79, $112.74, $108.16
02/26/2020, $112.87, 3918381, $113.8, $115.26, $112.07
02/25/2020, $113.25, 4117847, $116.79, $117.275, $113.05
02/24/2020, $116.59, 3706411, $116.58, $118.88, $116.04
02/21/2020, $119.49, 3563689, $121.52, $121.79, $118.64
02/20/2020, $121.84, 3285109, $123.3, $123.4802, $120.25
02/19/2020, $123.55, 3636711, $122.65, $123.78, $122.4
02/18/2020, $122.25, 2899520, $122.95, $123.72, $121.67
02/14/2020, $122.32, 2796511, $121.12, $122.36, $120.7
02/13/2020, $121.06, 3207559, $118.85, $122.34, $118.71
02/12/2020, $119.14, 4050422, $120.48, $121.07, $119.01
02/11/2020, $120.71, 3231163, $123.81, $124.61, $120.54
02/10/2020, $123.21, 2742853, $121.42, $123.55, $121.17
02/07/2020, $121.86, 2373976, $120.7, $122.13, $120.29
02/06/2020, $121.67, 3494302, $120.75, $122, $120.415
02/05/2020, $121.67, 5650261, $122.64, $124.24, $119.67
02/04/2020, $123.89, 4570660, $123.62, $125.05, $123
02/03/2020, $121.94, 2986339, $119.96, $122.08, $119.51
01/31/2020, $118.61, 3428521, $120.59, $120.82, $118.11
01/30/2020, $121.23, 2094390, $119, $121.34, $118.27
01/29/2020, $120.04, 2088105, $120.85, $121.05, $119.69
01/28/2020, $120.43, 3917549, $119.3, $121.14, $119.06
01/27/2020, $119.3, 1651276, $118.7, $120.37, $118.2182
01/24/2020, $120.84, 1736280, $122.58, $122.93, $120.5268
01/23/2020, $122.23, 2105293, $122.05, $122.51, $121.04
01/22/2020, $122.05, 2922868, $121.3, $122.52, $121.28
01/21/2020, $120.61, 2426569, $120.6, $121.61, $120.34
01/17/2020, $120.68, 4086601, $120.79, $120.86, $119.77
01/16/2020, $120.21, 2011061, $119.5, $120.27, $118.93
01/15/2020, $118.51, 2015127, $117.93, $119.31, $117.71
01/14/2020, $117.55, 2662652, $118.31, $118.53, $117.28
01/13/2020, $118.53, 3094251, $117, $118.61, $116.86
01/10/2020, $117.13, 2077231, $118.48, $118.7, $116.95
01/09/2020, $117.8, 3434247, $117.54, $118.01, $117.12
01/08/2020, $116.8, 3323232, $116.56, $117.685, $116.56
01/07/2020, $116.48, 2397900, $115.95, $117.33, $115.19
01/06/2020, $116.93, 2115245, $115.18, $116.97, $114.86
01/03/2020, $116.37, 2833977, $115.03, $116.73, $114.5
01/02/2020, $115.52, 4991801, $116, $116.3425, $115.02
12/31/2019, $115.63, 2370937, $115.37, $115.76, $114.65
12/30/2019, $115.47, 1656027, $116.61, $116.71, $115.13
12/27/2019, $117.08, 1563685, $116.31, $117.22, $115.29
12/26/2019, $116.03, 1888895, $116.5, $116.78, $115.54
12/24/2019, $116.63, 532075, $116.04, $116.63, $115.63
12/23/2019, $116.33, 1451354, $116.59, $117.01, $115.83
12/20/2019, $116.67, 5097361, $117.08, $117.2, $115.89
12/19/2019, $116.5, 2574084, $116.14, $116.7, $115.745
12/18/2019, $115.89, 2120175, $116.62, $117.15, $115.76
12/17/2019, $116.78, 2434725, $116.95, $117.15, $115.66
12/16/2019, $116.51, 2271932, $117.1, $118, $115.58
12/13/2019, $116.75, 2346217, $114.83, $116.89, $113.6
12/12/2019, $115.18, 1934789, $114.32, $115.46, $113.91
12/11/2019, $114.61, 2808713, $113.9, $114.73, $112.6001
12/10/2019, $113.84, 1743834, $114.1, $114.98, $113.52
12/09/2019, $114.75, 3295402, $114.39, $115.49, $114.15
12/06/2019, $114.49, 2264903, $115.55, $115.89, $114.29
12/05/2019, $114.79, 2037056, $115.11, $115.54, $114.1
12/04/2019, $114.79, 2114116, $114.58, $115.25, $114.2268
12/03/2019, $114.42, 3047486, $114.59, $114.97, $113.35
12/02/2019, $114.28, 2682019, $116.14, $116.37, $112.97
11/29/2019, $116.24, 1193270, $116.12, $117.04, $115.86
11/27/2019, $116.32, 2030433, $116.17, $116.35, $114.54
11/26/2019, $116.22, 8239225, $114.74, $116.95, $114.51
11/25/2019, $114.74, 2463576, $114.03, $115.1, $114.03
11/22/2019, $113.92, 2486717, $114.04, $114.39, $112.63
11/21/2019, $114.08, 2608053, $115.78, $116.2, $113.84
11/20/2019, $115.35, 2354164, $115.61, $116.76, $114.82
11/19/2019, $116.04, 2181166, $114.9, $116.24, $114.23
11/18/2019, $114.5, 2221778, $114.32, $115, $113.72
11/15/2019, $113.91, 3246613, $114.88, $115, $112.2
11/14/2019, $114.1, 3655052, $112.32, $114.29, $110.81
11/13/2019, $111.33, 3429006, $110.39, $111.75, $110.34
11/12/2019, $110.65, 2449115, $110.58, $111.3209, $109.92
11/11/2019, $110.25, 3503311, $110.47, $111.26, $108.68
11/08/2019, $110.61, 4201080, $109.01, $110.66, $108.8
11/07/2019, $109.65, 8463659, $108, $111.455, $106.61
