Date, Close/Last, Volume, Open, High, Low
04/13/2020, $136.95, 1406886, $140.94, $141.425, $136.52
04/09/2020, $141.01, 2273702, $140.35, $142.46, $138.61
04/08/2020, $137.39, 1700987, $135.42, $138.38, $134.04
04/07/2020, $134.4, 2784044, $140.41, $141.38, $134.18
04/06/2020, $133.69, 2370708, $131.62, $134.49, $130.3
04/03/2020, $125.68, 1207451, $127.24, $128.5945, $124.7
04/02/2020, $127.92, 1426521, $125.9, $130.265, $124.9
04/01/2020, $127.4, 1439055, $126.71, $129, $125.19
03/31/2020, $132.31, 1703400, $132.5, $134.57, $131.13
03/30/2020, $133.6, 1881072, $130, $134.46, $127.08
03/27/2020, $130.07, 2431452, $129.48, $133.59, $128
03/26/2020, $133.16, 2842417, $124.47, $134.88, $124.14
03/25/2020, $122, 3310341, $116.5, $125.7073, $114.52
03/24/2020, $114.21, 3280783, $112.21, $116.03, $110.58
03/23/2020, $106.6, 3724510, $112.16, $113, $100.55
03/20/2020, $113.99, 3390521, $118.19, $121.84, $113.28
03/19/2020, $118.03, 3248291, $120.01, $120.01, $110.02
03/18/2020, $121.11, 2779973, $123.39, $126.32, $115.71
03/17/2020, $131.59, 3327582, $128.17, $131.94, $125.4
03/16/2020, $126.7, 3951441, $126.26, $137.1, $126.26
03/13/2020, $139.64, 4187722, $139.14, $141.57, $131.62
03/12/2020, $132.23, 5116173, $137.64, $139.46, $128.53
03/11/2020, $148.45, 2753289, $150.63, $154.2999, $147.14
03/10/2020, $155.3, 2606861, $155.01, $155.64, $149.61
03/09/2020, $150.02, 3241817, $152.04, $157.12, $146.59
03/06/2020, $163.03, 1879412, $159.35, $164.19, $157.1098
03/05/2020, $163.36, 2951551, $164.66, $167.93, $161.64
03/04/2020, $168.28, 2694732, $163.44, $169.72, $161.21
03/03/2020, $161.05, 2418311, $164.89, $170.1908, $160.73
03/02/2020, $165.03, 2233308, $160.56, $165.23, $157.605
02/28/2020, $159.69, 3829145, $160.58, $163.69, $155.47
02/27/2020, $166.14, 2809533, $169.18, $172.69, $165.53
02/26/2020, $171.55, 2737409, $175.25, $176.8447, $171.22
02/25/2020, $173.92, 2780129, $184.95, $185.64, $173.27
02/24/2020, $184.61, 1857850, $183.11, $185.65, $182.0832
02/21/2020, $187.6, 1416928, $184.91, $187.86, $183.6137
02/20/2020, $185.95, 1247887, $186.07, $187.35, $184.425
02/19/2020, $186.55, 1191255, $188.23, $188.69, $186.33
02/18/2020, $188.14, 1139870, $187.16, $188.73, $186.69
02/14/2020, $188.06, 1351868, $189.36, $189.399, $186.62
02/13/2020, $189.43, 1546010, $187.82, $190.08, $187.5822
02/12/2020, $188.75, 1448043, $187.36, $188.75, $186.441
02/11/2020, $186.94, 1599101, $186.93, $188.38, $185.38
02/10/2020, $186.25, 1239910, $186.51, $188.47, $185.34
02/07/2020, $186.74, 1715396, $185.78, $188.3, $185.59
02/06/2020, $186.13, 1319635, $185.65, $187.31, $185.2
02/05/2020, $183.97, 1273270, $181.01, $184.46, $180.08
02/04/2020, $179.53, 1882518, $179.24, $180.66, $179
02/03/2020, $176.62, 1605371, $177.16, $178.615, $175.19
01/31/2020, $175.44, 2365852, $180.24, $180.905, $174.79
01/30/2020, $181.23, 1842749, $182.3, $183.49, $179.72
01/29/2020, $183.47, 2033164, $183.92, $184.42, $179.61
01/28/2020, $183.63, 1534073, $183.08, $184.68, $180.76
01/27/2020, $182.57, 1132390, $182.36, $183.73, $181.59
01/24/2020, $185.07, 925535, $185.23, $185.81, $184.33
01/23/2020, $184.62, 1146749, $182.87, $185.47, $182.05
01/22/2020, $183.1, 1058679, $183.86, $185.58, $183.09
01/21/2020, $183.29, 2074863, $181.46, $184.56, $180.815
01/17/2020, $181.89, 1820104, $182.78, $183.12, $181.48
01/16/2020, $182.4, 1289909, $181.53, $183.07, $181.11
01/15/2020, $181.61, 1174680, $181.07, $182.96, $181.07
01/14/2020, $180.97, 917883, $181, $181.53, $179.66
01/13/2020, $181.13, 898041, $180.24, $182.09, $180.04
01/10/2020, $179.51, 831847, $181.51, $181.79, $179.41
01/09/2020, $181.61, 1582245, $181, $182.91, $180.96
01/08/2020, $180.48, 1226453, $180.2, $181.94, $179.6
01/07/2020, $180.02, 1470889, $180.42, $181.63, $179.75
01/06/2020, $182.09, 1958569, $181.55, $182.98, $181.0048
01/03/2020, $180.18, 1662342, $178, $180.43, $178
01/02/2020, $178.43, 1373344, $177.45, $179.04, $176.92
12/31/2019, $176.35, 726300, $175.98, $176.87, $175.32
12/30/2019, $176.01, 886648, $177.54, $177.87, $175.77
12/27/2019, $177.49, 781115, $178.39, $178.94, $177.14
12/26/2019, $178.19, 664578, $179.12, $179.2655, $177.41
12/24/2019, $178.82, 321382, $180.02, $180.08, $178.27
12/23/2019, $179.74, 1404450, $179.17, $180.72, $178.51
12/20/2019, $178.33, 1961946, $178.76, $179.54, $178.11
12/19/2019, $178.65, 1161859, $179.1, $179.94, $178.23
12/18/2019, $178.46, 995103, $181.07, $181.32, $178.42
12/17/2019, $181.1, 857514, $181.29, $182.05, $180.68
12/16/2019, $180.59, 1031499, $179.42, $180.89, $178.85
12/13/2019, $179.03, 968345, $179.9, $180.92, $178.405
12/12/2019, $180.47, 1204687, $180, $182.67, $179.3898
12/11/2019, $179.27, 1603020, $180.28, $180.565, $177.57
12/10/2019, $180.48, 1191424, $183.03, $183.29, $180.24
12/09/2019, $183.17, 1285874, $183.04, $183.93, $182.25
12/06/2019, $183.55, 1467408, $183, $183.74, $181.98
12/05/2019, $182.37, 2458339, $179, $182.58, $178.695
12/04/2019, $178.08, 1409001, $177.83, $180.7, $177.75
12/03/2019, $177.04, 2985857, $177, $178.2047, $175.7
12/02/2019, $177.99, 1963859, $182.03, $182.26, $177.75
11/29/2019, $181.74, 915649, $182.69, $182.69, $181.2
11/27/2019, $182.35, 1930415, $182.44, $182.88, $181.64
11/26/2019, $182.02, 1849095, $182.79, $183.78, $181.73
11/25/2019, $182.66, 855126, $183.2, $183.72, $182.47
11/22/2019, $182.88, 560156, $183.32, $183.5673, $182.1578
11/21/2019, $182.95, 808820, $184.05, $184.88, $182.8
11/20/2019, $184.33, 729218, $184.75, $185.2, $183.35
11/19/2019, $184.95, 805453, $186.93, $186.93, $184.66
11/18/2019, $186.58, 758689, $186.9, $187.02, $186.19
11/15/2019, $187.08, 1088454, $186.34, $187.92, $185.82
11/14/2019, $185.19, 739430, $184.59, $185.81, $184.5224
11/13/2019, $184.72, 961687, $185.31, $186.08, $184.08
11/12/2019, $185.28, 852719, $184.05, $185.65, $183.53
11/11/2019, $184.35, 684223, $184.25, $184.855, $182.46
11/08/2019, $185.08, 1446177, $182.67, $185.96, $182.67
11/07/2019, $182.95, 1427546, $182, $183.23, $181.53
11/06/2019, $181.57, 1445573, $179.92, $181.69, $179.92
11/05/2019, $179.3, 2253305, $177.93, $179.69, $177.1
11/04/2019, $178.07, 2483385, $181.18, $181.46, $176.97
11/01/2019, $179.73, 1136081, $178.03, $180.1856, $178.03
10/31/2019, $176.8, 1373904, $177.78, $178.24, $175.53
10/30/2019, $178.24, 1261966, $176.44, $178.685, $176
10/29/2019, $176.03, 1856788, $175.07, $178.23, $174.92
10/28/2019, $174.93, 1544560, $174.28, $175.965, $173.97
10/25/2019, $173.54, 1894576, $175.24, $176.74, $173.34
10/24/2019, $174.67, 2458291, $175.98, $177.755, $174.63
10/23/2019, $173.56, 1998675, $177.69, $177.72, $172.4
10/22/2019, $179.88, 1261790, $175.32, $180.06, $175.32
10/21/2019, $175.45, 944829, $175.3, $176.92, $174.65
10/18/2019, $174.43, 1107881, $177.05, $177.05, $173.99
10/17/2019, $176.76, 785210, $178.11, $178.56, $176.58
10/16/2019, $178.29, 769309, $178.45, $179.23, $177.21
10/15/2019, $178.45, 847711, $179.18, $179.63, $178.34
10/14/2019, $179.12, 591969, $179.66, $179.86, $178.8
10/11/2019, $179.63, 855801, $178.8, $181.15, $178.37
10/10/2019, $176.69, 868024, $175.5, $178.515, $175.5
10/09/2019, $177.05, 966448, $178, $178.87, $176.2
10/08/2019, $176.5, 1411069, $175.65, $178.475, $174.82
10/07/2019, $176.7, 941277, $176.23, $178.2, $175.8215
10/04/2019, $176.64, 912646, $175, $176.89, $173.75
10/03/2019, $174.88, 888990, $174.31, $175, $172.01
10/02/2019, $174.41, 1208700, $177.54, $178.26, $174.12
10/01/2019, $178.71, 1582861, $183.84, $184.5415, $177.63
09/30/2019, $182.73, 1187730, $183.36, $184.32, $182.66
09/27/2019, $183.02, 1144014, $186.81, $186.89, $182.54
09/26/2019, $186, 1180280, $186.52, $186.81, $185.22
09/25/2019, $186, 1759220, $185.45, $186.41, $184.56
09/24/2019, $184.7, 1833077, $187.97, $188.85, $184.41
09/23/2019, $186.79, 1367390, $186.25, $188.56, $185.0641
09/20/2019, $187.37, 7649932, $188.68, $189, $186.07
09/19/2019, $188.13, 1301692, $189.14, $190.19, $187.01
09/18/2019, $190.3, 1238760, $191.06, $191.06, $187.9
09/17/2019, $191.31, 1223102, $192.58, $192.58, $189.56
09/16/2019, $190.97, 1550910, $190.84, $191.67, $188.35
09/13/2019, $189.96, 1064554, $190.15, $190.23, $189.01
09/12/2019, $189.41, 1042640, $190, $190, $187.13
09/11/2019, $188.6, 836537, $187.86, $188.62, $186.35
09/10/2019, $187.87, 1097415, $187.7, $187.87, $185.3998
09/09/2019, $188.07, 1612281, $192.84, $193, $187.53
09/06/2019, $192.67, 698959, $193.09, $193.76, $192.04
09/05/2019, $192.27, 818565, $192.45, $193.64, $191.68
09/04/2019, $190.71, 964521, $191.02, $192.11, $190.17
09/03/2019, $189.28, 837594, $190.04, $190.82, $187.17
08/30/2019, $191.27, 1153661, $190.5, $192.215, $190
08/29/2019, $189.47, 1301974, $186.85, $189.84, $186.45
08/28/2019, $185.44, 535358, $182.79, $185.62, $182.13
08/27/2019, $183.36, 628268, $185.32, $185.64, $182.58
08/26/2019, $184.65, 632074, $185.23, $185.71, $182.2
08/23/2019, $183.55, 1619705, $186.76, $189.27, $182.47
08/22/2019, $187.55, 633973, $189.06, $189.31, $186.1
08/21/2019, $188.48, 1012876, $189, $189.0436, $186.67
