Date, Close/Last, Volume, Open, High, Low
04/13/2020, $7.02, 94074490, $7.13, $7.13, $6.76
04/09/2020, $7.14, 128361800, $7.45, $7.54, $7.09
04/08/2020, $7.3, 92650710, $7.18, $7.38, $7.06
04/07/2020, $7.03, 96087780, $7.69, $7.75, $7
04/06/2020, $7.23, 98048630, $7.07, $7.3, $6.94
04/03/2020, $6.73, 97803260, $7.03, $7.05, $6.58
04/02/2020, $6.9, 97498380, $7.02, $7.39, $6.77
04/01/2020, $7.04, 99556880, $7.52, $7.55, $7
03/31/2020, $7.94, 121149900, $7.87, $8.18, $7.815
03/30/2020, $7.89, 86850180, $7.54, $7.94, $7.35
03/27/2020, $7.62, 93299020, $7.68, $7.87, $7.54
03/26/2020, $8.12, 123278600, $7.63, $8.3, $7.51
03/25/2020, $7.56, 137886500, $7.45, $8, $6.96
03/24/2020, $7.01, 119493800, $6.66, $7.06, $6.47
03/23/2020, $6.11, 105631100, $6.45, $6.63, $6.03
03/20/2020, $6.52, 126128700, $7.01, $7.05, $6.45
03/19/2020, $6.48, 98993740, $6.4, $6.91, $6.15
03/18/2020, $6.6, 138927000, $6.51, $6.8, $5.9
03/17/2020, $7.08, 120226000, $6.91, $7.33, $6.3
03/16/2020, $6.66, 115910700, $6.99, $7.15, $6.65
03/13/2020, $7.85, 110144600, $7.8, $8.04, $7.19
03/12/2020, $7.23, 157416100, $7.23, $7.78, $6.83
03/11/2020, $8.21, 103540400, $8.62, $8.66, $8.16
03/10/2020, $8.85, 98938890, $8.78, $8.85, $8.16
03/09/2020, $8.21, 122400700, $8.33, $8.665, $8.11
03/06/2020, $9.4, 148463500, $9.74, $9.76, $9.18
03/05/2020, $10.08, 108087200, $10.6, $10.73, $9.95
03/04/2020, $10.95, 83063090, $11.06, $11.12, $10.7
03/03/2020, $10.88, 109249200, $11.25, $11.38, $10.67
03/02/2020, $11.21, 124802200, $11.21, $11.34, $10.76
02/28/2020, $10.88, 151373200, $9.95, $11.185, $9.86
02/27/2020, $10.39, 94250490, $10.62, $10.945, $10.31
02/26/2020, $10.95, 93171380, $11.37, $11.54, $10.795
02/25/2020, $11.32, 81087410, $11.97, $12, $11.18
02/24/2020, $11.86, 70978010, $11.69, $12.06, $11.6
02/21/2020, $12.25, 42921250, $12.45, $12.46, $12.22
02/20/2020, $12.53, 39561920, $12.649, $12.68, $12.41
02/19/2020, $12.61, 54878270, $12.7, $12.94, $12.585
02/18/2020, $12.75, 44023160, $12.71, $12.95, $12.67
02/14/2020, $12.83, 36967110, $12.97, $13.065, $12.75
02/13/2020, $12.94, 51012340, $13.08, $13.16, $12.9
02/12/2020, $13.16, 65712880, $12.95, $13.26, $12.88
02/11/2020, $12.85, 40882300, $12.95, $12.98, $12.78
02/10/2020, $12.91, 33495500, $12.84, $12.97, $12.77
02/07/2020, $12.83, 66636630, $13.02, $13.09, $12.81
02/06/2020, $12.95, 63613880, $12.94, $13, $12.83
02/05/2020, $12.86, 50073950, $12.76, $12.86, $12.57
02/04/2020, $12.58, 44385210, $12.49, $12.62, $12.3898
02/03/2020, $12.26, 50399270, $12.46, $12.68, $12.25
01/31/2020, $12.45, 77984000, $12.68, $12.74, $12.34
01/30/2020, $12.73, 95469310, $12.89, $12.99, $12.5
01/29/2020, $12.94, 220815100, $12.57, $13, $12.49
01/28/2020, $11.73, 62928610, $11.52, $11.82, $11.47
01/27/2020, $11.44, 47862570, $11.45, $11.587, $11.38
01/24/2020, $11.71, 59375770, $11.88, $11.89, $11.62
01/23/2020, $11.77, 73162890, $11.73, $11.85, $11.595
01/22/2020, $11.37, 61947830, $11.71, $11.71, $11.35
01/21/2020, $11.66, 43738190, $11.74, $11.8, $11.61
01/17/2020, $11.81, 46580730, $11.85, $11.93, $11.76
01/16/2020, $11.84, 36673590, $11.94, $11.98, $11.82
01/15/2020, $11.87, 46051030, $12.02, $12.02, $11.83
01/14/2020, $12.03, 45073240, $12.16, $12.19, $11.99
01/13/2020, $12.12, 66209640, $11.74, $12.15, $11.68
01/10/2020, $11.67, 58672010, $11.84, $11.91, $11.59
01/09/2020, $11.91, 39388380, $12.07, $12.09, $11.83
01/08/2020, $11.94, 55472800, $11.99, $12.05, $11.87
01/07/2020, $12.05, 71056180, $12.15, $12.235, $11.92
01/06/2020, $12.14, 111971400, $11.84, $12.21, $11.84
01/03/2020, $11.97, 85917190, $11.57, $12, $11.53
01/02/2020, $11.93, 87533890, $11.23, $11.955, $11.23
12/31/2019, $11.16, 56665960, $11, $11.16, $10.96
12/30/2019, $11.08, 48153930, $11.07, $11.16, $11.03
12/27/2019, $11.18, 30009890, $11.17, $11.21, $11.13
12/26/2019, $11.23, 30384120, $11.18, $11.23, $11.13
12/24/2019, $11.19, 20768960, $11.1, $11.2, $11.09
12/23/2019, $11.16, 44036080, $11, $11.17, $11
12/20/2019, $11.03, 73649120, $11.08, $11.14, $10.9
12/19/2019, $11.04, 45314000, $10.98, $11.15, $10.97
12/18/2019, $10.96, 75456460, $11.02, $11.14, $10.915
12/17/2019, $11.1, 41779950, $11.15, $11.23, $11.08
12/16/2019, $11.17, 55548200, $11.28, $11.36, $11.13
12/13/2019, $11.34, 52805640, $11.5, $11.6, $11.33
12/12/2019, $11.44, 99933040, $11.35, $11.57, $11.24
12/11/2019, $10.97, 36845640, $10.97, $11.09, $10.95
12/10/2019, $11.01, 24784460, $10.99, $11.03, $10.92
12/09/2019, $10.99, 28494370, $10.98, $11.13, $10.97
12/06/2019, $11.1, 50605750, $10.9, $11.11, $10.85
12/05/2019, $10.79, 47289960, $10.89, $10.96, $10.76
12/04/2019, $10.9, 43789610, $11.17, $11.18, $10.87
12/03/2019, $10.99, 66011290, $11, $11.11, $10.81
12/02/2019, $11.16, 68766610, $11.31, $11.52, $11.14
11/29/2019, $11.27, 22739250, $11.28, $11.36, $11.22
11/27/2019, $11.29, 45508130, $11.39, $11.47, $11.26
11/26/2019, $11.35, 64225020, $11.62, $11.67, $11.31
11/25/2019, $11.58, 56718020, $11.66, $11.84, $11.57
11/22/2019, $11.55, 38481850, $11.49, $11.72, $11.49
11/21/2019, $11.53, 41688760, $11.33, $11.615, $11.31
11/20/2019, $11.39, 46703550, $11.44, $11.49, $11.26
11/19/2019, $11.5, 46837180, $11.43, $11.545, $11.26
11/18/2019, $11.44, 50990210, $11.41, $11.5, $11.33
11/15/2019, $11.52, 38248490, $11.34, $11.55, $11.33
11/14/2019, $11.29, 30843050, $11.18, $11.35, $11.18
11/13/2019, $11.29, 54316970, $11.29, $11.355, $11.18
11/12/2019, $11.42, 48942940, $11.32, $11.58, $11.29
11/11/2019, $11.35, 45594130, $11.4, $11.5, $11.24
11/08/2019, $11.52, 62543040, $11.23, $11.55, $11.14
11/07/2019, $11.29, 71082290, $11.1, $11.315, $11.09
11/06/2019, $11.02, 78002320, $10.93, $11.1, $10.79
11/05/2019, $10.97, 71381740, $10.92, $10.97, $10.72
11/04/2019, $10.93, 97780040, $10.42, $10.95, $10.42
11/01/2019, $10.38, 82053310, $10.08, $10.385, $10.06
10/31/2019, $9.98, 86633870, $10.05, $10.21, $9.86
10/30/2019, $10.11, 215943400, $9.78, $10.37, $9.71
10/29/2019, $9.07, 45758950, $9.01, $9.14, $8.93
10/28/2019, $9.07, 31754930, $9.02, $9.12, $8.99
10/25/2019, $9, 42159650, $8.92, $9.09, $8.92
10/24/2019, $8.95, 37024740, $9.12, $9.15, $8.88
10/23/2019, $9.14, 47661200, $8.98, $9.15, $8.93
10/22/2019, $9.06, 60171720, $8.77, $9.06, $8.61
10/21/2019, $8.79, 63791850, $8.99, $9.12, $8.76
10/18/2019, $8.96, 39015780, $9.01, $9.1, $8.95
10/17/2019, $9.04, 33309670, $8.92, $9.09, $8.88
10/16/2019, $8.9, 58155130, $8.86, $9.07, $8.835
10/15/2019, $8.89, 39379440, $8.74, $8.92, $8.6105
10/14/2019, $8.72, 34261310, $8.84, $8.85, $8.64
10/11/2019, $8.8, 56335240, $8.59, $8.92, $8.58
10/10/2019, $8.45, 33759230, $8.34, $8.52, $8.31
10/09/2019, $8.35, 33202140, $8.31, $8.37, $8.24
10/08/2019, $8.28, 45795910, $8.48, $8.4997, $8.27
10/07/2019, $8.56, 32500500, $8.55, $8.65, $8.48
10/04/2019, $8.57, 52517920, $8.61, $8.7, $8.54
10/03/2019, $8.71, 58960440, $8.5, $8.71, $8.25
10/02/2019, $8.51, 47649070, $8.56, $8.62, $8.41
10/01/2019, $8.61, 68953590, $8.96, $9.035, $8.51
09/30/2019, $8.94, 35356840, $9.08, $9.1, $8.94
09/27/2019, $9.04, 30521210, $9.04, $9.17, $8.99
09/26/2019, $9.02, 37613800, $9.18, $9.21, $8.96
09/25/2019, $9.16, 43984350, $8.96, $9.195, $8.935
09/24/2019, $8.97, 53879410, $9.31, $9.35, $8.96
09/23/2019, $9.34, 34058760, $9.22, $9.39, $9.2
09/20/2019, $9.37, 58256810, $9.46, $9.54, $9.34
09/19/2019, $9.42, 34127580, $9.35, $9.5, $9.34
09/18/2019, $9.38, 40611380, $9.31, $9.39, $9.18
09/17/2019, $9.36, 38106280, $9.3, $9.39, $9.25
09/16/2019, $9.38, 45748350, $9.3, $9.42, $9.17
09/13/2019, $9.34, 45589450, $9.31, $9.45, $9.14
09/12/2019, $9.26, 68115150, $9.4, $9.515, $9.22
09/11/2019, $9.36, 57094950, $9.15, $9.36, $9.06
09/10/2019, $9.14, 62617210, $8.91, $9.27, $8.905
09/09/2019, $8.96, 49960550, $8.75, $9.05, $8.73
09/06/2019, $8.71, 42846150, $8.82, $8.82, $8.57
09/05/2019, $8.81, 86959550, $8.985, $9.23, $8.8
09/04/2019, $8.8, 93667300, $8.41, $8.87, $8.4
09/03/2019, $8.33, 67658890, $8.1, $8.39, $8.08
08/30/2019, $8.25, 47362310, $8.14, $8.26, $8.11
08/29/2019, $8.11, 58769870, $8.04, $8.2, $8
08/28/2019, $7.94, 57703520, $7.92, $7.99, $7.76
08/27/2019, $7.93, 66128920, $8.09, $8.11, $7.91
08/26/2019, $8.05, 58001250, $8.06, $8.1, $7.92
08/23/2019, $7.97, 128643100, $8.09, $8.1, $7.76
08/22/2019, $8.19, 68173860, $8.18, $8.31, $8.11
08/21/2019, $8.16, 85305080, $8.36, $8.48, $8.14
08/20/2019, $8.38, 102347800, $8.58, $8.6, $8.33
08/19/2019, $8.67, 111637600, $8.88, $8.89, $8.61
08/16/2019, $8.79, 248883600, $8.41, $8.8, $8.37
08/15/2019, $8.01, 401048700, $8.54, $8.625, $7.65
08/14/2019, $9.03, 89194630, $9.24, $9.3, $8.96
08/13/2019, $9.35, 74172560, $9.23, $9.585, $9.21
08/12/2019, $9.05, 65574940, $9.04, $9.09, $8.95
08/09/2019, $9.15, 76720820, $9.47, $9.48, $9.12
08/08/2019, $9.49, 49406610, $9.51, $9.525, $9.32
08/07/2019, $9.46, 76790360, $9.44, $9.47, $9.23
08/06/2019, $9.57, 66397810, $9.71, $9.75, $9.48
08/05/2019, $9.66, 70243190, $9.79, $9.81, $9.61
08/02/2019, $10, 64296390, $10.01, $10.0796, $9.82
08/01/2019, $10.08, 87921690, $10.37, $10.485, $9.98
07/31/2019, $10.45, 172474100, $10.76, $10.79, $10.05
07/30/2019, $10.52, 45314470, $10.39, $10.58, $10.28
07/29/2019, $10.38, 37369370, $10.5, $10.58, $10.38
07/26/2019, $10.51, 27015850, $10.47, $10.55, $10.395
07/25/2019, $10.43, 46121050, $10.63, $10.67, $10.36
07/24/2019, $10.68, 44897510, $10.58, $10.7, $10.54
07/23/2019, $10.65, 74298330, $10.28, $10.68, $10.27
07/22/2019, $10.21, 43333020, $10.05, $10.23, $10.05
07/19/2019, $10.04, 34653920, $10.08, $10.19, $10.03
07/18/2019, $10.06, 45158460, $10.01, $10.19, $9.96
07/17/2019, $9.98, 53682960, $10.37, $10.37, $9.98
07/16/2019, $10.38, 39533150, $10.23, $10.4, $10.21
07/15/2019, $10.27, 42095060, $10.25, $10.34, $10.195
07/12/2019, $10.37, 39195480, $10.18, $10.39, $10.14
07/11/2019, $10.11, 33670050, $10.22, $10.31, $10.1
07/10/2019, $10.2, 39101680, $10.29, $10.43, $10.18
07/09/2019, $10.25, 35455760, $10.12, $10.29, $10.04
07/08/2019, $10.2, 48143130, $10.42, $10.43, $10.14
07/05/2019, $10.5, 30267690, $10.54, $10.55, $10.37
07/03/2019, $10.61, 22175590, $10.66, $10.66, $10.54
07/02/2019, $10.62, 30125740, $10.63, $10.715, $10.5701
07/01/2019, $10.63, 40007730, $10.62, $10.72, $10.53
06/28/2019, $10.5, 44020410, $10.39, $10.5, $10.37
06/27/2019, $10.4, 33283300, $10.24, $10.44, $10.24
06/26/2019, $10.27, 34127980, $10.22, $10.39, $10.2
06/25/2019, $10.22, 35496180, $10.26, $10.28, $10.1
06/24/2019, $10.28, 36598780, $10.46, $10.53, $10.27
06/21/2019, $10.48, 65575980, $10.665, $10.71, $10.45
06/20/2019, $10.63, 65961490, $10.47, $10.7, $10.465
06/19/2019, $10.34, 60616710, $10.47, $10.61, $10.33
06/18/2019, $10.42, 73563560, $10.11, $10.43, $10.09
06/17/2019, $10.05, 46050250, $10.2, $10.24, $10.02
06/14/2019, $10.23, 34355050, $10.28, $10.34, $10.18
06/13/2019, $10.31, 62115740, $10.36, $10.52, $10.25
06/12/2019, $10.28, 54970070, $10.08, $10.39, $10.02
06/11/2019, $10.12, 38957670, $10.1, $10.2, $9.96
06/10/2019, $10.05, 52267140, $10.05, $10.35, $10
06/07/2019, $9.98, 41084570, $9.9, $10.045, $9.815
06/06/2019, $9.92, 38528010, $9.89, $10, $9.77
06/05/2019, $9.89, 41163380, $10.07, $10.09, $9.82
06/04/2019, $10, 61404710, $9.61, $10, $9.585
06/03/2019, $9.53, 47273980, $9.3, $9.54, $9.25
05/31/2019, $9.44, 46337860, $9.34, $9.47, $9.3
