Date, Close/Last, Volume, Open, High, Low
03/30/2020, $75.93, 15929390, $75.35, $76.42, $73.89
03/27/2020, $72.85, 16521580, $73.71, $75.39, $71.91
03/26/2020, $73.86, 18366580, $69.9, $73.91, $69.75
03/25/2020, $69.66, 24138070, $73.87, $74.49, $69.34
03/24/2020, $73.96, 20608140, $75.13, $75.83, $72.11
03/23/2020, $72.61, 19875220, $75.3, $75.3, $68.86
03/20/2020, $73.26, 35110160, $79.5, $81.6, $72.17
03/19/2020, $78.55, 46268220, $80.98, $85.97, $78.29
03/18/2020, $79.42, 34965870, $73.61, $80, $72.97
03/17/2020, $74.52, 28823720, $70, $76.0797, $69
03/16/2020, $68.9, 26764610, $67.24, $72.8, $64.41
03/13/2020, $70.75, 30116090, $71.93, $72, $67.5
03/12/2020, $68.58, 26364600, $70.44, $72.865, $67.88
03/11/2020, $73.7, 32056870, $73.9, $75.38, $72.78
03/10/2020, $72.34, 27659950, $75.51, $75.56, $68.78
03/09/2020, $73.52, 32839430, $77.92, $78.1899, $73.09
03/06/2020, $80.22, 31704660, $75.3189, $80.3959, $75.1
03/05/2020, $76.13, 22727610, $75, $77.5, $74.53
03/04/2020, $76.01, 23741670, $74.9, $76.01, $72.59
03/03/2020, $74.21, 24481980, $74.27, $74.82, $71.51
03/02/2020, $75.4, 31112990, $70.32, $75.405, $70.08
02/28/2020, $69.36, 33804800, $70.17, $71.08, $66.63
02/27/2020, $72.66, 51482510, $78.31, $78.88, $72.26
02/26/2020, $74.7, 35415180, $71.32, $75.47, $70.72
02/25/2020, $70.1, 39199210, $73.73, $73.85, $69.02
02/24/2020, $72.9, 42905030, $73.885, $74.52, $71.59
02/21/2020, $69.7, 22562010, $67.18, $69.78, $66.81
02/20/2020, $67, 8697155, $67.26, $67.36, $66.1
02/19/2020, $67.35, 7754027, $67.2, $67.54, $66.815
02/18/2020, $67.01, 9922962, $67.56, $67.8, $66.71
02/14/2020, $67.56, 9109093, $67.41, $67.66, $67.04
02/13/2020, $66.8, 8030977, $67.13, $67.77, $66.52
02/12/2020, $66.95, 13927130, $67.5, $67.82, $66.32
02/11/2020, $67.76, 12858700, $68.93, $68.99, $67.5
02/10/2020, $68.99, 24347750, $69.32, $69.4, $67.615
02/07/2020, $68.87, 27320130, $69.98, $71.19, $68.39
02/06/2020, $68.21, 28805540, $67.29, $69.9, $66.05
02/05/2020, $65.87, 21184500, $66.22, $66.55, $64.07
02/04/2020, $67.4, 15904090, $68, $68.01, $66.88
02/03/2020, $66.36, 35561980, $67.735, $68.68, $65.49
01/31/2020, $63.2, 11416830, $63.8, $63.93, $62.6
01/30/2020, $64.03, 8771797, $63.9, $64.1, $63.03
01/29/2020, $64.3, 7074791, $64.42, $65.14, $64.22
01/28/2020, $64.36, 10241420, $64.25, $64.875, $64.09
01/27/2020, $63.83, 10421650, $63, $64.28, $62.8
01/24/2020, $63.15, 18685070, $64.07, $64.2, $62.84
01/23/2020, $63.94, 14648720, $63.25, $64.055, $62.74
01/22/2020, $63.43, 7906261, $62.8, $63.51, $62.6
01/21/2020, $62.63, 12261380, $62.91, $62.9188, $62.23
01/17/2020, $62.98, 13457610, $63.5, $63.5, $62.57
01/16/2020, $63.2, 10633880, $64.29, $64.38, $63.12
01/15/2020, $64.1, 7080575, $64.07, $64.93, $63.98
01/14/2020, $64.2, 9932253, $64.41, $64.56, $63.91
01/13/2020, $64.31, 6869196, $65.05, $65.26, $64.08
01/10/2020, $65.03, 5154055, $66, $66.0899, $64.98
01/09/2020, $65.84, 5942291, $65.81, $66.07, $65.3
01/08/2020, $65.8, 6608066, $65.11, $66.24, $64.81
01/07/2020, $65.12, 8085147, $65.26, $65.29, $64.17
01/06/2020, $65.65, 8248705, $64.67, $65.825, $64.66
01/03/2020, $65.07, 4689788, $64.63, $65.37, $64.5646
01/02/2020, $65.23, 4653342, $65.53, $65.74, $65.04
12/31/2019, $64.98, 6985161, $64.66, $65.06, $64.35
12/30/2019, $64.93, 5865520, $65.73, $66.1, $64.81
12/27/2019, $65.95, 4464424, $66.38, $66.49, $65.71
12/26/2019, $66.39, 3528962, $66.71, $66.91, $66.15
12/24/2019, $66.72, 1965785, $66.81, $66.94, $66.29
12/23/2019, $66.75, 7038753, $66.7, $67.4, $66.54
12/20/2019, $66.85, 23449400, $65.59, $67, $65.17
12/19/2019, $65.29, 10202440, $65.91, $65.91, $65.16
12/18/2019, $65.68, 10105560, $66.31, $66.5, $65.26
12/17/2019, $66.2, 7881385, $66.18, $66.41, $65.785
12/16/2019, $66.12, 11647700, $66.25, $66.79, $66.09
12/13/2019, $65.77, 8199076, $66.25, $66.805, $65.46
12/12/2019, $67.63, 5732171, $67.16, $68.16, $67.02
12/11/2019, $67.78, 5590164, $67.355, $67.985, $67.11
12/10/2019, $67.08, 4273576, $66.85, $67.18, $66.13
12/09/2019, $66.93, 6037516, $67.18, $67.88, $66.83
12/06/2019, $67.08, 4140488, $66.43, $67.545, $66.08
12/05/2019, $65.93, 5847764, $66.9, $66.95, $65.4
12/04/2019, $66.75, 5093421, $66.3, $67.22, $66.06
12/03/2019, $66.07, 5383973, $65.79, $66.2, $65.17
12/02/2019, $66.12, 7642376, $67.25, $67.52, $65.935
11/29/2019, $67.24, 2658811, $67.04, $67.36, $66.81
11/27/2019, $67.12, 4980971, $67.28, $67.485, $66.7
11/26/2019, $67.28, 6931471, $66.97, $67.65, $66.68
11/25/2019, $67.22, 7493928, $65.55, $67.28, $65.49
11/22/2019, $65.26, 4589261, $65.79, $65.94, $65.19
11/21/2019, $65.73, 5392021, $65.1, $65.8, $64.51
11/20/2019, $64.88, 7637912, $64.78, $65.3, $64.48
11/19/2019, $65, 6135134, $64.73, $65.05, $64.5
11/18/2019, $64.29, 6165734, $64.88, $65.17, $63.72
11/15/2019, $65.07, 6908607, $64.16, $65.22, $64
11/14/2019, $63.81, 7548288, $63.23, $64, $62.38
11/13/2019, $63.33, 4576594, $64.15, $64.15, $63.1
11/12/2019, $64.32, 4243339, $64.56, $64.86, $64.15
11/11/2019, $64.64, 3696404, $65.02, $65.15, $64.329
11/08/2019, $65.38, 4953194, $63.53, $65.52, $63.52
11/07/2019, $63.96, 7746046, $65.02, $65.17, $63.44
11/06/2019, $65.41, 6010492, $65.63, $66.17, $65.07
11/05/2019, $65.39, 6599117, $65.41, $66.27, $65.19
11/04/2019, $65.21, 7008716, $65.16, $65.4834, $64.03
11/01/2019, $64.66, 4956821, $63.97, $64.99, $63.76
10/31/2019, $63.71, 6438062, $62.91, $63.82, $62.74
10/30/2019, $63.15, 6289188, $63.45, $63.6, $62.67
10/29/2019, $63.45, 5534229, $64, $64, $63.25
10/28/2019, $63.73, 7854910, $63.63, $63.945, $62.78
10/25/2019, $63.32, 12014710, $63, $64.27, $62.52
10/24/2019, $66, 5602506, $66.75, $66.75, $65.625
10/23/2019, $66.58, 6094254, $65.72, $66.65, $65.53
10/22/2019, $65.86, 6084316, $65.71, $66.59, $65.67
10/21/2019, $65.21, 3897830, $64.94, $65.37, $64.8
10/18/2019, $64.91, 8805620, $65.4, $65.45, $64.2
10/17/2019, $65.23, 4689297, $65.3, $65.685, $64.78
10/16/2019, $65.35, 4861533, $65.06, $65.875, $65
10/15/2019, $65.3, 5730401, $64.83, $65.74, $64.61
10/14/2019, $64.51, 4558996, $63.83, $65.02, $63.83
10/11/2019, $63.99, 5650620, $63.95, $64.49, $63.67
10/10/2019, $63.26, 5847015, $62.12, $63.405, $62
10/09/2019, $61.98, 3655779, $62.29, $62.43, $61.76
10/08/2019, $61.69, 4641075, $62.33, $62.49, $61.37
10/07/2019, $62.73, 6049800, $62.55, $63.58, $62.28
10/04/2019, $62.56, 5195798, $62.45, $62.72, $61.92
10/03/2019, $62.23, 6544306, $61.74, $62.34, $60.89
10/02/2019, $61.62, 6656097, $62.94, $62.94, $61.52
10/01/2019, $63.22, 4904759, $63.6, $64.33, $62.96
09/30/2019, $63.38, 8660980, $63, $63.805, $62.86
09/27/2019, $62.9, 7411390, $63.57, $63.92, $62.57
09/26/2019, $63.3, 6508116, $64.42, $64.42, $63.09
09/25/2019, $64.2, 4950634, $64.5, $64.84, $64.02
09/24/2019, $64.56, 5875501, $65.99, $66.025, $64.24
09/23/2019, $65.73, 5566567, $66.25, $66.33, $64.88
09/20/2019, $66.42, 9775357, $65.89, $67.015, $65.89
09/19/2019, $65.96, 4199770, $65.85, $66.44, $65.64
09/18/2019, $65.72, 4349705, $66.01, $66.15, $65.11
09/17/2019, $66.17, 4830276, $65.9, $66.24, $65.28
09/16/2019, $65.88, 4644135, $66.29, $66.43, $65.66
09/13/2019, $66.52, 4814680, $66.75, $67.49, $65.96
09/12/2019, $66.36, 6495533, $67.5, $67.54, $66.26
09/11/2019, $68.08, 8853340, $66.99, $68.16, $66.99
09/10/2019, $67.08, 7419804, $66.08, $67.1751, $65.77
09/09/2019, $66.33, 8700967, $64.65, $66.57, $64.63
09/06/2019, $64.82, 6833325, $64.3, $65, $63.915
09/05/2019, $64.06, 6011052, $63.44, $64.5, $63.33
09/04/2019, $63.27, 5902025, $63.36, $63.67, $62.39
09/03/2019, $62.97, 4909512, $63.15, $63.34, $62.2687
08/30/2019, $63.54, 5301247, $63.99, $64.01, $62.851
08/29/2019, $63.75, 4758566, $64.27, $64.42, $63.285
08/28/2019, $63.64, 5441362, $63.04, $64.19, $62.73
08/27/2019, $63.31, 5226975, $63.51, $63.89, $62.935
08/26/2019, $63, 4053539, $63.3, $63.3324, $62.33
08/23/2019, $62.51, 7488696, $64.07, $64.67, $62.19
08/22/2019, $64.22, 5084984, $64.31, $64.7, $63.5411
08/21/2019, $64.13, 4494153, $64.04, $64.26, $63.67
08/20/2019, $63.44, 5286556, $64.04, $64.31, $63.38
08/19/2019, $64.11, 6163388, $63.69, $64.42, $63.69
08/16/2019, $63.14, 7593275, $63.41, $63.51, $62.84
08/15/2019, $62.87, 4758927, $63.28, $63.81, $62.84
08/14/2019, $63.12, 6382051, $63.69, $63.8, $62.92
08/13/2019, $64.3, 4822137, $63.72, $64.99, $63.72
08/12/2019, $63.98, 5703448, $64.93, $65.47, $63.49
08/09/2019, $65.24, 5233009, $64.7, $65.72, $64.36
08/08/2019, $64.82, 5188856, $63.72, $64.9, $63.61
08/07/2019, $63.88, 5450410, $63.34, $64.1971, $62.54
08/06/2019, $63.98, 7052092, $63.46, $64.15, $62.64
08/05/2019, $63.36, 7230012, $64.3, $64.62, $62.87
08/02/2019, $64.95, 6753078, $65.19, $65.46, $64.25
08/01/2019, $65.47, 8260162, $65.66, $66.78, $65.08
07/31/2019, $65.52, 10366340, $65.65, $66.72, $64.16
07/30/2019, $67.09, 6694549, $67.8, $67.83, $66.66
07/29/2019, $67.87, 5571668, $68.09, $68.4, $67.3
07/26/2019, $66.92, 4790598, $66.35, $67.04, $65.92
07/25/2019, $66.32, 4061245, $66.57, $67.07, $66.2
07/24/2019, $66.64, 4592373, $66.48, $66.8219, $65.83
07/23/2019, $66.4, 7854326, $65.07, $66.44, $64.68
07/22/2019, $64.91, 6302747, $65.3, $65.82, $64.75
07/19/2019, $65.04, 8876391, $67.52, $67.53, $64.91
07/18/2019, $67.21, 4002492, $66.63, $67.6, $66.3
07/17/2019, $66.92, 4858469, $67.13, $67.42, $66.81
07/16/2019, $66.94, 5573167, $68.07, $68.2, $66.505
07/15/2019, $68.07, 7495131, $66.98, $68.25, $66.84
07/12/2019, $66.26, 4740688, $66.17, $66.675, $65.885
07/11/2019, $66.19, 5833123, $67.01, $67.39, $65.54
07/10/2019, $67.46, 4072325, $68, $68.53, $66.9002
