Date, Close/Last, Volume, Open, High, Low
03/30/2020, $54.1, 7425716, $52.53, $54.15, $52.48
03/27/2020, $51.82, 6662227, $48.99, $52.5, $48.9
03/26/2020, $50, 5600259, $47.81, $50.5, $47.38
03/25/2020, $47.65, 6019857, $48.12, $49.2, $46.95
03/24/2020, $48.23, 7348233, $49.03, $50.18, $47.11
03/23/2020, $47.28, 8448277, $52.34, $53.36, $46.88
03/20/2020, $53.37, 11007430, $53, $54.28, $51.22
03/19/2020, $53.68, 7293893, $58.19, $58.73, $53.19
03/18/2020, $57.75, 11170600, $57.65, $59.96, $54.057
03/17/2020, $59.67, 17278960, $53.96, $60, $52.93
03/16/2020, $53.38, 13060230, $49.4, $55.8586, $48.75
03/13/2020, $53.48, 9723974, $52.95, $53.75, $50.02
03/12/2020, $50, 9145659, $49.2, $50.87, $47.53
03/11/2020, $52.87, 8694469, $52.86, $53.35, $51.35
03/10/2020, $54.09, 7928162, $54.67, $55.68, $51.87
03/09/2020, $54.14, 8204432, $51.67, $55.019, $51.63
03/06/2020, $54.77, 6130014, $52.6, $55.02, $52.44
03/05/2020, $54.3, 5406564, $53.44, $54.46, $53.19
03/04/2020, $54.17, 4298238, $52.49, $54.17, $52.3
03/03/2020, $51.65, 7073426, $51.4, $53.06, $51.06
03/02/2020, $51.41, 7603446, $49.21, $51.41, $48.86
02/28/2020, $49, 10113580, $48.87, $49.01, $46.59
02/27/2020, $50.14, 5097651, $51.81, $52.26, $50.13
02/26/2020, $52.14, 3366724, $52.76, $53.595, $52.14
02/25/2020, $52.53, 3947510, $53.68, $53.96, $52.48
02/24/2020, $53.72, 4159736, $53.32, $53.92, $53
02/21/2020, $53.92, 5010628, $54.03, $55.18, $53.88
02/20/2020, $54.13, 4830948, $53.2, $54.16, $53.01
02/19/2020, $53.24, 4543120, $53.56, $53.57, $52.83
02/18/2020, $53.54, 3181526, $52.5, $53.775, $52.5
02/14/2020, $53.31, 2525840, $53.17, $53.77, $53.05
02/13/2020, $52.99, 2405862, $52.9, $53.03, $52.52
02/12/2020, $52.93, 3174587, $52.75, $53.05, $52.54
02/11/2020, $52.76, 2731868, $52.41, $52.87, $52.26
02/10/2020, $52.36, 2147889, $51.9, $52.475, $51.84
02/07/2020, $51.9, 2470785, $51.77, $51.96, $51.48
02/06/2020, $51.71, 4006854, $52.32, $52.5, $51.56
02/05/2020, $52.56, 4967404, $52.62, $52.935, $52.06
02/04/2020, $52.55, 3889804, $53.35, $53.65, $52.55
02/03/2020, $52.99, 4367092, $52.61, $53.04, $52.44
01/31/2020, $52.22, 4695904, $53.61, $53.76, $52.085
01/30/2020, $53.73, 2802558, $53.05, $53.82, $53
01/29/2020, $53.03, 2679989, $53.02, $53.48, $52.825
01/28/2020, $53.01, 2553661, $53.13, $53.535, $52.9648
01/27/2020, $53.22, 2547036, $53.33, $53.73, $53.16
01/24/2020, $53.71, 2554364, $54.37, $54.37, $53.47
01/23/2020, $54.24, 2905490, $53.83, $54.41, $53.8
01/22/2020, $53.98, 2976858, $54.3, $54.57, $53.96
01/21/2020, $54.34, 5254237, $53.76, $54.42, $53.705
01/17/2020, $53.85, 3231510, $53.91, $53.95, $53.6
01/16/2020, $53.72, 4395460, $53.53, $53.94, $53.345
01/15/2020, $53.37, 3213097, $52.96, $53.565, $52.93
01/14/2020, $53, 3351736, $53.1, $53.31, $52.76
01/13/2020, $53.06, 3670292, $52.37, $53.06, $52.3
01/10/2020, $52.25, 2274437, $52.49, $52.52, $52.175
01/09/2020, $52.38, 3841999, $52.26, $52.66, $51.97
01/08/2020, $52.98, 4143455, $52.49, $53.06, $52.28
01/07/2020, $52.23, 4279979, $52.3, $52.49, $51.94
01/06/2020, $52.59, 3884666, $52.08, $52.73, $51.98
01/03/2020, $51.94, 4718876, $52.23, $52.515, $51.82
01/02/2020, $52.13, 4352117, $53.63, $53.8, $52.04
12/31/2019, $53.56, 3945820, $52.75, $53.56, $52.6
12/30/2019, $52.74, 2578634, $52.94, $53.1, $52.6
12/27/2019, $53.19, 2017573, $52.56, $53.19, $52.46
12/26/2019, $52.42, 2843560, $52.98, $53.05, $52.25
12/24/2019, $52.98, 811245, $52.82, $52.98, $52.73
12/23/2019, $52.72, 3088458, $53.49, $53.66, $52.58
12/20/2019, $53.28, 7900097, $53.75, $53.79, $53.06
12/19/2019, $53.2, 5892200, $53.48, $53.6, $52.53
12/18/2019, $53.18, 9596284, $52.68, $53.36, $51.92
12/17/2019, $52.17, 4620793, $52.21, $52.62, $51.93
12/16/2019, $52.38, 5553578, $51.82, $52.59, $51.73
12/13/2019, $51.6, 4405415, $51.59, $51.988, $51.265
12/12/2019, $51.66, 4398749, $51.95, $52.45, $51.59
12/11/2019, $51.58, 5365228, $53.07, $53.23, $51.36
12/10/2019, $53.24, 3566511, $53.22, $53.44, $53.02
12/09/2019, $53.16, 2856103, $53.44, $53.47, $52.98
12/06/2019, $53.31, 2814968, $53.97, $53.99, $53.225
12/05/2019, $53.9, 3123772, $53.1, $53.9, $53.05
12/04/2019, $53.3, 3146709, $53.51, $53.98, $53.23
12/03/2019, $53.65, 3801886, $53.67, $53.79, $53.14
12/02/2019, $53.48, 2339477, $53.1, $53.61, $52.72
11/29/2019, $53.32, 1144265, $53.46, $53.55, $52.92
11/27/2019, $53.48, 1884109, $53.44, $53.72, $53.2
11/26/2019, $53.3, 2534372, $52.82, $53.34, $52.6
11/25/2019, $52.72, 2496279, $52.89, $52.89, $52.48
11/22/2019, $52.69, 2097579, $52.48, $52.91, $52.24
11/21/2019, $52.34, 1797108, $53, $53.06, $52.25
