Date, Close/Last, Volume, Open, High, Low
03/30/2020, $151.23, 2651694, $144.69, $152.42, $142.29
03/27/2020, $144.96, 2576846, $145.02, $150.48, $143.15
03/26/2020, $152.87, 3185178, $149.51, $155.85, $145.07
03/25/2020, $146.7, 3411188, $141.9, $154.17, $139.56
03/24/2020, $141.23, 4652619, $121.91, $142.8, $121.48
03/23/2020, $116.07, 5084647, $116.68, $118.69, $105.54
03/20/2020, $119, 5212023, $132.87, $135.31, $117.38
03/19/2020, $130.52, 5356440, $132.97, $137.09, $122.6652
03/18/2020, $134.56, 4864744, $135.96, $139.55, $116.24
03/17/2020, $147.81, 5254835, $141.97, $148.35, $134.2708
03/16/2020, $139.83, 5461612, $150.01, $155.07, $136.73
03/13/2020, $172.99, 2972005, $165.56, $173.53, $156.01
03/12/2020, $157.11, 3537470, $160, $170, $151.73
03/11/2020, $172.15, 3240093, $176.53, $179, $168.765
03/10/2020, $181.77, 4335506, $170.31, $183.65, $165.5
03/09/2020, $164.75, 3144704, $166.75, $170.69, $161.35
03/06/2020, $179.56, 2589074, $179.43, $181.06, $173.84
03/05/2020, $185.73, 2415665, $189.34, $190.51, $182.85
03/04/2020, $193.92, 1490129, $190.19, $194.22, $188.05
03/03/2020, $187.58, 2378913, $192.4, $195.31, $184.82
03/02/2020, $192.39, 3027198, $185.05, $192.42, $183.15
02/28/2020, $183.97, 4061473, $176.75, $184.04, $175
02/27/2020, $183.75, 3416447, $185.38, $189.24, $182.36
02/26/2020, $189.65, 2089755, $190.91, $196.4295, $188.77
02/25/2020, $191.2, 2814109, $201.13, $202.24, $190.8227
02/24/2020, $200.42, 2083736, $197.61, $201.545, $195.525
02/21/2020, $204.39, 1442876, $207.56, $207.92, $203.04
02/20/2020, $208.47, 1979498, $206.53, $209.62, $203.62
02/19/2020, $206.98, 1270198, $208.39, $209.62, $206.87
02/18/2020, $207.07, 2363144, $206, $208.32, $205.45
02/14/2020, $206.37, 1801334, $203.51, $206.37, $203.27
02/13/2020, $202.73, 1884202, $200.79, $204.42, $199.25
02/12/2020, $201.65, 2535628, $199.61, $203.683, $198.23
02/11/2020, $203.18, 2100542, $205.16, $206.18, $202.38
02/10/2020, $204.64, 1505135, $200.25, $204.66, $200.25
02/07/2020, $200.79, 1161276, $200.64, $201.93, $198.35
02/06/2020, $201.67, 1370015, $201.02, $202.65, $200.79
02/05/2020, $200.65, 1833103, $205.08, $205.37, $198.2
02/04/2020, $202.94, 1718438, $201, $203.82, $200.735
02/03/2020, $198.06, 1427390, $196.79, $199.93, $196.28
01/31/2020, $195.45, 2439386, $198.85, $200.01, $194.77
01/30/2020, $200.04, 1013392, $197.91, $200.28, $197.14
01/29/2020, $199.27, 1087703, $199.07, $201.11, $198.2242
01/28/2020, $198.03, 1237328, $196.01, $198.92, $195.62
01/27/2020, $195.5, 1299379, $194.91, $197.13, $193.81
01/24/2020, $198.77, 1206302, $200.74, $202.58, $198.41
01/23/2020, $199.78, 1269725, $200.29, $200.35, $198.4633
01/22/2020, $200.06, 1443306, $200.02, $201.54, $199.25
01/21/2020, $198.79, 1631241, $197.16, $200.35, $197.16
01/17/2020, $198.62, 1854566, $196.49, $199.34, $195.99
01/16/2020, $195.95, 1490221, $195.85, $196.32, $193.26
01/15/2020, $194.38, 1754436, $192.18, $195.14, $191.8996
01/14/2020, $191.31, 1417972, $193.7, $194.27, $191.2
01/13/2020, $193.3, 1207372, $191.58, $193.52, $191.09
01/10/2020, $190.44, 1336321, $192.09, $192.98, $190.01
01/09/2020, $191.37, 1045174, $190.45, $191.98, $190.32
01/08/2020, $188.86, 1325832, $187.42, $191.02, $187.42
01/07/2020, $187.37, 1521782, $188.24, $189.6, $187.17
01/06/2020, $187.97, 1533522, $184.13, $188, $183.56
01/03/2020, $184.4, 1310888, $183.15, $185.805, $182.27
01/02/2020, $185.67, 1816365, $183.95, $186.665, $183.605
12/31/2019, $182.56, 1235498, $180.82, $182.77, $180.61
12/30/2019, $181.35, 787098, $182.78, $183.06, $180.38
12/27/2019, $182.89, 922474, $183.95, $184.14, $182.51
12/26/2019, $183.49, 528528, $183.13, $183.81, $182.02
12/24/2019, $182.84, 434013, $182.16, $183.2, $181.27
12/23/2019, $182.26, 1190073, $184, $184, $182.095
12/20/2019, $183.45, 3715405, $184.86, $185.42, $181.79
12/19/2019, $183.39, 2789604, $180.96, $183.73, $180.83
12/18/2019, $181.27, 2917851, $180.3, $182.83, $180.3
12/17/2019, $180.47, 2656032, $179.65, $180.98, $178
12/16/2019, $179.3, 2193491, $179.7, $180.634, $178.95
12/13/2019, $178.93, 1720992, $175.37, $179.12, $174.99
12/12/2019, $175.07, 1718746, $174.76, $175.63, $172.99
12/11/2019, $174.99, 1380762, $173.91, $175.12, $172.202
12/10/2019, $173.98, 2535749, $174.29, $175.86, $173.53
12/09/2019, $175.18, 1845427, $176.22, $178.265, $174.88
12/06/2019, $176.66, 984594, $177.54, $178.75, $176.36
12/05/2019, $176.92, 1068756, $176.75, $177.83, $175.87
12/04/2019, $175.97, 1141915, $177.46, $178.45, $175.85
12/03/2019, $177.42, 1393325, $174.26, $177.67, $172.38
12/02/2019, $178.07, 1057582, $180.66, $181.05, $177.15
11/29/2019, $181.1, 707413, $180.46, $182.06, $180
11/27/2019, $181.06, 1043969, $180.9, $182.13, $179.781
11/26/2019, $180.52, 2316389, $179.72, $181.32, $179.44
11/25/2019, $179.65, 1303234, $180.77, $181.53, $179.08
11/22/2019, $178.65, 1226960, $179.14, $179.75, $176.94
11/21/2019, $178.39, 1299878, $180.04, $181.36, $178.02
11/20/2019, $180.51, 1390350, $181.45, $181.93, $178.81
11/19/2019, $181.72, 1782940, $180.51, $181.86, $179.74
11/18/2019, $179.63, 1719298, $179.68, $180.38, $178.87
11/15/2019, $179.23, 2457688, $178.67, $179.535, $177.36
11/14/2019, $177.5, 2454602, $173.37, $177.57, $173.27
11/13/2019, $173.58, 1864790, $171.36, $173.68, $171.07
11/12/2019, $171.86, 1398687, $172.3, $173.6, $170.845
11/11/2019, $171.99, 1014057, $169.06, $172.15, $168.74
11/08/2019, $170.26, 915214, $169.02, $170.33, $168.05
11/07/2019, $168.99, 1292710, $167.45, $170.28, $166.55
11/06/2019, $167.06, 1225467, $165.51, $167.17, $164.565
11/05/2019, $166.53, 1602673, $169.35, $169.78, $164.73
11/04/2019, $169.27, 1709975, $172.93, $172.99, $169.04
11/01/2019, $172.35, 2142190, $170.61, $172.78, $167.5268
10/31/2019, $169.18, 4217136, $169.35, $174.11, $168.53
10/30/2019, $165.54, 2002740, $163.67, $165.95, $162.91
10/29/2019, $163.2, 1609845, $162.03, $163.385, $161.44
10/28/2019, $162.2, 1500761, $162.16, $162.72, $160.03
10/25/2019, $161.34, 1048471, $160.75, $161.895, $159.63
10/24/2019, $161.24, 1291881, $157.3, $161.56, $157.3
10/23/2019, $156.27, 2495452, $155.17, $156.85, $154.53
10/22/2019, $155.13, 2474267, $161.35, $162.34, $154.945
10/21/2019, $161.35, 1199247, $161.13, $161.7, $159.37
10/18/2019, $160.13, 1914401, $163.07, $163.07, $159.03
10/17/2019, $163.24, 1889676, $165.39, $166.83, $162.835
10/16/2019, $164.77, 1764894, $164.36, $165.04, $162.32
10/15/2019, $164.86, 2159784, $164.98, $165.18, $162.695
10/14/2019, $164.14, 1659181, $163.22, $164.44, $162.6
10/11/2019, $162.92, 1261303, $163.1, $165.68, $162.73
10/10/2019, $161.14, 1701349, $160.61, $161.84, $160.01
10/09/2019, $161.09, 1343496, $158.64, $161.69, $158.05
10/08/2019, $157.52, 1711258, $158.74, $159.51, $156.67
10/07/2019, $160.2, 1754501, $159.68, $160.66, $158.33
10/04/2019, $160.84, 1340731, $159.36, $160.98, $158.23
10/03/2019, $158.56, 2051983, $156.38, $158.78, $153.78
10/02/2019, $156.77, 2817480, $157.02, $157.47, $154.55
10/01/2019, $158.12, 2573226, $159.31, $160.43, $157.965
09/30/2019, $159, 2185968, $157.55, $159.39, $156.24
09/27/2019, $156.84, 2437428, $160.68, $160.68, $155.444
09/26/2019, $160.02, 2491404, $160.76, $160.93, $159.21
09/25/2019, $160.59, 2427505, $159.88, $160.73, $157.76
09/24/2019, $160.58, 3542724, $161.22, $163.235, $158.97
09/23/2019, $159.66, 3149504, $160.43, $161.49, $158.9247
09/20/2019, $161.62, 5222200, $163.03, $163.95, $159.76
09/19/2019, $162.68, 3075588, $164.08, $166.345, $162.51
09/18/2019, $164.35, 3701413, $164.25, $165.69, $161.54
09/17/2019, $163.74, 10934350, $167.05, $171.56, $162.19
09/16/2019, $166.08, 1312278, $166.27, $167.9, $164.92
09/13/2019, $167.52, 2341584, $167.8, $168.59, $165.9
09/12/2019, $168.03, 2428042, $167.28, $169.65, $166.92
09/11/2019, $165.65, 2075804, $164.61, $167.17, $163.04
09/10/2019, $165.26, 2614825, $169.69, $169.69, $163.82
09/09/2019, $170.8, 2686065, $175.27, $175.91, $169.46
09/06/2019, $174.37, 1847797, $174.63, $175.95, $173.145
09/05/2019, $174.84, 2711528, $172.19, $175.48, $171.65
09/04/2019, $169.85, 1452621, $168.46, $169.89, $167.71
09/03/2019, $167.25, 3436304, $165.06, $168.7, $164.79
08/30/2019, $165.98, 1586858, $166.61, $167.19, $165.01
08/29/2019, $165.6, 1919344, $165.14, $166.75, $164.8
08/28/2019, $163.43, 1662918, $161.64, $163.7, $159.95
08/27/2019, $162.22, 1800988, $160.39, $162.52, $159.86
08/26/2019, $160.02, 722302, $159.53, $160.08, $158.345
08/23/2019, $158.01, 1118877, $162.02, $163.17, $157.24
08/22/2019, $162.27, 922532, $163.21, $163.43, $160.2136
08/21/2019, $162.59, 999249, $162, $162.93, $160.44
08/20/2019, $161.16, 1459613, $159.14, $161.925, $158.045
08/19/2019, $159.48, 1243589, $160, $161.2, $158.54
08/16/2019, $157.75, 1547947, $158.17, $159.06, $157.08
08/15/2019, $156.33, 1426853, $155.19, $156.97, $154
08/14/2019, $153.95, 1322902, $156.18, $156.56, $153.69
08/13/2019, $158.79, 941123, $155.15, $159.41, $154.83
08/12/2019, $156.14, 1201097, $158.55, $158.91, $155.8
08/09/2019, $160.07, 1374038, $160.05, $161.41, $158.59
08/08/2019, $160.38, 1742996, $158.46, $161.07, $157.02
08/07/2019, $157.87, 1989924, $152.81, $158.76, $151.15
08/06/2019, $154.41, 2378946, $155.34, $155.77, $152.26
08/05/2019, $153.58, 2430292, $158.78, $158.78, $150.94
