Date, Close/Last, Volume, Open, High, Low
03/30/2020, $90.96, 3362016, $88.98, $92.41, $86.02
03/27/2020, $87.33, 3708251, $90.4, $92.25, $86
03/26/2020, $94.44, 4788112, $95.09, $103.74, $90.18
03/25/2020, $92.6, 5038304, $87.26, $95.88, $85.42
03/24/2020, $86.75, 4505492, $86.31, $92.06, $82.95
03/23/2020, $78.76, 5829632, $80.91, $85.56, $75.34
03/20/2020, $78.5, 5947556, $85.2, $88.45, $75.02
03/19/2020, $83.5, 5334267, $67, $88, $66.79
03/18/2020, $68.13, 6345822, $73.02, $74.21, $58.38
03/17/2020, $77.46, 7008054, $86.33, $87.4, $76.3
03/16/2020, $84.45, 5711630, $93, $96.545, $83.87
03/13/2020, $104.28, 6110020, $107.13, $108.519, $101.07
03/12/2020, $101.51, 4602217, $103.99, $109.02, $101.01
03/11/2020, $112.59, 4054794, $117.54, $118.59, $110.64
03/10/2020, $120.87, 3247125, $120.83, $122.26, $113.38
03/09/2020, $116.74, 3248399, $119.42, $121.335, $110.51
03/06/2020, $127.2, 2732901, $123.57, $127.43, $122.2535
03/05/2020, $127.83, 3389784, $131.36, $132.64, $124.98
03/04/2020, $135.23, 3194239, $135.5, $140, $133.685
03/03/2020, $128.77, 3250566, $134.82, $138.7, $126.84
03/02/2020, $135.05, 3978893, $127.07, $135.55, $125.01
02/28/2020, $127.01, 4689056, $123, $127.53, $122.95
02/27/2020, $127.36, 3293080, $126.75, $133.88, $125.16
02/26/2020, $128.37, 2715531, $134.49, $136.27, $128.2
02/25/2020, $133, 2268406, $140.77, $140.93, $132.135
02/24/2020, $140.02, 1515936, $141.77, $143.25, $139.47
02/21/2020, $148, 800586, $147.21, $149.145, $146.8
02/20/2020, $148.11, 801225, $149.69, $149.69, $147
02/19/2020, $150.08, 1131943, $148.23, $150.22, $148.05
02/18/2020, $148.23, 1401708, $149.01, $149.545, $146.81
02/14/2020, $149.57, 1822100, $150.84, $150.99, $147.91
02/13/2020, $150.88, 1544773, $149.96, $151.97, $149.33
02/12/2020, $150.56, 1776947, $150.12, $151.91, $149.495
02/11/2020, $149.56, 1232361, $147, $149.64, $146.76
02/10/2020, $146.68, 1260367, $145.73, $146.75, $145.26
02/07/2020, $145.93, 2395813, $148.5, $149.065, $144.28
02/06/2020, $149.26, 1269853, $151.64, $151.9348, $148.71
02/05/2020, $151.04, 2331821, $144.92, $151.25, $144.86
02/04/2020, $144.37, 1504138, $143.18, $145.16, $142.91
02/03/2020, $141.8, 2073595, $139.73, $142.265, $139.1
01/31/2020, $138.8, 3039687, $142.17, $143.2, $137.99
01/30/2020, $143.45, 2193844, $144.84, $145.25, $140.81
01/29/2020, $145.24, 2031319, $145.84, $147.22, $144.66
01/28/2020, $145.5, 2380002, $147.5, $148, $144.165
01/27/2020, $141.6, 1696377, $141.5, $142.68, $140.79
01/24/2020, $143.45, 1161406, $147.05, $147.34, $142.43
01/23/2020, $146.69, 1083953, $147.14, $147.3, $145.55
01/22/2020, $147.14, 1443896, $148.03, $148.38, $146.59
01/21/2020, $147.24, 1501121, $147.74, $148.29, $146.89
01/17/2020, $148.4, 1685432, $148.28, $148.86, $147.57
01/16/2020, $147.77, 1007503, $147.9, $148.5933, $146.865
01/15/2020, $147.25, 1168278, $148.13, $148.73, $146.96
01/14/2020, $147.91, 1182084, $146.56, $148.38, $146.45
01/13/2020, $147.16, 1869420, $148.45, $148.54, $146.74
01/10/2020, $148.14, 940486, $148.06, $148.575, $147.485
01/09/2020, $147.42, 953045, $149.41, $149.74, $147.37
01/08/2020, $149.28, 883157, $148.86, $149.75, $147.71
01/07/2020, $148.3, 817579, $146.52, $148.79, $146.52
01/06/2020, $148.5, 1060797, $146.77, $148.77, $146.2
01/03/2020, $147.94, 1191737, $145.28, $148.36, $144.801
01/02/2020, $147.49, 780067, $148.16, $148.65, $146.07
12/31/2019, $147.81, 811585, $147.4, $148.095, $147.31
12/30/2019, $147.55, 754829, $149.35, $149.5359, $147.31
12/27/2019, $149.26, 678014, $148.31, $149.36, $147.97
12/26/2019, $148.27, 679889, $147.91, $149.04, $147.21
12/24/2019, $147.98, 454954, $148.56, $148.695, $147
12/23/2019, $148.76, 1309120, $147.04, $149.14, $146.98
12/20/2019, $147.53, 2864716, $148.25, $150.17, $147.08
12/19/2019, $145.39, 1882346, $144.48, $146.5, $144.35
12/18/2019, $144.08, 1318069, $143.62, $144.26, $143.34
