Date, Close/Last, Volume, Open, High, Low
04/13/2020, $198.79, 4415560, $200.45, $200.45, $195.37
04/09/2020, $201.53, 7125726, $199.8, $205.99, $196.5
04/08/2020, $194.82, 6094736, $194.21, $196.77, $191.54
04/07/2020, $192.29, 6438763, $202.92, $204.11, $191.85
04/06/2020, $191.33, 7454001, $188, $192.41, $185.1273
04/03/2020, $178.7, 7299814, $179.56, $181.35, $174.94
04/02/2020, $181.31, 6353948, $174.95, $182.72, $174
04/01/2020, $178.63, 7858183, $175.91, $182.76, $175
03/31/2020, $186.71, 7341134, $194.8, $195.49, $185.45
03/30/2020, $196.1, 6936746, $190.57, $198.2, $187.61
03/27/2020, $190.55, 7121658, $188.49, $196.3827, $186.5
03/26/2020, $195.21, 10174080, $183.49, $198.2, $182.5
03/25/2020, $181.76, 11497380, $184.42, $191.545, $180
03/24/2020, $184.72, 14676620, $173.39, $185.67, $172.01
03/23/2020, $162.39, 12241620, $150.06, $164.93, $146.34
03/20/2020, $152.15, 12602420, $162.78, $170.22, $151.81
03/19/2020, $161.13, 13499060, $153.16, $162.91, $142
03/18/2020, $155.63, 14681870, $159.8, $162.33, $140.63
03/17/2020, $173.64, 16234410, $168.21, $174.78, $155.3
03/16/2020, $164.96, 12536630, $181.97, $186.1, $163.11
03/13/2020, $205.67, 10292300, $200.45, $205.82, $190
03/12/2020, $190.59, 10928670, $195.41, $206.58, $184.84
03/11/2020, $212.89, 7261975, $217.3, $219.15, $210.5
03/10/2020, $225.7, 7206600, $217.21, $225.83, $211
03/09/2020, $210.46, 10120510, $213.87, $216.18, $207.25
03/06/2020, $228.51, 7400162, $227.57, $230.29, $222.25
03/05/2020, $234.81, 6473854, $236.6, $239.6099, $233.15
03/04/2020, $241.08, 6769978, $233.01, $241.32, $231.8
03/03/2020, $227.94, 8432488, $230.03, $235.82, $225.5705
03/02/2020, $229.94, 7150821, $219.98, $230, $218.49
02/28/2020, $217.84, 11814660, $218.63, $221.0599, $212.33
02/27/2020, $224.73, 7612793, $231.07, $234.82, $224.57
02/26/2020, $235.28, 6965709, $239.1, $241.0407, $234.32
02/25/2020, $237.38, 8061529, $246.1, $246.97, $236.48
02/24/2020, $239.7, 5350146, $238.48, $243.11, $237.7
