Date, Close/Last, Volume, Open, High, Low
03/30/2020, $131.75, 5035721, $130.75, $133.76, $130.1282
03/27/2020, $131.27, 3924962, $131.42, $135.21, $128.14
03/26/2020, $137.4, 5594931, $131.83, $139.39, $131.16
03/25/2020, $129.65, 7159221, $120.29, $135.34, $119.8
03/24/2020, $119.51, 5799126, $110, $119.53, $109.25
03/23/2020, $103.86, 8200419, $107.49, $111.08, $101.08
03/20/2020, $112.5, 6801189, $120.89, $121.16, $110.78
03/19/2020, $118.96, 6814084, $117.75, $122.42, $112.02
03/18/2020, $119.61, 7633945, $121.92, $124.13, $101.1
03/17/2020, $131.8, 8524753, $136.23, $141.97, $130.19
03/16/2020, $135.27, 5891059, $128, $143.2344, $124.01
03/13/2020, $149.41, 6324766, $142.15, $149.68, $138.02
03/12/2020, $134.85, 7170455, $143.39, $145.4819, $134.44
03/11/2020, $153.39, 4827816, $156.83, $157.48, $151.56
03/10/2020, $161.69, 5477672, $155.85, $161.94, $153.355
03/09/2020, $152.86, 5849172, $152.5, $157.2599, $149.74
03/06/2020, $164.03, 5021640, $158.81, $165.12, $157.58
03/05/2020, $164.92, 5394709, $166.5, $167.91, $163.22
03/04/2020, $171.19, 4532596, $164.9, $171.93, $164.2614
03/03/2020, $161.89, 6108463, $164.28, $168.1771, $160.56
03/02/2020, $164.24, 6744876, $163.09, $165.48, $157.585
02/28/2020, $162.17, 9558366, $153.75, $162.17, $150.62
02/27/2020, $159.55, 3951276, $163.01, $166.83, $159.52
02/26/2020, $167.18, 3412306, $168.59, $172.0799, $166.77
02/25/2020, $167.8, 4092333, $175.64, $176.55, $166.83
02/24/2020, $175.27, 3204282, $174.44, $177.37, $173.46
02/21/2020, $179.88, 1940507, $179.61, $180.99, $178.754
02/20/2020, $180.7, 2337143, $180.93, $182.21, $179.01
02/19/2020, $180.86, 2464654, $179.83, $181.675, $179.5
02/18/2020, $179.42, 1818587, $180.1, $180.4894, $178.95
02/14/2020, $180.81, 2489020, $180.51, $181.86, $179.975
02/13/2020, $180.12, 1985746, $180.33, $180.9538, $178.69
02/12/2020, $181.18, 2950847, $179.48, $181.64, $179.05
02/11/2020, $179.15, 2948548, $178.25, $179.94, $177.2
02/10/2020, $176.95, 2399768, $174.92, $177.12, $174.11
02/07/2020, $175.28, 3254641, $175.85, $176.715, $174.7
02/06/2020, $176.35, 2427522, $178, $178, $176.16
02/05/2020, $176.9, 2818117, $176.91, $177.63, $175.4
02/04/2020, $175.21, 2992496, $174.08, $176.06, $174
02/03/2020, $171.32, 3542932, $174.46, $175.62, $170.67
01/31/2020, $173.22, 5500076, $177.91, $177.91, $171.3354
01/30/2020, $178.34, 3076114, $173.8, $178.77, $173.8
01/29/2020, $175.67, 2199419, $177, $177.74, $175.63
01/28/2020, $175.46, 2178600, $174.12, $176.75, $173.24
01/27/2020, $173.54, 2491530, $174.27, $175.34, $173.47
01/24/2020, $177.13, 2736973, $179.92, $180.2619, $176.49
01/23/2020, $179.58, 2434051, $179.81, $180.54, $179.03
01/22/2020, $180.05, 1881658, $181.56, $181.8794, $179.81
01/21/2020, $180.93, 2188596, $183.04, $183.2999, $180.47
01/17/2020, $183.23, 2608185, $182.86, $184.06, $182.53
01/16/2020, $182.26, 2215388, $181.5, $182.49, $180.79
01/15/2020, $180.73, 2600804, $181.29, $182.44, $179.85
01/14/2020, $180.45, 2191156, $180.49, $181.215, $179.51
01/13/2020, $181.27, 2261879, $179.25, $181.34, $178.69
01/10/2020, $178.68, 1671686, $179.9, $179.9, $178.14
01/09/2020, $179.07, 1789478, $178.7, $179.425, $178.06
01/08/2020, $177.76, 2545596, $177.67, $179.1, $176.73
01/07/2020, $177.61, 3003313, $177.37, $178.07, $175.59
01/06/2020, $177.51, 3278035, $177.84, $178.38, $176.93
01/03/2020, $178.86, 2805282, $178.34, $179.83, $177.41
01/02/2020, $180.79, 2857534, $177.5, $180.8, $177.14
12/31/2019, $177, 1728875, $176.46, $177.08, $175.46
