Date, Close/Last, Volume, Open, High, Low
03/30/2020, $17.84, 11892740, $16.93, $18.09, $16.55
03/27/2020, $16.86, 11273210, $17, $17.31, $16.12
03/26/2020, $17.94, 20616560, $15.53, $18.21, $15.31
03/25/2020, $15.38, 14110600, $15.48, $16.8, $14.87
03/24/2020, $15.47, 14245750, $14.29, $15.64, $14.01
03/23/2020, $13.7, 15106530, $13.78, $13.96, $12.97
03/20/2020, $13.95, 17318850, $14.42, $14.795, $13.59
03/19/2020, $14.4, 13536520, $13.01, $14.705, $12.54
03/18/2020, $13.11, 11237950, $13.55, $14, $12.73
03/17/2020, $14.4, 20724670, $14.64, $15.14, $13.61
03/16/2020, $14.46, 16105150, $15.72, $15.72, $14.32
03/13/2020, $17.18, 16605080, $18.57, $18.62, $16.43
03/12/2020, $17.51, 12917150, $17.4, $18.57, $16.35
03/11/2020, $19.36, 14195080, $19.19, $19.47, $18.57
03/10/2020, $19.79, 9319699, $19.5, $20.33, $18.81
03/09/2020, $18.96, 14985330, $19.96, $20.2899, $18.92
03/06/2020, $21.41, 12858900, $20.89, $21.49, $20.89
03/05/2020, $21.54, 16562270, $21.08, $21.7, $20.97
03/04/2020, $21.6, 18364180, $21.01, $21.64, $20.75
03/03/2020, $20.75, 19957470, $21.8, $21.84, $20.41
03/02/2020, $21.86, 15428110, $20.9, $21.88, $20.77
02/28/2020, $20.79, 26358290, $20.98, $21.37, $20.17
02/27/2020, $21.88, 23949820, $22.26, $22.36, $21.73
02/26/2020, $22.71, 16673640, $23.5, $23.5, $22.71
02/25/2020, $23.35, 44019240, $22.98, $23.93, $22.7
02/24/2020, $22.1, 21989410, $22.28, $22.44, $21.9601
02/21/2020, $22.7, 16987220, $22.56, $22.775, $22.51
02/20/2020, $22.64, 20458210, $22.39, $22.82, $22.38
02/19/2020, $22.43, 13283600, $22.35, $22.63, $22.24
02/18/2020, $22.24, 8466081, $22.07, $22.29, $22
02/14/2020, $22.37, 8979258, $22.25, $22.41, $22.24
02/13/2020, $22.22, 9202786, $22.35, $22.39, $22.14
02/12/2020, $22.48, 12993470, $22.3, $22.525, $22.3
02/11/2020, $22.23, 9180990, $22.02, $22.3, $21.96
02/10/2020, $21.9, 13112170, $22.7, $22.87, $21.845
02/07/2020, $21.73, 7343149, $21.68, $21.765, $21.545
02/06/2020, $21.84, 5703470, $21.86, $21.93, $21.74
02/05/2020, $21.78, 8857171, $21.76, $21.79, $21.55
02/04/2020, $21.55, 10185110, $21.66, $21.74, $21.42
02/03/2020, $21.3, 8205229, $21.4, $21.695, $21.24
01/31/2020, $21.32, 11420520, $21.45, $21.53, $21.16
01/30/2020, $21.53, 8308289, $21.28, $21.61, $21.2
01/29/2020, $21.43, 8548053, $21.75, $21.795, $21.4
01/28/2020, $21.64, 8610929, $21.75, $21.91, $21.575
01/27/2020, $21.58, 10554430, $21.63, $21.79, $21.4901
01/24/2020, $21.98, 10299930, $22.18, $22.2, $21.8
01/23/2020, $22.1, 10814510, $21.94, $22.17, $21.87
01/22/2020, $21.93, 9776062, $21.96, $21.96, $21.53
01/21/2020, $21.96, 10312170, $21.92, $21.97, $21.77
01/17/2020, $21.97, 13476350, $21.63, $21.98, $21.53
01/16/2020, $21.67, 7861719, $21.41, $21.67, $21.29
01/15/2020, $21.42, 13958170, $21.35, $21.61, $21.31
01/14/2020, $21.4, 11997660, $21.51, $21.54, $21.26
01/13/2020, $21.46, 7157678, $21.46, $21.545, $21.34
01/10/2020, $21.38, 10012190, $21.26, $21.54, $21.26
01/09/2020, $21.24, 9378878, $21, $21.255, $20.97
01/08/2020, $20.93, 7781818, $20.53, $20.99, $20.53
01/07/2020, $20.66, 6560159, $20.56, $20.775, $20.51
01/06/2020, $20.61, 9313586, $20.66, $20.79, $20.51
01/03/2020, $20.53, 5423425, $20.48, $20.68, $20.45
01/02/2020, $20.79, 7194662, $20.68, $20.83, $20.65
12/31/2019, $20.55, 6282100, $20.41, $20.57, $20.33
12/30/2019, $20.49, 4458041, $20.5, $20.64, $20.39
12/27/2019, $20.53, 4780538, $20.69, $20.73, $20.51
12/26/2019, $20.69, 3729717, $20.62, $20.795, $20.61
12/24/2019, $20.59, 3064850, $20.56, $20.74, $20.56
12/23/2019, $20.56, 7613752, $20.55, $20.67, $20.4
12/20/2019, $20.56, 16082780, $20.33, $20.655, $20.24
12/19/2019, $20.3, 8267546, $20.38, $20.4, $20.22
12/18/2019, $20.33, 11285450, $20.33, $20.48, $20.3
12/17/2019, $20.37, 7613825, $20.54, $20.54, $20.33
12/16/2019, $20.52, 8720853, $20.4, $20.69, $20.38
12/13/2019, $20.35, 8693891, $20.37, $20.53, $20.26
12/12/2019, $20.43, 14799340, $19.94, $20.5, $19.94
12/11/2019, $20.07, 15139510, $20.2, $20.23, $19.94
12/10/2019, $20.2, 11302750, $19.97, $20.2705, $19.97
12/09/2019, $20.47, 7542121, $20.49, $20.75, $20.44
12/06/2019, $20.5, 10736900, $20.43, $20.65, $20.41
12/05/2019, $20.32, 12965960, $20.14, $20.33, $19.96
12/04/2019, $20.04, 14994410, $19.72, $20.15, $19.7
12/03/2019, $19.63, 16652010, $19.55, $19.68, $19.42
12/02/2019, $19.83, 13833540, $19.98, $20.05, $19.79
11/29/2019, $20.08, 10551760, $19.75, $20.18, $19.74
11/27/2019, $19.79, 17501710, $20.4, $20.44, $19.7234
11/26/2019, $20.06, 17376370, $20.1, $20.1, $19.71
11/25/2019, $20.15, 12899940, $19.95, $20.225, $19.92
11/22/2019, $19.94, 10331370, $19.79, $20.07, $19.71
11/21/2019, $19.65, 12026410, $19.81, $19.9, $19.53
11/20/2019, $19.7, 13926660, $19.82, $19.9, $19.54
11/19/2019, $20.11, 14578620, $20.1, $20.18, $19.93
11/18/2019, $20.01, 12326310, $19.9, $20.23, $19.81
11/15/2019, $20.18, 10628080, $20.23, $20.25, $20.065
11/14/2019, $20.13, 15232930, $19.88, $20.144, $19.73
11/13/2019, $19.53, 10302190, $19.38, $19.63, $19.25
11/12/2019, $19.53, 15757590, $19.61, $19.65, $19.31
11/11/2019, $19.64, 12704720, $19.53, $19.91, $19.48
11/08/2019, $19.52, 21512670, $19.3, $19.545, $18.96
11/07/2019, $19.39, 28254210, $19.82, $20.19, $19.36
11/06/2019, $19.57, 63188330, $21.64, $21.67, $19.49
11/05/2019, $18.4, 12554290, $18.24, $18.48, $18.2
11/04/2019, $18, 12249200, $17.85, $18.145, $17.82
11/01/2019, $17.78, 8824911, $17.44, $17.78, $17.285
10/31/2019, $17.37, 11414850, $17.53, $17.62, $17.16
10/30/2019, $17.62, 8662611, $17.57, $17.63, $17.31
10/29/2019, $17.6, 9462651, $17.63, $17.76, $17.53
10/28/2019, $17.63, 13899500, $17.46, $17.67, $17.46
10/25/2019, $17.33, 17277320, $17.22, $17.455, $17.2
10/24/2019, $17.12, 6508288, $17.18, $17.32, $16.99
10/23/2019, $17.12, 7244160, $17.15, $17.16, $16.98
10/22/2019, $17.12, 10218270, $17.01, $17.185, $16.905
10/21/2019, $17, 8822768, $16.99, $17.27, $16.985
10/18/2019, $16.85, 12184420, $16.86, $16.98, $16.755
10/17/2019, $16.96, 9603501, $17.05, $17.05, $16.845
10/16/2019, $17.04, 18525110, $16.76, $17.16, $16.73
10/15/2019, $16.81, 13282440, $16.54, $16.9, $16.41
10/14/2019, $16.54, 15226200, $16.33, $16.58, $16.29
10/11/2019, $16.24, 21220570, $16.29, $16.595, $16.21
10/10/2019, $16.03, 19903110, $16.05, $16.18, $15.93
10/09/2019, $16.4, 13552260, $16.47, $16.505, $16.32
10/08/2019, $16.3, 16910550, $16.61, $16.66, $16.28
10/07/2019, $16.8, 15453010, $16.53, $17.02, $16.51
10/04/2019, $16.64, 41262780, $17, $17.04, $16.46
10/03/2019, $18.4, 16209060, $18.51, $18.55, $18.14
10/02/2019, $18.59, 20427060, $18.44, $18.705, $18.23
10/01/2019, $18.59, 10473570, $19.05, $19.18, $18.58
09/30/2019, $18.92, 24575220, $18.6, $19.025, $18.6
09/27/2019, $18.53, 19906800, $18.54, $18.75, $18.43
09/26/2019, $18.42, 11349480, $18.4, $18.49, $18.245
09/25/2019, $18.41, 17342220, $18.22, $18.52, $18.18
09/24/2019, $18.15, 10516950, $18.58, $18.65, $18.12
09/23/2019, $18.52, 7548123, $18.39, $18.625, $18.37
09/20/2019, $18.47, 14516550, $18.81, $18.86, $18.46
09/19/2019, $18.75, 10150720, $18.75, $19.04, $18.725
09/18/2019, $18.71, 6295027, $18.89, $18.99, $18.49
09/17/2019, $18.87, 8668897, $18.86, $18.96, $18.58
09/16/2019, $18.87, 7849496, $18.56, $18.905, $18.46
09/13/2019, $19.08, 14057440, $18.85, $19.2, $18.85
09/12/2019, $18.75, 25108940, $18.99, $19.045, $18.465
09/11/2019, $19.06, 8737715, $18.98, $19.1164, $18.84
09/10/2019, $18.99, 9472498, $18.79, $19.015, $18.77
09/09/2019, $19.01, 12135200, $18.79, $19.15, $18.75
09/06/2019, $19.1, 6576238, $19, $19.16, $18.975
09/05/2019, $18.91, 9151767, $18.59, $19.085, $18.54
09/04/2019, $18.36, 6870760, $18.3, $18.505, $18.21
09/03/2019, $18.15, 7878612, $18.07, $18.3, $17.97
08/30/2019, $18.29, 8070120, $18.31, $18.51, $18.21
08/29/2019, $18.09, 7605348, $18.07, $18.27, $18.05
08/28/2019, $17.79, 10676350, $17.77, $17.92, $17.62
08/27/2019, $17.73, 13791990, $17.94, $18.095, $17.6
08/26/2019, $17.84, 15138650, $17.98, $18.07, $17.73
08/23/2019, $17.81, 26399960, $17.32, $18.16, $17.1
08/22/2019, $18.93, 11742370, $19.01, $19.105, $18.825
08/21/2019, $18.96, 7505581, $19.15, $19.2, $18.935
08/20/2019, $18.91, 8141316, $18.88, $19.095, $18.79
08/19/2019, $19.21, 7609073, $19.46, $19.63, $19.21
08/16/2019, $19.08, 10972690, $18.85, $19.19, $18.83
08/15/2019, $18.63, 10145950, $19.17, $19.29, $18.44
08/14/2019, $19.28, 18915500, $19.21, $19.4, $19.07
08/13/2019, $19.54, 11998980, $18.88, $19.79, $18.82
08/12/2019, $18.895, 5208671, $19.15, $19.18, $18.8
08/09/2019, $19.28, 5251151, $19.45, $19.48, $19.125
08/08/2019, $19.53, 6053956, $19.25, $19.59, $19.21
08/07/2019, $19.09, 8637045, $18.97, $19.18, $18.81
08/06/2019, $19.25, 8275913, $19.32, $19.4789, $19.08
08/05/2019, $19.16, 9648361, $19.96, $20, $18.99
08/02/2019, $20.14, 10942630, $20.56, $20.69, $19.93
08/01/2019, $20.99, 12234100, $21.03, $21.55, $20.79
07/31/2019, $21.04, 12752180, $21.48, $21.58, $20.89
07/30/2019, $21.54, 4525797, $21.46, $21.575, $21.33
07/29/2019, $21.5, 5866998, $21.47, $21.6, $21.375
07/26/2019, $21.52, 5061927, $21.38, $21.575, $21.225
07/25/2019, $21.33, 5332073, $21.49, $21.49, $21.1601
07/24/2019, $21.57, 6886188, $21.59, $21.74, $21.45
07/23/2019, $21.63, 8395700, $21.56, $21.71, $21.43
07/22/2019, $21.44, 9753608, $21.5, $21.54, $21.4
07/19/2019, $21.39, 7724655, $21.45, $21.58, $21.38
07/18/2019, $21.38, 5734119, $21.1, $21.44, $21.08
07/17/2019, $21.18, 5692829, $21.27, $21.395, $21.18
07/16/2019, $21.31, 6269016, $21.41, $21.615, $21.28
07/15/2019, $21.35, 8418966, $21.25, $21.425, $21.25
07/12/2019, $21.23, 6846015, $21, $21.27, $20.97
07/11/2019, $20.85, 10293660, $20.63, $20.86, $20.47
07/10/2019, $20.59, 5646605, $20.83, $20.88, $20.58
07/09/2019, $20.63, 8638055, $20.59, $20.76, $20.51
07/08/2019, $20.74, 9759124, $21, $21.13, $20.7
07/05/2019, $21.16, 6394757, $21.01, $21.2, $20.92
07/03/2019, $21.16, 5034362, $21.05, $21.26, $20.96
07/02/2019, $21.06, 7057973, $21.1, $21.135, $20.91
07/01/2019, $20.99, 7060226, $21.12, $21.38, $20.88
06/28/2019, $20.79, 10777280, $20.83, $20.96, $20.73
06/27/2019, $20.74, 7896567, $20.84, $21.09, $20.72
06/26/2019, $20.79, 8431044, $20.74, $20.84, $20.69
06/25/2019, $20.6, 9236864, $20.73, $20.91, $20.58
06/24/2019, $20.66, 9726321, $20.7, $20.8698, $20.57
06/21/2019, $20.7, 15220650, $20.82, $20.82, $20.52
06/20/2019, $20.86, 9745649, $20.88, $20.9, $20.68
06/19/2019, $20.63, 8971491, $20.57, $20.77, $20.46
06/18/2019, $20.52, 9407005, $20.01, $20.56, $20
06/17/2019, $19.9, 7188834, $19.87, $20.025, $19.79
06/14/2019, $19.91, 6987493, $19.97, $19.99, $19.735
06/13/2019, $19.99, 6705651, $19.96, $20.09, $19.92
06/12/2019, $19.92, 10798520, $19.86, $20.01, $19.7
06/11/2019, $19.86, 7689475, $19.9, $19.99, $19.72
06/10/2019, $19.88, 7656512, $19.83, $20.04, $19.82
06/07/2019, $19.71, 8454469, $19.68, $19.98, $19.659
06/06/2019, $19.66, 7820048, $19.65, $19.77, $19.47
06/05/2019, $19.56, 8291306, $19.5, $19.65, $19.19
06/04/2019, $19.39, 10299620, $19, $19.42, $18.83
06/03/2019, $18.66, 9809118, $18.75, $19.04, $18.605
05/31/2019, $18.68, 13082670, $18.85, $18.86, $18.35
05/30/2019, $19.14, 9387691, $19.16, $19.31, $18.98
05/29/2019, $19, 19384800, $19.53, $19.59, $18.82
05/28/2019, $19.66, 17343410, $19.98, $20.13, $19.66
05/24/2019, $20.03, 13550990, $19.52, $20.2265, $19.4
05/23/2019, $19.19, 14652020, $18.92, $19.29, $18.74
05/22/2019, $19.2, 16046100, $19.26, $19.415, $18.99
05/21/2019, $19.44, 11554640, $19.08, $19.58, $19.08
05/20/2019, $18.96, 14502110, $18.75, $19.21, $18.67
05/17/2019, $19.02, 11414350, $18.71, $19.135, $18.7
05/16/2019, $18.94, 7430268, $18.79, $19.07, $18.74
05/15/2019, $18.73, 12947080, $18.13, $18.84, $18.06
05/14/2019, $18.3, 8363267, $18.33, $18.625, $18.17
05/13/2019, $18.27, 11637420, $18.55, $18.68, $18.12
05/10/2019, $19.12, 10180110, $19.19, $19.31, $18.775
05/09/2019, $19.29, 8803292, $19.34, $19.34, $18.9
05/08/2019, $19.53, 6271286, $19.52, $19.785, $19.5
05/07/2019, $19.61, 9272073, $19.86, $19.955, $19.47
05/06/2019, $20.09, 11525350, $19.83, $20.11, $19.68
05/03/2019, $20.29, 6821281, $20.19, $20.35, $20.09
05/02/2019, $20.04, 8627463, $19.99, $20.13, $19.87
05/01/2019, $19.93, 9269888, $19.95, $20.18, $19.78
04/30/2019, $19.95, 8299204, $19.6, $19.96, $19.584
