Date, Close/Last, Volume, Open, High, Low
04/13/2020, $348.26, 1380324, $343.69, $349.03, $337.54
04/09/2020, $341.9, 2190138, $336.76, $345.24, $332.48
04/08/2020, $337.26, 1619793, $324.82, $346, $319.33
04/07/2020, $320.05, 1747286, $340.09, $345, $318.06
04/06/2020, $327.47, 1559211, $305.22, $330.84, $301.2892
04/03/2020, $291.63, 1198739, $293.68, $299, $285.49
04/02/2020, $300.11, 1068727, $293, $306.9416, $287.9
04/01/2020, $298.75, 1607667, $300, $302.47, $288.01
03/31/2020, $314.02, 2504438, $312.06, $317.85, $298.58
03/30/2020, $311.23, 1635968, $299.32, $318.97, $298.07
03/27/2020, $297.07, 1918723, $290.14, $304, $289
03/26/2020, $304.48, 2204292, $272.34, $306.96, $270.04
03/25/2020, $269.01, 3035419, $229.18, $281.28, $225.63
03/24/2020, $234.06, 3403243, $227.55, $243.925, $218.1
03/23/2020, $214.43, 3564773, $230.85, $239.78, $208.25
03/20/2020, $230.61, 3308915, $261.01, $273.81, $230.28
03/19/2020, $256.19, 1912319, $246.58, $261.33, $235.02
03/18/2020, $246.58, 3177922, $257.81, $259.31, $230
03/17/2020, $272.58, 2568232, $276.01, $277.85, $262.04
03/16/2020, $270.21, 2795303, $261.05, $292.3, $251.13
03/13/2020, $313.91, 2184610, $307, $314.59, $280.06
03/12/2020, $293.05, 1726079, $305.53, $317.08, $291.23
03/11/2020, $328.22, 2243700, $342.04, $350.56, $325.72
03/10/2020, $349.3, 1816892, $346.33, $357.31, $342.1306
03/09/2020, $337.2, 2166043, $336.69, $348.81, $323.3
03/06/2020, $367.01, 2131886, $358.5, $368.28, $351.415
03/05/2020, $370.6, 2270016, $364.5, $379.37, $361.85
03/04/2020, $372.34, 3319399, $358.61, $374.69, $357.51
03/03/2020, $325.37, 1914925, $344.81, $353.65, $322.61
03/02/2020, $345.36, 1856195, $321.5, $346.97, $313.66
02/28/2020, $319.68, 2130317, $306.85, $319.78, $304.14
02/27/2020, $314.33, 1484780, $322.26, $325.98, $312.45
02/26/2020, $328.67, 1250510, $333.09, $336.19, $323.62
02/25/2020, $332.02, 1253618, $349.64, $349.64, $329.69
02/24/2020, $346.16, 1213101, $353, $355.94, $345.635
02/21/2020, $369.67, 526270, $368.44, $371.455, $363.32
02/20/2020, $370.99, 822264, $373.98, $375.02, $366.32
02/19/2020, $378.52, 539264, $372.5, $379.22, $371.01
02/18/2020, $372.12, 1029785, $376.96, $384.995, $370
02/14/2020, $375.85, 837733, $379.68, $380, $370.8
02/13/2020, $380.2, 1344332, $370.09, $381.04, $370.09
02/12/2020, $373.86, 1581145, $361.49, $375.19, $361.49
02/11/2020, $357.17, 648372, $353.88, $357.51, $351.8
02/10/2020, $353, 748299, $351.66, $356.19, $351.09
02/07/2020, $353.26, 938597, $359.15, $361.18, $352.6
02/06/2020, $359.15, 1193808, $366.75, $366.75, $347.305
02/05/2020, $364.8, 1572921, $349.43, $367.93, $349.43
02/04/2020, $342.75, 1410142, $337.12, $346.175, $335.73
02/03/2020, $333.09, 1354734, $339.15, $341.28, $332.26
01/31/2020, $336.24, 1519567, $340.45, $341.53, $332.91
01/30/2020, $343.24, 1225098, $348.35, $350.51, $340.02
01/29/2020, $351.57, 1581279, $352.08, $355.11, $348.31
01/28/2020, $352.85, 999587, $348.1, $357.2, $346.01
01/27/2020, $346.91, 1294997, $352.42, $352.86, $344.125
01/24/2020, $356.9, 973928, $364.45, $364.45, $354.19
01/23/2020, $363.58, 709023, $365.64, $367.6779, $361.82
01/22/2020, $365.72, 560981, $367.1, $368.1, $360.925
01/21/2020, $364.87, 849392, $363.26, $369.93, $361.94
01/17/2020, $366.55, 882832, $364.5, $368.065, $362
01/16/2020, $367.13, 529683, $366.11, $367.83, $363.76
01/15/2020, $364.07, 1126834, $358.14, $369.24, $355.89
01/14/2020, $357.25, 1377131, $356.26, $361.43, $355.2002
01/13/2020, $356.88, 1732243, $363.21, $364.75, $354.77
01/10/2020, $364.12, 1035828, $366.08, $369.08, $362.63
01/09/2020, $364.51, 1760901, $373, $373.76, $363.2
01/08/2020, $375, 1201693, $368.18, $376.395, $367.39
01/07/2020, $366.87, 669436, $369, $369, $363.09
01/06/2020, $370.55, 956765, $364.25, $370.64, $363.5
01/03/2020, $364.86, 891418, $366.8, $372, $364.38
01/02/2020, $363.24, 637003, $367.16, $367.9, $360.53
12/31/2019, $366.52, 557310, $367.8, $369.15, $363.02
12/30/2019, $367.77, 414784, $370.38, $371.05, $366.8815
12/27/2019, $371, 363465, $371.8, $372.92, $369.88
12/26/2019, $369.61, 366425, $368.51, $370.21, $364.81
12/24/2019, $368.34, 172499, $368.23, $369.58, $366.525
12/23/2019, $367.76, 533019, $369.16, $370.85, $367.47
12/20/2019, $368.79, 1868226, $367.77, $369.477, $364.57
12/19/2019, $365.6, 1048499, $367.46, $369.97, $363.94
12/18/2019, $367.55, 982868, $363.92, $372.31, $362.7
12/17/2019, $363.92, 1275311, $365.36, $367.4, $359.74
12/16/2019, $365.88, 2135142, $356.52, $370.59, $352.63
12/13/2019, $353.13, 862540, $347.4, $353.82, $347
12/12/2019, $347.03, 829903, $345.19, $348.69, $343.64
12/11/2019, $344.78, 688110, $344.8, $348.175, $341.275
12/10/2019, $344.56, 687093, $342.52, $345.54, $340.57
12/09/2019, $342.28, 652217, $347.43, $347.58, $342.17
12/06/2019, $348.14, 902235, $345.3, $350.46, $345.3
12/05/2019, $345.21, 725576, $344.12, $346.68, $341.2433
12/04/2019, $344.12, 714707, $342.01, $346.8, $342.01
12/03/2019, $341.84, 906119, $335.03, $343.93, $333.2849
12/02/2019, $338.25, 816568, $342.39, $343.29, $336.86
11/29/2019, $341.23, 306261, $341.56, $343.42, $339.64
11/27/2019, $341.94, 473686, $342.11, $344.86, $341.41
11/26/2019, $342.09, 1291434, $344.82, $345.71, $341.36
11/25/2019, $344.82, 1062378, $339.7, $345.185, $336.67
11/22/2019, $338.24, 774998, $337.31, $338.9, $336.01
11/21/2019, $338.47, 1235724, $336.4, $338.75, $335.48
11/20/2019, $337.77, 878949, $336.3, $338.37, $332.69
11/19/2019, $336.13, 736103, $336, $337.79, $331.83
11/18/2019, $334.54, 1607504, $334.86, $341.99, $331.91
11/15/2019, $335.55, 2212992, $318.02, $340.48, $317.01
11/14/2019, $318, 966262, $318.68, $320.505, $316.93
11/13/2019, $318.9, 618059, $318.09, $321.48, $318.09
11/12/2019, $320.29, 1096120, $316.37, $320.83, $315.315
11/11/2019, $317.56, 1479885, $316.92, $320.12, $315.85
11/08/2019, $317.58, 1429570, $315.72, $320.005, $314.15
11/07/2019, $315.14, 1710555, $306.81, $316.25, $303.56
11/06/2019, $304.94, 1648727, $302.02, $306.77, $296.77
11/05/2019, $294.75, 863754, $299, $300.38, $293.12
11/04/2019, $296.99, 612483, $296.7, $298.62, $293.05
11/01/2019, $296.2, 770861, $295.52, $298.93, $292.94
10/31/2019, $294.2, 638492, $293.54, $295.92, $289.5
10/30/2019, $294.19, 568667, $296.69, $296.96, $292.58
10/29/2019, $295.84, 820126, $289.12, $296.44, $287.31
10/28/2019, $289.37, 453912, $288.25, $292.225, $288.25
10/25/2019, $288.09, 517723, $287.57, $289.22, $285.52
10/24/2019, $286.61, 649845, $290.67, $291.5, $285.47
10/23/2019, $290.21, 645337, $288.37, $293.17, $287.27
10/22/2019, $290.11, 795199, $286.38, $293.41, $285.88
10/21/2019, $287.15, 854602, $289.26, $290.02, $286.69
10/18/2019, $289.26, 1884770, $288.15, $290, $282.82
10/17/2019, $285.5, 1529687, $276.2, $285.715, $275.94
10/16/2019, $275.37, 966745, $275.51, $277.11, $274.075
10/15/2019, $276.64, 1360608, $269.44, $277.42, $269.29
10/14/2019, $264, 848202, $265.53, $266.09, $263.37
10/11/2019, $266.26, 1259707, $263.77, $269.52, $263.11
10/10/2019, $261.15, 1239369, $257.41, $262.19, $254.72
10/09/2019, $253.8, 741718, $255.13, $257.06, $253.44
10/08/2019, $253.17, 965543, $252.95, $253.92, $250.52
10/07/2019, $255.24, 877254, $255.99, $257.09, $254.45
10/04/2019, $256.06, 745089, $253.94, $256.65, $253.005
10/03/2019, $253.56, 943138, $255.24, $256.48, $251.48
10/02/2019, $255.49, 1017108, $253.61, $259.09, $252.75
10/01/2019, $254.38, 1319372, $255.95, $256.71, $248.635
09/30/2019, $255.67, 1395686, $253.01, $258, $252.09
09/27/2019, $257.59, 1092114, $264.53, $266.97, $256.62
09/26/2019, $263.92, 2327413, $268.1, $268.655, $258.42
09/25/2019, $267.69, 1662724, $274.59, $277.42, $265.18
09/24/2019, $274.97, 702668, $277.87, $279.25, $273.56
09/23/2019, $277.3, 753549, $275.67, $279.01, $274.08
09/20/2019, $277.28, 997498, $279.6, $282.39, $276.76
09/19/2019, $278.41, 873041, $273.8, $279.74, $273.24
09/18/2019, $273.13, 646510, $273.17, $276.01, $271.66
09/17/2019, $273.78, 862790, $278.28, $278.79, $272.35
09/16/2019, $278.28, 725964, $271.95, $280.39, $271.95
09/13/2019, $274.69, 943015, $270.4, $279.74, $270.4
09/12/2019, $268.38, 1423506, $277.45, $278.92, $267.78
09/11/2019, $276.81, 1066230, $276.2, $278.32, $272.12
09/10/2019, $276.85, 1089139, $276.47, $280.84, $275.715
09/09/2019, $275.69, 816386, $273.43, $278.15, $272.27
09/06/2019, $273.51, 598598, $274.44, $277.68, $273.04
09/05/2019, $274.71, 859424, $277.85, $278.75, $271.39
09/04/2019, $274.18, 1008222, $282.74, $283.99, $272.72
09/03/2019, $280.36, 716051, $282.48, $282.84, $277.65
08/30/2019, $283.21, 632958, $281, $284.71, $279.86
08/29/2019, $279.49, 1093800, $278.88, $280.96, $276.62
08/28/2019, $276.08, 859360, $272.06, $279.98, $270.72
08/27/2019, $272.06, 1665188, $289.12, $290.51, $271.94
08/26/2019, $288.79, 539124, $289, $290.6, $287.45
08/23/2019, $286.96, 847532, $288.49, $293.46, $285.44
08/22/2019, $288.82, 1107627, $298.17, $299.27, $288.6
08/21/2019, $298, 382470, $295.48, $298.68, $295.16
08/20/2019, $294.42, 743722, $297.69, $297.69, $293.12
08/19/2019, $298.57, 791129, $299.76, $301.21, $297.74
08/16/2019, $297, 609396, $295.32, $297.725, $294.26
08/15/2019, $291.06, 1080161, $297.64, $298.04, $290.66
08/14/2019, $296.3, 2099651, $301.19, $302.255, $295.35
08/13/2019, $304.87, 1102861, $294.23, $305.47, $294.23
08/12/2019, $295.5, 1165028, $300, $300, $294.2
08/09/2019, $297.78, 750662, $295.9, $299.77, $294.19
08/08/2019, $295.25, 578940, $294.58, $296.61, $291.04
08/07/2019, $293.89, 935464, $288.14, $294.79, $284.57
08/06/2019, $292.25, 1051828, $288.15, $292.73, $286.08
08/05/2019, $286.68, 1528489, $291.33, $291.33, $282.515
08/02/2019, $293.93, 1693224, $297.01, $300.44, $293.1
08/01/2019, $298.19, 1637427, $298.5, $301.82, $295.6
07/31/2019, $296.75, 2666762, $301.29, $302.44, $290.82
07/30/2019, $284.52, 936339, $279.06, $284.52, $274.435
07/29/2019, $281.02, 704820, $277, $283.38, $276.9375
07/26/2019, $276.87, 886444, $275.69, $278.4, $273.31
07/25/2019, $274.44, 798356, $276.08, $278.09, $273.16
07/24/2019, $276.09, 1490663, $281.49, $281.49, $271.57
07/23/2019, $281.67, 772032, $281.63, $283.32, $277.99
07/22/2019, $282.19, 771096, $282.71, $283.65, $278.83
07/19/2019, $281.67, 733432, $283.68, $284.01, $278.2816
07/18/2019, $283.33, 831588, $279.28, $286.65, $276.7
07/17/2019, $281.98, 706303, $283.09, $285.41, $281.78
07/16/2019, $284.3, 796970, $286.09, $287.65, $282.65
07/15/2019, $285.32, 1317143, $290.91, $290.91, $284.01
07/12/2019, $291.25, 2058856, $281.15, $291.39, $280.8
07/11/2019, $280.19, 2364716, $280.74, $284.22, $276.3971
07/10/2019, $267.91, 1057994, $260.68, $268.34, $260.52
07/09/2019, $260.14, 957600, $262.51, $265.58, $259.18
07/08/2019, $264.15, 733546, $263.87, $264.67, $259.69
07/05/2019, $264.65, 645928, $261.99, $267.44, $261.38
07/03/2019, $262.51, 481072, $259.95, $264.48, $259.89
07/02/2019, $259.43, 1171248, $260.9, $260.9, $254.5427
07/01/2019, $261.14, 1022950, $266.82, $266.82, $260.49
06/28/2019, $265.3, 2360759, $265.44, $266.42, $260
06/27/2019, $264.6, 1003385, $261.98, $268.81, $261.45
06/26/2019, $261.95, 1132455, $261.62, $263.7, $258.025
06/25/2019, $261.84, 1171672, $268.21, $268.8846, $260.7817
06/24/2019, $267.28, 1197002, $271.01, $271.01, $265.03
06/21/2019, $270.21, 2522465, $259.95, $271.88, $258.9
06/20/2019, $258.83, 1137484, $258.41, $260.1, $254.49
06/19/2019, $256.79, 1209506, $257.7, $259.23, $255.87
06/18/2019, $257.96, 1010105, $256.1, $259.32, $254.55
06/17/2019, $254.77, 636308, $251.56, $255.54, $250.81
06/14/2019, $251.83, 966520, $255.15, $255.66, $250.25
06/13/2019, $254.73, 1297929, $245.73, $255.05, $245.28
06/12/2019, $246.08, 1639117, $243.39, $246.17, $242.89
06/11/2019, $243.21, 1232348, $249.47, $256.53, $242.76
