Date, Close/Last, Volume, Open, High, Low
03/30/2020, $241.02, 805175, $235.9, $244.28, $230.505
03/27/2020, $231.75, 857952, $223.54, $237.05, $223.54
03/26/2020, $230.38, 740473, $213.06, $232.48, $212.2
03/25/2020, $214.23, 892276, $204.78, $223.85, $200.66
03/24/2020, $204.99, 1065890, $190.38, $207.06, $186.73
03/23/2020, $182.94, 1386239, $181.96, $187.25, $168.65
03/20/2020, $183.29, 1539269, $193.95, $196.94, $180.19
03/19/2020, $193.18, 1852318, $204.02, $207.95, $185.03
03/18/2020, $205.13, 1569273, $204.34, $213.29, $199.18
03/17/2020, $215.88, 1271000, $228.93, $236.88, $208.41
03/16/2020, $223.83, 1331989, $231.94, $240.23, $223.705
03/13/2020, $254.17, 1371035, $243.51, $255.54, $230.33
03/12/2020, $241, 1405469, $230.16, $246.67, $225.75
03/11/2020, $245.58, 694423, $245.59, $252.64, $243.37
03/10/2020, $255.36, 605479, $251.99, $256, $241.35
03/09/2020, $242.83, 909795, $236.1, $246.34, $230.5574
03/06/2020, $249.89, 559182, $245.44, $250.83, $242.75
03/05/2020, $255.16, 524430, $258.17, $260.01, $250.97
03/04/2020, $263.03, 602595, $256.07, $263.34, $251
03/03/2020, $251.25, 728896, $259.25, $263.73, $247.63
03/02/2020, $261.99, 700708, $254.93, $262.33, $247.67
02/28/2020, $254.51, 1614736, $242.22, $254.94, $238.04
02/27/2020, $250.15, 610154, $255.94, $261.72, $250
02/26/2020, $259.45, 583924, $258.65, $265.775, $258.24
02/25/2020, $256.71, 649059, $270.22, $272.0168, $255.35
02/24/2020, $269.81, 595421, $274.47, $275.61, $267.36
02/21/2020, $278.11, 443302, $280.64, $281.49, $276.79
02/20/2020, $281.45, 696581, $290.22, $292.97, $278.5
02/19/2020, $290.97, 734123, $288, $296.25, $288
02/18/2020, $286.75, 455261, $288.38, $289.35, $285.76
02/14/2020, $288.78, 286787, $285.27, $289.01, $283.4
02/13/2020, $285.05, 283851, $283.16, $286.5, $281.85
02/12/2020, $283.28, 314469, $284.21, $285.875, $280.34
02/11/2020, $283.38, 293162, $280.33, $284.36, $280.04
02/10/2020, $279.15, 348326, $277.94, $279.645, $276.94
02/07/2020, $278.4, 239716, $280.59, $281.08, $277.7
02/06/2020, $280.67, 542843, $275.27, $281.37, $274.43
02/05/2020, $274.4, 510489, $281.87, $282.16, $272.81
02/04/2020, $279.12, 492253, $280.58, $285.96, $277.82
02/03/2020, $275.77, 569600, $276.08, $281.52, $274.25
01/31/2020, $271.01, 910248, $280.14, $289.96, $269.49
01/30/2020, $283.73, 497696, $278.8, $283.99, $276.52
01/29/2020, $280.8, 363325, $279.8, $283.14, $276.99
01/28/2020, $278.64, 578919, $277.35, $279.81, $276.48
01/27/2020, $277.31, 368748, $277.15, $279.25, $275.02
01/24/2020, $280.77, 345231, $288.21, $289.25, $279.18
01/23/2020, $285.9, 454289, $287.86, $287.985, $283.45
01/22/2020, $287.62, 401827, $285.15, $290.14, $285.15
01/21/2020, $284.84, 654501, $284.64, $287.43, $283.71
01/17/2020, $285.8, 608085, $290.88, $291.04, $285.205
01/16/2020, $289.92, 363853, $289.03, $291.5, $287.19
01/15/2020, $288.49, 501881, $285.13, $288.92, $282.66
01/14/2020, $284.02, 468500, $281.55, $285.445, $279.8347
01/13/2020, $282.29, 478930, $281.75, $284.35, $280.02
01/10/2020, $281.64, 577991, $279.53, $283.735, $277.33
01/09/2020, $277.94, 567649, $273.94, $278.19, $271.99
01/08/2020, $271.68, 717504, $267.89, $274.65, $266.11
01/07/2020, $266.12, 418494, $267.29, $269.46, $265.37
01/06/2020, $266.93, 579070, $263.9, $267.18, $261.3234
01/03/2020, $264.77, 399146, $260.87, $266.39, $259.994
01/02/2020, $265.02, 417192, $261.53, $265.26, $260.49
12/31/2019, $261.13, 400691, $262.07, $262.93, $259.9
12/30/2019, $261.6, 318062, $264.12, $265.54, $260.52
12/27/2019, $263.98, 303941, $261.9, $264.29, $259.67
12/26/2019, $261.43, 205921, $263.1, $263.1, $259.78
12/24/2019, $263.26, 196734, $265.13, $265.93, $261.46
12/23/2019, $263.98, 515025, $263.34, $265.31, $260.58
12/20/2019, $261.55, 1079355, $257.58, $261.92, $253.65
12/19/2019, $256.19, 425296, $255, $256.62, $252.59
12/18/2019, $253.09, 494545, $257.38, $258.59, $252.515
12/17/2019, $257.17, 457806, $255.31, $257.9, $253.25
12/16/2019, $255.47, 406917, $253.82, $257.48, $253.3215
12/13/2019, $252.9, 487824, $251.77, $256.35, $251.12
12/12/2019, $251.88, 536506, $250.87, $252.9536, $249.53
12/11/2019, $250.45, 412662, $252.28, $254.71, $249.72
12/10/2019, $252.84, 514989, $249.62, $252.94, $249.52
12/09/2019, $249.02, 428710, $251.1, $253.02, $248.55
12/06/2019, $251.37, 293833, $253.91, $254.52, $251.05
12/05/2019, $251.86, 349053, $251.8, $253.3, $250.88
12/04/2019, $251.86, 634838, $249.98, $253.24, $248.13
12/03/2019, $248.66, 534126, $250.08, $255.71, $246.74
12/02/2019, $251.3, 417990, $251.33, $252.63, $248.01
11/29/2019, $251.58, 354633, $249.36, $254.28, $249.36
11/27/2019, $250.7, 498471, $254.3, $255.37, $249.81
11/26/2019, $252.85, 1296984, $251, $255.635, $250.5
11/25/2019, $251.87, 663765, $256.87, $259.09, $251.14
11/22/2019, $257.02, 446209, $260.88, $261, $255.36
11/21/2019, $260.69, 461974, $260.37, $261.54, $257.78
11/20/2019, $260.5, 653516, $264.13, $266.45, $257.55
11/19/2019, $264.6, 460972, $261.66, $265.96, $259.95
11/18/2019, $260.53, 578500, $259.79, $262.34, $258.41
11/15/2019, $259.78, 641524, $258, $261.11, $256.49
11/14/2019, $257.36, 437783, $258.53, $262.07, $256.01
11/13/2019, $259.31, 390662, $258.02, $260.19, $257.09
11/12/2019, $257.51, 534613, $252.25, $258.965, $252.25
11/11/2019, $252.68, 428407, $253.58, $256.245, $251.6
11/08/2019, $254.74, 772292, $263, $264.2029, $254.42
11/07/2019, $263.14, 441608, $261.86, $264.99, $261.82
11/06/2019, $261.45, 560515, $263.74, $266, $261.24
11/05/2019, $264.15, 960408, $277.95, $278.385, $263.22
11/04/2019, $278.66, 549400, $278.86, $282.29, $277.52
11/01/2019, $276.87, 579940, $285.56, $287.92, $276.5
10/31/2019, $285.01, 740085, $272.25, $294.57, $270.5
10/30/2019, $273.85, 332608, $270.88, $274.06, $270
10/29/2019, $270.87, 775571, $265.56, $273.46, $264.48
10/28/2019, $266.42, 515039, $267.91, $269.235, $265.31
10/25/2019, $268.29, 371475, $268.63, $271.13, $268.11
10/24/2019, $268.33, 412173, $267.99, $271.855, $266.71
10/23/2019, $267.93, 376700, $270.76, $273.65, $266.72
10/22/2019, $270.84, 235283, $279.07, $280.02, $270.72
10/21/2019, $278.88, 247179, $285.44, $285.45, $278.1
10/18/2019, $282.83, 294932, $282.45, $283.44, $280.48
10/17/2019, $282.13, 188193, $281.05, $282.8181, $278.61
10/16/2019, $279.57, 302269, $280.06, $281.46, $277.05
10/15/2019, $282.26, 236490, $277.58, $282.6, $276.82
10/14/2019, $275.68, 167974, $277.35, $279.2, $275.02
10/11/2019, $276.8, 262313, $276.38, $279.04, $275
10/10/2019, $272.24, 179911, $270.28, $274.075, $268.45
10/09/2019, $271.91, 214232, $268.91, $273.085, $268.91
10/08/2019, $267.72, 272778, $270.69, $271.6, $265.9
10/07/2019, $272.05, 363393, $274.92, $276.42, $271.4
10/04/2019, $276.6, 293079, $272.09, $277.175, $272.09
10/03/2019, $270.03, 332355, $267.53, $271.485, $265.18
10/02/2019, $268.71, 726420, $266.84, $270.08, $264.07
10/01/2019, $268.98, 390844, $273.4, $275.45, $265.7928
09/30/2019, $271.93, 463199, $272.48, $274.79, $270.21
09/27/2019, $272.48, 266919, $276.38, $276.38, $270.57
09/26/2019, $275.06, 282762, $274.63, $277.24, $272.02
09/25/2019, $274.8, 324628, $272.5, $275.7, $270.42
09/24/2019, $272.13, 670492, $277.76, $279.44, $271.34
09/23/2019, $275.79, 478370, $272.4, $277.06, $271.21
09/20/2019, $274.17, 536890, $272.42, $276.54, $272.2309
09/19/2019, $273.79, 239564, $273.63, $276.3677, $273.2308
09/18/2019, $272.73, 364305, $271.58, $275.35, $269.01
09/17/2019, $271.86, 379730, $266.27, $272.47, $266.27
09/16/2019, $265.64, 308919, $262.91, $267.35, $261.86
09/13/2019, $265.47, 465068, $270.59, $271.6857, $264.945
09/12/2019, $271.05, 382760, $272.6, $274.47, $270.87
09/11/2019, $270.99, 439036, $270.04, $274.55, $268.42
