Date, Close/Last, Volume, Open, High, Low
03/30/2020, $238.05, 1321092, $236.99, $240.4418, $233.23
03/27/2020, $229.69, 2143728, $240, $247.54, $226.68
03/26/2020, $248.39, 2245842, $234.55, $249.67, $228.51
03/25/2020, $232.58, 2505255, $229.78, $240.74, $223.54
03/24/2020, $233.82, 3329643, $206.16, $235.56, $204.34
03/23/2020, $194.72, 3415574, $202.34, $202.34, $187.675
03/20/2020, $201.84, 3858422, $217.73, $219.225, $199.39
03/19/2020, $215.89, 2340851, $224.36, $224.99, $210.52
03/18/2020, $225.07, 2103296, $226.04, $232.27, $215.07
03/17/2020, $239.17, 2901287, $228.51, $240.78, $216.18
03/16/2020, $223.43, 2642653, $232, $244.99, $222.38
03/13/2020, $261.25, 2399244, $250, $261.4, $235
03/12/2020, $237.94, 3430282, $245.09, $257.98, $235.96
03/11/2020, $261.12, 1848676, $263.92, $266.285, $256.08
03/10/2020, $269.66, 2541533, $270.11, $270.11, $257.97
03/09/2020, $260.04, 2138558, $258.26, $269.225, $250
03/06/2020, $276.18, 1913953, $276.45, $281.81, $268.14
03/05/2020, $287.18, 2418765, $276.14, $290.22, $275.14
03/04/2020, $285.55, 2551248, $274.22, $286.52, $270.52
03/03/2020, $268.24, 2015378, $280.96, $284.66, $264.18
03/02/2020, $281.18, 2520507, $266.72, $281.33, $263.73
02/28/2020, $265.85, 2899411, $259.62, $266.12, $255.59
02/27/2020, $268.77, 2246687, $274.26, $278.59, $268.4
02/26/2020, $280.09, 2449411, $286.28, $290.93, $278.665
02/25/2020, $284.8, 3430555, $297.55, $301.64, $283.57
02/24/2020, $286.43, 1996775, $288.44, $292.6951, $278.01
02/21/2020, $297.57, 1173734, $300.6, $303.99, $295.37
02/20/2020, $301.24, 900984, $304.39, $306.19, $297.49
02/19/2020, $305.61, 791673, $305.5, $306.8899, $304.395
02/18/2020, $303.57, 888254, $303.95, $304.83, $302.02
02/14/2020, $304.29, 855339, $298.56, $304.44, $297.46
02/13/2020, $297.84, 721233, $297.29, $300.55, $296.85
02/12/2020, $298.65, 792310, $297, $298.87, $294.63
02/11/2020, $296.92, 903545, $299.9, $299.96, $296.5
