Date, Close/Last, Volume, Open, High, Low
04/13/2020, $124.79, 1980847, $127.4, $127.68, $121.3404
04/09/2020, $128.53, 1522884, $128.3, $132.18, $127.7
04/08/2020, $127.87, 1634384, $120.74, $129.5, $117.57
04/07/2020, $119.68, 2148605, $124.22, $124.99, $116.91
04/06/2020, $117.14, 2062238, $109.57, $119.09, $108.3
04/03/2020, $102.72, 2687671, $104.55, $108.625, $101
04/02/2020, $104.78, 1708641, $100.46, $105.4, $99.07
04/01/2020, $100.04, 2084252, $102.02, $104.21, $98.01
03/31/2020, $107.86, 2853200, $111.8, $113.61, $105.21
03/30/2020, $112.98, 1627212, $106.96, $114.75, $105.03
03/27/2020, $107.14, 3063690, $105.72, $108.45, $100.89
03/26/2020, $110.55, 2865269, $106.94, $116.37, $106.49
03/25/2020, $104.88, 3646422, $97.23, $111.63, $94.16
03/24/2020, $96.91, 2750435, $89.47, $97.09, $88.08
03/23/2020, $84, 2741882, $92, $92, $82.03
03/20/2020, $91.67, 2987842, $91.7935, $99.73, $89.5674
03/19/2020, $90.62, 3712016, $88.83, $104.83, $82
03/18/2020, $89.88, 4695580, $100.44, $100.99, $81.79
03/17/2020, $107.69, 3699856, $104.09, $110.54, $101.05
03/16/2020, $102.36, 5128924, $99.16, $106.25, $94.2
03/13/2020, $118.71, 2244627, $119.79, $120.6, $111.08
03/12/2020, $113.01, 2910661, $116.72, $117.36, $110.35
03/11/2020, $125.42, 2112994, $126.63, $128.24, $123.26
03/10/2020, $130.82, 2721815, $128.18, $131.14, $122.77
03/09/2020, $124, 2760829, $129.46, $131.14, $122.97
03/06/2020, $136.05, 2110569, $136.3, $138.3, $131.39
03/05/2020, $138.21, 2214990, $143.84, $144.775, $136.51
03/04/2020, $147.89, 1228700, $144.86, $148.445, $144.5
03/03/2020, $141.36, 1557197, $147.44, $150.25, $139.53
03/02/2020, $147.08, 2504941, $140.73, $147.23, $139.31
02/28/2020, $139.49, 3112235, $138.91, $141.24, $136.23
02/27/2020, $142.74, 3406937, $147.19, $148.74, $142.63
02/26/2020, $149.39, 1667780, $151.37, $154.37, $148.94
02/25/2020, $150.06, 2918784, $158.93, $159.1, $149.5
02/24/2020, $158.08, 1313101, $159.42, $160.265, $156.63
02/21/2020, $163.43, 967908, $163.48, $164.35, $161.575
02/20/2020, $164.14, 1574310, $163.5, $164.3264, $162.17
02/19/2020, $164.39, 1070909, $166.28, $166.28, $164.125
02/18/2020, $165.42, 1436201, $164.91, $165.74, $162.61
02/14/2020, $164.32, 2967361, $165.3, $165.5, $162.17
02/13/2020, $165.79, 1439956, $164.8, $166.03, $162.64
02/12/2020, $166.11, 2302381, $164.85, $169.14, $160
02/11/2020, $161.7, 1582623, $160.99, $163.515, $160.21
02/10/2020, $159.93, 1303778, $157, $160.14, $156.52
02/07/2020, $157, 1193072, $160.31, $160.61, $156.98
02/06/2020, $160.53, 976618, $160.64, $161.25, $159.79
02/05/2020, $159.76, 1373281, $159.06, $161.55, $158.38
02/04/2020, $157.04, 3384339, $157.12, $157.59, $155.62
02/03/2020, $155.25, 1786059, $156.6, $157.2181, $154.94
01/31/2020, $155.25, 1143230, $156.63, $157.19, $154.45
