Date, Close/Last, Volume, Open, High, Low
04/13/2020, $494.53, 770537, $496.24, $500.05, $488.17
04/09/2020, $503.79, 1391353, $511.69, $515.2, $490.75
04/08/2020, $510.5, 1048662, $495, $514.67, $486.03
04/07/2020, $489.99, 1487891, $520, $524.34, $485.885
04/06/2020, $500.24, 1267647, $489.49, $503.4, $477.03
04/03/2020, $462.47, 1089805, $464.32, $470.64, $450
04/02/2020, $467.72, 890848, $450, $473.965, $450
04/01/2020, $458.26, 1505834, $460.26, $475, $450.27
03/31/2020, $495.21, 1140016, $498.85, $509.4, $492.29
03/30/2020, $504.22, 943261, $490, $506.88, $484.3
03/27/2020, $490.41, 1621868, $478.75, $506.4, $476.681
03/26/2020, $501.47, 1653960, $462.63, $504.6, $462.63
03/25/2020, $460.31, 1738890, $433.3, $483.98, $430
03/24/2020, $431.9, 1881383, $398.92, $433.635, $397.09
03/23/2020, $367.75, 1593746, $382, $390.79, $360.5
03/20/2020, $394.19, 1421767, $416.84, $434.41, $391.29
03/19/2020, $408.2, 1601724, $401.26, $433.89, $372
03/18/2020, $406.7, 2207383, $399.5, $408.36, $368.06
03/17/2020, $425.48, 1924412, $412.99, $429.04, $370
03/16/2020, $404.29, 1790551, $416.32, $447.51, $402.2401
03/13/2020, $470.98, 1868757, $478.03, $482.3045, $432.57
03/12/2020, $457.53, 1693998, $486.28, $498.2, $456.06
03/11/2020, $509.55, 1005093, $520, $522.56, $502.76
03/10/2020, $537.4, 978684, $530.67, $538.94, $505.56
03/09/2020, $510.66, 1151818, $515.14, $527.9, $501
03/06/2020, $555.14, 1034127, $550, $559.48, $538.08
03/05/2020, $568.37, 957268, $571.79, $576.7735, $560.5295
03/04/2020, $582.9, 734048, $568, $583.72, $562.995
03/03/2020, $558.27, 1027179, $556.72, $575, $543.795
03/02/2020, $559.07, 947805, $535.95, $559.58, $532.22
02/28/2020, $533.96, 1943235, $527.91, $536.85, $518.5579
02/27/2020, $544.62, 1066802, $550.39, $560.49, $544.18
02/26/2020, $559.53, 746427, $565, $573.81, $558.82
02/25/2020, $558.52, 883997, $583.94, $585.25, $555.88
02/24/2020, $580.17, 848460, $590.45, $596.43, $578.53
02/21/2020, $613.08, 734140, $612.36, $614.93, $606.695
02/20/2020, $618.29, 636643, $610.99, $619, $607.72
02/19/2020, $614.88, 737785, $596.14, $618.57, $596.14
02/18/2020, $604.67, 543041, $601.33, $605, $599.71
02/14/2020, $603.36, 637100, $601, $604.34, $594.415
02/13/2020, $600.35, 754032, $599, $600.9, $592.51
02/12/2020, $592.84, 465977, $591.57, $594.97, $588.38
02/11/2020, $587.82, 430968, $588.65, $590.6, $585.76
02/10/2020, $584.93, 402967, $578.87, $585.1, $576.6931
02/07/2020, $579.43, 602195, $581.34, $583.01, $578.3432
02/06/2020, $581.55, 443324, $578, $583.63, $575.32
02/05/2020, $576.56, 516135, $581.36, $581.5, $572.78
02/04/2020, $574.07, 614881, $576.17, $584.99, $572.66
02/03/2020, $565.62, 923857, $562.3, $566.24, $558.59
01/31/2020, $559.78, 767862, $567.85, $570.21, $555.025
01/30/2020, $570.84, 745540, $568.65, $574.74, $558.18
01/29/2020, $571.41, 564865, $575, $577.71, $568
01/28/2020, $569.73, 849994, $570.33, $573.44, $567.5
01/27/2020, $567.5, 1493223, $571.91, $572.99, $559.26
01/24/2020, $589.2, 2089041, $604.8, $605, $583.83
01/23/2020, $615, 980501, $611.85, $615, $606.595
01/22/2020, $610.24, 677217, $605, $614.4949, $602.51
01/21/2020, $601.65, 501361, $598.29, $602.5, $597.3557
01/17/2020, $600.03, 592589, $600.55, $600.83, $594
01/16/2020, $598.29, 498910, $601.59, $603.8, $593.06
01/15/2020, $597.24, 432200, $602.69, $605.49, $596
01/14/2020, $602.69, 445342, $602.72, $604.301, $597.595
01/13/2020, $603.12, 615244, $600.49, $606.92, $598.8461
01/10/2020, $598.72, 1282724, $605.5, $616.56, $597.89
01/09/2020, $585.79, 998933, $587.51, $589.75, $582.08
01/08/2020, $581.78, 893066, $581.54, $585.37, $576.59
01/07/2020, $582.8, 1172244, $589.95, $589.95, $573.74
01/06/2020, $595.76, 524759, $590, $597.62, $587.95
01/03/2020, $593.34, 418910, $588.18, $594.58, $582.16
01/02/2020, $597.26, 534224, $595.7, $597.83, $590.785
12/31/2019, $591.15, 448052, $591.29, $593.97, $588.24
12/30/2019, $591.32, 377690, $598, $600.99, $590.01
12/27/2019, $597.88, 429054, $598.38, $601.5984, $595.67
12/26/2019, $598.04, 332143, $598.9, $599, $593
12/24/2019, $598.81, 279626, $596, $599.32, $593.31
12/23/2019, $597.42, 411227, $592, $599, $588.31
12/20/2019, $591.31, 1117391, $591.45, $593.3, $587.46
12/19/2019, $588.71, 576461, $594.62, $594.62, $586.21
12/18/2019, $592.27, 546446, $592.26, $596.045, $590.8604
12/17/2019, $593.72, 624502, $590.7, $596, $587.1
12/16/2019, $590.04, 586365, $585, $591.324, $582.02
12/13/2019, $579.65, 362954, $580.9, $584.3394, $577.5825
12/12/2019, $580.97, 387427, $575.5, $584.6201, $572.87
12/11/2019, $574.79, 355878, $578.02, $578.35, $572.96
12/10/2019, $575.37, 369847, $574.56, $577.92, $572.91
12/09/2019, $573.17, 802746, $583.74, $586.35, $572.57
12/06/2019, $585.57, 522114, $584.63, $588.65, $582.46
12/05/2019, $580.81, 474726, $582.72, $585.572, $579.525
12/04/2019, $582.33, 346536, $580.24, $584.835, $578.22
12/03/2019, $579.23, 532651, $578.79, $581.75, $575.88
12/02/2019, $587.38, 631004, $592, $592.9, $583.5
11/29/2019, $592.9, 295824, $590, $594.165, $588.01
11/27/2019, $591.25, 639336, $586.56, $593.7099, $586.56
11/26/2019, $586, 984872, $577.79, $586.5, $576
11/25/2019, $581.5, 649506, $572.18, $581.59, $570.73
11/22/2019, $569.49, 407764, $571.7, $572.06, $562.425
11/21/2019, $571.82, 463474, $568, $571.99, $563.05
11/20/2019, $572.53, 543392, $576.67, $582.99, $568.2068
11/19/2019, $577.8, 659261, $570, $580.16, $567.52
11/18/2019, $569.09, 847437, $569, $578, $567.55
11/15/2019, $569.54, 847981, $559.3, $569.55, $557
11/14/2019, $554.44, 593763, $550.37, $560.63, $549.15
11/13/2019, $550.53, 556748, $542.4, $551.21, $541.84
11/12/2019, $549.36, 467701, $545, $553.66, $545
11/11/2019, $544.8, 503250, $545.1, $547.84, $540.175
11/08/2019, $548.95, 357081, $551.33, $555.36, $547.3
11/07/2019, $551.89, 457931, $558.21, $558.93, $548.03
11/06/2019, $554.16, 487487, $563.11, $567.99, $553.77
11/05/2019, $563.37, 757822, $560.43, $568.79, $559.5
11/04/2019, $560.86, 413566, $562.51, $563.82, $558.45
11/01/2019, $559.37, 568138, $557.46, $562.85, $552.005
10/31/2019, $552.95, 387324, $553.71, $559, $547.675
10/30/2019, $556.32, 452061, $555.55, $558, $550
10/29/2019, $556.17, 428209, $554.94, $564.7099, $552.682
