Date, Close/Last, Volume, Open, High, Low
04/13/2020, $151.93, 1610995, $158.08, $158.08, $150.21
04/09/2020, $159.28, 1752255, $160.64, $164.25, $158.26
04/08/2020, $158.8, 1363062, $153.89, $159.87, $152.38
04/07/2020, $152.27, 1992706, $156.49, $157.64, $151.07
04/06/2020, $151.04, 2138261, $147.77, $152.245, $145.9536
04/03/2020, $140.41, 1503527, $141.85, $144, $137.635
04/02/2020, $141.6, 1428766, $136.92, $142.48, $135.85
04/01/2020, $137.27, 1962773, $135.38, $137.83, $133.23
03/31/2020, $142.12, 3034520, $140.05, $145.43, $138.85
03/30/2020, $142.35, 2262805, $141.81, $145.36, $138.4
03/27/2020, $143.3, 1818253, $142.72, $148.52, $139.15
03/26/2020, $150.49, 2097917, $147.58, $151.78, $142.8789
03/25/2020, $143.53, 3272401, $138.05, $149.9, $137.6
03/24/2020, $137.7, 3077718, $122.57, $138.82, $122.28
03/23/2020, $118.09, 2777145, $122.12, $125.38, $115.94
03/20/2020, $125.78, 2794188, $138.87, $138.87, $123.89
03/19/2020, $136.33, 2662694, $140.17, $140.69, $131.38
03/18/2020, $141.76, 3671526, $149.15, $153.21, $134.58
03/17/2020, $159.5, 2965636, $152.06, $159.96, $149.69
03/16/2020, $149.22, 3752345, $139.27, $165.3, $139.27
03/13/2020, $156.45, 2994227, $147.02, $156.45, $143.3
03/12/2020, $140.19, 3807936, $148, $151.78, $139.49
03/11/2020, $158.43, 2290178, $159.18, $162.63, $156.58
03/10/2020, $164.62, 1957842, $160.04, $165.08, $154.86
03/09/2020, $154.52, 3172304, $151.66, $158.37, $150
03/06/2020, $164.11, 2952978, $162.71, $166.83, $160.88
03/05/2020, $167.71, 2368664, $171.56, $173.28, $166.74
03/04/2020, $177.4, 1722913, $171.66, $177.56, $170.355
03/03/2020, $168.86, 1978252, $172.97, $177.53, $168.16
03/02/2020, $173.28, 1950898, $168.92, $173.79, $164.96
02/28/2020, $167.78, 2841986, $163.85, $167.9198, $162.39
02/27/2020, $170.13, 2031056, $172.25, $176.97, $169.64
02/26/2020, $175.99, 1673088, $179.53, $180, $175.68
02/25/2020, $177.59, 1871703, $184.02, $184.23, $176.62
02/24/2020, $183.06, 1656209, $183.79, $185.22, $181.97
02/21/2020, $189.58, 1133768, $188.76, $189.9, $188.14
02/20/2020, $190, 1047004, $187.22, $190.85, $187.09
02/19/2020, $187.53, 974108, $186.92, $188.19, $186.27
02/18/2020, $186.48, 778715, $187.5, $187.54, $185.27
02/14/2020, $187.86, 765104, $189, $189, $186.11
02/13/2020, $189.07, 659189, $188.63, $189.61, $187.88
02/12/2020, $189.67, 979095, $187.76, $190.05, $187.16
02/11/2020, $187.13, 1027025, $184.79, $187.7, $184.55
02/10/2020, $183.84, 908461, $183.06, $183.96, $182.185
02/07/2020, $183.54, 996572, $184.68, $185.24, $182.94
02/06/2020, $186.07, 1073029, $186.14, $186.49, $184.45
02/05/2020, $185.76, 1584670, $184.8, $185.76, $183.54
02/04/2020, $182.03, 1178230, $179.37, $182.69, $178.775
02/03/2020, $176.46, 1898010, $175.58, $180.15, $174.58
01/31/2020, $174.98, 3070503, $177.9, $179.47, $174.9
01/30/2020, $177.9, 1648042, $173.97, $177.99, $173.92
01/29/2020, $175.81, 1228230, $176.82, $177.98, $175.3
01/28/2020, $175.86, 1138416, $174.22, $176.77, $172.92
01/27/2020, $173.37, 1226293, $173.02, $174.735, $170.38
