Date, Close/Last, Volume, Open, High, Low
03/30/2020, $26.49, 8695865, $25.94, $26.69, $24.6602
03/27/2020, $25.94, 7731287, $26.13, $26.665, $25.23
03/26/2020, $27, 11994170, $26.41, $27.55, $25.815
03/25/2020, $26.13, 13131720, $25.56, $27.37, $24.78
03/24/2020, $25.36, 12893630, $24.64, $25.64, $24.3
03/23/2020, $23.5, 10135370, $24.44, $24.55, $22.775
03/20/2020, $24.91, 12206770, $26.69, $26.69, $24.11
03/19/2020, $26.08, 7761651, $25.94, $26.63, $24.12
03/18/2020, $26.32, 7365408, $27.67, $28.13, $23.96
03/17/2020, $29.53, 9708525, $31.29, $31.9, $28.72
03/16/2020, $30.6, 9864588, $28.75, $32.855, $28.58
03/13/2020, $32.81, 9801030, $32.04, $32.81, $30.66
03/12/2020, $30.52, 9362966, $32.64, $33.23, $30.52
03/11/2020, $35.21, 10216530, $36.42, $36.77, $34.95
03/10/2020, $37.55, 11199870, $36.83, $37.605, $35.16
03/09/2020, $35.72, 13133820, $35.58, $36.9, $35.23
03/06/2020, $38.16, 9936187, $37.28, $38.48, $37.26
03/05/2020, $38.82, 9336452, $38.48, $39.4, $38.18
03/04/2020, $39.35, 8141198, $38.17, $39.48, $37.58
03/03/2020, $37.45, 9620037, $37.92, $39.47, $37.31
03/02/2020, $38.07, 8790712, $36.81, $38.12, $36.095
02/28/2020, $36.57, 13381410, $36.91, $37.34, $35.575
02/27/2020, $37.9, 8569123, $38.72, $39.42, $37.9
02/26/2020, $39.31, 6226452, $39.85, $40.4, $39.3
02/25/2020, $39.45, 7673504, $41.63, $41.6865, $39.43
02/24/2020, $41.63, 6659828, $41.67, $41.835, $41.03
02/21/2020, $42.45, 12196470, $42.06, $42.645, $41.89
02/20/2020, $42.24, 4741166, $41.82, $42.41, $41.68
02/19/2020, $41.97, 4206059, $42.09, $42.44, $41.85
02/18/2020, $41.99, 4339440, $41.98, $42.36, $41.51
02/14/2020, $41.96, 4706345, $41.12, $41.96, $41.01
02/13/2020, $41.13, 3835676, $41.55, $41.56, $40.78
02/12/2020, $41.79, 5993993, $40.93, $41.855, $40.93
02/11/2020, $40.76, 3116899, $40.66, $40.97, $40.605
02/10/2020, $40.54, 5277219, $39.71, $40.64, $39.595
02/07/2020, $39.81, 2991634, $39.76, $40.03, $39.58
02/06/2020, $39.92, 3840790, $39.92, $40.1, $39.7
02/05/2020, $39.81, 5966888, $39.61, $40.02, $39.3
02/04/2020, $39.24, 5921220, $39.69, $40.045, $39.21
02/03/2020, $39.29, 4574490, $39.58, $39.995, $39.27
01/31/2020, $39.45, 7536793, $41.25, $42.34, $39.23
01/30/2020, $40.51, 8705585, $40.29, $40.785, $40.205
01/29/2020, $40.49, 3785186, $41.05, $41.24, $40.47
01/28/2020, $40.81, 6266946, $40.35, $41.03, $40.085
01/27/2020, $40.3, 3765542, $40.85, $41.09, $40.27
01/24/2020, $41.35, 4563318, $41.64, $41.7, $41.105
01/23/2020, $41.75, 4467342, $41.19, $41.77, $41.19
01/22/2020, $41.37, 5673820, $41.2, $41.455, $41.0127
01/21/2020, $41.03, 4928599, $40.86, $41.25, $40.82
01/17/2020, $40.99, 6685809, $40.91, $41.36, $40.85
01/16/2020, $41.04, 5733915, $40.99, $41.16, $40.76
01/15/2020, $40.93, 3517601, $40.96, $41.23, $40.81
01/14/2020, $40.98, 3166317, $41.18, $41.23, $40.86
01/13/2020, $41.16, 4860284, $41, $41.32, $40.96
01/10/2020, $40.98, 3553830, $41.42, $41.51, $40.9
01/09/2020, $41.33, 4643857, $41.23, $41.59, $41.1
01/08/2020, $41.08, 4994329, $40.83, $41.545, $40.77
01/07/2020, $40.75, 5157908, $41.01, $41.18, $40.63
01/06/2020, $41.18, 4998123, $41.03, $41.43, $40.97
01/03/2020, $40.66, 4206720, $40.81, $41.02, $40.405
01/02/2020, $41.4, 3776569, $40.91, $41.41, $40.73
12/31/2019, $40.71, 3609608, $40.59, $40.8, $40.36
12/30/2019, $40.65, 2029221, $41.04, $41.13, $40.6
12/27/2019, $41.06, 1800316, $41.17, $41.31, $41.02
12/26/2019, $41.11, 1851602, $41.06, $41.21, $40.91
12/24/2019, $41.12, 983726, $41.11, $41.17, $40.89
12/23/2019, $41.21, 3240651, $41.24, $41.39, $41.09
12/20/2019, $41.22, 13167500, $41.2, $41.24, $40.85
12/19/2019, $40.76, 5532650, $40.47, $40.865, $40.315
12/18/2019, $40.6, 6431467, $40.75, $40.87, $40.385
12/17/2019, $40.68, 7422319, $40.58, $40.88, $40.455
12/16/2019, $40.6, 9359422, $40.72, $40.98, $40.46
12/13/2019, $40.44, 9083998, $41.64, $41.64, $40.24
12/12/2019, $42.01, 5562330, $42.05, $42.27, $41.75
12/11/2019, $42.7, 3511580, $42.17, $42.73, $42.14
12/10/2019, $42.09, 3808954, $42.09, $42.31, $41.84
12/09/2019, $42, 3726591, $42.04, $42.215, $41.93
12/06/2019, $42.09, 3964631, $42.12, $42.33, $41.94
12/05/2019, $41.75, 4461807, $42.27, $42.38, $41.7
12/04/2019, $42.13, 3924627, $41.89, $42.53, $41.835
12/03/2019, $41.79, 4390027, $41.84, $42.06, $41.605
12/02/2019, $42.27, 5634370, $42.79, $42.875, $42.27
11/29/2019, $42.83, 1855387, $43.21, $43.21, $42.77
11/27/2019, $43.11, 3420495, $42.99, $43.18, $42.86
11/26/2019, $42.95, 4521374, $42.7, $43, $42.6
11/25/2019, $42.62, 3916240, $42.8, $42.96, $42.57
11/22/2019, $42.7, 3278862, $42.29, $42.75, $42.23
11/21/2019, $42.23, 4205217, $42.12, $42.33, $42.02
11/20/2019, $42.41, 3449429, $42.83, $42.89, $42.08
11/19/2019, $42.91, 5009541, $42.69, $42.99, $42.56
11/18/2019, $42.53, 2953215, $42.42, $42.62, $42.18
11/15/2019, $42.39, 4104985, $42.63, $42.77, $42.27
11/14/2019, $42.3, 4268086, $41.72, $42.38, $41.51
11/13/2019, $41.85, 5798373, $42.36, $42.47, $41.62
11/12/2019, $42.56, 4000349, $42.43, $42.605, $42.25
11/11/2019, $42.24, 3582103, $42.21, $42.53, $42.13
11/08/2019, $42.52, 4933389, $42.18, $42.52, $41.81
11/07/2019, $42.29, 6062134, $44.28, $44.6, $42.145
11/06/2019, $44.23, 4880106, $43.83, $44.23, $43.8
11/05/2019, $43.89, 6389162, $44.35, $44.41, $43.73
11/04/2019, $44.46, 5980681, $44.23, $44.82, $44.12
11/01/2019, $43.82, 4608863, $43.68, $43.92, $43.41
10/31/2019, $43.33, 4611737, $43.1, $43.47, $43.005
10/30/2019, $43.21, 3598694, $43.29, $43.41, $42.805
10/29/2019, $43.36, 4769465, $42.47, $43.77, $42.32
10/28/2019, $42.67, 5384529, $42.72, $42.84, $42.34
10/25/2019, $42.56, 3821085, $42.35, $42.92, $42.24
10/24/2019, $42.3, 4233401, $42.58, $42.645, $42.23
10/23/2019, $42.37, 4983259, $42.58, $42.66, $41.99
10/22/2019, $42.69, 6131880, $42.35, $42.87, $42.23
10/21/2019, $42.39, 8440797, $42.07, $42.86, $41.92
10/18/2019, $41.85, 6123489, $42.48, $42.61, $41.69
10/17/2019, $42.58, 7747155, $42.19, $42.81, $42.15
10/16/2019, $42, 6468286, $41.83, $42.445, $41.74
10/15/2019, $42.2, 3270885, $42.38, $42.67, $42.17
10/14/2019, $42.24, 2636758, $42.61, $42.69, $42.21
10/11/2019, $42.72, 5352740, $42.26, $43.05, $42.18
10/10/2019, $41.79, 6056116, $41.62, $42.39, $41.62
10/09/2019, $41.6, 9310575, $41.7, $42.0059, $41.56
10/08/2019, $41.31, 4970643, $41.84, $42.03, $41.29
10/07/2019, $42.24, 4632967, $42.12, $42.645, $41.74
10/04/2019, $42.44, 4432605, $42.24, $42.58, $42
10/03/2019, $42.03, 6258037, $41.77, $42.11, $41.34
10/02/2019, $41.86, 5815225, $42.66, $42.68, $41.64
10/01/2019, $42.95, 3900274, $44.11, $44.13, $42.9
09/30/2019, $43.89, 3981703, $44.01, $44.2, $43.815
09/27/2019, $43.67, 3566895, $43.75, $43.75, $43.28
09/26/2019, $43.59, 4250191, $43.8, $43.89, $43.44
09/25/2019, $43.7, 3723195, $43.44, $43.77, $43.27
09/24/2019, $43.46, 5447132, $44.35, $44.65, $43.415
09/23/2019, $44.24, 3299088, $43.72, $44.49, $43.6
09/20/2019, $43.91, 9950289, $44.31, $44.58, $43.8
09/19/2019, $44.03, 3211350, $44.13, $44.5, $43.85
09/18/2019, $44.11, 4369941, $43.9, $44.155, $43.68
09/17/2019, $43.86, 4003245, $43.63, $44.06, $43.51
