Date, Close/Last, Volume, Open, High, Low
03/30/2020, $133.01, 21754030, $128.46, $133.99, $127.5
03/27/2020, $123.16, 12133220, $121.65, $127.62, $120.58
03/26/2020, $126.57, 15068650, $120.57, $127.1, $120.38
03/25/2020, $119.4, 13986050, $118.91, $123.96, $116.7008
03/24/2020, $119.18, 17604770, $118.76, $119.65, $113.86
03/23/2020, $111.14, 20815230, $117, $118.56, $109.16
03/20/2020, $119.89, 19785130, $126.83, $127.44, $118.13
03/19/2020, $127.05, 18482340, $134.99, $134.99, $126.15
03/18/2020, $134.96, 17521130, $131.02, $135.6696, $128.71
03/17/2020, $136.59, 18911760, $128.55, $136.77, $127.81
03/16/2020, $127.13, 18877920, $123.57, $133.76, $122.43
03/13/2020, $134.29, 20084150, $129.32, $134.92, $124.65
03/12/2020, $125.41, 21539200, $127.31, $133.765, $124.5
03/11/2020, $131.8, 17768060, $138.09, $138.75, $131.5
03/10/2020, $141.64, 12698070, $139.97, $141.95, $134.23
03/09/2020, $136.44, 13848570, $136.33, $139.6799, $134.9
03/06/2020, $142.03, 12239090, $138.48, $143.01, $137.41
03/05/2020, $142.01, 11339190, $140.8, $142.68, $139.84
03/04/2020, $143.48, 10560820, $137.68, $143.64, $137.14
03/03/2020, $135.59, 13662450, $140, $140.99, $133.1
03/02/2020, $140.02, 11508230, $134.78, $140.13, $134.0138
02/28/2020, $134.48, 19825530, $135.36, $137.29, $130.82
02/27/2020, $139.12, 12566710, $142.56, $144.77, $138.95
02/26/2020, $143.68, 10094400, $145.35, $146.22, $143.59
02/25/2020, $144.65, 10529370, $145.99, $146.75, $143.83
02/24/2020, $145.91, 10589200, $146.5, $149, $145.25
02/21/2020, $149.93, 7776835, $148.09, $150.24, $147.54
02/20/2020, $148.37, 7465047, $148.61, $149.38, $147.4043
02/19/2020, $148.94, 6115220, $149.21, $149.76, $148.58
02/18/2020, $149.14, 7231010, $150.47, $150.74, $149.06
02/14/2020, $150.13, 5716549, $150.56, $150.64, $149.15
02/13/2020, $150.09, 5480225, $150.16, $151.045, $149.88
02/12/2020, $151.09, 5167069, $151.87, $152.15, $150.92
02/11/2020, $151.99, 3715389, $152.29, $152.38, $151.54
02/10/2020, $151.86, 4836002, $151.68, $151.91, $150.8911
02/07/2020, $151.89, 5700295, $153.34, $153.455, $151.55
02/06/2020, $153.53, 6201257, $154.25, $154.5, $152.74
02/05/2020, $153.99, 5980013, $151.72, $154.02, $151.31
02/04/2020, $151.6, 6541584, $151.49, $152.75, $151.2
02/03/2020, $150.17, 5765413, $149.42, $150.49, $149.24
01/31/2020, $148.87, 8651930, $149.75, $150, $148.64
01/30/2020, $150.36, 6470584, $150.03, $150.51, $149.05
01/29/2020, $150.54, 6288760, $149.45, $151.19, $149.13
01/28/2020, $149.5, 7336636, $148.46, $150.57, $148.15
01/27/2020, $148.75, 7587103, $147.52, $149.46, $147
01/24/2020, $148.32, 9051933, $148.58, $148.945, $147.93
01/23/2020, $148.53, 8671988, $148.04, $148.77, $146.755
01/22/2020, $148.25, 10305330, $146.7, $149.18, $146
01/21/2020, $149.27, 9543905, $148.58, $150.17, $148.5
01/17/2020, $149.17, 9083838, $148.41, $149.41, $147.93
01/16/2020, $148.2, 6476379, $147.42, $148.84, $146.2
01/15/2020, $147.01, 4960460, $146.4, $147.395, $146.24
01/14/2020, $146.52, 7038779, $145.05, $146.61, $144.73
01/13/2020, $145.7, 4593819, $145.48, $145.79, $144.72
01/10/2020, $145.06, 5042668, $145.75, $146.18, $144.9
01/09/2020, $145.39, 6112783, $145.76, $146.03, $144.99
01/08/2020, $144.96, 6605775, $144.87, $145.98, $143.7
01/07/2020, $144.98, 7389034, $144.01, $145.45, $141.38
01/06/2020, $144.1, 7731435, $144, $144.2, $142.85
01/03/2020, $144.28, 5753422, $143.5, $145.373, $143
01/02/2020, $145.97, 5634469, $145.87, $146.02, $145.08
12/31/2019, $145.87, 4435105, $145.1, $146.01, $144.78
12/30/2019, $145.3, 2923859, $145.78, $146.2, $145.03
12/27/2019, $145.75, 3432686, $146.2, $146.55, $145.54
12/26/2019, $145.83, 3020481, $145.97, $146.1827, $145.16
12/24/2019, $145.93, 4238924, $146, $146.01, $145.26
12/23/2019, $146.44, 6559466, $145.74, $146.76, $145.3401
12/20/2019, $146.06, 14533000, $146.88, $147.84, $144.8
12/19/2019, $145.35, 9874889, $143.89, $145.88, $143.61
12/18/2019, $143.19, 7849413, $143.72, $143.88, $142.74
12/17/2019, $143.56, 10724070, $143, $144.05, $142.52
12/16/2019, $141.79, 5353158, $141.73, $142.85, $141.49
12/13/2019, $141.38, 4257231, $141.1, $141.8, $140.31
12/12/2019, $141.34, 5012506, $141.32, $142.06, $140.73
12/11/2019, $140.98, 6631591, $140.93, $141.98, $140.63
12/10/2019, $139.99, 5310783, $140.8, $141, $139.91
12/09/2019, $140.5, 4260566, $140.39, $140.81, $140.0601
12/06/2019, $140.38, 6640534, $139.46, $141.58, $139.46
12/05/2019, $139.56, 5473037, $139.35, $139.745, $137.95
12/04/2019, $139.38, 7257393, $138.5, $139.74, $138.04
12/03/2019, $137.16, 6419310, $136.91, $137.45, $136.16
12/02/2019, $137.36, 4717317, $137.72, $137.85, $136.85
11/29/2019, $137.49, 3278854, $137.6, $138.27, $136.94
11/27/2019, $137.75, 5522951, $137.16, $138.25, $136.9
11/26/2019, $137.17, 10637410, $136.47, $137.34, $135.15
11/25/2019, $137.18, 6111909, $137.06, $137.65, $136.24
11/22/2019, $138.07, 9235894, $136.65, $138.63, $136.5
11/21/2019, $136.44, 6424868, $135.94, $136.85, $135
11/20/2019, $135.94, 7600882, $135.11, $136.34, $134.07
11/19/2019, $134.82, 5192243, $135, $135.19, $134.21
11/18/2019, $134.83, 9293614, $134.22, $135.69, $132.66
11/15/2019, $134.94, 10495620, $131.25, $134.97, $130.78
11/14/2019, $130.96, 4217472, $131.03, $131.36, $130.14
11/13/2019, $131.27, 5921414, $131.04, $131.487, $130.72
11/12/2019, $131.35, 5229157, $132, $132.09, $131.02
11/11/2019, $131.98, 4371362, $132.27, $132.5247, $131.33
11/08/2019, $133, 5003528, $131.3, $133.04, $130.97
11/07/2019, $131.43, 5874081, $131.73, $132.38, $131.01
11/06/2019, $130.96, 5450031, $130.42, $131.48, $129.7
11/05/2019, $130.42, 6257266, $130.53, $131.47, $129.68
11/04/2019, $130.23, 6140323, $131.8, $131.95, $130.09
11/01/2019, $131.2, 5541792, $132.05, $133, $131.14
10/31/2019, $132.04, 7686682, $132.38, $132.84, $130.89
10/30/2019, $132.84, 9627603, $133.3, $133.53, $131.73
10/29/2019, $129.1244, 4506298, $129.7, $129.97, $128.56
10/28/2019, $129.18, 7876303, $128.62, $130, $128.51
10/25/2019, $128.35, 6947250, $127.83, $129.1, $127.31
10/24/2019, $127.5, 12146360, $130.42, $130.58, $126.1
10/23/2019, $129.9, 6722254, $129.66, $130.48, $129.07
10/22/2019, $129.2, 7625647, $128.76, $130.54, $128.09
10/21/2019, $128.02, 14107410, $128.67, $129.67, $127.06
10/18/2019, $127.7, 25879460, $133.31, $134.3875, $127.7
10/17/2019, $136.17, 8612673, $135.96, $137.49, $135.65
10/16/2019, $135.17, 12463870, $134.9, $136.59, $133.8
10/15/2019, $132.84, 10048880, $133, $134.25, $132.1
10/14/2019, $130.72, 5851866, $131.36, $131.36, $130.42
10/11/2019, $131.33, 7187687, $131.14, $132.62, $130.82
10/10/2019, $129.06, 5265916, $128.95, $130.1179, $128.63
10/09/2019, $129.22, 7854729, $131.14, $131.25, $128.52
10/08/2019, $131.84, 7926935, $132.45, $133.265, $131.49
10/07/2019, $133.16, 5437161, $133.09, $133.825, $132.1446
10/04/2019, $133.66, 7240361, $131.34, $133.72, $131.25
10/03/2019, $131.19, 7413819, $131.64, $132.3715, $130.01
10/02/2019, $132, 12088620, $132.76, $134.7, $131.22
10/01/2019, $129.99, 7706218, $130.02, $130.8, $129.77
09/30/2019, $129.38, 6825489, $129.07, $130.28, $129
09/27/2019, $128.6, 6006690, $128.61, $129.4, $126.7
09/26/2019, $128.85, 7706003, $131.09, $131.3092, $128.03
09/25/2019, $130.99, 4569635, $131.5, $131.575, $130.23
09/24/2019, $131.55, 7131472, $132.1, $132.78, $131.34
09/23/2019, $131.74, 5422371, $131.02, $132.05, $130.49
09/20/2019, $131.65, 12335330, $131, $132, $130.29
09/19/2019, $130.11, 4857275, $129.63, $131.19, $129.36
09/18/2019, $130.41, 4450707, $129.9, $130.56, $128.78
09/17/2019, $129.67, 5002870, $129.6, $130.5, $129.11
09/16/2019, $129.54, 5101689, $130.11, $130.75, $129.33
09/13/2019, $130.78, 5369774, $131.33, $131.57, $129.96
09/12/2019, $130.43, 5250032, $131.36, $131.77, $130.06
09/11/2019, $131.17, 6203628, $129.86, $131.28, $129.08
09/10/2019, $129.55, 8239733, $127.34, $129.55, $126.34
09/09/2019, $126.95, 7684665, $128, $128.16, $126.59
09/06/2019, $128.21, 6758329, $128.88, $129.23, $128.07
09/05/2019, $128.58, 4754074, $129.9, $129.9, $128.31
09/04/2019, $128.86, 4821460, $129.49, $129.59, $128.08
09/03/2019, $128.74, 5710249, $127.99, $128.98, $127.51
08/30/2019, $128.36, 7371134, $128.27, $129.1, $127.62
08/29/2019, $128.24, 6750113, $128.84, $129.2, $126.83
08/28/2019, $128.68, 9885221, $127.86, $128.87, $127.01
08/27/2019, $129.64, 20186780, $129.88, $132.4, $129.1
08/26/2019, $127.8, 8916621, $127.42, $128.08, $126.63
08/23/2019, $127.73, 15714750, $131.07, $131.26, $127.13
08/22/2019, $131.27, 7213567, $131.6, $132.13, $130.8007
08/21/2019, $131.53, 6914009, $131.7, $132.41, $130.85
08/20/2019, $130.6, 7302016, $131.96, $132.66, $130.46
08/19/2019, $132.25, 4958004, $132.5, $132.57, $131.82
08/16/2019, $131.36, 5858866, $131.47, $131.67, $130.595
08/15/2019, $130.54, 7251225, $130.17, $131.07, $129.25
08/14/2019, $130.26, 7736420, $132.53, $132.54, $130.13
08/13/2019, $133.42, 5101835, $132.3, $134.1, $132
08/12/2019, $131.93, 6852115, $131.5, $132.7, $131.29
08/09/2019, $132.04, 4677327, $131.8, $132.76, $131.23
08/08/2019, $131.68, 5260533, $130.98, $131.945, $130.23
08/07/2019, $130.21, 6771743, $129.36, $130.905, $128.19
08/06/2019, $130.77, 7880567, $130.34, $131.22, $129.59
08/05/2019, $130.16, 9480016, $130.91, $131.46, $129.01
08/02/2019, $131.07, 6574944, $130.86, $131.47, $129.7701
08/01/2019, $130.29, 7870738, $130.26, $130.74, $129.02
07/31/2019, $130.22, 8559201, $131.64, $132, $130.18
07/30/2019, $132.08, 5509621, $132.47, $132.49, $131.27
07/29/2019, $133.02, 7831982, $131, $133.31, $130.21
07/26/2019, $130.73, 4894714, $131.3, $131.3, $130.49
07/25/2019, $131.12, 8897902, $130.06, $131.53, $129.67
07/24/2019, $129.78, 6838620, $128.88, $129.79, $128.57
07/23/2019, $128.84, 5803625, $128.61, $129.45, $128.155
07/22/2019, $128.64, 12625510, $130, $130.15, $127.84
07/19/2019, $130.31, 8340239, $132.25, $132.39, $130.19
07/18/2019, $132.07, 6203739, $132.13, $132.51, $131.17
07/17/2019, $131.86, 8862093, $132.49, $133.58, $131.41
07/16/2019, $132.5, 10214540, $132.93, $133.83, $131.75
07/15/2019, $134.71, 10038220, $135.39, $136.36, $134.45
07/12/2019, $134.3, 17780110, $140.12, $140.12, $132.32
07/11/2019, $140.11, 5817412, $140.94, $141.21, $139.02
07/10/2019, $141.21, 4874373, $141.78, $141.99, $140.67
07/09/2019, $141.41, 4217453, $141.46, $142.47, $140.91
07/08/2019, $140.97, 4078372, $140.12, $141.08, $139.635
07/05/2019, $140.57, 4652419, $141.74, $141.8637, $140.37
07/03/2019, $142.14, 3436339, $141, $142.18, $140.79
07/02/2019, $140.03, 4501207, $139.22, $140.03, $138.69
07/01/2019, $139.36, 5875080, $140.2, $140.26, $138.72
06/28/2019, $139.28, 12792460, $140.74, $141.1, $138.505
06/27/2019, $140.69, 5233481, $142.23, $142.5, $140.605
06/26/2019, $141.85, 7674128, $143.85, $143.85, $140.76
06/25/2019, $144.24, 7517135, $143.27, $144.98, $143.19
06/24/2019, $143.06, 5894683, $142.42, $143.7, $142.09
06/21/2019, $142.09, 11272210, $141.46, $142.425, $141.01
06/20/2019, $142.21, 7335833, $141.25, $142.4, $141
06/19/2019, $140.45, 6393620, $140.01, $140.97, $139.91
06/18/2019, $140.23, 7122711, $140.56, $140.93, $139.79
06/17/2019, $139.44, 5562791, $140, $140.24, $139.21
06/14/2019, $140.09, 6548166, $141.23, $141.485, $140.04
06/13/2019, $140.71, 7500807, $141.72, $141.95, $140.21
06/12/2019, $141.68, 9216636, $140.3, $142.91, $140.3
06/11/2019, $139.78, 8230527, $139.68, $140.66, $139.5
06/10/2019, $139.02, 4994790, $138.6, $139.15, $137.6
06/07/2019, $138.55, 6533960, $137.59, $139.59, $137.14
06/06/2019, $136.68, 9115846, $134.9, $137.66, $134.59
06/05/2019, $134.38, 6860551, $134.7, $135.13, $133.86
06/04/2019, $133.73, 6649100, $132.6, $134.3, $132.58
06/03/2019, $131.44, 8434761, $131.5, $132.4, $131.04
05/31/2019, $131.15, 7810987, $131.52, $132, $129.61
05/30/2019, $132.11, 7361016, $131.44, $132.82, $131.17
05/29/2019, $131.33, 23247410, $135.89, $135.89, $128.52
05/28/2019, $137.07, 11919580, $139, $140.49, $137
05/24/2019, $138.85, 5473499, $139.5, $139.5, $138.56
05/23/2019, $139.79, 6951797, $138.5, $139.85, $137.67
05/22/2019, $138.76, 5456839, $138.35, $138.95, $137.485
05/21/2019, $138.12, 4859048, $139.12, $139.57, $138.08
05/20/2019, $138.42, 4771127, $138.61, $138.96, $137.68
05/17/2019, $138.61, 6915286, $137, $139.03, $136.86
05/16/2019, $138.21, 6857180, $137.39, $139.1929, $136.97
05/15/2019, $136.91, 6429352, $136.9, $137.49, $135.33
05/14/2019, $136.82, 7179438, $137.04, $137.84, $136.73
05/13/2019, $137.2, 5560421, $137.85, $138.06, $136.5302
05/10/2019, $139.05, 4771626, $138.43, $139.25, $136.41
05/09/2019, $138.73, 5604201, $138.95, $139.32, $137.64
05/08/2019, $139.79, 4667257, $140.2, $140.92, $139.7
05/07/2019, $139.97, 6606664, $140.82, $141.38, $139.06
05/06/2019, $142.09, 5818880, $140.25, $142.24, $139.93
