Date, Close/Last, Volume, Open, High, Low
03/30/2020, $93.5, 21656930, $90.65, $94.09, $89.3
03/27/2020, $91.13, 30041460, $93.19, $94.84, $90.55
03/26/2020, $98.12, 29840430, $94.08, $98.57, $93.5375
03/25/2020, $91.73, 38111700, $89.24, $95.15, $84.54
03/24/2020, $88.43, 34363160, $84.9, $90.1, $82.9
03/23/2020, $79.03, 32536580, $82.68, $83.75, $78.09
03/20/2020, $83.5, 30150820, $86.3, $89.46, $82.48
03/19/2020, $85.3, 32175060, $81.56, $88.11, $76.91
03/18/2020, $83.89, 41525570, $87.67, $90.79, $80.36
03/17/2020, $93.76, 35239840, $90.89, $97.44, $87.5
03/16/2020, $88.36, 38589650, $85.2, $93.982, $84.55
03/13/2020, $103.91, 38543330, $95.99, $103.99, $92
03/12/2020, $88.05, 49725230, $89.59, $96.96, $86.32
03/11/2020, $95.96, 38157810, $97.7, $100.05, $94.55
03/10/2020, $100.7, 31102650, $99, $101.28, $94.58
03/09/2020, $93.44, 40352030, $96.57, $99.2302, $93
03/06/2020, $108.08, 38159410, $106.26, $110.3232, $105.02
03/05/2020, $113.97, 25025630, $115.67, $116.43, $112.58
03/04/2020, $119.85, 25795870, $118.33, $120.19, $114.695
03/03/2020, $116.96, 32547740, $120.97, $122.9469, $116.24
03/02/2020, $121.52, 27355450, $116.63, $121.58, $114.46
02/28/2020, $116.11, 45942580, $117.52, $118.49, $112.66
02/27/2020, $121.37, 23005470, $122.91, $125.62, $121.3
02/26/2020, $126.64, 24836160, $126.93, $128.95, $126.34
02/25/2020, $126.26, 20797190, $131, $132.23, $125.59
02/24/2020, $132.16, 13618430, $131.44, $133.2, $130.7988
02/21/2020, $135.81, 9772770, $136.55, $136.92, $134.9225
02/20/2020, $137.49, 7422800, $137.17, $138.36, $136.53
02/19/2020, $137.49, 7071399, $136.91, $138.39, $136.34
02/18/2020, $135.64, 8997247, $137.34, $137.705, $135.05
02/14/2020, $137.46, 6627891, $137.84, $138.19, $136.94
02/13/2020, $137.88, 7447535, $137.75, $138.34, $136.4
02/12/2020, $138, 7957984, $138.6, $139.285, $137.8
02/11/2020, $138, 6578649, $138.26, $138.82, $137.78
02/10/2020, $137.74, 5960700, $136.95, $137.851, $136.75
02/07/2020, $137.17, 6379784, $136.73, $137.67, $136.3
02/06/2020, $137.61, 8992592, $138.24, $138.29, $137.11
02/05/2020, $137.59, 10150710, $136.57, $137.73, $136.01
02/04/2020, $135.29, 9157126, $135.55, $136.6, $135.08
02/03/2020, $133.37, 10021370, $132.66, $134.24, $132.66
01/31/2020, $132.36, 12785240, $134.49, $134.83, $131.47
01/30/2020, $135.89, 9048887, $132.69, $136.13, $132.69
01/29/2020, $134.23, 9326173, $134.81, $135.54, $133.69
01/28/2020, $134.43, 13062790, $132.84, $134.97, $132.4784
01/27/2020, $132.03, 12860460, $130.27, $132.94, $129.71
01/24/2020, $133.15, 15166390, $136.37, $136.43, $132.32
01/23/2020, $136.54, 9345683, $135.71, $136.7447, $134.72
01/22/2020, $136.68, 7549111, $137.24, $137.4, $136.38
01/21/2020, $136.84, 8474247, $137.19, $138.07, $136.69
01/17/2020, $138.2, 14697670, $137.54, $138.285, $137.32
01/16/2020, $137.25, 10783750, $137.45, $137.9, $136.84
01/15/2020, $136.72, 16293420, $137.85, $138.6, $136.15
01/14/2020, $138.8, 24942960, $137.94, $140.76, $137.69
01/13/2020, $137.2, 12381810, $136.19, $137.2, $135.755
01/10/2020, $136.07, 10192030, $137.21, $137.25, $135.81
01/09/2020, $137.44, 9470746, $138.05, $138.23, $137.04
01/08/2020, $136.94, 9697731, $135.7, $137.58, $135.6
01/07/2020, $135.88, 10576910, $137.28, $137.86, $135.82
01/06/2020, $138.23, 10266520, $136.56, $138.27, $136.5
01/03/2020, $138.34, 10387520, $137.5, $139.23, $137.08
01/02/2020, $141.09, 10811020, $139.79, $141.1, $139.265
12/31/2019, $139.4, 7201834, $138.51, $139.48, $138.295
12/30/2019, $138.63, 6963342, $139.9, $140.08, $138.47
12/27/2019, $139.14, 7868575, $139.3, $139.77, $138.6697
12/26/2019, $139.04, 6773034, $137.89, $139.1, $137.78
12/24/2019, $137.58, 3324291, $137.33, $137.63, $137.0641
12/23/2019, $137.2, 9738524, $137.6, $137.91, $136.88
12/20/2019, $137.24, 29993960, $138.02, $138.88, $136.9
12/19/2019, $137.35, 9351045, $137.76, $138.22, $137.1
12/18/2019, $138.04, 10382140, $138.15, $139.02, $137.7151
12/17/2019, $138.18, 11547060, $137.73, $138.6687, $137.23
12/16/2019, $137.34, 11372790, $138.38, $138.84, $137.32
12/13/2019, $136.81, 10594950, $137.95, $138.83, $136.22
12/12/2019, $138.02, 13725740, $134.49, $138.47, $134.21
12/11/2019, $134.18, 9012476, $134.29, $135.02, $134.01
12/10/2019, $134.5, 7533000, $133.25, $134.77, $132.88
12/09/2019, $134.41, 8576380, $134.63, $135.46, $134.41
12/06/2019, $135.04, 10171250, $134.69, $135.78, $134.65
12/05/2019, $133.06, 9587878, $132.68, $133.31, $132.18
12/04/2019, $132.34, 10319310, $130.38, $132.47, $129.99
12/03/2019, $129.78, 10649450, $129.77, $129.96, $128.585
12/02/2019, $131.47, 8622886, $132.31, $132.74, $131.35
11/29/2019, $131.76, 5712035, $131.87, $132.41, $131.45
11/27/2019, $132.06, 6609027, $132.29, $132.43, $131.65
11/26/2019, $131.67, 10493860, $131.82, $131.82, $130.3573
11/25/2019, $131.49, 10069670, $131.25, $132.07, $130.865
11/22/2019, $130.79, 8167918, $130.15, $131.22, $130.1
11/21/2019, $129.93, 7705492, $130, $130.72, $129.39
11/20/2019, $129.63, 11785280, $130.3, $130.62, $128.94
11/19/2019, $130.58, 8824852, $130.99, $131.25, $130.18
11/18/2019, $130.62, 8752503, $129.56, $130.65, $128.99
11/15/2019, $129.53, 10163670, $129.23, $129.53, $128.4
11/14/2019, $128.6, 8483725, $127.72, $128.84, $127.59
11/13/2019, $128.48, 8098146, $128.13, $128.815, $127.42
11/12/2019, $129.16, 9101912, $129.63, $130.62, $129.01
11/11/2019, $129.92, 8680490, $129.6, $130.1, $129.35
11/08/2019, $130.38, 9294223, $129.88, $130.4, $129.25
11/07/2019, $130, 13528930, $130.43, $131.29, $129.92
11/06/2019, $129.3, 11231120, $128.69, $129.84, $128.58
11/05/2019, $129.1, 13747640, $129.39, $130.3, $128.84
11/04/2019, $128.82, 9159871, $129.08, $129.42, $128.5601
11/01/2019, $127.8, 11682640, $126.2, $127.9852, $126.02
