Date, Close/Last, Volume, Open, High, Low
04/13/2020, $62.8, 1596576, $62.44, $63, $61.2
04/09/2020, $62.74, 2618268, $60.98, $64, $60.98
04/08/2020, $61.46, 2632593, $62.6, $62.83, $61
04/07/2020, $62.55, 2515071, $63.8, $65.03, $62.02
04/06/2020, $63.51, 3152008, $64.56, $64.56, $61.87
04/03/2020, $63.58, 1598178, $60.68, $63.94, $60.68
04/02/2020, $61.32, 2147159, $60.28, $61.98, $59.64
04/01/2020, $61.09, 2476698, $59.01, $61.41, $58.371
03/31/2020, $59.99, 2351238, $61.1, $61.83, $59.71
03/30/2020, $60.91, 1914974, $60.38, $61.5, $59.7706
03/27/2020, $59.47, 2546036, $57.72, $60.93, $57.04
03/26/2020, $58.76, 3345726, $56.25, $59.62, $55.6
03/25/2020, $56.17, 3320343, $56, $59.27, $54.71
03/24/2020, $56.27, 2913618, $54.76, $56.95, $54.02
03/23/2020, $53.56, 3243148, $55.2, $56.79, $52.6616
03/20/2020, $55.81, 4767287, $61.47, $61.53, $55.34
03/19/2020, $61.43, 4733242, $68.46, $68.75, $61.07
03/18/2020, $68.96, 3960665, $67.3, $70.36, $64.46
03/17/2020, $69.22, 5196887, $63.39, $69.37, $62.21
03/16/2020, $62.56, 3748992, $58.37, $64.86, $58.25
03/13/2020, $63.66, 3606914, $60.07, $63.78, $59.505
03/12/2020, $58.19, 3827333, $58.52, $60, $56.84
03/11/2020, $61.69, 2204740, $61.46, $62.14, $60.19
03/10/2020, $62.89, 2817752, $62.87, $64.2, $60.38
03/09/2020, $62.41, 2756816, $60.21, $63.17, $60
03/06/2020, $63.19, 2288880, $61.92, $63.38, $61.54
03/05/2020, $63.66, 1517429, $63.73, $64.58, $63.28
03/04/2020, $64.55, 2405604, $63.35, $64.61, $63
03/03/2020, $62.65, 2002245, $63.15, $64.42, $62.05
03/02/2020, $63.14, 2584217, $60.21, $63.14, $60.12
02/28/2020, $60.47, 4526480, $60, $60.73, $57.71
02/27/2020, $61.02, 2670126, $62.16, $62.355, $60.92
02/26/2020, $62.77, 1863205, $63.64, $64.24, $62.57
02/25/2020, $63.39, 2541037, $64.66, $64.89, $62.88
02/24/2020, $64.5, 2539602, $64.68, $65.05, $63.93
02/21/2020, $65.52, 1824930, $65.4, $65.58, $64.95
02/20/2020, $65.67, 2107372, $65.78, $66.09, $65.1
02/19/2020, $66.3, 1581260, $67.16, $67.49, $66.25
02/18/2020, $67.15, 1570347, $67.23, $67.37, $66.53
02/14/2020, $67.71, 1567480, $67.08, $67.95, $66.91
02/13/2020, $67.14, 2275021, $66.22, $67.22, $66.05
02/12/2020, $66.18, 2220335, $67.5, $67.82, $66.075
02/11/2020, $66.27, 2601490, $65.58, $66.57, $65.48
02/10/2020, $65.34, 2973621, $63.95, $65.43, $63.55
02/07/2020, $64.17, 4297474, $63.26, $64.29, $62.38
