Date, Close/Last, Volume, Open, High, Low
04/13/2020, $152.09, 868569, $149.5, $152.42, $148.1756
04/09/2020, $150.12, 1303806, $152.15, $157.87, $148.485
04/08/2020, $152.37, 1349997, $149.59, $153.15, $146.91
04/07/2020, $147.27, 1454117, $154.1, $155, $146.52
04/06/2020, $148.5, 1846103, $135.21, $149.21, $132.93
04/03/2020, $127.94, 1143931, $130.82, $132.99, $125.56
04/02/2020, $132.44, 1346403, $129.57, $133.795, $129.31
04/01/2020, $131.61, 1661089, $138.7, $141.22, $129.6588
03/31/2020, $143.74, 2907516, $150.84, $150.84, $141.53
03/30/2020, $149.52, 1623722, $142.07, $150.57, $142
03/27/2020, $142.24, 2240885, $145.04, $147.17, $141.32
03/26/2020, $149.76, 1870541, $140.77, $150.47, $139.06
03/25/2020, $137.47, 1703164, $135.72, $145.94, $134.385
03/24/2020, $136.36, 2776148, $121.7, $136.55, $120
03/23/2020, $116.36, 2124904, $114.32, $120.69, $110.19
03/20/2020, $114.02, 2632573, $129.71, $132.55, $113.08
03/19/2020, $127.36, 1955175, $131.88, $135.42, $126.76
03/18/2020, $132.02, 2664900, $132.25, $143.13, $127.36
03/17/2020, $149.63, 3213596, $131.87, $150.44, $125.635
03/16/2020, $129.5, 2752351, $128.69, $140.48, $126.1926
03/13/2020, $145.37, 2804666, $132.82, $145.76, $127.89
03/12/2020, $125.36, 2672898, $135.24, $139, $125.25
03/11/2020, $144.92, 2730659, $150.13, $152.22, $142.62
03/10/2020, $154.57, 2438494, $148.51, $154.76, $145.58
03/09/2020, $144.92, 2815758, $144.98, $150.49, $144.265
03/06/2020, $155.68, 1858352, $152.05, $156.14, $151.489
03/05/2020, $156.69, 1697018, $156.65, $158.88, $154.48
03/04/2020, $160.71, 1493454, $157.09, $160.71, $154.66
03/03/2020, $153.81, 2397553, $156.81, $159.29, $152.38
03/02/2020, $158.74, 2706741, $154.5, $159, $151.705
02/28/2020, $153.71, 3695232, $142.09, $153.93, $142.09
02/27/2020, $147.99, 3589666, $142.81, $148.375, $142.27
02/26/2020, $147.27, 1879530, $149, $150.645, $146.22
02/25/2020, $147.41, 2046877, $155.28, $155.99, $147.07
02/24/2020, $153.73, 2649605, $154.75, $156.8625, $152.9
02/21/2020, $161.12, 1909894, $165.67, $166.25, $160.81
02/20/2020, $167.3, 1664537, $171.74, $172.42, $165.67
02/19/2020, $172.98, 1069265, $172.21, $174.82, $171
02/18/2020, $169.23, 1778465, $167, $172, $166.67
02/14/2020, $176.28, 864866, $179.12, $179.7599, $174.89
02/13/2020, $178.72, 1158098, $175.68, $180.08, $174.91
02/12/2020, $175.97, 958016, $174, $176.46, $173.85
02/11/2020, $173.04, 1268990, $169.21, $173.53, $168.33
02/10/2020, $168.92, 1680342, $164.1, $169.01, $164.08
02/07/2020, $165.1, 1492780, $170.71, $171.27, $164.76
02/06/2020, $171.74, 1370335, $171.43, $173.39, $170.15
02/05/2020, $171.28, 3113142, $176.06, $177.79, $168.8
02/04/2020, $178.8, 1735912, $174.33, $178.8, $173.84
02/03/2020, $169.93, 1181617, $167.27, $170.65, $167.01
01/31/2020, $165.74, 1505971, $171.38, $172.75, $165.25
01/30/2020, $172.92, 1447964, $173.5, $175.37, $169.57
01/29/2020, $171.72, 1029384, $176.35, $176.94, $171.66
01/28/2020, $175.93, 938118, $172.2, $176.33, $171.7
01/27/2020, $170.31, 1581385, $174.77, $175.23, $169.85
01/24/2020, $179.4, 961020, $183.88, $184.5, $178.43
01/23/2020, $182.55, 1056877, $179.82, $182.66, $179.115
01/22/2020, $180.13, 1084723, $180, $182.78, $179.87
01/21/2020, $178.81, 1571351, $177.65, $180.89, $177.565
01/17/2020, $178.73, 1604769, $180.87, $180.9, $177.36
01/16/2020, $180.91, 1197268, $179.5, $181.83, $179.01
01/15/2020, $177.92, 922813, $177.09, $178.7, $175.85
01/14/2020, $177.48, 1279640, $175.91, $178.22, $174.07
01/13/2020, $175.1, 662421, $173.97, $175.11, $173.36
01/10/2020, $173.01, 883844, $176.41, $177.43, $171.95
01/09/2020, $175.49, 916894, $178.41, $179.42, $174.95
01/08/2020, $176.67, 883499, $176.5, $178.66, $175.52
01/07/2020, $176.44, 1140522, $176.14, $177.77, $174.3
01/06/2020, $175.05, 1266784, $176.32, $177.56, $174.09
01/03/2020, $179.08, 833408, $179.33, $181.17, $177.86
01/02/2020, $182.57, 1005598, $180.775, $182.6988, $180.021
12/31/2019, $178.17, 869378, $177.39, $178.51, $176.3
12/30/2019, $178.37, 756432, $178.02, $178.92, $175.23
12/27/2019, $178.52, 553906, $179.25, $179.705, $177.36
12/26/2019, $178.75, 527880, $178.58, $178.8, $177.14
12/24/2019, $178.11, 257681, $177.79, $178.19, $176.28
12/23/2019, $177.11, 969098, $178.86, $179.24, $176.9
12/20/2019, $177.47, 2695150, $176.82, $177.84, $174.97
12/19/2019, $175.46, 1187773, $175.7, $176.22, $172.86
12/18/2019, $175.26, 1516437, $175.9, $177.47, $175.26
12/17/2019, $175.96, 1333394, $172.07, $176.12, $172.07
12/16/2019, $172.06, 1305963, $174.74, $175, $172.03
12/13/2019, $171.24, 1152841, $170.95, $173.09, $170.12
12/12/2019, $171.46, 1627547, $166.98, $171.92, $166.6987
12/11/2019, $167.12, 934073, $162.78, $167.43, $162.68
12/10/2019, $162.37, 1190592, $162.29, $164.32, $161.431
12/09/2019, $160.88, 770643, $163.33, $163.568, $160.63
12/06/2019, $162.89, 989332, $163.49, $165.515, $162.85
12/05/2019, $161.5, 1320746, $160.49, $162.83, $160.08
12/04/2019, $160.26, 1145037, $159.52, $160.79, $158
12/03/2019, $156.38, 1993414, $158, $159.01, $155.5638
12/02/2019, $161.06, 1150798, $163.95, $164.24, $160.39
11/29/2019, $163.86, 705434, $165.09, $165.57, $163.69
11/27/2019, $165.65, 1378622, $163.3, $166.26, $162.14
11/26/2019, $162.13, 2035318, $163.85, $164.22, $161.11
11/25/2019, $163.35, 1905886, $160.34, $164.22, $160.3
11/22/2019, $158.49, 2274694, $160.47, $162.65, $157.84
11/21/2019, $161.59, 3498115, $165.86, $166.58, $159.62
11/20/2019, $173.67, 1131421, $176.13, $177.15, $172.86
11/19/2019, $175.99, 1284992, $177.04, $178, $173.5
11/18/2019, $177, 1064583, $177.59, $178.17, $176.73
11/15/2019, $177.86, 1570163, $178.83, $179.95, $177.11
11/14/2019, $176.6, 824109, $175.97, $176.97, $174.325
11/13/2019, $176.35, 930489, $174.2, $177.35, $173.14
11/12/2019, $174.42, 888868, $175.13, $176.23, $173.65
11/11/2019, $174.43, 630955, $173.63, $175.34, $171.46
11/08/2019, $174.21, 648901, $170.33, $174.28, $170.33
11/07/2019, $171.95, 960518, $173.58, $174, $171.52
11/06/2019, $172.52, 1397973, $171.22, $172.76, $168.33
11/05/2019, $171.98, 1715519, $174.17, $175.32, $171.43
11/04/2019, $174.02, 1046885, $174.78, $175.43, $172.46
11/01/2019, $172.42, 1462541, $170.13, $173.14, $169.27
10/31/2019, $169.04, 2595772, $167.67, $170.2484, $160.4
10/30/2019, $172.96, 1706475, $171.82, $173.94, $169.21
10/29/2019, $170.28, 1693582, $174.1, $175.32, $170.19
10/28/2019, $174.78, 1586197, $171.02, $175.25, $171.02
10/25/2019, $169.94, 1101685, $167.69, $170.29, $166.7989
10/24/2019, $168.74, 1838377, $164, $168.945, $163.46
10/23/2019, $158.72, 1141315, $161.14, $162.22, $158.27
10/22/2019, $162.82, 1235371, $163.88, $164.8509, $162.34
10/21/2019, $164, 1820465, $160.31, $164.29, $159.87
10/18/2019, $159.69, 1219555, $160.63, $162.02, $158.32
10/17/2019, $161.51, 1614062, $162.71, $167.95, $161.0375
10/16/2019, $159.64, 1299884, $160.8, $161.97, $159.0816
10/15/2019, $162.56, 885626, $160.08, $163.54, $159.58
10/14/2019, $159, 1140563, $159.62, $160.948, $158.31
10/11/2019, $160.22, 1180240, $160.97, $162.49, $158.93
10/10/2019, $157.4, 894800, $158.02, $159.26, $156.6
10/09/2019, $157.48, 1027582, $157.17, $158.81, $156.11
10/08/2019, $154.52, 1485100, $158.76, $159.0255, $154.33
10/07/2019, $161.05, 975599, $160.7, $162.68, $160.2006
10/04/2019, $161.11, 1194290, $157.64, $161.29, $157.47
10/03/2019, $156.96, 1300268, $155.47, $157.69, $153.69
10/02/2019, $155.05, 1588944, $156.28, $157.4972, $153.63
10/01/2019, $158.29, 919702, $160.79, $162.41, $157.7292
