Date, Close/Last, Volume, Open, High, Low
04/13/2020, $132.71, 1858089, $131.15, $133.52, $130.35
04/09/2020, $131.49, 2256927, $132.17, $136.33, $130.52
04/08/2020, $132.64, 1929786, $132.76, $133.402, $130.45
04/07/2020, $131.39, 2132743, $134.93, $135.44, $130.92
04/06/2020, $133.15, 2270208, $132.31, $134.34, $129.65
04/03/2020, $129.92, 1398516, $128.61, $131.4, $127.21
04/02/2020, $129.28, 2494115, $124.43, $130.27, $124.19
04/01/2020, $125.66, 1951420, $124.88, $126.77, $122.76
03/31/2020, $127.87, 2394963, $131.27, $132.16, $127.28
03/30/2020, $132.43, 2413533, $128.96, $132.96, $126.36
03/27/2020, $124.89, 2288445, $122.01, $129.89, $121.54
03/26/2020, $124.01, 3382083, $117.2, $124.66, $116.68
03/25/2020, $116.36, 3060555, $117.59, $121.685, $113.61
03/24/2020, $117.38, 3076930, $116.23, $118.13, $110.66
03/23/2020, $112.34, 3541448, $117.97, $121.77, $111.15
03/20/2020, $118.28, 3866150, $125.86, $127.43, $117.65
03/19/2020, $126.41, 4362285, $135.78, $136.57, $123.56
03/18/2020, $134.35, 4329750, $138.84, $145.01, $132.17
03/17/2020, $144.07, 5317099, $137.42, $146.85, $133.56
03/16/2020, $134.71, 4316322, $122.29, $139.68, $122.29
03/13/2020, $134.18, 4477427, $127.92, $134.95, $125.23
03/12/2020, $122.31, 3817425, $127.08, $131.64, $121.78
03/11/2020, $134.16, 2985716, $138, $139.29, $131.84
03/10/2020, $141.02, 3858246, $143.42, $144.23, $134.53
03/09/2020, $141.32, 3688060, $139.6, $147.53, $138.95
03/06/2020, $146.46, 3375692, $139.14, $147.34, $138.64
03/05/2020, $143.31, 2588309, $144.56, $146.98, $141.85
03/04/2020, $148.25, 3070505, $143.33, $149.1, $142.93
03/03/2020, $140.79, 2939611, $141.66, $143.74, $138.21
03/02/2020, $141.1, 3094770, $132.13, $141.18, $132.13
02/28/2020, $131.19, 4069246, $131.11, $132.635, $126.861
02/27/2020, $134.01, 2804293, $137.65, $139.26, $133.95
02/26/2020, $138.26, 1703251, $139.25, $141.37, $137.87
02/25/2020, $138.98, 1387545, $139.95, $141.39, $138.64
02/24/2020, $140.12, 2669818, $140.73, $142, $139.68
02/21/2020, $141.35, 1562244, $141.64, $142.61, $141.12
02/20/2020, $142.17, 1364279, $143.37, $143.85, $141.82
02/19/2020, $143.77, 1047843, $143.88, $144.99, $143.38
02/18/2020, $143.84, 1381776, $144.97, $145.08, $143.516
02/14/2020, $145.56, 941424, $144.88, $145.63, $144.26
02/13/2020, $144.74, 1100066, $144.49, $145.5907, $144.18
02/12/2020, $144.29, 954154, $144.54, $145.23, $143.9
02/11/2020, $145.25, 1070703, $146.06, $146.65, $144.86
02/10/2020, $146.21, 1241745, $145.07, $146.53, $145.0146
02/07/2020, $144.82, 1005215, $144.73, $145.23, $144.43
02/06/2020, $144.53, 1063429, $145.16, $146.08, $144.51
02/05/2020, $145.07, 1214254, $143.54, $145.09, $143.24
