Date, Close/Last, Volume, Open, High, Low
04/13/2020, $14.95, 13918870, $15.75, $15.88, $14.725
04/09/2020, $15.36, 17469890, $15.2, $15.885, $14.9
04/08/2020, $14.83, 13820120, $14.38, $14.89, $14.18
04/07/2020, $14.2, 19149400, $14.65, $14.77, $14.02
04/06/2020, $13.99, 19274370, $13.96, $14.2, $13.62
04/03/2020, $13.41, 26863800, $13.45, $13.77, $12.88
04/02/2020, $13.45, 20015690, $13.18, $14.13, $12.99
04/01/2020, $12.73, 17770600, $13.05, $13.28, $12.5
03/31/2020, $13.92, 24003490, $13.46, $14.2, $13.17
03/30/2020, $13.27, 24655680, $13.4, $13.5, $12.64
03/27/2020, $13.75, 21313090, $13.76, $14.36, $13.59
03/26/2020, $14.48, 25364630, $13.94, $14.85, $13.76
03/25/2020, $13.73, 28456500, $13.04, $14.75, $12.45
03/24/2020, $12.88, 20610040, $12.01, $12.94, $11.355
03/23/2020, $11.03, 25384600, $12.02, $12.32, $11.01
03/20/2020, $12.35, 40080980, $11.84, $12.44, $11.15
03/19/2020, $11.2, 34340100, $10.03, $11.45, $9.42
03/18/2020, $9.98, 46226050, $11.79, $11.87, $9.44
03/17/2020, $12.64, 26658890, $12.88, $13.4, $12.32
03/16/2020, $12.73, 26557450, $13.12, $13.88, $12.65
03/13/2020, $14.78, 40427790, $15.03, $15.13, $13.215
03/12/2020, $13.86, 35722200, $14.22, $14.6, $13.4501
03/11/2020, $15.5, 31688610, $15.52, $16.04, $15.13
03/10/2020, $16.04, 33857770, $16.7, $17.2357, $14.95
03/09/2020, $16.1, 43807480, $17.25, $17.4, $16
03/06/2020, $19.33, 23715770, $19.19, $19.44, $18.6
03/05/2020, $19.7, 16981870, $19.81, $20.1, $19.3805
03/04/2020, $20.23, 18485840, $20.16, $20.38, $19.98
03/03/2020, $19.85, 20242740, $20.35, $20.69, $19.59
03/02/2020, $20.24, 22540300, $19.36, $20.285, $19.1004
02/28/2020, $19.17, 32730960, $19.02, $19.28, $18.4
02/27/2020, $19.52, 23662500, $20.19, $20.38, $19.51
02/26/2020, $20.52, 17465590, $21.02, $21.04, $20.45
02/25/2020, $21.05, 19427050, $21.85, $21.94, $21.01
02/24/2020, $21.77, 19068580, $21.71, $22.02, $21.62
02/21/2020, $22.14, 14432400, $22.1, $22.23, $21.9
02/20/2020, $22.24, 18830370, $22.36, $22.58, $22.185
02/19/2020, $22.16, 11498970, $22.07, $22.35, $21.96
02/18/2020, $22.01, 11007710, $21.98, $22.015, $21.85
02/14/2020, $22, 8824341, $22, $22.09, $21.885
02/13/2020, $21.94, 13643920, $21.87, $21.99, $21.79
02/12/2020, $21.81, 10774170, $21.58, $21.87, $21.56
02/11/2020, $21.46, 9409223, $21.46, $21.5, $21.36
02/10/2020, $21.32, 9681392, $21.07, $21.34, $21.05
02/07/2020, $21.12, 7202042, $21.25, $21.315, $21.08
02/06/2020, $21.33, 8197846, $21.31, $21.48, $21.21
02/05/2020, $21.29, 12061370, $21.15, $21.38, $21.15
02/04/2020, $21, 13540560, $21.04, $21.215, $20.95
02/03/2020, $20.81, 13296760, $20.86, $21.04, $20.71
01/31/2020, $20.87, 20696110, $21.02, $21.16, $20.76
01/30/2020, $21.42, 19972950, $21, $21.46, $21
01/29/2020, $21.19, 12419860, $21.44, $21.53, $21.14
01/28/2020, $21.46, 9145317, $21.41, $21.57, $21.36
01/27/2020, $21.29, 14226470, $21.3, $21.53, $21.24
01/24/2020, $21.56, 16731900, $21.77, $21.77, $21.43
01/23/2020, $21.76, 25959660, $21.38, $21.88, $21.22
01/22/2020, $20.96, 10219870, $20.99, $21.115, $20.93
01/21/2020, $20.93, 14430790, $21.27, $21.34, $20.92
01/17/2020, $21.36, 10242080, $21.39, $21.405, $21.27
01/16/2020, $21.37, 11522910, $21.5, $21.55, $21.31
01/15/2020, $21.41, 9684120, $21.37, $21.5, $21.3
01/14/2020, $21.46, 12636090, $21.5, $21.565, $21.23
01/13/2020, $21.55, 12536520, $21.51, $21.65, $21.325
01/10/2020, $21.51, 16032380, $21.43, $21.68, $21.32
01/09/2020, $21.55, 16252570, $21.17, $21.55, $21.06
01/08/2020, $21.16, 10651630, $21.27, $21.36, $21.14
01/07/2020, $21.33, 14740130, $21.34, $21.35, $21.09
01/06/2020, $21.28, 13978280, $21.1, $21.455, $21.06
01/03/2020, $21.2, 10148840, $21.07, $21.21, $21.02
01/02/2020, $21.04, 10247380, $21.25, $21.25, $20.99
12/31/2019, $21.17, 10033530, $21, $21.18, $20.95
12/30/2019, $21.03, 7926505, $21.1, $21.19, $20.95
12/27/2019, $21.08, 8176429, $21.26, $21.305, $21.06
12/26/2019, $21.2, 7086845, $21.19, $21.36, $21.17
12/24/2019, $21.13, 3476415, $21.18, $21.19, $21.05
12/23/2019, $21.2, 9970472, $20.95, $21.26, $20.88
12/20/2019, $20.97, 19257710, $21, $21.01, $20.79
12/19/2019, $20.84, 9717869, $20.72, $20.85, $20.68
12/18/2019, $20.72, 16324080, $20.49, $20.79, $20.465
12/17/2019, $20.51, 10447210, $20.58, $20.71, $20.47
12/16/2019, $20.58, 11817730, $20.34, $20.59, $20.271
12/13/2019, $20.2, 13741410, $20.15, $20.37, $20.08
12/12/2019, $20.15, 15906240, $20.2, $20.46, $20.09
12/11/2019, $20.2, 9535005, $20.12, $20.22, $20.08
12/10/2019, $20.12, 12785800, $19.88, $20.215, $19.87
12/09/2019, $19.94, 12622430, $19.62, $19.97, $19.6
12/06/2019, $19.75, 11642320, $19.71, $19.87, $19.67
12/05/2019, $19.68, 17302640, $19.33, $19.7, $19.31
12/04/2019, $19.3, 11296080, $19.25, $19.34, $19.14
12/03/2019, $19.15, 13684420, $19.33, $19.35, $19.13
12/02/2019, $19.4, 10747440, $19.61, $19.64, $19.4
11/29/2019, $19.61, 7196191, $19.72, $19.72, $19.5
11/27/2019, $19.73, 12139490, $19.75, $19.8, $19.51
11/26/2019, $19.7, 23962710, $19.95, $20.05, $19.61
11/25/2019, $19.96, 14192050, $20.05, $20.09, $19.9
11/22/2019, $19.96, 9727384, $20.2, $20.23, $19.95
11/21/2019, $20.16, 11577450, $20.1, $20.2, $20.035
11/20/2019, $20.06, 12223520, $20, $20.17, $19.96
11/19/2019, $20.01, 11201030, $20.15, $20.17, $19.98
11/18/2019, $20.14, 11153000, $20.3, $20.435, $20.09
11/15/2019, $20.44, 23112000, $20.35, $20.52, $20.29
11/14/2019, $20.22, 15853610, $20.37, $20.51, $20.12
11/13/2019, $20.35, 18085060, $20.04, $20.43, $20.04
11/12/2019, $20.07, 11715640, $19.98, $20.18, $19.91
11/11/2019, $19.94, 9696389, $19.9, $20.05, $19.86
11/08/2019, $20.03, 11920090, $20, $20.115, $19.875
11/07/2019, $20.04, 11991340, $20.34, $20.34, $19.99
11/06/2019, $20.21, 10078670, $20.5, $20.56, $20.185
11/05/2019, $20.52, 12327030, $20.58, $20.67, $20.22
11/04/2019, $20.56, 12401460, $20.54, $20.73, $20.47
11/01/2019, $20.5, 10812150, $20.08, $20.5, $20.05
10/31/2019, $19.98, 16191750, $19.99, $20.04, $19.83
10/30/2019, $20, 13624330, $19.92, $20.15, $19.85
10/29/2019, $20.17, 11717900, $20.16, $20.38, $20.07
10/28/2019, $20.18, 10192310, $20.5, $20.53, $20.17
10/25/2019, $20.42, 10813790, $20.24, $20.47, $20.09
10/24/2019, $20.44, 10449330, $20.46, $20.71, $20.41
10/23/2019, $20.4, 8433486, $20.29, $20.41, $20.18
10/22/2019, $20.32, 10615580, $20.2, $20.56, $20.15
10/21/2019, $20.16, 10851890, $20.16, $20.35, $20.07
10/18/2019, $20.02, 13167580, $20.05, $20.18, $19.95
10/17/2019, $20.07, 14557020, $19.95, $20.13, $19.63
10/16/2019, $20.02, 17067010, $20.13, $20.185, $20
10/15/2019, $20.18, 13825190, $20.1, $20.32, $20.035
10/14/2019, $20.14, 12574000, $20.11, $20.17, $19.99
10/11/2019, $20.23, 10399140, $20.39, $20.42, $20.195
10/10/2019, $20.24, 8664134, $20.2, $20.31, $20.11
10/09/2019, $20.18, 8012770, $20.12, $20.29, $20.095
10/08/2019, $20.01, 10445950, $20.19, $20.27, $19.97
10/07/2019, $20.3, 7056540, $20.54, $20.565, $20.29
10/04/2019, $20.52, 6384282, $20.4, $20.535, $20.31
10/03/2019, $20.38, 8946536, $20.14, $20.4673, $19.93
10/02/2019, $20.17, 10058090, $20.25, $20.32, $20.11
10/01/2019, $20.29, 9735261, $20.7, $20.74, $20.24
09/30/2019, $20.61, 7118762, $20.6, $20.7128, $20.55
09/27/2019, $20.67, 7434866, $20.56, $20.755, $20.47
09/26/2019, $20.52, 6737674, $20.49, $20.575, $20.3
09/25/2019, $20.51, 7521265, $20.57, $20.66, $20.47
09/24/2019, $20.57, 10466200, $20.78, $20.855, $20.42
09/23/2019, $20.78, 7630056, $20.79, $20.96, $20.77
09/20/2019, $20.92, 14750920, $20.78, $20.955, $20.63
09/19/2019, $20.69, 9059138, $20.8, $20.84, $20.59
09/18/2019, $20.67, 7014037, $20.65, $20.73, $20.575
09/17/2019, $20.74, 15630110, $20.64, $20.91, $20.551
09/16/2019, $20.67, 20590570, $20.83, $20.99, $20.57
09/13/2019, $20.47, 21171290, $20.44, $20.55, $20.31
09/12/2019, $20.42, 10131340, $20.47, $20.54, $20.35
