Date, Close/Last, Volume, Open, High, Low
03/30/2020, $45, 23445970, $43.04, $45.56, $43.04
03/27/2020, $42.81, 23297900, $43.66, $44.03, $42.4
03/26/2020, $44.29, 37828290, $42.84, $45.27, $42.45
03/25/2020, $41.61, 42511650, $40.63, $43.45, $39.91
03/24/2020, $39.45, 49096210, $41.22, $41.4, $38.83
03/23/2020, $37.56, 44978500, $38.755, $38.8862, $36.27
03/20/2020, $38.3, 51513500, $41.95, $42.07, $37.51
03/19/2020, $41.83, 41956850, $44.36, $44.66, $41.04
03/18/2020, $44.85, 35408290, $44.74, $45.15, $41.59
03/17/2020, $47.18, 32106680, $45.88, $47.5, $45.37
03/16/2020, $45.26, 28682290, $42.24, $47.88, $41.17
03/13/2020, $48.47, 33697150, $49.51, $49.56, $46.605
03/12/2020, $47.16, 31913100, $48.54, $49.93, $46.69
03/11/2020, $52.21, 22660710, $52.35, $52.65, $51.14
03/10/2020, $53.66, 27457400, $53.22, $53.795, $51.17
03/09/2020, $51.86, 27898260, $52.05, $53.58, $51.475
03/06/2020, $55.26, 22353930, $54.94, $55.91, $53.98
03/05/2020, $56.74, 17948490, $57.8, $58.17, $56.19
03/04/2020, $58.92, 20526140, $56.41, $59, $56.41
03/03/2020, $56.06, 27099170, $56.76, $57.49, $55.64
03/02/2020, $55.92, 25698630, $53.93, $55.96, $53.7
02/28/2020, $53.49, 40891820, $53.83, $53.89, $51.58
02/27/2020, $54.93, 23754010, $57.15, $57.89, $54.88
02/26/2020, $57.6, 15839660, $57.98, $58.47, $57.475
02/25/2020, $57.82, 15915090, $58.7, $59.2, $57.62
02/24/2020, $58.65, 14415500, $59.11, $59.8, $58.57
02/21/2020, $60.13, 10842360, $59.51, $60.13, $59.43
02/20/2020, $59.72, 7597337, $59.68, $59.86, $59.11
02/19/2020, $59.77, 6265794, $59.51, $60, $59.47
02/18/2020, $59.53, 10076120, $59.81, $59.93, $59.45
02/14/2020, $59.95, 9965811, $59.63, $60.07, $59.62
02/13/2020, $59.61, 8173191, $59.38, $59.84, $59.21
02/12/2020, $59.41, 9179101, $59.48, $59.765, $59.315
02/11/2020, $59.59, 7431244, $59.72, $59.8, $59.32
02/10/2020, $59.75, 7984915, $59.32, $59.84, $59.285
02/07/2020, $59.19, 8757800, $58.88, $59.315, $58.85
02/06/2020, $58.99, 9347024, $58.98, $59.34, $58.84
02/05/2020, $58.85, 11414910, $58.9, $59.08, $58.535
02/04/2020, $58.84, 15417920, $58.75, $59.45, $58.62
02/03/2020, $58.58, 12336760, $58.75, $58.97, $58.52
01/31/2020, $58.4, 17685230, $58.97, $59.075, $58.145
01/30/2020, $58.86, 20225580, $57.93, $58.98, $57.76
01/29/2020, $57.01, 13173960, $57, $57.2571, $56.66
01/28/2020, $57.01, 15240430, $57.45, $57.75, $56.97
01/27/2020, $57.48, 14359940, $57.21, $57.85, $57.13
01/24/2020, $57.68, 8594325, $57.85, $57.87, $57.46
01/23/2020, $57.83, 12858950, $57.38, $57.845, $57.24
01/22/2020, $57.61, 12869730, $57.25, $57.64, $57.1799
01/21/2020, $57.17, 11968920, $56.85, $57.245, $56.5745
01/17/2020, $56.94, 14264300, $56.87, $57.15, $56.8
01/16/2020, $56.82, 10234420, $56.85, $56.95, $56.605
01/15/2020, $56.7, 17735380, $56, $56.98, $56
01/14/2020, $56, 16347160, $56.24, $56.292, $55.83
01/13/2020, $56.13, 14303170, $55.53, $56.23, $55.42
01/10/2020, $55.53, 13041110, $55.48, $55.93, $55.45
01/09/2020, $55.34, 15410150, $55, $55.395, $54.839
01/08/2020, $54.35, 10676710, $54.27, $54.64, $54.15
01/07/2020, $54.25, 10230670, $54.45, $54.6, $54.15
01/06/2020, $54.67, 14698440, $54.65, $54.905, $54.52
01/03/2020, $54.69, 11354500, $54.32, $54.99, $54.09
01/02/2020, $54.99, 11099120, $55.32, $55.43, $54.76
12/31/2019, $55.35, 7982821, $55.2, $55.38, $54.98
12/30/2019, $55.27, 6432611, $55.18, $55.385, $55.06
12/27/2019, $55.35, 6895612, $55.01, $55.445, $55
12/26/2019, $55.02, 6228683, $54.92, $55.02, $54.79
12/24/2019, $54.71, 3359259, $54.8, $55, $54.64
12/23/2019, $54.91, 9300763, $55, $55.24, $54.84
12/20/2019, $54.97, 23833290, $54.94, $55.2, $54.47
12/19/2019, $54.32, 15150940, $54.04, $54.34, $53.92
12/18/2019, $53.91, 15132350, $54.53, $54.75, $53.885
12/17/2019, $54.42, 9230076, $54.4, $54.58, $54.29
12/16/2019, $54.42, 9538429, $54.69, $54.83, $54.37
12/13/2019, $54.42, 13072400, $53.94, $54.55, $53.84
12/12/2019, $54.14, 11233470, $54.01, $54.45, $53.94
12/11/2019, $53.95, 8879196, $53.94, $54.15, $53.66
12/10/2019, $53.77, 8994061, $54.04, $54.07, $53.73
12/09/2019, $54.07, 13925130, $54.3, $54.51, $54.02
12/06/2019, $54.42, 7843836, $54.31, $54.5, $54.17
12/05/2019, $54.19, 14069780, $54.21, $54.29, $53.83
12/04/2019, $54.29, 13624910, $53.8, $54.31, $53.72
12/03/2019, $53.8, 15847770, $53.71, $53.84, $53.4
12/02/2019, $53.75, 13182510, $53.32, $53.75, $52.85
11/29/2019, $53.4, 7222347, $53.7, $53.725, $53.22
11/27/2019, $53.95, 9596440, $53.93, $54.1, $53.6
11/26/2019, $53.9, 13240290, $53.31, $53.94, $53.22
11/25/2019, $53.22, 10965780, $53.28, $53.39, $52.77
11/22/2019, $53.03, 9113348, $52.96, $53.1878, $52.75
11/21/2019, $52.96, 7856139, $53.11, $53.34, $52.775
11/20/2019, $53.22, 11970310, $53.1, $53.4, $53.01
11/19/2019, $53.08, 12679740, $53.15, $53.31, $52.87
11/18/2019, $53.03, 13783410, $52.68, $53.44, $52.67
11/15/2019, $52.67, 8982554, $52.64, $52.68, $52.375
11/14/2019, $52.63, 8660825, $52.53, $52.67, $52.35
11/13/2019, $52.41, 12538460, $52.18, $52.45, $51.9612
11/12/2019, $51.71, 12656900, $51.91, $51.91, $51.5831
11/11/2019, $51.84, 8198919, $52.33, $52.37, $51.775
11/08/2019, $52.21, 7141931, $52.46, $52.6, $52.09
11/07/2019, $52.29, 11725820, $52.88, $53, $51.96
11/06/2019, $52.8, 13288900, $52.53, $52.8, $52.41
11/05/2019, $52.42, 19283970, $52.89, $52.89, $52.12
11/04/2019, $53.14, 17515050, $53.96, $54, $52.97
11/01/2019, $53.9, 9889529, $54.63, $54.74, $53.85
10/31/2019, $54.43, 13981960, $53.96, $54.47, $53.85
10/30/2019, $53.94, 8620879, $53.52, $54.05, $53.16
10/29/2019, $53.41, 7999726, $53.39, $53.66, $53.26
10/28/2019, $53.57, 8866055, $53.74, $53.95, $53.37
10/25/2019, $53.75, 9782440, $54.55, $54.56, $53.67
10/24/2019, $54.61, 11069470, $54.57, $54.817, $54.485
10/23/2019, $54.64, 8648741, $54.06, $54.66, $54.01
10/22/2019, $53.85, 9618980, $54.23, $54.42, $53.74
10/21/2019, $54.23, 12879180, $54.45, $54.56, $53.68
10/18/2019, $54.78, 18122510, $55, $55.39, $54.45
10/17/2019, $53.79, 13336940, $53.69, $54.12, $53.58
10/16/2019, $53.49, 10675920, $53.46, $53.57, $53.1341
10/15/2019, $53.51, 9575426, $53.43, $53.68, $53.27
10/14/2019, $53.3, 7363270, $53.49, $53.68, $53.22
10/11/2019, $53.3, 9433728, $53.65, $53.7, $53.195
10/10/2019, $53.66, 9054321, $53.55, $53.88, $53.36
10/09/2019, $53.83, 7168098, $54.06, $54.065, $53.535
10/08/2019, $53.58, 13558240, $53.88, $54.07, $53.45
10/07/2019, $53.87, 6105344, $54.33, $54.36, $53.77
10/04/2019, $54.54, 9926618, $54, $54.54, $53.89
10/03/2019, $53.84, 14206690, $53.5, $53.9773, $52.8236
10/02/2019, $53.08, 15384000, $54.21, $54.435, $52.9
10/01/2019, $54.65, 14650920, $54.53, $54.78, $54.01
