Date, Close/Last, Volume, Open, High, Low
03/30/2020, $29.65, 12973070, $30, $30.36, $29.12
03/27/2020, $29.13, 14993050, $29.29, $29.9, $28.55
03/26/2020, $29, 18245410, $28, $29.18, $27.33
03/25/2020, $27.94, 20520980, $29.99, $30.19, $27.82
03/24/2020, $30.15, 13695020, $31.5, $31.68, $29.42
03/23/2020, $31.08, 13199890, $31.78, $32.72, $30.77
03/20/2020, $31.77, 21979240, $34.25, $34.25, $31.03
03/19/2020, $34.18, 16699290, $35.75, $36.5, $33.41
03/18/2020, $33.91, 25779350, $33.65, $36.84, $32.51
03/17/2020, $33, 25167920, $31.81, $34.94, $30.9065
03/16/2020, $31.1, 24770340, $29.33, $33.21, $29
03/13/2020, $30.71, 16518290, $30.54, $30.98, $28.25
03/12/2020, $29.12, 15294030, $28.6, $30.38, $28.37
03/11/2020, $30.59, 12935310, $31.81, $32.26, $30.07
03/10/2020, $32.6, 16506570, $31.3, $32.75, $31.18
03/09/2020, $31.25, 13149890, $30.68, $31.7, $30
03/06/2020, $32.04, 14613600, $32.72, $32.99, $31.51
03/05/2020, $33.47, 25208110, $30.65, $33.7, $30.4305
03/04/2020, $30.96, 9597759, $29.68, $30.97, $29.65
03/03/2020, $29.34, 10566920, $29.52, $30.42, $28.97
03/02/2020, $29.68, 11951130, $28.44, $29.69, $28.28
02/28/2020, $28.13, 13514390, $28, $28.18, $27.06
02/27/2020, $28.36, 8376577, $28.55, $29.295, $28.33
02/26/2020, $28.75, 7565988, $29.88, $29.88, $28.62
02/25/2020, $29.67, 7335175, $30.37, $30.42, $29.59
02/24/2020, $30.27, 7668598, $29.92, $30.64, $29.88
02/21/2020, $30.31, 9065337, $29.8, $30.515, $29.78
02/20/2020, $29.78, 6187456, $29.36, $29.8, $29.14
02/19/2020, $29.54, 7528095, $29.97, $30.2, $29.38
02/18/2020, $29.71, 16001560, $29.8, $30.73, $29.35
02/14/2020, $28.23, 4807850, $28.5, $28.71, $28.08
02/13/2020, $28.63, 3682140, $28.52, $28.78, $28.43
02/12/2020, $28.69, 4375741, $28.5, $28.835, $28.43
02/11/2020, $28.44, 4096259, $28.2, $28.47, $28.13
02/10/2020, $28.14, 4511172, $28, $28.335, $27.95
02/07/2020, $27.96, 5952030, $28.05, $28.2603, $27.865
