Date, Close/Last, Volume, Open, High, Low
04/13/2020, $188.32, 815585, $190.44, $190.76, $185.03
04/09/2020, $190.79, 1873478, $186.37, $194.245, $186.03
04/08/2020, $185.2, 1285860, $181, $188.675, $179.545
04/07/2020, $179.9, 2523435, $190.63, $190.64, $178.67
04/06/2020, $184, 1918678, $186.96, $187.21, $181.6
04/03/2020, $178.5, 1395984, $183.43, $184.76, $177.35
04/02/2020, $183.52, 1898486, $176.13, $183.96, $175.22
04/01/2020, $177.17, 1498696, $171.99, $177.91, $170.23
03/31/2020, $180.12, 2767479, $180.83, $183.56, $177.01
03/30/2020, $181.96, 1925012, $186.91, $187.49, $179.24
03/27/2020, $185, 2163117, $183.64, $190.535, $178.46
03/26/2020, $190.5, 2310904, $175.67, $191.19, $174.83
03/25/2020, $173.46, 1775686, $160.74, $179.77, $160
03/24/2020, $162.07, 1814394, $153.48, $162.56, $152.95
03/23/2020, $150.22, 2303428, $153.03, $154.54, $142.01
03/20/2020, $154.04, 2684634, $160.48, $160.48, $150.8
03/19/2020, $160.14, 2507690, $166.34, $167.37, $153.45
03/18/2020, $167.99, 2802164, $154.94, $175.1, $152.17
03/17/2020, $168.95, 2130536, $155.32, $170.68, $151.4
03/16/2020, $152.23, 1992091, $155, $166.47, $149.21
03/13/2020, $177.63, 2287395, $174.63, $178.64, $164.475
03/12/2020, $166.02, 3092657, $174.62, $181.55, $164.1217
03/11/2020, $188.36, 2323552, $190.8, $193.56, $184.36
03/10/2020, $196.12, 1826209, $193.5, $196.3, $186.31
03/09/2020, $186.58, 1918719, $186.77, $192.99, $182
03/06/2020, $199.93, 1615128, $195, $201.59, $192.4
03/05/2020, $200.57, 1761064, $208.65, $208.87, $199
03/04/2020, $211.64, 1677327, $202.35, $212, $200.29
03/03/2020, $198.68, 1772575, $203.87, $209.5, $197.88
03/02/2020, $202.05, 2246757, $197.9, $202.99, $194.71
02/28/2020, $197.73, 2997832, $195.52, $198.1136, $190.61
02/27/2020, $201.94, 2314574, $208.52, $210.02, $201.41
02/26/2020, $210.32, 2240928, $209.82, $215.74, $209.78
02/25/2020, $209.76, 1907393, $219.33, $220.78, $208.9
02/24/2020, $219.06, 1185661, $218.18, $220.75, $216.83
02/21/2020, $222.8, 1198735, $222.99, $224.23, $221.56
02/20/2020, $223.8, 957838, $226.43, $227.22, $221.49
02/19/2020, $225.98, 1450300, $228.61, $229.71, $225.51
02/18/2020, $228.73, 912288, $228, $229.86, $226.56
02/14/2020, $228.55, 1177177, $227.16, $229.47, $226.48
02/13/2020, $227.01, 1187925, $229.19, $230.98, $226.96
02/12/2020, $230.04, 1433561, $228.49, $230.23, $224.76
02/11/2020, $228, 1283749, $229.27, $229.4441, $226.8289
02/10/2020, $229.6, 1053446, $229.87, $230.99, $227.23
02/07/2020, $229.86, 1229838, $227.22, $230.58, $226
02/06/2020, $225.98, 1458459, $223.65, $227.575, $222.975
02/05/2020, $223.47, 1316430, $224.61, $225.89, $221.91
02/04/2020, $223.74, 1802689, $225.36, $228.5, $222.29
02/03/2020, $220.89, 1244651, $221.75, $223.265, $220.34
01/31/2020, $221.33, 1390120, $223.74, $224.69, $219.41
01/30/2020, $224.74, 1038000, $222.01, $225.055, $221.81
01/29/2020, $223.57, 930233, $224, $225.85, $222.79
01/28/2020, $223.14, 1334771, $223.12, $224.25, $220.63
01/27/2020, $222.32, 1231665, $220.99, $223.57, $219.76
01/24/2020, $222.98, 1154234, $223.23, $224.5, $222.04
01/23/2020, $222.81, 1211585, $220.13, $223.815, $219.61
01/22/2020, $219.91, 1411393, $221, $223, $219.32
01/21/2020, $220.46, 1527234, $219.4, $221.34, $217.81
01/17/2020, $219.38, 1934526, $215.3, $219.465, $214.01
01/16/2020, $214.35, 876559, $214.02, $214.99, $213.2
01/15/2020, $213.16, 882653, $212.4, $215.67, $211.85
01/14/2020, $212.78, 1265363, $212.57, $213.09, $211.62
01/13/2020, $212.6, 1306907, $211.44, $212.75, $208.7175
01/10/2020, $210.37, 1186479, $212.07, $212.34, $209.705
01/09/2020, $212.29, 980123, $210.39, $212.94, $210.2633
01/08/2020, $211.29, 1683341, $212.75, $214.8899, $210.41
01/07/2020, $212.73, 1557799, $212.02, $214.24, $211
01/06/2020, $211.72, 1969660, $212.22, $214, $209.14
01/03/2020, $210.47, 2182367, $206.17, $210.83, $206.17
01/02/2020, $203.31, 1117805, $198.43, $203.37, $198.055
12/31/2019, $197.87, 1010883, $199.92, $200.56, $197.04
12/30/2019, $200.08, 838101, $201.77, $201.78, $199
12/27/2019, $201.71, 881467, $202.08, $203.23, $201.25
12/26/2019, $201.61, 637725, $201.23, $202, $200.62
12/24/2019, $201.22, 330616, $202.89, $203.02, $200.6
12/23/2019, $201.73, 1129448, $200.77, $203.1895, $199.06
12/20/2019, $199.99, 2304914, $199.6, $200.77, $197.11
12/19/2019, $197.41, 1288740, $198.22, $198.97, $196.15
12/18/2019, $197.72, 1306665, $199.21, $199.94, $196.55
12/17/2019, $199.08, 1240139, $200.97, $201.98, $196.28
12/16/2019, $201.34, 1322708, $200.59, $202.45, $199.1
12/13/2019, $200.18, 1515965, $195.78, $200.35, $195.78
12/12/2019, $196.28, 1102104, $198.39, $199.99, $195.23
12/11/2019, $198.48, 1085413, $196.16, $198.64, $196.16
12/10/2019, $196.96, 1626460, $198.07, $199.48, $196.55
12/09/2019, $193.62, 1255210, $192.5, $193.76, $191.93
12/06/2019, $192.49, 1333389, $193.55, $195.39, $192.24
12/05/2019, $193.39, 909857, $193.68, $194.68, $193.15
12/04/2019, $193.68, 1062525, $195.78, $196.45, $193.59
12/03/2019, $194.94, 1313926, $194.27, $195.56, $193.32
12/02/2019, $194.27, 1364630, $200.22, $200.67, $193.86
11/29/2019, $201.09, 485936, $201.11, $201.66, $199.36
11/27/2019, $200.5, 802030, $199.51, $200.9055, $198.525
11/26/2019, $199.71, 1932704, $197.58, $200.28, $196.54
11/25/2019, $196.49, 1710448, $198.67, $200.55, $195.9
11/22/2019, $198.64, 900518, $200.68, $201.21, $197.6511
11/21/2019, $199.06, 1750900, $204, $205.09, $198.625
11/20/2019, $204.81, 1227855, $203.42, $206.2, $203.33
11/19/2019, $203.15, 1301661, $203.94, $204.99, $202.28
11/18/2019, $202.74, 1285089, $202.38, $204.22, $202.01
11/15/2019, $202.52, 1212849, $201.63, $202.98, $200.95
11/14/2019, $199.76, 858533, $199.28, $201.49, $198.63
11/13/2019, $199.23, 1313265, $197.93, $200.285, $196.34
11/12/2019, $198.19, 1951413, $194.73, $198.65, $194.03
11/11/2019, $195.16, 1470200, $194.65, $195.74, $191.95
11/08/2019, $196.02, 1374557, $194.38, $197.75, $194.31
11/07/2019, $194.88, 1569728, $197, $197.39, $194.56
11/06/2019, $195.95, 1754093, $192.06, $196.3, $192.06
11/05/2019, $193.04, 2653122, $194.37, $194.87, $190.55
11/04/2019, $194.93, 2417417, $201, $201.615, $193.77
11/01/2019, $201.41, 2411835, $206.35, $208, $200.15
10/31/2019, $206.31, 1962772, $207.38, $209.35, $204.59
10/30/2019, $207.82, 1676679, $206.86, $209.12, $203.01
10/29/2019, $202.99, 1795412, $201.24, $204.01, $200.27
10/28/2019, $200.59, 1140529, $200.97, $202.65, $199.93
