Date, Close/Last, Volume, Open, High, Low
03/30/2020, $176.8, 2480747, $172.26, $177.29, $170.84
03/27/2020, $167.34, 2301593, $167.33, $171.06, $166.21
03/26/2020, $174.19, 2725978, $169.27, $175, $168.69
03/25/2020, $165.3, 3258398, $163.07, $175.46, $161.34
03/24/2020, $164.81, 3423122, $159.29, $166.84, $157
03/23/2020, $150, 4434284, $149.78, $155.36, $146.8
03/20/2020, $151.3, 4699908, $154.1, $157.94, $148.05
03/19/2020, $154.01, 4296144, $151.47, $158.81, $148.8076
03/18/2020, $157.51, 4723882, $153.39, $160.16, $149.64
03/17/2020, $163.88, 4956616, $156.76, $165.64, $155.66
03/16/2020, $158.35, 7079297, $148.72, $163.64, $146.71
03/13/2020, $176.5, 6387289, $173.38, $177.15, $161.35
03/12/2020, $158.02, 6340391, $163.4, $169.95, $157
03/11/2020, $173.92, 4340380, $173.46, $176.66, $172.54
03/10/2020, $176.21, 5604105, $176.48, $177.42, $167.52
03/09/2020, $173.13, 4822731, $175.06, $180.38, $172.32
03/06/2020, $189.2, 4466755, $192.13, $192.66, $185.76
03/05/2020, $196.51, 3204347, $197.74, $199.48, $195.07
03/04/2020, $205.53, 2755569, $198.4, $205.75, $197.37
03/03/2020, $195.39, 4063276, $198.02, $201.84, $192.34
03/02/2020, $198.15, 3489615, $191.3, $198.3, $189.41
02/28/2020, $191.01, 5555310, $190.81, $192.83, $185.95
02/27/2020, $194.95, 3685484, $199.87, $203.365, $194.9
02/26/2020, $203.41, 2711176, $203.3, $206.92, $202.58
02/25/2020, $201.65, 2743145, $209.18, $209.7, $200.85
02/24/2020, $210.55, 2020406, $211.15, $212.316, $209.6
02/21/2020, $218.34, 1660085, $219.99, $220.3, $218.24
02/20/2020, $221.2, 1534661, $220.45, $222.36, $218.03
02/19/2020, $222.48, 1590105, $223.02, $223.55, $221.87
02/18/2020, $223.55, 1524665, $224.04, $224.59, $222.87
02/14/2020, $222.64, 1280266, $221.64, $223.1, $221.22
02/13/2020, $221.26, 2231949, $222.3, $227.85, $221.14
02/12/2020, $217.2, 1237977, $217.12, $217.42, $215.51
02/11/2020, $216.22, 1385718, $217.58, $218.84, $215.98
02/10/2020, $215.44, 1435573, $214.89, $215.73, $214.12
02/07/2020, $214.16, 995283, $214.78, $215.69, $212.73
02/06/2020, $216.75, 2234219, $216.79, $217.42, $215.07
02/05/2020, $216.74, 2970403, $217.12, $217.12, $213.26
02/04/2020, $213.5, 2369442, $210.81, $214.85, $210.62
02/03/2020, $209.44, 2912331, $203.77, $210.05, $203.58
01/31/2020, $203.13, 1909667, $205.63, $206.34, $202.97
01/30/2020, $208.23, 1381321, $206.47, $208.57, $205.46
01/29/2020, $208.23, 982718, $208.13, $209.4396, $207.66
01/28/2020, $207.88, 1229441, $205.43, $208.93, $205.18
01/27/2020, $204.88, 1947799, $205.22, $206.2986, $204.0872
01/24/2020, $209.99, 1541574, $210, $212.3, $208.82
01/23/2020, $209.62, 1400735, $208.42, $209.65, $207.52
01/22/2020, $211.08, 966943, $211.2, $211.95, $210.45
01/21/2020, $211.73, 1384595, $211.7, $212.74, $211.18
01/17/2020, $214.1, 1903666, $213.19, $214.42, $212.84
01/16/2020, $213.06, 1302600, $212.88, $213.07, $211.78
01/15/2020, $211.44, 1078220, $210.99, $212.08, $210.35
01/14/2020, $209.96, 2107343, $211.27, $212.12, $209.14
01/13/2020, $211.8, 1225710, $209.79, $211.93, $209.33
01/10/2020, $209.08, 1217575, $210.74, $211.825, $208.93
01/09/2020, $208.85, 1086061, $208.08, $209.7399, $207.81
01/08/2020, $207.39, 1327341, $205.27, $208.185, $205.1
01/07/2020, $204.83, 2591055, $204.81, $206.75, $204.25
01/06/2020, $204.39, 2397233, $204.6, $206.3457, $204.19
01/03/2020, $205.26, 2899274, $207.4, $209.05, $205.17
01/02/2020, $210.74, 2316757, $213.58, $214.4459, $210.46
12/31/2019, $212.9, 1040102, $211.74, $212.92, $211.26
12/30/2019, $211.49, 807517, $212.81, $212.9, $211.27
12/27/2019, $212.26, 825467, $214.15, $214.255, $212.09
12/26/2019, $212.75, 481035, $211.7, $212.75, $211.1
12/24/2019, $211.62, 399895, $211.57, $212.41, $210.67
12/23/2019, $211.77, 967356, $212.08, $212.31, $211.1
12/20/2019, $212.11, 3034144, $213.13, $213.94, $211.02
12/19/2019, $209.4, 1205193, $207.94, $209.45, $207.66
12/18/2019, $208.33, 1427284, $209.32, $209.33, $206.94
12/17/2019, $209.66, 1432967, $210.38, $210.52, $208.71
12/16/2019, $210.02, 1797239, $211.1, $211.17, $209.82
12/13/2019, $209.05, 1527875, $211.11, $211.64, $208.38
12/12/2019, $209.92, 1333023, $207.09, $210.25, $206.87
12/11/2019, $205.64, 1159209, $205.45, $206.36, $204.89
12/10/2019, $203.95, 1135921, $204.7, $205.74, $203.83
12/09/2019, $205.33, 1067442, $206.86, $207, $204.78
12/06/2019, $205.53, 921807, $205.6, $205.99, $204.595
12/05/2019, $203.75, 868705, $203.17, $204.06, $202.25
12/04/2019, $202.75, 1384524, $204.3, $205.02, $202.67
12/03/2019, $202.04, 1233000, $200.61, $202.56, $199.61
12/02/2019, $200.63, 1732320, $202.85, $203.58, $199.83
11/29/2019, $206.21, 847557, $205.39, $206.82, $205.16
11/27/2019, $206, 1074031, $203.96, $206.11, $203.81
11/26/2019, $205.14, 1550817, $205.11, $205.98, $204.64
11/25/2019, $205.94, 1422734, $204.74, $205.96, $204.24
11/22/2019, $204.91, 941241, $205.41, $206.09, $204.66
11/21/2019, $206.26, 1378832, $207.23, $207.81, $206.0338
11/20/2019, $206.18, 1238023, $207.02, $207.7, $205.56
11/19/2019, $207.43, 1464421, $210.2, $210.5, $207.43
11/18/2019, $209.11, 1116126, $208.39, $209.96, $207.48
11/15/2019, $209.71, 1805063, $210, $210.325, $208.33
11/14/2019, $208.64, 1003439, $207.09, $208.97, $206.74
11/13/2019, $207.82, 1389337, $207.2, $208.69, $206.75
11/12/2019, $205.76, 1684219, $205.23, $207.71, $204.18
11/11/2019, $202.29, 881660, $202.77, $203.32, $201.58
11/08/2019, $203, 966331, $203.6, $204.45, $202.31
11/07/2019, $202.6, 1099122, $201.64, $202.72, $201.04
11/06/2019, $201.12, 1084776, $201.11, $201.6, $200.11
11/05/2019, $200.31, 1147409, $200.94, $201.48, $198.95
11/04/2019, $200.76, 1101703, $201.25, $201.49, $200.12
11/01/2019, $198.8, 816807, $198.88, $200.05, $198.38
10/31/2019, $198.35, 1306984, $199.18, $199.25, $196.95
10/30/2019, $199.19, 1111100, $197.87, $199.56, $196.3
10/29/2019, $199.11, 1083336, $197.77, $201.31, $197.11
10/28/2019, $196.77, 1217181, $196.31, $196.89, $195.68
10/25/2019, $195, 1026369, $194.39, $195.45, $194.04
10/24/2019, $192.99, 997825, $194.31, $194.637, $192.69
10/23/2019, $193.7, 1228378, $193.76, $194.87, $193.17
10/22/2019, $191.47, 1434090, $193.08, $193.68, $191.4
10/21/2019, $194.97, 931156, $195.94, $196.05, $194.33
10/18/2019, $195.79, 1030107, $196.88, $197.24, $194.94
10/17/2019, $196.64, 960666, $197.76, $198.98, $196.55
10/16/2019, $196.85, 1579875, $197.8, $198.18, $196.14
10/15/2019, $195.18, 1520741, $195.79, $198.03, $194.89
10/14/2019, $192.53, 1215606, $194.3, $195.31, $192.46
10/11/2019, $194.25, 1610302, $192.68, $196.54, $192.35
