Date, Close/Last, Volume, Open, High, Low
04/13/2020, $144.42, 2289127, $144.97, $146.59, $142.88
04/09/2020, $145.73, 4415537, $144.51, $146.4, $143.55
04/08/2020, $146.22, 4006811, $142.05, $147.25, $140.5
04/07/2020, $141.88, 3900683, $143.13, $144.8, $140.05
04/06/2020, $141.61, 4159869, $142.27, $143.5, $140.3
04/03/2020, $139.66, 4013280, $140.92, $144.6, $138.46
04/02/2020, $142.18, 4725051, $135.35, $142.8, $133.03
04/01/2020, $136.42, 3297943, $134, $137.19, $132.98
03/31/2020, $138.72, 7561617, $136.96, $142.02, $134.52
03/30/2020, $138.44, 5057365, $133.87, $141.77, $133.51
03/27/2020, $134.11, 4717376, $130.65, $137.61, $130.1966
03/26/2020, $134.35, 6723870, $123.29, $135.7396, $121.94
03/25/2020, $121.94, 6472192, $120.12, $126.14, $119.21
03/24/2020, $122.89, 6827409, $123.24, $124.6, $117.41
03/23/2020, $119.05, 7299342, $120.95, $126.88, $117.06
03/20/2020, $122.4, 9113640, $132.16, $132.25, $120.2315
03/19/2020, $133.09, 6555120, $142.49, $142.98, $131.12
03/18/2020, $143.09, 6734850, $136.34, $144, $134.08
03/17/2020, $143.2, 8909251, $133.21, $143.59, $131.1
03/16/2020, $129.38, 6619710, $131, $138.68, $128.2514
03/13/2020, $139.37, 6841696, $132.95, $139.37, $128.505
03/12/2020, $126.02, 7836650, $130.79, $136.5, $125.93
03/11/2020, $140.02, 7211964, $139.46, $141.84, $137.3942
03/10/2020, $141.19, 5961351, $139.23, $141.93, $134.72
03/09/2020, $135.72, 5351578, $134.02, $140.93, $133.31
03/06/2020, $141.46, 8010654, $136.12, $142.36, $135.55
03/05/2020, $140.15, 6882129, $138.38, $141.91, $137.53
03/04/2020, $140.38, 5301949, $133.03, $140.86, $133
03/03/2020, $130.31, 6936631, $133.28, $135.65, $128.69
03/02/2020, $132.84, 7355667, $127.74, $133, $126.21
02/28/2020, $126.13, 7898390, $126.38, $126.8, $121.51
02/27/2020, $129.19, 4292823, $133.33, $134.6699, $129.05
02/26/2020, $133.53, 4659289, $136.03, $137.02, $133.31
02/25/2020, $135.41, 3401770, $138.94, $139.23, $134.62
02/24/2020, $138.15, 4727778, $139.28, $141.59, $137.87
02/21/2020, $142.04, 2900958, $141.34, $142.65, $140.33
02/20/2020, $142, 3416988, $141.63, $142.805, $141.195
02/19/2020, $140.83, 3082771, $141.62, $141.84, $140.36
02/18/2020, $141.01, 2858223, $141.02, $141.96, $140.53
02/14/2020, $141.12, 2274126, $142.25, $142.3162, $140.565
02/13/2020, $141.8, 3455635, $142.86, $143.74, $141.79
02/12/2020, $143.51, 3953354, $144.67, $144.9, $143.49
02/11/2020, $144.25, 2976514, $145.73, $145.86, $143.18
02/10/2020, $145.51, 4892179, $141.5, $145.55, $141.12
02/07/2020, $146.41, 2670411, $147.22, $147.22, $145.38
02/06/2020, $147.3, 3285190, $147.74, $147.87, $146.81
02/05/2020, $147.35, 4061100, $144.78, $147.36, $144.53
02/04/2020, $143.44, 3177572, $142.3, $144.07, $141.78
02/03/2020, $141, 5137780, $140.53, $141.57, $139.68
01/31/2020, $139.64, 3913487, $142.85, $142.85, $139.47
01/30/2020, $142.67, 5243822, $138.18, $143.72, $138.1
01/29/2020, $139.92, 2816298, $139.51, $141.14, $138.97
01/28/2020, $139.26, 2649056, $138.69, $139.88, $138.23
01/27/2020, $138.31, 2826627, $137.34, $139.1, $137.34
01/24/2020, $139.07, 3183268, $141.85, $141.99, $138.7
01/23/2020, $141.21, 3138694, $141.25, $141.74, $139.88
01/22/2020, $141.56, 2742065, $141.25, $142.25, $140.6915
01/21/2020, $140.91, 4849620, $139.5, $141.57, $138.43
01/17/2020, $139.58, 5393587, $140.88, $141.74, $139.36
01/16/2020, $141.43, 3794808, $141.83, $141.97, $139.85
01/15/2020, $141.11, 3676480, $140.58, $141.69, $140.01
01/14/2020, $140.65, 4685251, $138.99, $140.9, $138.12
01/13/2020, $138.94, 5117116, $138.2, $139.99, $137.89
01/10/2020, $138, 4177719, $135.78, $138.27, $135.53
01/09/2020, $135.92, 4524048, $134.55, $136.36, $134.01
01/08/2020, $133.71, 5188559, $132.46, $134.21, $132.01
01/07/2020, $132.51, 2448943, $131.7, $132.925, $131.7
01/06/2020, $132.26, 2102920, $131.42, $132.56, $130.94
01/03/2020, $131.77, 1963912, $130.3, $132.47, $130.23
01/02/2020, $132.21, 1927432, $131.77, $132.26, $130.73
12/31/2019, $131.43, 1549861, $131.18, $131.52, $130.5
12/30/2019, $131.3, 1856229, $131.52, $131.93, $130.87
12/27/2019, $131.52, 2161345, $131.57, $131.77, $130.84
12/26/2019, $131.14, 1272183, $131, $131.7, $130.66
12/24/2019, $131.11, 1215797, $131.07, $131.21, $130.13
12/23/2019, $131.15, 2473592, $132.39, $132.58, $131.0287
12/20/2019, $132.43, 9230757, $132.49, $137, $131.24
12/19/2019, $130.85, 4423412, $129.08, $130.99, $128.34
12/18/2019, $129.48, 8173458, $127.88, $129.98, $127.69
12/17/2019, $125.33, 6723678, $124, $127.03, $123.31
12/16/2019, $122.85, 3468563, $123.07, $124.26, $122.06
12/13/2019, $121.53, 3343900, $121.98, $122.19, $120.72
12/12/2019, $121.7, 2959433, $120.56, $121.9325, $120.56
12/11/2019, $120.78, 3438106, $120.56, $121.2, $119.98
12/10/2019, $120.65, 3592725, $120.56, $121.15, $120.11
12/09/2019, $120.24, 2344005, $119.53, $120.84, $118.94
12/06/2019, $119.64, 2462830, $119.97, $120.705, $119.58
12/05/2019, $119.77, 3003189, $118.4, $119.92, $117.54
12/04/2019, $118.67, 2597005, $118.28, $118.84, $117.57
12/03/2019, $117.61, 3052711, $116.4, $117.92, $115.92
12/02/2019, $116.74, 2200267, $117.52, $118.25, $116.1
11/29/2019, $117.35, 1243926, $117.23, $118.04, $117.17
11/27/2019, $117.44, 1798268, $117.73, $117.9, $116.62
11/26/2019, $117.09, 4705350, $117.47, $118.11, $117
11/25/2019, $117.47, 2939682, $116.6, $118.46, $116.6
11/22/2019, $116.2, 3120074, $115.09, $116.68, $114.71
11/21/2019, $114.75, 2909502, $114.7, $115.52, $113.29
11/20/2019, $114.61, 3638226, $114.96, $115.92, $114.05
11/19/2019, $115.1, 3781612, $114.03, $116.12, $113.75
11/18/2019, $114.07, 3361591, $113.02, $114.13, $112.86
11/15/2019, $113.19, 4857381, $111.33, $113.82, $111.33
11/14/2019, $111.39, 2627138, $112.19, $112.36, $111
11/13/2019, $112.79, 3275038, $112.87, $113.53, $112.25
11/12/2019, $113.17, 2273221, $112.77, $114.04, $112.45
11/11/2019, $112.8, 1770222, $113.46, $114.21, $112.22
11/08/2019, $113.53, 2224211, $112.65, $113.57, $112.1
11/07/2019, $112.77, 3076343, $114.23, $114.63, $112.03
11/06/2019, $113.82, 3973691, $111.57, $114.29, $111.51
11/05/2019, $111.25, 3357293, $112.95, $113.08, $110.51
11/04/2019, $113.11, 3002129, $113.24, $114.33, $112.865
11/01/2019, $112.51, 2629123, $114.07, $114.51, $112.3148
10/31/2019, $113.95, 4124383, $112.36, $114.665, $112
10/30/2019, $112.72, 2424676, $111.37, $113.21, $111.26
10/29/2019, $111.67, 2987828, $112.5, $112.81, $111.5
10/28/2019, $112.99, 4168518, $110.62, $113.19, $110.62
10/25/2019, $110.2, 4234636, $108.08, $110.59, $107.54
10/24/2019, $107.84, 3315208, $107.5, $108.21, $106.25
10/23/2019, $107.4, 9115337, $106, $107.75, $101.36
10/22/2019, $109.84, 5750365, $109.98, $111.46, $108.89
10/21/2019, $107.91, 4079997, $108.87, $109, $107.77
10/18/2019, $108.64, 2207095, $108.31, $108.94, $107.9
10/17/2019, $108.46, 2268095, $109.22, $109.46, $108.26
10/16/2019, $107.95, 2316857, $109.18, $109.48, $107.79
10/15/2019, $109.7, 1761041, $108.35, $110.1, $108.22
10/14/2019, $107.9, 1371611, $108.52, $109.13, $107.88
10/11/2019, $108.36, 2558319, $107.75, $109.14, $107.59
10/10/2019, $106.92, 2797589, $107.03, $107.485, $106.58
10/09/2019, $107.3, 1637391, $107.56, $108.15, $106.88
10/08/2019, $107.19, 2841693, $106.89, $108.325, $105.95
10/07/2019, $107.83, 1506055, $108.31, $108.65, $107.57
10/04/2019, $108.2, 2889307, $107.49, $108.26, $107
10/03/2019, $107.29, 2875446, $107.09, $108.1, $106.21
10/02/2019, $107, 4556003, $110.33, $110.64, $106.66
10/01/2019, $110.96, 2493452, $111.94, $112.45, $110.405
