Date, Close/Last, Volume, Open, High, Low
04/13/2020, $369.94, 1237455, $370.95, $373.9899, $365.71
04/09/2020, $371, 1629395, $369.74, $376.325, $363.52
04/08/2020, $361.41, 1447756, $361.37, $372.65, $358.59
04/07/2020, $355.28, 2101620, $380.5, $381.9, $354.05
04/06/2020, $367.95, 2525354, $361.91, $369.95, $361.91
04/03/2020, $350.5, 2113228, $352, $355.84, $349.61
04/02/2020, $353.96, 1896286, $335.25, $354, $334.545
04/01/2020, $338.52, 2082566, $324.83, $340.99, $322.0101
03/31/2020, $338.95, 2169674, $344.81, $346.9173, $336.24
03/30/2020, $348.85, 1756317, $351.49, $356.48, $342.2794
03/27/2020, $348.38, 3562975, $339.99, $365.09, $335.01
03/26/2020, $350.33, 2681161, $326, $352.1, $324.0116
03/25/2020, $319.67, 2950520, $300.62, $329.82, $293.61
03/24/2020, $288.91, 3088354, $287.97, $294.99, $280.241
03/23/2020, $276.8, 3172086, $285, $287.06, $266.11
03/20/2020, $291.22, 3040087, $314.2, $315.84, $288.21
03/19/2020, $314.2, 2836722, $333.41, $334.1, $311.205
03/18/2020, $333.41, 3589404, $296.92, $339.23, $296.04
03/17/2020, $318.83, 2626228, $293, $319.47, $287.15
03/16/2020, $287.94, 2351530, $295.01, $311.5615, $285
03/13/2020, $328.59, 3877770, $327.33, $329.16, $303.1
03/12/2020, $311.38, 3892633, $322, $339.42, $310.08
03/11/2020, $356.93, 1951466, $356.57, $365.89, $349.79
03/10/2020, $367.17, 2505975, $363.01, $367.67, $350.6
03/09/2020, $352.03, 3086724, $359.98, $369.47, $351.27
03/06/2020, $382.47, 2161008, $372.09, $384.95, $368.4631
03/05/2020, $384.7, 1967451, $393.92, $397.85, $382.22
03/04/2020, $402.03, 2025808, $385.42, $402.96, $383.185
03/03/2020, $377.4, 2531514, $384.84, $396.9, $376.59
03/02/2020, $381.35, 2859878, $371.35, $383.1, $360.57
02/28/2020, $369.87, 3364321, $369.86, $373.82, $360.34
02/27/2020, $384.6, 1894460, $393.52, $399.01, $384.33
02/26/2020, $400.9, 1678581, $400.31, $410.52, $399.34
02/25/2020, $400.36, 1600075, $420.1, $421.73, $397.53
