Date, Close/Last, Volume, Open, High, Low
04/13/2020, $258.78, 1410748, $256.21, $259.3, $250.24
04/09/2020, $258.28, 2620622, $271.7, $277.42, $255.76
04/08/2020, $266.75, 1892262, $259.89, $272.27, $257.3311
04/07/2020, $256.22, 2577810, $264.18, $265, $251.44
04/06/2020, $250.75, 3327154, $231.62, $252.4, $229.075
04/03/2020, $218.15, 1490645, $223.06, $224.44, $213.29
04/02/2020, $220.57, 1891406, $219.58, $226.36, $215.921
04/01/2020, $223.33, 2465518, $228.95, $237.195, $220.21
03/31/2020, $240, 2787519, $252.25, $254.99, $238.09
03/30/2020, $255.3, 2129752, $246.46, $257.9327, $241.24
03/27/2020, $241.22, 3203300, $253.35, $262.88, $240.4
03/26/2020, $260.34, 3168414, $240.18, $260.98, $235
03/25/2020, $233.55, 2837430, $231.82, $250.11, $228.31
03/24/2020, $230.64, 2921518, $209.49, $232.63, $207.365
03/23/2020, $192.85, 3027167, $190.68, $199.95, $185.84
03/20/2020, $187.89, 3904532, $200.01, $224.14, $187.11
03/19/2020, $195.01, 3343882, $190.52, $201.396, $187.02
03/18/2020, $194.14, 3607202, $203.44, $215.34, $181.38
03/17/2020, $229.3, 3669655, $217.07, $237.825, $203.73
03/16/2020, $213.54, 3096041, $223.82, $245.77, $213.08
03/13/2020, $261.78, 2692038, $254, $262.94, $242.63
03/12/2020, $237.85, 3684436, $257.07, $265.5899, $237.45
03/11/2020, $276.63, 3144769, $278.54, $284.49, $272.583
03/10/2020, $287.57, 2372482, $275.68, $287.86, $267.44
03/09/2020, $267.6, 2649495, $273, $283.2584, $267.23
03/06/2020, $294.41, 2048884, $290.77, $298.6699, $285.25
03/05/2020, $299.13, 2037002, $297.85, $309.65, $296
03/04/2020, $306.24, 1916962, $298.87, $306.3, $293.8
03/03/2020, $291.46, 2510294, $300.3, $308.3, $288.59
03/02/2020, $300.33, 2347251, $296.64, $300.55, $284.015
02/28/2020, $293.43, 3199237, $275.82, $294.45, $273.66
02/27/2020, $285.7, 2872175, $285.64, $293.755, $282.01
02/26/2020, $296.6, 2379977, $296.24, $304.63, $294.62
02/25/2020, $292.22, 2549829, $305.82, $306.9, $289.39
02/24/2020, $300.46, 3102246, $299.2, $305.3074, $295.12
02/21/2020, $316.8, 2161396, $326.22, $327.04, $315.24
02/20/2020, $328.49, 1887801, $331.95, $334.04, $324.02
02/19/2020, $333.85, 1539560, $331.18, $335.4099, $330.3
02/18/2020, $325.34, 2753842, $323.24, $332, $323
02/14/2020, $339.3, 1109935, $341.49, $344.21, $336.7601
02/13/2020, $341.58, 2110509, $335.05, $344.32, $333.62
02/12/2020, $334.62, 1687166, $328, $335.18, $328
02/11/2020, $325.67, 1520740, $322.87, $326.83, $322.87
02/10/2020, $319.83, 1088697, $313.98, $319.89, $313
02/07/2020, $315.4, 1602888, $320.63, $321.28, $314.72
02/06/2020, $323.52, 1262497, $326, $326.85, $323
02/05/2020, $325.62, 2157194, $331.23, $332.534, $323.7
02/04/2020, $325.4, 2531048, $316.56, $326.82, $316.12
02/03/2020, $308.44, 1947758, $300, $309.58, $300
01/31/2020, $298.21, 2436457, $308, $308.97, $297.27
01/30/2020, $310.95, 3943128, $318.4, $319, $305.76
01/29/2020, $298.22, 1815761, $302.23, $303.99, $295.91
01/28/2020, $301.69, 1814954, $298.78, $303.25, $293.3554
01/27/2020, $293.79, 1911264, $297.03, $298.6775, $292.69
01/24/2020, $306.54, 1632588, $315.89, $316.73, $303.71
01/23/2020, $312.42, 1556587, $312, $312.68, $307.55
01/22/2020, $311.34, 1503992, $311, $315.36, $310.75
01/21/2020, $308.68, 1500159, $308.19, $311.9066, $307.31
01/17/2020, $308, 1929917, $307.05, $308.49, $302.16
01/16/2020, $305.95, 1606960, $301.82, $307.258, $300.9516
01/15/2020, $298.34, 1082948, $299.28, $300.55, $296.72
01/14/2020, $300.76, 1732244, $300.14, $304.37, $296.74
01/13/2020, $297.29, 1399931, $294.38, $297.33, $292.505
01/10/2020, $294.34, 1405199, $299.11, $301.2822, $292.95
01/09/2020, $297.93, 1375168, $302.12, $303.88, $293.5
01/08/2020, $299.97, 1553726, $297.48, $301.67, $295.2
01/07/2020, $296.24, 1561967, $291.74, $298.535, $291.376
01/06/2020, $289.19, 1340668, $289.79, $292.03, $287.54
01/03/2020, $294.69, 962205, $292.05, $296.81, $291.72
01/02/2020, $297.89, 1506417, $295.78, $299.8, $294.491
12/31/2019, $292.4, 915380, $291.5, $292.59, $288.52
12/30/2019, $292.54, 850605, $292.51, $293.215, $287.64
12/27/2019, $293.7, 608281, $295.92, $296.37, $292.765
12/26/2019, $294.92, 622043, $294.97, $295.32, $293.14
12/24/2019, $294.48, 386612, $295.69, $296.08, $292.115
12/23/2019, $294.45, 1160884, $298.38, $299, $294.27
12/20/2019, $297.41, 3350926, $297.79, $299.39, $293.72
12/19/2019, $293.29, 1332827, $290.61, $293.41, $288.28
12/18/2019, $288.02, 1411934, $290.41, $292.25, $286.89
12/17/2019, $290.57, 2102064, $286.5, $291.25, $285.33
12/16/2019, $284.25, 1526293, $286.15, $288.44, $284.25
12/13/2019, $281.95, 2278644, $283.89, $288.87, $280.51
12/12/2019, $284.7, 1827795, $274.45, $285.53, $274.09
12/11/2019, $275.4, 1558624, $268.75, $276.05, $268.515
12/10/2019, $268.99, 1183024, $268.5, $271.63, $267.18
12/09/2019, $268.02, 1045076, $271.31, $272.21, $267.06
12/06/2019, $269.86, 1358893, $268, $272.585, $266.85
12/05/2019, $264.82, 1103850, $264.65, $265.25, $262.43
12/04/2019, $262.87, 1207264, $262.75, $264.44, $261.37
12/03/2019, $257.84, 1625911, $256.79, $261.6, $255.5
12/02/2019, $262.94, 1316737, $266.48, $266.48, $261.3261
11/29/2019, $266.83, 759037, $270.8, $270.8, $265.79
11/27/2019, $270.94, 875649, $270.8, $272.055, $269.38
11/26/2019, $269.56, 1790026, $270, $271.41, $267.2201
11/25/2019, $269.01, 1988561, $264.07, $270.06, $263.67
11/22/2019, $261.98, 1273610, $265.48, $266.67, $260.12
11/21/2019, $263.9, 2406970, $265.72, $269.68, $262.9
11/20/2019, $274.13, 1273121, $275.98, $277.26, $270.4
11/19/2019, $276.76, 1366373, $284.57, $284.57, $276.58
11/18/2019, $282.7, 1366239, $282.76, $285.765, $280.8
11/15/2019, $283.68, 2126628, $280.14, $285.8723, $280
11/14/2019, $275.09, 1203385, $271.8, $275.81, $270.81
