Date, Close/Last, Volume, Open, High, Low
03/30/2020, $43.49, 7414969, $41.75, $44.73, $41.25
03/27/2020, $42.1, 11598490, $45.55, $46.2, $42
03/26/2020, $48.36, 10423780, $48.58, $52.93, $46.51
03/25/2020, $47.35, 10707230, $46.85, $51.67, $44.77
03/24/2020, $44.84, 8884131, $46.45, $47.82, $44.25
03/23/2020, $43.45, 8152148, $43.51, $45.33, $41.61
03/20/2020, $43.31, 12859280, $42.15, $47, $41.7876
03/19/2020, $40.36, 11398980, $36.75, $44.67, $33.8601
03/18/2020, $37.68, 14302380, $36.74, $40.1, $33.3
03/17/2020, $40.86, 12774690, $40.76, $43.29, $35.9169
03/16/2020, $40.39, 12380050, $40.52, $45.1, $39.2
03/13/2020, $49.01, 12515920, $48.02, $49.1, $42.87
03/12/2020, $44.15, 13388190, $42.4, $46.59, $39.06
03/11/2020, $48.63, 9938518, $51.78, $51.78, $48.22
03/10/2020, $53.38, 6690546, $51.82, $53.51, $49.58
03/09/2020, $49.66, 6998200, $51.01, $52.84, $49
03/06/2020, $54.86, 10002680, $53, $56.09, $52.54
03/05/2020, $54.94, 7765245, $55.6, $56.705, $54.57
03/04/2020, $57.25, 6957884, $56.77, $57.84, $55.47
03/03/2020, $55.9, 6564350, $58.6, $59.52, $55.48
03/02/2020, $58.26, 6246567, $58.9, $58.9, $56.6
02/28/2020, $58.31, 6558307, $56.82, $58.8, $56.62
02/27/2020, $58.43, 8874513, $57.72, $61.01, $56.28
02/26/2020, $59.16, 7137859, $60.56, $61.26, $58.44
02/25/2020, $60.16, 6769977, $63.04, $63.27, $59.51
02/24/2020, $62.21, 5799343, $62.44, $63.44, $62.18
02/21/2020, $65.6, 5224069, $66.8, $66.98, $65.555
02/20/2020, $67.44, 4068439, $68.48, $68.53, $66.71
02/19/2020, $69.1, 3183596, $68.44, $69.93, $68.26
02/18/2020, $68.16, 3798325, $68.24, $68.85, $67.16
02/14/2020, $68.07, 3813682, $69, $69.2, $67.98
02/13/2020, $69.31, 3572233, $70.41, $70.55, $69.17
02/12/2020, $71.13, 5839043, $69.91, $71.38, $69.66
02/11/2020, $68.85, 3078882, $68.63, $69.537, $67.91
02/10/2020, $68.16, 3569693, $66.09, $68.25, $66.09
02/07/2020, $66.8, 6581936, $67.7, $68, $66.51
02/06/2020, $69.47, 5556840, $68.4, $69.6, $68.33
02/05/2020, $67.89, 5040700, $69.06, $69.37, $67.485
02/04/2020, $67.84, 5983545, $67.05, $69.08, $66.86
02/03/2020, $66.56, 6055171, $66.11, $67.56, $65.93
01/31/2020, $65.31, 6778757, $65.6, $65.61, $64.48
01/30/2020, $66.2, 8015268, $63.57, $66.34, $63.51
01/29/2020, $64.7, 5876475, $65, $65.37, $63.9
01/28/2020, $64.41, 4731466, $64.17, $64.59, $63.13
01/27/2020, $63.27, 12594290, $62.72, $64.33, $61.08
01/24/2020, $67.85, 5362677, $69.26, $69.26, $66.97
01/23/2020, $69.45, 7292572, $67.68, $69.65, $67.47
01/22/2020, $69.45, 4340014, $70.6, $70.73, $69.1932
01/21/2020, $70.06, 10307130, $69.52, $71.34, $68.85
01/17/2020, $74.06, 3296175, $73.51, $74.29, $73.51
01/16/2020, $73.4, 3605317, $73.11, $73.41, $72.81
01/15/2020, $72.77, 2602598, $73.5, $73.53, $72.4
01/14/2020, $73.36, 3693139, $72.41, $73.49, $72.231
01/13/2020, $72.16, 2563577, $71.24, $72.4, $71.05
01/10/2020, $70.91, 2217136, $71.72, $71.94, $70.76
01/09/2020, $71.52, 3011411, $71.51, $71.72, $71.03
01/08/2020, $70.8, 3455338, $70, $71.3, $69.89
01/07/2020, $70.16, 2264186, $69.55, $70.2, $69.495
01/06/2020, $70.09, 2923450, $69.18, $70.12, $69.04
01/03/2020, $69.72, 2822522, $69.62, $70.15, $69.39
01/02/2020, $70.8, 5154845, $69.88, $70.94, $69.79
12/31/2019, $69.04, 1846900, $69.1, $69.28, $68.89
12/30/2019, $69.3, 1703487, $69.88, $69.98, $69.15
12/27/2019, $69.74, 3002365, $70.06, $70.34, $69.335
12/26/2019, $69.94, 1468994, $69.52, $69.96, $69.31
12/24/2019, $69.29, 630421, $69.39, $69.59, $69.01
12/23/2019, $69.42, 4064226, $68.63, $69.72, $68.63
12/20/2019, $68.53, 4474291, $69.68, $69.68, $68.43
12/19/2019, $69.18, 2779408, $68.97, $69.5, $68.7248
12/18/2019, $68.97, 5833203, $69.58, $69.9, $68.36
12/17/2019, $68.21, 4262949, $68.42, $68.5, $67.79
12/16/2019, $68.1, 3394550, $68.9, $69.37, $68.03
12/13/2019, $69.04, 5351287, $68.5, $69.74, $68.5
12/12/2019, $68.7, 6772607, $66.31, $69.19, $65.91
