Date, Close/Last, Volume, Open, High, Low
03/30/2020, $253.25, 5765771, $245.85, $254.25, $244.65
03/27/2020, $247.65, 7819276, $250.24, $256.07, $244.7
03/26/2020, $263.18, 9961319, $257.9, $265.81, $252.62
03/25/2020, $256.48, 12642720, $247.9, $266.3, $240.36
03/24/2020, $237.07, 11654810, $215.92, $238.444, $215
03/23/2020, $203.3, 11588740, $203.28, $215.68, $199.99
03/20/2020, $211.42, 10518600, $236.02, $236.02, $210
03/19/2020, $227.15, 9126427, $224.01, $238.5, $211.55
03/18/2020, $227.93, 11352810, $222.34, $229.1, $213.22
03/17/2020, $237.88, 12665210, $240.48, $250.5, $231.96
03/16/2020, $235.65, 12111530, $234.49, $257.73, $229.255
03/13/2020, $270.01, 9934870, $258.78, $270.03, $245.5
03/12/2020, $241.5, 15031540, $244.53, $262.485, $240.93
03/11/2020, $269.76, 8371628, $272.95, $274.04, $263.31
03/10/2020, $280.57, 8131391, $276.42, $280.87, $262.86
03/09/2020, $262.01, 8498279, $265, $279.24, $261.18
03/06/2020, $287.01, 7061544, $282.69, $288.85, $278.62
03/05/2020, $290.73, 6621335, $295.71, $298.71, $288.24
03/04/2020, $302.36, 6463780, $299.11, $302.8, $292.7471
03/03/2020, $292, 8051078, $314.59, $314.59, $290.83
03/02/2020, $306.74, 9688088, $298.89, $306.96, $289.44
02/28/2020, $290.25, 12855520, $274.89, $290.39, $273.55
02/27/2020, $285.82, 13814620, $285.03, $297.45, $280.935
02/26/2020, $298.04, 9409023, $302, $307.89, $297.89
02/25/2020, $302.89, 12715660, $321.34, $323.23, $300.76
02/24/2020, $324.67, 7816032, $317.51, $329.34, $313.84
02/21/2020, $339.7, 4998133, $342.55, $343.89, $335.61
02/20/2020, $344.45, 4315961, $345.74, $347.25, $338.17
02/19/2020, $344.56, 3040690, $343.99, $347.24, $342.6349
02/18/2020, $341.24, 3600200, $341.62, $343.1, $340.39
02/14/2020, $340.95, 2716290, $337.46, $341.04, $337.03
02/13/2020, $335.84, 3001377, $332.31, $337.83, $332.128
02/12/2020, $334.16, 2451026, $330.82, $334.45, $329.22
02/11/2020, $330.92, 3449498, $335, $335.52, $329.66
02/10/2020, $330.28, 3848113, $325.62, $330.28, $325.51
02/07/2020, $327, 2584196, $328, $329.85, $325.8656
02/06/2020, $329.3, 3422096, $329.32, $331.23, $327.68
02/05/2020, $328.32, 3867960, $335, $335, $324.17
02/04/2020, $329.12, 4158198, $328.24, $331.74, $326.29
02/03/2020, $324.52, 4242177, $318.8, $325.48, $318.43
01/31/2020, $315.94, 5586751, $323.14, $324.46, $314.5
01/30/2020, $324.46, 3512068, $319, $324.7, $318.01
