Date, Close/Last, Volume, Open, High, Low
04/13/2020, $180.12, 3182573, $182.68, $182.8506, $176.91
04/09/2020, $183.7, 4901856, $180.73, $185.46, $179.62
04/08/2020, $177.49, 5665728, $175.01, $179.42, $174.1
04/07/2020, $175.59, 7848299, $184.53, $185.19, $175.16
04/06/2020, $177.04, 8330914, $169.2, $177.87, $168.24
04/03/2020, $160.33, 5050441, $160.31, $162.23, $156.15
04/02/2020, $161.5, 4803514, $155, $161.95, $155
04/01/2020, $158.17, 4668869, $160.22, $161.44, $156.35
03/31/2020, $165.35, 4522292, $166.84, $169.51, $165
03/30/2020, $168.13, 5621669, $164.92, $170.31, $163.57
03/27/2020, $164.01, 6441366, $162.78, $169.735, $159.2164
03/26/2020, $167.35, 8264901, $163.99, $170.93, $161
03/25/2020, $162.98, 9708701, $165, $171.36, $159.22
03/24/2020, $161.95, 11678380, $149, $162.98, $146.1
03/23/2020, $137.1, 10660440, $142.95, $153.21, $136.5
03/20/2020, $148.49, 12000040, $153.59, $161.54, $147.77
03/19/2020, $149.5, 12773390, $135.2, $154.8403, $128.21
03/18/2020, $137.3, 12627580, $137.5, $141.71, $124.23
03/17/2020, $147.62, 13708250, $148.02, $149.48, $135
03/16/2020, $149.01, 9341340, $157.1, $161.92, $147.6283
03/13/2020, $177.13, 8042646, $178.26, $179.47, $168.2
03/12/2020, $170.13, 9079339, $174.78, $179.84, $169.38
03/11/2020, $188.25, 5627804, $192.94, $195.74, $185.83
03/10/2020, $199.86, 5835234, $190.95, $200, $187.89
03/09/2020, $186.86, 7788507, $187.67, $194.47, $184.1
03/06/2020, $198.86, 6360268, $192.9, $199.58, $191.21
03/05/2020, $198.32, 4107234, $202.64, $203.91, $196.33
03/04/2020, $207.02, 4260634, $201.93, $207.16, $200.9
03/03/2020, $199.51, 5115171, $202, $205.67, $197.16
03/02/2020, $202.55, 6154168, $193.81, $202.55, $193.18
02/28/2020, $194.17, 11377780, $196, $198.44, $188.81
02/27/2020, $201, 6406211, $207.7, $210, $200.93
02/26/2020, $210.1, 4191398, $212.89, $214.56, $209.75
02/25/2020, $212.1, 5053726, $214.58, $216.83, $211.149
02/24/2020, $213.52, 4219147, $210.58, $215.18, $210.11
02/21/2020, $215.87, 2791392, $215.24, $216.37, $214.3
02/20/2020, $215.08, 2869429, $216.15, $216.65, $212.7813
02/19/2020, $215.63, 2229508, $216.81, $216.92, $215.61
02/18/2020, $216.15, 2714047, $215.92, $217.04, $215.67
02/14/2020, $217.09, 1720400, $217.5, $217.84, $216.3832
02/13/2020, $217.42, 2853360, $216.71, $218.385, $216.19
02/12/2020, $217.46, 2844944, $216, $217.47, $215.11
02/11/2020, $215.73, 2694622, $214, $215.86, $213.65
02/10/2020, $213.21, 2318962, $211.34, $213.28, $211.25
02/07/2020, $211.61, 2421602, $212.56, $212.84, $211.09
02/06/2020, $212.87, 2903328, $214.72, $214.82, $212.64
02/05/2020, $214.37, 2911520, $215.64, $215.78, $213.012
02/04/2020, $214.62, 3367933, $216.11, $216.69, $214.2496
02/03/2020, $215.18, 3539429, $214.99, $216.88, $214.23
01/31/2020, $213.97, 3920820, $215.52, $217.1, $213.14
01/30/2020, $216.18, 3560701, $214, $216.74, $212.83
01/29/2020, $214.44, 5735460, $211.69, $216.4168, $210.8
01/28/2020, $210.39, 3855185, $209.89, $212.21, $209.86
01/27/2020, $209.34, 3389321, $207.84, $210.61, $207.3
01/24/2020, $211.24, 3106346, $214.18, $214.18, $210.9
