Date, Close/Last, Volume, Open, High, Low
04/13/2020, $131.02, 1604191, $132.95, $133.97, $129.16
04/09/2020, $133.32, 1857020, $132.16, $135.84, $130.61
04/08/2020, $131.56, 2106535, $131.35, $134.21, $128.81
04/07/2020, $132.08, 1988205, $140, $141.57, $131.54
04/06/2020, $135.2, 2327121, $131.12, $135.88, $128.13
04/03/2020, $125.49, 2267966, $128.01, $129.99, $123.24
04/02/2020, $129.2, 2926026, $128.88, $130.76, $121.15
04/01/2020, $133.06, 1902636, $130.46, $134.57, $129.15
03/31/2020, $135.26, 3114415, $133.27, $138.63, $132.33
03/30/2020, $138.02, 2538451, $127.24, $139.64, $127.215
03/27/2020, $125.7, 9223005, $126.13, $128.635, $122.9595
03/26/2020, $131.66, 2282412, $123.3, $132.03, $121.38
03/25/2020, $121.24, 2491371, $126.21, $130.13, $120.12
03/24/2020, $126.31, 3116531, $122.36, $126.9, $118.65
03/23/2020, $115.75, 2754148, $123.23, $123.94, $113.71
03/20/2020, $124.97, 2993848, $127.88, $131.49, $119.51
03/19/2020, $127.4, 3531633, $132.78, $139.99, $126.315
03/18/2020, $135.9, 5795962, $131.56, $147.11, $124.8
03/17/2020, $139.47, 6674711, $124.5, $140.06, $120
03/16/2020, $121.28, 9402610, $119.39, $129.99, $112.6
03/13/2020, $132.57, 9345274, $131.71, $132.955, $124.02
03/12/2020, $124.03, 10738730, $128.71, $132, $120.52
03/11/2020, $135.17, 9719648, $134.14, $139.87, $133.38
03/10/2020, $138, 17595440, $134.57, $138.07, $129.01
03/09/2020, $131.97, 25015660, $132.27, $137.31, $121.31
03/06/2020, $141.49, 22272510, $140, $145.21, $137.105
03/05/2020, $145.12, 16884300, $149.48, $151.2, $141.12
03/04/2020, $152.26, 18687130, $153.07, $153.62, $149.17
03/03/2020, $147.8, 18003120, $150.56, $154.79, $145.77
03/02/2020, $150.41, 11921070, $141.57, $150.49, $139.25
02/28/2020, $139.86, 9285792, $143.37, $146.86, $137.9441
02/27/2020, $147.71, 5900114, $156, $157.1, $147.66
02/26/2020, $158.98, 5578119, $161.84, $163.14, $157.71
02/25/2020, $160.85, 5059267, $167.2, $167.37, $160.19
02/24/2020, $165.56, 6325827, $167.03, $169.26, $165.285
02/21/2020, $170.96, 3727315, $169.75, $172.18, $168.48
02/20/2020, $170.78, 3313565, $168.2, $171.22, $167
02/19/2020, $168.01, 4262367, $167.92, $168.35, $166.17
02/18/2020, $167.63, 5202281, $168.38, $169.03, $166.76
02/14/2020, $168.03, 6157610, $167.09, $168.5, $164.25
02/13/2020, $167.91, 5000487, $166.27, $169.67, $166.02
