Date, Close/Last, Volume, Open, High, Low
04/13/2020, $231.09, 944148, $238.8, $240, $229.585
04/09/2020, $241.68, 2129452, $228.88, $248.18, $228.13
04/08/2020, $226.52, 1059589, $232.9, $234.355, $225.32
04/07/2020, $228.71, 1009474, $238.28, $239.98, $228.67
04/06/2020, $229.16, 1428977, $220.59, $231.48, $217.44
04/03/2020, $208.79, 1002110, $203.01, $210.26, $202.98
04/02/2020, $206.72, 1025233, $195.4, $206.97, $192
04/01/2020, $197.55, 1455006, $201.93, $207.3031, $195.7
03/31/2020, $211.5, 1379079, $218.31, $221.98, $210.76
03/30/2020, $222.22, 1026921, $222.16, $226.33, $218.3
03/27/2020, $220.19, 1305769, $215.34, $226.55, $215.34
03/26/2020, $224.33, 1650659, $209.66, $227.47, $209.12
03/25/2020, $207.13, 1686810, $193.5, $217.91, $192.13
03/24/2020, $195.75, 1404740, $175.26, $196.61, $172.02
03/23/2020, $165.09, 1699865, $171.55, $182.04, $164.19
03/20/2020, $175.8, 2017311, $180.34, $183, $171.47
03/19/2020, $177.91, 2610481, $173.56, $181.48, $166
03/18/2020, $174.35, 2819040, $182.92, $187.345, $165.23
03/17/2020, $202.09, 2046630, $188.9, $206.43, $185.4913
03/16/2020, $185.4, 2856263, $182, $193.94, $180
03/13/2020, $213.07, 2329324, $205.04, $213.57, $194.54
03/12/2020, $193.34, 2632096, $200.34, $212.13, $189
03/11/2020, $211.26, 1612436, $220.91, $221.66, $206.68
03/10/2020, $227.6, 2208074, $220.8, $227.6, $213.9
03/09/2020, $210.85, 2551368, $218.15, $223.74, $209.4
03/06/2020, $238.47, 2197355, $242.62, $244.49, $231.39
03/05/2020, $252.61, 1557428, $260.26, $264.72, $248.78
03/04/2020, $269.58, 1221385, $257.16, $270.35, $255.67
03/03/2020, $252.87, 1734920, $258.23, $263.29, $249.485
03/02/2020, $259.52, 1526290, $245.91, $259.78, $242.62
02/28/2020, $240.03, 1989221, $236.66, $241.66, $232.06
02/27/2020, $244.07, 1993920, $256.84, $256.84, $243.9
02/26/2020, $261.01, 951250, $260.52, $267.46, $260.46
02/25/2020, $260.03, 1090669, $268, $269.45, $258.71
02/24/2020, $266.26, 990013, $264.3, $268.645, $263.6
02/21/2020, $271.83, 961462, $276.83, $276.83, $269.105
