Date, Close/Last, Volume, Open, High, Low
03/30/2020, $51.13, 8356565, $48.81, $51.41, $48.21
03/27/2020, $47.89, 8254368, $47.42, $49.27, $47.12
03/26/2020, $48.9, 11595410, $46.11, $49.24, $46
03/25/2020, $46.11, 12419790, $46.46, $47.76, $45.81
03/24/2020, $46.66, 12476310, $44.08, $47.255, $42.95
03/23/2020, $41.93, 13466940, $43.32, $45.02, $41.19
03/20/2020, $43.32, 16246050, $46.06, $46.21, $42.85
03/19/2020, $45.47, 15194460, $46.91, $47.29, $43.19
03/18/2020, $46.55, 15316280, $45.37, $48.12, $43.19
03/17/2020, $48.82, 15149310, $45.85, $49.715, $44.73
03/16/2020, $45.1, 12679530, $46.41, $47.39, $44.74
03/13/2020, $50.92, 15074280, $49.64, $50.94, $47.2101
03/12/2020, $47.51, 15532980, $49.23, $50.52, $46.57
03/11/2020, $52.34, 14984310, $53.41, $53.69, $51.41
03/10/2020, $54.91, 16742270, $54.99, $55.49, $52.33
03/09/2020, $53.94, 15615200, $52.55, $54.86, $52.07
03/06/2020, $55.66, 9781193, $54.47, $55.98, $54.29
03/05/2020, $56.86, 10517030, $56.82, $57.3, $56.08
03/04/2020, $58.01, 12787200, $55.62, $58.13, $55.49
03/03/2020, $54.79, 13008180, $55.42, $56.9, $54.39
03/02/2020, $55.6, 12252620, $52.63, $55.63, $52.49
02/28/2020, $52.8, 14447340, $53.17, $53.32, $51.56
02/27/2020, $54.46, 14101020, $56.54, $57.22, $54.42
02/26/2020, $56.86, 9747026, $57.32, $57.995, $56.8
02/25/2020, $57.02, 7636458, $57.72, $58.27, $56.87
02/24/2020, $57.74, 6232242, $58.19, $58.72, $57.61
02/21/2020, $58.75, 5709044, $58.85, $59.2, $58.65
02/20/2020, $59.04, 5008876, $58.93, $59.34, $58.525
02/19/2020, $59.3, 5448330, $59.85, $59.96, $59.235
02/18/2020, $59.66, 6972742, $58.96, $59.89, $58.94
02/14/2020, $59.68, 4959008, $59.17, $59.73, $58.85
02/13/2020, $59.03, 5871976, $58.93, $59.06, $58.545
02/12/2020, $58.95, 7041419, $59.08, $59.53, $58.305
02/11/2020, $58.87, 4446654, $59.02, $59.16, $58.72
02/10/2020, $58.97, 5561946, $58.47, $59.11, $58.4
02/07/2020, $58.66, 5941959, $58.48, $59.22, $58.37
02/06/2020, $58.42, 5180981, $57.53, $58.52, $57.5
02/05/2020, $57.92, 7629317, $57.76, $58.18, $57.52
02/04/2020, $57.43, 7231873, $57.91, $58, $57.315
02/03/2020, $57.55, 7686397, $57.79, $57.84, $57.125
01/31/2020, $57.38, 14070270, $58.47, $59.43, $57.155
01/30/2020, $58.8, 18286140, $56.02, $58.93, $55.86
01/29/2020, $54.56, 5573911, $54.88, $55, $54.5
01/28/2020, $54.85, 7426103, $54.56, $55.125, $54.56
01/27/2020, $54.69, 5602945, $54.87, $55.15, $54.585
01/24/2020, $55.09, 5916401, $55.53, $55.74, $54.86
01/23/2020, $55.44, 6536575, $55.35, $55.65, $55.1
01/22/2020, $55.46, 4505297, $55.74, $55.94, $55.44
01/21/2020, $55.54, 9152630, $54.96, $55.84, $54.84
01/17/2020, $55.16, 9336363, $55.14, $55.38, $55.02
01/16/2020, $55.19, 5481791, $54.83, $55.34, $54.79
01/15/2020, $54.74, 5681677, $54.53, $54.98, $54.31
01/14/2020, $54.19, 5984182, $54.63, $54.665, $54.04
01/13/2020, $54.59, 7528806, $54.36, $54.61, $54.3161
01/10/2020, $54.25, 4639027, $54.47, $54.48, $54.14
01/09/2020, $54.19, 5653906, $54.09, $54.375, $53.93
01/08/2020, $54.05, 5435515, $54.03, $54.42, $53.91
01/07/2020, $53.92, 6716447, $54.05, $54.08, $53.57
01/06/2020, $54.15, 5906380, $54.39, $54.48, $53.85
01/03/2020, $54.24, 6791739, $54, $54.57, $53.96
01/02/2020, $54.33, 7272946, $55.06, $55.35, $54.11
12/31/2019, $55.08, 5039525, $55.05, $55.14, $54.76
12/30/2019, $55, 3104187, $54.92, $55.07, $54.5651
12/27/2019, $55.28, 4229449, $54.93, $55.33, $54.8
12/26/2019, $54.85, 3565549, $54.97, $55.0741, $54.72
12/24/2019, $54.99, 1833763, $54.94, $55.18, $54.74
12/23/2019, $54.73, 7173510, $55.47, $55.48, $54.64
12/20/2019, $55.4, 12464390, $55.11, $55.53, $55
12/19/2019, $55.15, 6582652, $54.77, $55.29, $54.56
12/18/2019, $54.53, 6938884, $54.4, $54.81, $54.4
12/17/2019, $54.09, 7114606, $53.66, $54.14, $53.54
12/16/2019, $53.71, 6690642, $53.48, $53.75, $53.35
12/13/2019, $53.24, 6456179, $52.86, $53.51, $52.57
12/12/2019, $52.98, 8056280, $53.83, $53.89, $52.74
12/11/2019, $53.93, 5247298, $54.22, $54.28, $53.795
12/10/2019, $54.06, 4258091, $54.32, $54.46, $54.02
12/09/2019, $54.17, 5926263, $53.85, $54.31, $53.85
12/06/2019, $53.84, 5047224, $53.9, $54.12, $53.7
12/05/2019, $53.81, 5356073, $53.4, $53.87, $53.21
12/04/2019, $53.34, 5537542, $52.88, $53.45, $52.7661
12/03/2019, $53.13, 8807267, $53.03, $53.15, $52.48
12/02/2019, $52.84, 6162055, $52.4, $52.85, $52.12
11/29/2019, $52.54, 4424742, $53.1, $53.1, $52.23
