Date, Close/Last, Volume, Open, High, Low
03/30/2020, $92.05, 8248210, $90.75, $93.12, $90.5
03/27/2020, $89.89, 10665820, $88.56, $92.4125, $88
03/26/2020, $91.94, 12539040, $89.04, $93.77, $89.04
03/25/2020, $86.82, 16273680, $82, $90.04, $80.62
03/24/2020, $80.35, 9955897, $77.37, $82.22, $76.56
03/23/2020, $72.92, 11494600, $75.68, $77.12, $72.16
03/20/2020, $77.46, 11355150, $80.97, $81.66, $75.792
03/19/2020, $79.22, 11112030, $78.04, $80.5, $73.3
03/18/2020, $74.54, 10468720, $77, $78.41, $72.13
03/17/2020, $80.21, 11584620, $79.07, $81.45, $76.58
03/16/2020, $77.43, 10210040, $80.53, $83.44, $76.3
03/13/2020, $88.82, 13456800, $88.93, $89.88, $81.46
03/12/2020, $84.4, 11417390, $88.3, $90.4, $83.85
03/11/2020, $92.44, 7894629, $93.69, $94.58, $90.85
03/10/2020, $96.36, 9725814, $95.2, $96.37, $91.39
03/09/2020, $92.4, 9053834, $94.02, $95.47, $91.71
03/06/2020, $99.06, 6843152, $97.28, $99.43, $96.79
03/05/2020, $100.18, 5881972, $102.78, $102.83, $99.04
03/04/2020, $103.59, 8935193, $102.55, $103.98, $100.95
03/03/2020, $100.4, 8371573, $103.19, $104.67, $98.79
03/02/2020, $102.62, 8358170, $101.63, $102.88, $99.5
02/28/2020, $100.67, 11689010, $98.97, $101, $96.56
02/27/2020, $100.98, 7263717, $104.84, $105.55, $100.94
02/26/2020, $106.15, 5426396, $109.43, $110.09, $106.03
02/25/2020, $108.53, 7074382, $111.6, $111.91, $108.26
02/24/2020, $111.35, 5334310, $111.9, $112.87, $110.7
02/21/2020, $113.28, 5493800, $113.59, $113.86, $112.6796
02/20/2020, $113.86, 4914920, $115.03, $115.41, $113.22
02/19/2020, $113.77, 5198364, $113.9, $114.94, $113.2
02/18/2020, $112.66, 12050650, $114.23, $115, $111.95
02/14/2020, $117.33, 3815629, $116.85, $117.53, $116
02/13/2020, $116.83, 5639938, $115, $117.51, $114
02/12/2020, $116.49, 7629474, $118.89, $118.89, $116.29
02/11/2020, $118.95, 3959335, $119.93, $120.18, $118.43
02/10/2020, $119.38, 4057058, $118.32, $119.49, $118.21
02/07/2020, $118.95, 3946911, $120.63, $120.905, $118.76
02/06/2020, $121.3, 3763727, $120.63, $121.36, $119.81
02/05/2020, $120.62, 3811073, $120.63, $121.41, $120.12
02/04/2020, $119.99, 4000311, $119.45, $120.47, $119.1746
02/03/2020, $117.99, 5618531, $115.95, $118.33, $115.885
01/31/2020, $115.44, 6068013, $117.76, $118.15, $115
01/30/2020, $118.15, 5056151, $117.43, $118.5, $116.69
01/29/2020, $118.37, 3019517, $119.75, $120.15, $118.32
01/28/2020, $119.18, 3422692, $119.21, $120.05, $119.16
01/27/2020, $119.23, 4192093, $118.5, $120.06, $118.21
01/24/2020, $119.26, 3382523, $120.89, $121.03, $118.865
01/23/2020, $120.97, 4126009, $120.74, $121.29, $119.64
01/22/2020, $121.09, 4169487, $121.59, $122.1477, $120.36
01/21/2020, $120.32, 5596969, $119, $120.505, $118.81
01/17/2020, $119.03, 4906103, $118.95, $119.84, $118.56
01/16/2020, $118.86, 4019411, $118.12, $119.3, $117.78
01/15/2020, $117.33, 3683218, $117.17, $118.41, $116.955
01/14/2020, $117.04, 5695377, $117.38, $117.67, $116.16
01/13/2020, $118.01, 3367807, $118.31, $118.73, $117.16
01/10/2020, $118.64, 3181042, $118.71, $118.96, $117.92
01/09/2020, $118.39, 5120866, $117.05, $118.6678, $116.95
01/08/2020, $116.5, 5482835, $115.31, $116.89, $115.25
01/07/2020, $114.49, 4443899, $114.34, $115.3, $114.14
01/06/2020, $114.89, 3332213, $113.27, $114.95, $113.1
01/03/2020, $113.88, 2764848, $113.16, $114.41, $113.05
01/02/2020, $114.56, 3916983, $114.46, $114.91, $113.1
12/31/2019, $113.45, 2806469, $113, $113.46, $112.2
12/30/2019, $112.93, 2112937, $113.77, $113.89, $112.5363
12/27/2019, $113.35, 2458895, $112.9, $113.59, $112.48
12/26/2019, $112.58, 2942512, $113.21, $113.34, $112.15
12/24/2019, $113.77, 1281430, $114.07, $114.3, $113.4773
12/23/2019, $113.89, 3726872, $113.78, $114.135, $113.39
12/20/2019, $113.74, 10323890, $115.25, $115.94, $113.36
12/19/2019, $113.49, 5116571, $113.9, $114.3, $112.77
12/18/2019, $113.8, 4895186, $114.11, $114.55, $113.7
12/17/2019, $114.35, 3864253, $114.97, $115.65, $114.1416
12/16/2019, $114.54, 4304190, $114.07, $114.97, $114.01
12/13/2019, $113.52, 4180347, $112.06, $113.89, $111.84
12/12/2019, $112.38, 3741359, $111.43, $113.08, $111.22
12/11/2019, $111.72, 2897249, $111.54, $111.84, $111.17
12/10/2019, $111.04, 3850797, $111.36, $111.89, $110.9
12/09/2019, $111.13, 3463288, $112.83, $112.98, $111.01
12/06/2019, $113.09, 3622995, $112.5, $113.62, $112.075
12/05/2019, $112.2, 3205737, $111.94, $112.31, $111.22
12/04/2019, $111.94, 3003415, $111.15, $112.14, $110.985
12/03/2019, $110.99, 3648694, $110.05, $111.53, $110.01
12/02/2019, $110.91, 3429970, $111.2, $111.62, $109.69
11/29/2019, $111.39, 2786573, $112.24, $112.38, $110.9
11/27/2019, $112.47, 3367231, $111.38, $112.71, $111.23
11/26/2019, $111.33, 9387255, $112, $112.15, $110.83
11/25/2019, $111.78, 5652781, $111.23, $111.86, $110.67
11/22/2019, $110.82, 5567630, $110.85, $111.46, $110.65
11/21/2019, $110.49, 7026189, $111.57, $112.27, $109.67
11/20/2019, $111.79, 6029651, $111.41, $112.99, $111.24
11/19/2019, $111.07, 7542154, $112.49, $112.56, $109.49
11/18/2019, $111.25, 7550482, $113.28, $114.46, $111.13
11/15/2019, $112.06, 6223634, $109.94, $112.15, $109.9
