Date, Close/Last, Volume, Open, High, Low
03/30/2020, $32.03, 6287411, $30.72, $32.295, $30.25
03/27/2020, $30.87, 7336912, $30.73, $32.17, $30.63
03/26/2020, $32.53, 11543740, $30.14, $32.735, $29.5765
03/25/2020, $29.74, 13540380, $28.34, $32.46, $27.83
03/24/2020, $27.61, 12986030, $24.99, $27.93, $24.53
03/23/2020, $23.53, 11715320, $24.02, $24.52, $22.85
03/20/2020, $24.38, 16243580, $27.45, $27.45, $24.16
03/19/2020, $26.8, 9083847, $27.5, $28.57, $25.99
03/18/2020, $28.18, 12074700, $25.96, $28.27, $25.58
03/17/2020, $28.43, 9725934, $27.71, $28.44, $25.64
03/16/2020, $26.8, 8989731, $26.87, $28.81, $26
03/13/2020, $31.93, 13500970, $30.98, $32.03, $29.045
03/12/2020, $28.3, 13658740, $30.12, $30.99, $28.12
03/11/2020, $33.3, 11010330, $33.63, $34.21, $32.64
03/10/2020, $35.02, 12698590, $34.51, $35.03, $32.52
03/09/2020, $32.66, 14632670, $35.42, $36.64, $31.9
03/06/2020, $39.18, 10764710, $38.78, $40.28, $38.33
03/05/2020, $40.62, 11269430, $42.1, $42.25, $40.01
03/04/2020, $43.83, 7751069, $43.4, $43.98, $42.42
03/03/2020, $42.57, 11119970, $44.39, $44.98, $42.22
03/02/2020, $44.56, 13068680, $42.93, $44.58, $42.71
02/28/2020, $42.72, 13640160, $42.11, $42.97, $41.47
02/27/2020, $43.89, 13487490, $45.78, $45.95, $43.8
02/26/2020, $46.92, 9898466, $47.96, $48.295, $46.73
02/25/2020, $47.58, 10896810, $49.45, $49.51, $47.28
02/24/2020, $49.38, 8697010, $49.29, $49.66, $48.8
02/21/2020, $51.23, 5307986, $51.98, $52.06, $50.955
02/20/2020, $52.28, 3686860, $51.84, $52.35, $51.67
02/19/2020, $51.79, 5528685, $52.01, $52.155, $51.71
02/18/2020, $51.83, 4554785, $52.03, $52.49, $51.4
02/14/2020, $52.28, 3469702, $52.44, $52.47, $51.87
02/13/2020, $52.38, 3762321, $52.32, $52.52, $51.9355
02/12/2020, $52.47, 4999155, $52.71, $53.28, $52.445
02/11/2020, $52.39, 5972719, $52.19, $53.045, $52.04
02/10/2020, $51.88, 4513811, $51.4, $51.92, $51.4
02/07/2020, $51.58, 6698541, $51.52, $51.7, $51.08
02/06/2020, $51.87, 6538219, $51.83, $52.09, $51.25
02/05/2020, $51.53, 7647186, $51.16, $51.74, $50.97
02/04/2020, $50.2, 4774691, $50.53, $50.77, $50.18
02/03/2020, $49.69, 5276759, $49.75, $50.3, $49.68
01/31/2020, $49.71, 9443175, $50.63, $50.655, $49.49
01/30/2020, $51.28, 4584034, $50, $51.29, $49.92
01/29/2020, $50.49, 3877467, $50.78, $51.02, $50.46
01/28/2020, $50.55, 4091059, $50.35, $50.9559, $50.2
01/27/2020, $50.09, 6493994, $50.09, $50.41, $49.92
01/24/2020, $51.27, 3943555, $51.9, $51.9, $50.6961
01/23/2020, $51.8, 4264479, $51.67, $51.96, $51.01
01/22/2020, $51.9, 3530651, $52, $52.13, $51.67
01/21/2020, $51.76, 4656468, $52.19, $52.34, $51.69
01/17/2020, $52.61, 6101680, $52.34, $52.655, $52.19
01/16/2020, $52.2, 5389454, $52.23, $52.41, $51.91
01/15/2020, $51.85, 4542351, $52.02, $52.31, $51.745
01/14/2020, $52.19, 6612162, $52.4, $52.565, $52.02
01/13/2020, $52.58, 6924916, $52.62, $52.76, $52.33
01/10/2020, $52.47, 5526944, $52.4, $52.595, $52.15
01/09/2020, $52.37, 5793876, $52.18, $52.725, $52.1344
01/08/2020, $51.83, 9880467, $51.47, $52.57, $51.44
01/07/2020, $51.29, 6578781, $51.01, $51.62, $50.74
01/06/2020, $50.95, 3271654, $50.63, $51.03, $50.32
01/03/2020, $51.09, 5162268, $50.99, $51.155, $50.595
01/02/2020, $51.62, 4416788, $51.28, $51.69, $51.055
12/31/2019, $50.97, 4721794, $50.73, $51, $50.51
12/30/2019, $50.7, 3149960, $51.14, $51.14, $50.65
12/27/2019, $50.83, 2578238, $51.34, $51.34, $50.795
12/26/2019, $51.24, 2281338, $51.06, $51.395, $51.01
12/24/2019, $50.99, 1913333, $51.09, $51.24, $50.87
12/23/2019, $50.99, 4229292, $51.49, $51.6, $50.68
12/20/2019, $51.36, 10779420, $51.33, $51.48, $50.96
12/19/2019, $50.8, 6058448, $51.14, $51.15, $50.63
12/18/2019, $51.13, 4309733, $51.28, $51.37, $51.09
12/17/2019, $51.17, 6982643, $50.48, $51.21, $50.34
12/16/2019, $50.48, 8987628, $50.93, $51.08, $50.41
12/13/2019, $50.38, 5355481, $50.68, $50.96, $49.98
12/12/2019, $50.54, 12137320, $49.14, $50.74, $49.06
12/11/2019, $49.09, 5717598, $49.38, $49.55, $48.9
12/10/2019, $49.29, 3942928, $49.32, $49.485, $49.145
12/09/2019, $49.57, 3603443, $49.23, $49.675, $49.21
12/06/2019, $49.5, 4009799, $49.55, $49.78, $49.25
12/05/2019, $48.93, 3626587, $48.93, $49.09, $48.61
12/04/2019, $48.66, 6124186, $48.59, $49.24, $48.48
12/03/2019, $48.35, 6304115, $48.8, $48.86, $47.985
12/02/2019, $49.35, 3524556, $50.17, $50.24, $49.32
11/29/2019, $49.91, 1681176, $49.74, $49.99, $49.62
11/27/2019, $49.91, 3919438, $50.05, $50.14, $49.655
11/26/2019, $49.77, 4109991, $49.81, $49.93, $49.44
11/25/2019, $49.95, 5059471, $49.75, $50.05, $49.61
11/22/2019, $49.6, 5399583, $49.06, $49.67, $48.93
11/21/2019, $48.97, 3585625, $49.13, $49.13, $48.595
11/20/2019, $48.94, 4234827, $48.94, $49.01, $48.34
11/19/2019, $49.15, 4000611, $49.27, $49.54, $49.11
11/18/2019, $49.12, 3678961, $49.07, $49.19, $48.765
11/15/2019, $49.27, 3298121, $49.61, $49.73, $49.17
11/14/2019, $49.3, 3034809, $49.15, $49.47, $48.96
11/13/2019, $49.26, 4065224, $49.12, $49.41, $48.9331
11/12/2019, $49.58, 4672456, $49.31, $49.8732, $49.18
11/11/2019, $49.22, 4322653, $48.82, $49.475, $48.81
11/08/2019, $49.32, 6446189, $49.1, $49.34, $48.49
11/07/2019, $49.04, 5999884, $49.07, $49.61, $48.93
11/06/2019, $48.6, 5150310, $48.36, $48.72, $48.04
11/05/2019, $48.38, 6157778, $47.75, $48.57, $47.59
11/04/2019, $47.59, 6564319, $47.21, $47.705, $47.18
11/01/2019, $47.26, 5733632, $47.01, $47.44, $46.77
10/31/2019, $46.79, 7023124, $45.99, $46.95, $45.33
10/30/2019, $46.29, 5272780, $46.63, $46.71, $45.83
10/29/2019, $46.68, 3743105, $46.62, $47.05, $46.435
10/28/2019, $46.81, 4108609, $46.54, $47.135, $46.54
10/25/2019, $46.32, 2163230, $46.02, $46.51, $46.02
10/24/2019, $46.28, 3248389, $46.61, $46.93, $45.925
10/23/2019, $46.55, 3069625, $46.44, $46.61, $46.225
10/22/2019, $46.51, 3450639, $46.45, $46.66, $46.11
10/21/2019, $46.54, 4383626, $46.55, $46.76, $46.4
10/18/2019, $46.1, 5058081, $45.98, $46.25, $45.9
10/17/2019, $45.9, 4234878, $46.32, $46.46, $45.73
10/16/2019, $45.96, 4348594, $46.11, $46.63, $45.89
10/15/2019, $46.19, 3210171, $45.97, $46.59, $45.83
10/14/2019, $45.75, 2142173, $45.43, $45.85, $45.365
10/11/2019, $45.84, 5303740, $45.92, $46.61, $45.73
10/10/2019, $44.96, 3936123, $44.77, $45.37, $44.5416
10/09/2019, $44.37, 4314348, $44.19, $44.61, $44.07
10/08/2019, $43.83, 5651752, $44.34, $44.38, $43.82
10/07/2019, $44.95, 3432666, $45.41, $45.41, $44.94
10/04/2019, $45.41, 4322011, $44.58, $45.49, $44.41
10/03/2019, $44.56, 6731753, $44.23, $44.6, $43.67
10/02/2019, $44.39, 8144441, $45.53, $45.7, $44.305
10/01/2019, $46.03, 4093815, $47.57, $47.655, $46.02
09/30/2019, $47.16, 4618874, $47.54, $47.62, $46.9556
09/27/2019, $47.36, 4254981, $47.58, $47.67, $47.12
09/26/2019, $47.08, 5320747, $47.37, $47.42, $46.795
09/25/2019, $47.37, 4183021, $47.33, $47.71, $47.21
09/24/2019, $47.33, 8474393, $47.87, $47.95, $47.06
09/23/2019, $47.73, 7020355, $46.92, $47.92, $46.91
09/20/2019, $47.44, 32039200, $48.02, $48.02, $47.23
09/19/2019, $47.86, 4420734, $47.77, $48.42, $47.62
09/18/2019, $47.85, 6546754, $47.19, $47.97, $46.99
09/17/2019, $47.43, 6990380, $47.07, $47.49, $46.9179
09/16/2019, $47.55, 7593764, $47.92, $47.98, $47.22
09/13/2019, $48.37, 7463897, $48.4, $48.87, $48.06
09/12/2019, $47.87, 6016311, $47.46, $48.125, $46.77
09/11/2019, $47.97, 6424431, $47.5, $47.99, $46.71
09/10/2019, $47.42, 8077197, $46.69, $47.42, $46.3867
09/09/2019, $46.4, 9950409, $46.64, $46.64, $45.69
09/06/2019, $46.23, 4137507, $46.01, $46.54, $45.81
09/05/2019, $45.95, 6215457, $45.29, $46.3, $45.25
09/04/2019, $44.49, 4998425, $44.44, $44.68, $44.235
09/03/2019, $43.93, 5093142, $43.86, $44, $43.37
08/30/2019, $44.3, 4224612, $44.54, $44.69, $44.16
08/29/2019, $44.13, 4830303, $44.31, $44.405, $44.09
08/28/2019, $43.71, 7347480, $43.47, $43.735, $43.34
08/27/2019, $43.86, 7059433, $45.12, $45.24, $43.78
