Date, Close/Last, Volume, Open, High, Low
03/30/2020, $89.55, 2785649, $85.7, $89.9, $84.99
03/27/2020, $85.45, 3159224, $82.74, $88.24, $82.62
03/26/2020, $85.86, 3560534, $88.04, $89.71, $84.53
03/25/2020, $86.86, 3000004, $85.69, $90.87, $84.3334
03/24/2020, $86.93, 4379232, $80.25, $87.89, $79.54
03/23/2020, $76.69, 4772956, $78.4, $79.4, $74.335
03/20/2020, $79.87, 3788730, $79.81, $84.01, $77.44
03/19/2020, $79.03, 4356932, $80.38, $82.03, $75.88
03/18/2020, $80.81, 4721528, $87.25, $87.79, $75.79
03/17/2020, $91.9, 4341502, $90.46, $93.89, $89.18
03/16/2020, $87.86, 4249580, $88.56, $93.47, $86.26
03/13/2020, $98.64, 5974034, $95.98, $99.19, $91.4
03/12/2020, $93, 5559827, $93.57, $100.36, $92.48
03/11/2020, $98.95, 2827814, $100.43, $100.96, $97.92
03/10/2020, $103.09, 4267187, $102.72, $103.92, $98.95
03/09/2020, $99.88, 4864422, $98.33, $102.17, $97.62
03/06/2020, $105.67, 3651106, $103.02, $106.23, $101.76
03/05/2020, $106.56, 3075902, $108.43, $108.49, $105.33
03/04/2020, $110.6, 4734177, $108.05, $110.67, $107.24
03/03/2020, $106.52, 3264755, $108.21, $110.34, $105.04
03/02/2020, $108.01, 4028774, $104.18, $108.08, $104.1
02/28/2020, $104.56, 4077704, $104.44, $105.62, $101.56
02/27/2020, $106.88, 2325178, $111.27, $112.29, $106.85
02/26/2020, $112.59, 1964739, $111.8, $113.4177, $111.64
02/25/2020, $111.11, 1721833, $113.75, $114.12, $110.655
02/24/2020, $113.33, 2349602, $113.89, $115.35, $112.725
02/21/2020, $116.35, 1947776, $116.58, $116.94, $115.54
02/20/2020, $117.08, 1322639, $118.33, $118.63, $116.695
02/19/2020, $118.48, 1143832, $119.5, $119.56, $118.45
02/18/2020, $119.45, 1352661, $118.63, $119.51, $118.22
02/14/2020, $118.78, 1214236, $119.36, $119.64, $118.24
02/13/2020, $119.37, 1207289, $118.69, $119.88, $118.66
02/12/2020, $118.75, 1247280, $118.08, $118.89, $117.77
02/11/2020, $118.15, 1198826, $117.95, $118.45, $117.58
02/10/2020, $117.57, 1131372, $116, $117.57, $115.97
02/07/2020, $116.68, 1307312, $116.36, $117.26, $115.84
02/06/2020, $116.45, 2415010, $116.93, $116.99, $115.69
02/05/2020, $116.69, 2033838, $115.7, $116.7, $114.51
02/04/2020, $114.73, 1462636, $114.58, $115.89, $114.38
02/03/2020, $113.45, 1627933, $112.52, $113.88, $112.3
01/31/2020, $111.86, 2621472, $114.23, $114.99, $111.16
01/30/2020, $114.6, 2240484, $113.66, $115.48, $111.52
01/29/2020, $115.94, 2176132, $115.41, $116.84, $115.1
01/28/2020, $115.14, 1937156, $113.17, $115.67, $113.17
01/27/2020, $113, 1047012, $112.58, $113.82, $112.27
01/24/2020, $113.87, 915036, $114.48, $114.74, $113.15
01/23/2020, $114.23, 1364933, $113.06, $114.29, $112.57
01/22/2020, $113.61, 1192989, $114.18, $114.47, $113.57
01/21/2020, $113.96, 1335138, $113.78, $114.56, $113.59
01/17/2020, $114.15, 2238899, $113.08, $114.15, $113.07
01/16/2020, $112.82, 1328008, $112.72, $112.93, $112.17
01/15/2020, $112.21, 1392134, $111.48, $112.56, $111.36
01/14/2020, $111.51, 1510025, $111.78, $112.17, $111.16
01/13/2020, $112, 1529836, $111.77, $112.38, $111.705
01/10/2020, $111.7, 1394087, $112.25, $112.43, $111.47
01/09/2020, $112.03, 1276381, $111.76, $112.39, $111.67
01/08/2020, $111.24, 1327273, $111.64, $112.345, $111.21
01/07/2020, $111.57, 1014954, $111.74, $112.26, $111.21
