Date, Close/Last, Volume, Open, High, Low
04/13/2020, $59.53, 2706522, $60.26, $60.59, $58.7
04/09/2020, $60.51, 2559244, $60.48, $61.35, $59.83
04/08/2020, $60.26, 2198107, $58.16, $60.55, $57.925
04/07/2020, $58.41, 4299646, $59.85, $60.53, $58.23
04/06/2020, $58.07, 4762942, $56.67, $58.31, $55.46
04/03/2020, $54.22, 2787089, $54.52, $54.93, $53.67
04/02/2020, $55.06, 3088078, $52.71, $55.2, $52.39
04/01/2020, $53.1, 3815873, $54.37, $54.48, $52.73
03/31/2020, $56.26, 2879444, $56.08, $58, $55.96
03/30/2020, $58, 3625184, $56.17, $58.32, $55.6
03/27/2020, $56.39, 3997889, $56.09, $58.09, $56
03/26/2020, $57.84, 5455554, $54, $58.33, $53.8241
03/25/2020, $53.66, 4715940, $53.71, $55.1, $52.66
03/24/2020, $53.73, 7752714, $53.53, $54.47, $51.39
03/23/2020, $50.97, 5705959, $52.11, $53.34, $50.75
03/20/2020, $52.1, 5791764, $55.05, $55.83, $50.06
03/19/2020, $54.32, 6263115, $55.71, $57.15, $51.51
03/18/2020, $55.89, 6467035, $57.63, $57.63, $50.51
03/17/2020, $59.74, 6056427, $58.83, $60.445, $57.61
03/16/2020, $57.44, 6075304, $56.2, $60.87, $54.78
03/13/2020, $62.39, 7748602, $59.8, $62.5, $58.59
03/12/2020, $57.39, 7600501, $58, $60.79, $56.63
03/11/2020, $61.81, 6512866, $64, $64.74, $60.49
03/10/2020, $66.13, 8481121, $63.5, $66.21, $62.91
03/09/2020, $61.86, 5469056, $62.07, $62.97, $61.05
03/06/2020, $66.19, 6143795, $64.83, $66.45, $64.34
03/05/2020, $67.13, 5455410, $66.37, $68.83, $66.0827
03/04/2020, $68.05, 6529946, $65.02, $68.14, $64.53
03/03/2020, $63.78, 5292032, $64.29, $66.17, $63.13
03/02/2020, $64.77, 4547354, $62.12, $64.84, $61.28
02/28/2020, $62.41, 7217468, $64.82, $65.04, $61.22
02/27/2020, $63.74, 7126841, $65.74, $65.94, $63.44
02/26/2020, $65.88, 3500876, $67.11, $67.75, $65.87
02/25/2020, $66.62, 2842291, $68.38, $68.51, $66.44
02/24/2020, $68.19, 3311028, $69.67, $70.19, $67.79
02/21/2020, $69.74, 2973277, $70.02, $70.2, $69.45
02/20/2020, $70.4, 3325159, $69.83, $70.45, $69
02/19/2020, $70.085, 3222426, $69.72, $70.52, $69.6
