Date, Close/Last, Volume, Open, High, Low
03/30/2020, $37.31, 18352950, $36.88, $37.92, $36.37
03/27/2020, $36.64, 14679650, $34.5, $38.04, $34.05
03/26/2020, $36.64, 14410160, $34.64, $36.82, $34.64
03/25/2020, $34.37, 21540920, $32.23, $36.14, $31.71
03/24/2020, $32.38, 21745970, $32.13, $33.34, $31.77
03/23/2020, $31.38, 24245960, $32.92, $33.26, $30.95
03/20/2020, $34.28, 21595650, $36.16, $36.98, $34.14
03/19/2020, $37.1, 15889810, $37.63, $37.63, $34.83
03/18/2020, $38.32, 18217760, $37.5, $39, $35
03/17/2020, $39.85, 16971970, $38.9, $40.58, $38.13
03/16/2020, $38.22, 18032070, $35.93, $41.26, $34.38
03/13/2020, $40.07, 16308900, $38.25, $40.2, $36.73
03/12/2020, $36.42, 19322790, $37.47, $38.6, $35.775
03/11/2020, $40.48, 16561510, $40.85, $41.55, $40.14
03/10/2020, $42.15, 20532690, $41.47, $42.52, $40.42
03/09/2020, $40.34, 16480100, $39.8, $41.77, $39.435
03/06/2020, $42.15, 15485280, $41.86, $42.445, $41.12
03/05/2020, $43.16, 11502330, $42.73, $43.88, $42.54
03/04/2020, $43.93, 12612890, $42.4, $43.95, $42.09
03/03/2020, $41.9, 18031550, $42.16, $43.6, $41.47
03/02/2020, $42.07, 14559950, $40.46, $42.08, $40.06
02/28/2020, $40.37, 24002280, $39.37, $40.5, $38.57
02/27/2020, $40.3, 13884540, $41.85, $42.47, $40.3
02/26/2020, $42.12, 14298090, $42.39, $43.1, $42.1112
02/25/2020, $42.49, 12475890, $43.71, $44.26, $42.315
02/24/2020, $43.8, 18907830, $45.29, $45.685, $43.58
02/21/2020, $45.89, 9368183, $45.39, $46.22, $45.32
02/20/2020, $45.56, 5242915, $45.09, $45.65, $44.94
02/19/2020, $45.14, 5888962, $45.25, $45.48, $44.936
02/18/2020, $45.22, 12034290, $45.1, $45.53, $45.02
02/14/2020, $45.17, 9025954, $45.72, $45.775, $44.91
02/13/2020, $45.65, 6111432, $45.42, $45.9052, $44.97
02/12/2020, $45.4, 10533030, $45.57, $45.65, $44.86
02/11/2020, $45.57, 9813979, $46.08, $46.19, $45.46
02/10/2020, $46.2, 6272104, $46.15, $46.68, $45.94
02/07/2020, $46.22, 7138637, $46.66, $46.67, $45.7273
02/06/2020, $46.66, 8763524, $46.5, $46.96, $46.415
02/05/2020, $46.28, 13515310, $46.52, $47.14, $46.15
02/04/2020, $46.52, 10126020, $47.12, $47.23, $46.5
02/03/2020, $46.26, 10197850, $47.52, $47.7, $46.19
01/31/2020, $47.53, 11794030, $48.25, $48.8, $47.24
01/30/2020, $48, 17717850, $49.07, $49.15, $46.33
01/29/2020, $50.11, 6318534, $50.37, $50.77, $50.08
01/28/2020, $50.17, 9545276, $49.69, $50.295, $49.45
01/27/2020, $49.77, 7419913, $49.72, $50.08, $49.61
01/24/2020, $50.25, 10049650, $50.49, $50.595, $50.025
01/23/2020, $50.56, 5698953, $50.82, $51.04, $50.39
01/22/2020, $51.03, 7300053, $51.04, $51.47, $51.005
01/21/2020, $51.09, 10192410, $50.91, $51.31, $50.505
01/17/2020, $51.02, 11468220, $51.16, $51.37, $50.83
01/16/2020, $51.09, 7159099, $51.33, $51.46, $50.985
01/15/2020, $51.25, 6748259, $50.85, $51.775, $50.77
01/14/2020, $50.87, 8456124, $50.69, $50.91, $50.555
01/13/2020, $50.76, 7777024, $50.15, $51.12, $50
