Date, Close/Last, Volume, Open, High, Low
04/13/2020, $80.54, 7353681, $81.82, $82.47, $79.83
04/09/2020, $82.49, 13241570, $81.17, $83.29, $80.18
04/08/2020, $81.62, 10955970, $79.18, $83, $78.34
04/07/2020, $78.56, 10169820, $81.68, $81.97, $78.4
04/06/2020, $80.31, 13658510, $78.33, $80.85, $77.9
04/03/2020, $76.25, 9579423, $76.28, $77.44, $75.32
04/02/2020, $76.87, 12255540, $75.98, $77.12, $74.03
04/01/2020, $73.8, 11130990, $74.66, $75.47, $72.99
03/31/2020, $76.94, 14390490, $76.25, $77.6, $75.52
03/30/2020, $76.95, 15079480, $73.62, $77.59, $72.88
03/27/2020, $71.73, 11896220, $71.8, $73.43, $71.25
03/26/2020, $73.53, 17229090, $68.14, $74.18, $68.1
03/25/2020, $68.22, 17472810, $68.41, $70.38, $66.75
03/24/2020, $69.05, 18990360, $68.99, $69.75, $67.19
03/23/2020, $66.4, 17533430, $70.27, $71.61, $65.25
03/20/2020, $71.36, 22019170, $69.55, $72.5, $68.5
03/19/2020, $70.73, 18386200, $71.35, $72.86, $68.91
03/18/2020, $71.63, 17708450, $71.45, $74.66, $68.83
03/17/2020, $74.48, 23612430, $71.65, $76.07, $71.38
03/16/2020, $69.92, 19855330, $70.77, $76.09, $67.12
03/13/2020, $76.75, 24672800, $76.22, $77.23, $72.26
03/12/2020, $74.45, 21626660, $74.4, $78.06, $73.26
03/11/2020, $79.25, 13623740, $79.83, $80.16, $78.03
03/10/2020, $82.02, 16724740, $80.48, $82.18, $77.5
03/09/2020, $78.96, 18075230, $78, $80.725, $76.99
03/06/2020, $82.2, 13557820, $79.97, $82.62, $79.43
03/05/2020, $81.58, 14330040, $81.53, $82.77, $80.94
03/04/2020, $82.97, 19298040, $81.5, $83.07, $79.88
03/03/2020, $79.13, 16598140, $81.4, $82.4, $77.91
03/02/2020, $81.37, 17977600, $77.13, $81.55, $77.08
02/28/2020, $76.56, 27922050, $76.68, $77.49, $74.18
02/27/2020, $78.08, 15013630, $80.71, $81.75, $78
02/26/2020, $79.94, 11394320, $80.66, $81.63, $79.77
02/25/2020, $80.27, 12568410, $81.53, $81.94, $79.8532
02/24/2020, $81.33, 13105390, $80.61, $82.5881, $80.57
02/21/2020, $82.34, 8870220, $82.19, $82.63, $81.71
02/20/2020, $82.49, 10440210, $82.22, $82.83, $81.72
02/19/2020, $82, 11202470, $83.08, $83.11, $81.57
02/18/2020, $82.46, 9560516, $82.88, $83.11, $82.255
02/14/2020, $82.65, 8342959, $82.23, $82.8, $81.67
02/13/2020, $81.97, 18500740, $82.93, $82.93, $81.45
02/12/2020, $83.25, 18731830, $85.04, $85.23, $82.9
02/11/2020, $85.25, 9783063, $85.86, $86, $84.945
02/10/2020, $85.66, 10106100, $85.08, $85.98, $84.94
02/07/2020, $85.08, 10896600, $85.89, $85.94, $84.83
02/06/2020, $85.68, 15372330, $86.02, $86.225, $85.26
02/05/2020, $85.83, 27948600, $84.68, $86.74, $84
02/04/2020, $88.36, 14400110, $88.43, $89.2, $88.06
02/03/2020, $87.34, 9286129, $86.04, $88.22, $86.04
01/31/2020, $85.44, 9180904, $86.38, $86.67, $85
01/30/2020, $86.5, 10511860, $86.95, $87.13, $86.2
01/29/2020, $87.24, 8121480, $86.6, $88.16, $86.43
01/28/2020, $86.25, 9061461, $86.44, $86.71, $85.9
01/27/2020, $86.1, 10350740, $85.1, $86.505, $84.71
01/24/2020, $85.98, 14270280, $88.63, $88.825, $85.58
01/23/2020, $88.56, 12593990, $89.66, $89.66, $88.26
01/22/2020, $89.65, 7443497, $90.17, $90.46, $89.62
01/21/2020, $89.97, 9563099, $90.72, $90.97, $89.71
01/17/2020, $90.97, 9667383, $91.28, $91.63, $90.86
01/16/2020, $91.18, 6920322, $91.86, $92.0554, $91.05
01/15/2020, $91.54, 9173676, $90.1, $91.61, $90.09
01/14/2020, $89.93, 8231645, $89.27, $89.93, $88.87
01/13/2020, $89.51, 9792380, $89.52, $89.63, $89.02
01/10/2020, $89.53, 5673065, $89.72, $90.11, $89.445
01/09/2020, $89.38, 9269803, $88.95, $90.05, $88.78
01/08/2020, $88.6, 14505080, $89.09, $89.5, $88.41
01/07/2020, $89.2, 10629560, $90.8, $91.12, $89.12
01/06/2020, $91.64, 7179428, $91.23, $91.735, $90.99
01/03/2020, $91.25, 5633388, $90.68, $92.07, $90.51
01/02/2020, $92.04, 7877027, $91.08, $92.14, $90.365
12/31/2019, $90.95, 4495095, $90.92, $90.99, $90.44
12/30/2019, $91.03, 3752838, $91.53, $91.69, $90.73
12/27/2019, $91.5, 3586776, $91.68, $91.7, $91.27
12/26/2019, $91.34, 2922730, $91.6, $91.72, $91.07
12/24/2019, $91.44, 2235893, $91.64, $91.73, $91.07
12/23/2019, $91.74, 7534460, $91.83, $92.02, $91.44
12/20/2019, $91.58, 17033370, $91.46, $92.64, $90.84
12/19/2019, $89.99, 7610966, $89.89, $90.09, $89.49
12/18/2019, $89.62, 11048250, $89.35, $90, $89.13
12/17/2019, $89.02, 11155190, $89.33, $89.45, $88.515
12/16/2019, $89.29, 9880891, $89.65, $89.995, $89.18
12/13/2019, $89.19, 7224978, $89.2, $89.59, $88.44
12/12/2019, $89.57, 6549616, $89.04, $89.96, $88.91
12/11/2019, $88.98, 6510233, $89.14, $89.4873, $88.85
12/10/2019, $89.1, 8266992, $88.6, $89.53, $88.51
12/09/2019, $88.72, 7730032, $88.9, $89, $88.2
12/06/2019, $88.85, 6915991, $89, $89.24, $88.75
12/05/2019, $88.75, 7889018, $88.73, $88.79, $87.97
12/04/2019, $88.67, 6959801, $87.53, $88.73, $87.18
12/03/2019, $87.38, 9604427, $86.68, $87.465, $86.5
12/02/2019, $87.04, 5342618, $87.54, $87.985, $86.55
11/29/2019, $87.18, 4656715, $87.17, $87.77, $87.03
11/27/2019, $87.61, 5761367, $87.4, $87.87, $86.99
11/26/2019, $87.34, 18366850, $86, $87.44, $85.91
11/25/2019, $85.7, 8608275, $86.04, $86.59, $85.34
11/22/2019, $85.45, 7443118, $85.65, $86.355, $85.32
11/21/2019, $85.46, 6865971, $85.7, $85.77, $84.27
11/20/2019, $85.27, 7786740, $84.53, $85.48, $84.45
11/19/2019, $84.65, 9247540, $84.4, $84.95, $83.97
11/18/2019, $84.13, 10211800, $84.66, $84.82, $83.85
11/15/2019, $84.9, 9233008, $84.69, $85.595, $84.6431
11/14/2019, $84.55, 7549428, $84.92, $85.18, $83.7
11/13/2019, $84.82, 6259256, $84.55, $85.11, $84.11
11/12/2019, $84.12, 8222086, $83.58, $84.82, $83.58
11/11/2019, $83.28, 3554858, $83.16, $83.64, $82.96
11/08/2019, $83.59, 6349726, $82.91, $83.71, $82.71
11/07/2019, $82.88, 8827599, $83.23, $83.99, $82.67
11/06/2019, $83.25, 9289741, $83.56, $83.955, $83.1301
11/05/2019, $82.92, 9482775, $83.67, $83.75, $82.73
11/04/2019, $83.9, 8537398, $85.59, $85.7, $83.88
11/01/2019, $84.94, 8856175, $87.07, $87.24, $84.79
10/31/2019, $86.66, 11850580, $86.1, $86.99, $85.51
10/30/2019, $86.22, 9567580, $85, $86.49, $84.32
10/29/2019, $85.1, 16575390, $84.05, $85.77, $82.7
10/28/2019, $82.2, 14845140, $82.73, $83.47, $80.34
10/25/2019, $82.26, 7508048, $82.27, $82.85, $82.03
10/24/2019, $82.58, 5008802, $83.11, $83.64, $82.04
10/23/2019, $82.87, 8180852, $81.29, $82.87, $81.16
10/22/2019, $81.3, 18223430, $82, $82.68, $80.25
10/21/2019, $84.52, 5126837, $84.97, $85.06, $84.08
10/18/2019, $84.68, 7522217, $83.71, $84.91, $83.66
10/17/2019, $83.8, 6883391, $84.42, $84.65, $83.7364
10/16/2019, $84.45, 5461542, $85.06, $85.09, $84.42
