Date, Close/Last, Volume, Open, High, Low
03/30/2020, $34.84, 18046780, $33.53, $35.34, $32.97
03/27/2020, $34.01, 33375420, $33.64, $34.73, $33.12
03/26/2020, $35.71, 26425800, $33.8, $36.85, $33.33
03/25/2020, $33.99, 27198490, $33.9, $35.48, $32.25
03/24/2020, $33.22, 25905500, $30.09, $33.375, $29.4
03/23/2020, $27.81, 26400960, $29.15, $29.7899, $27.76
03/20/2020, $29.67, 27472500, $31.25, $31.45, $29.19
03/19/2020, $30.92, 23929640, $30.35, $32.9, $28.74
03/18/2020, $30.75, 27603010, $31.34, $32.84, $27.2
03/17/2020, $33.79, 27047360, $32.37, $35.12, $30.11
03/16/2020, $31.65, 26789930, $31.07, $35.27, $30.36
03/13/2020, $37.5, 33305140, $34.27, $37.52, $33.068
03/12/2020, $31.31, 27964640, $33.91, $34.91, $31.21
03/11/2020, $36.87, 27383550, $38.23, $38.86, $36.443
03/10/2020, $39.5, 27110970, $39.81, $39.99, $37.05
03/09/2020, $37.5, 28177460, $36.85, $39.02, $36.85
03/06/2020, $41.84, 30898350, $40.51, $42.24, $40.34
03/05/2020, $42.59, 23950190, $43.51, $43.94, $42.14
03/04/2020, $45.24, 21938110, $45.16, $45.3229, $44.21
03/03/2020, $44.4, 30206620, $46.37, $46.92, $43.855
03/02/2020, $46.48, 23234150, $45.11, $46.48, $44.4
02/28/2020, $45.03, 36983540, $43.87, $45.5462, $43.69
02/27/2020, $45.41, 26815170, $45.74, $47.205, $45.16
02/26/2020, $47.24, 22286790, $48.22, $48.55, $46.89
02/25/2020, $48.03, 25568360, $49.98, $50.15, $47.56
02/24/2020, $49.68, 28670360, $50.31, $50.49, $49.21
02/21/2020, $52.42, 29541330, $53.5, $53.59, $52.09
02/20/2020, $53.75, 58533500, $54, $55.505, $53.59
02/19/2020, $56.31, 6075295, $55.86, $56.43, $55.49
02/18/2020, $55.52, 6898811, $55.8, $55.96, $54.935
02/14/2020, $55.84, 4579308, $55.9, $56.12, $55.54
02/13/2020, $55.93, 5718394, $55.8, $55.99, $55.5
02/12/2020, $56.18, 7130011, $56.22, $56.655, $56.11
02/11/2020, $55.78, 7120808, $55.74, $56.245, $55.69
02/10/2020, $55.35, 5115052, $54.68, $55.36, $54.615
02/07/2020, $55.03, 7587971, $54.61, $55.11, $54.42
02/06/2020, $55.01, 6976882, $55.43, $55.49, $54.61
02/05/2020, $54.99, 8237518, $54.86, $55.15, $54.3829
02/04/2020, $54.02, 9375133, $53.75, $54.6, $53.73
02/03/2020, $52.6, 8375623, $52.64, $53.59, $52.58
01/31/2020, $52.26, 11286890, $53.2, $53.28, $51.885
01/30/2020, $53.82, 8685860, $52.61, $53.86, $52.4
01/29/2020, $53.68, 9027852, $54.48, $54.55, $53.68
01/28/2020, $54.02, 9232924, $53.8, $54.44, $53.375
01/27/2020, $53.11, 10649110, $53, $53.692, $52.86
01/24/2020, $54.55, 9752123, $55.53, $55.61, $54.1
01/23/2020, $55.53, 10064910, $55.22, $55.65, $54.8
01/22/2020, $55.86, 10276830, $56.18, $56.51, $55.85
01/21/2020, $55.92, 20833890, $55.88, $56.48, $55.18
01/17/2020, $57.51, 15403890, $56.26, $57.57, $56.18
01/16/2020, $56.44, 34590660, $56.05, $57.36, $55.65
01/15/2020, $52.94, 11342490, $52.48, $52.94, $52.11
01/14/2020, $52.86, 9605014, $53.06, $53.245, $52.675
01/13/2020, $52.78, 8335362, $52.21, $52.78, $52.07
01/10/2020, $52.21, 7690485, $52.15, $52.47, $51.915
01/09/2020, $52.06, 7310275, $52.17, $52.25, $51.82
01/08/2020, $51.57, 6185249, $50.96, $51.79, $50.9
01/07/2020, $50.92, 4572114, $51.04, $51.19, $50.71
01/06/2020, $51.02, 7478540, $50.67, $51.04, $50.46
01/03/2020, $51.2, 6706712, $51.22, $51.45, $50.83
01/02/2020, $52.04, 7440294, $51.2, $52.06, $51.17
12/31/2019, $51.12, 5132637, $50.96, $51.13, $50.74
12/30/2019, $50.96, 4532760, $51.36, $51.38, $50.92
12/27/2019, $51.09, 4117109, $51.33, $51.33, $50.925
12/26/2019, $51.11, 5517449, $50.97, $51.29, $50.86
12/24/2019, $50.69, 2087767, $50.83, $50.93, $50.57
12/23/2019, $50.72, 6547641, $50.91, $51.1, $50.71
12/20/2019, $50.69, 18743340, $51.44, $51.44, $50.66
12/19/2019, $50.86, 9222000, $50.65, $51, $50.545
12/18/2019, $50.66, 9513060, $51, $51.12, $50.64
12/17/2019, $50.9, 10447050, $50.82, $51.22, $50.77
12/16/2019, $50.72, 11007600, $50.77, $51.12, $50.6
12/13/2019, $50.24, 10191240, $50.74, $51.15, $50.14
12/12/2019, $50.69, 11553710, $49.65, $50.87, $49.47
12/11/2019, $49.45, 6296326, $49.66, $49.79, $49.415
12/10/2019, $49.67, 10009610, $49.53, $49.925, $49.27
12/09/2019, $49.6, 6409856, $49.53, $49.9, $49.43
12/06/2019, $49.8, 9487810, $49.84, $50.235, $49.73
12/05/2019, $49.07, 6680673, $49.14, $49.26, $48.95
12/04/2019, $48.84, 8608998, $48.36, $49.09, $48.17
12/03/2019, $48.11, 12608610, $48.41, $48.44, $47.44
12/02/2019, $49.08, 8117599, $49.58, $49.96, $49.06
11/29/2019, $49.48, 4138428, $49.7, $49.72, $49.37
11/27/2019, $49.78, 8614071, $49.63, $49.87, $49.5
11/26/2019, $49.41, 10369310, $49.92, $49.93, $49.07
11/25/2019, $49.96, 8463572, $49.35, $49.98, $49.32
11/22/2019, $49.25, 6609776, $48.94, $49.255, $48.82
11/21/2019, $48.84, 8353623, $49.25, $49.34, $48.73
11/20/2019, $49.1, 9138743, $48.96, $49.11, $48.39
11/19/2019, $49.33, 6980321, $49.22, $49.6, $49.21
11/18/2019, $49.03, 6447878, $48.84, $49.085, $48.56
11/15/2019, $48.99, 6439116, $48.87, $49.155, $48.72
11/14/2019, $48.61, 5836618, $48.32, $48.7172, $48.21
11/13/2019, $48.39, 7093249, $48.52, $48.58, $48.1924
11/12/2019, $49.01, 6400983, $49.07, $49.21, $48.77
11/11/2019, $49.09, 7107518, $48.86, $49.3899, $48.71
11/08/2019, $49.15, 7966635, $48.64, $49.15, $48.29
11/07/2019, $48.66, 14501500, $49.12, $49.58, $48.57
