Date, Close/Last, Volume, Open, High, Low
03/30/2020, $133.37, 2067268, $135.94, $136.68, $130.19
03/27/2020, $135.07, 1783013, $144.91, $145.79, $133.58
03/26/2020, $148.99, 1618693, $135.42, $149.69, $134.48
03/25/2020, $133.66, 2293852, $130.47, $135.68, $129.51
03/24/2020, $130.81, 1993783, $129.11, $136.6, $127.44
03/23/2020, $124.56, 2023106, $135.82, $136.445, $120.77
03/20/2020, $136.61, 2639598, $148.65, $150.08, $132.79
03/19/2020, $149.72, 1629054, $147.94, $154.81, $145.95
03/18/2020, $148.2, 1413543, $142.82, $148.985, $136.29
03/17/2020, $149.33, 1939597, $148.39, $157.08, $144.1801
03/16/2020, $145.24, 2416335, $138.58, $150.1, $138.47
03/13/2020, $154.95, 2110975, $149.71, $154.99, $144.23
03/12/2020, $141.37, 2452220, $150.49, $152.87, $136.01
03/11/2020, $161.21, 1270184, $166.72, $167.3775, $159.42
03/10/2020, $170.73, 1825012, $169.72, $170.775, $162.92
03/09/2020, $165.69, 2003898, $165.28, $170.79, $162.0301
03/06/2020, $175.92, 1640645, $175.94, $176.96, $172.4024
03/05/2020, $180.45, 1288676, $178.65, $181.2796, $178.02
03/04/2020, $182.41, 1120543, $177.28, $182.43, $176.67
03/03/2020, $174.99, 1466218, $174.28, $178.6, $171.63
03/02/2020, $173.49, 1510221, $166.81, $173.55, $166.17
02/28/2020, $165.68, 2873698, $164.89, $166.51, $159.76
02/27/2020, $168.81, 1305246, $175.44, $176.73, $168.75
02/26/2020, $177.75, 811614, $178.87, $180.53, $176.45
02/25/2020, $178.11, 1042740, $182.34, $183.49, $178.08
02/24/2020, $181.8, 830278, $181.87, $185.16, $180.81
02/21/2020, $185.27, 965317, $185.11, $185.82, $183.75
02/20/2020, $185.6, 902764, $186.02, $187.49, $183.03
02/19/2020, $186.12, 786944, $185.32, $186.98, $184.85
02/18/2020, $184.87, 746502, $184.3, $185.57, $183.66
02/14/2020, $184.41, 882266, $183.62, $184.47, $182.61
02/13/2020, $184.12, 666656, $184, $185.34, $183.292
02/12/2020, $184.67, 1176396, $183.95, $185.09, $181.45
02/11/2020, $184.46, 1111431, $185.84, $186.97, $184.37
02/10/2020, $184.07, 1107265, $179.01, $184.43, $179.01
02/07/2020, $179.46, 1473230, $180.15, $185.9, $178.86
02/06/2020, $178.93, 1087690, $176.84, $180.129, $176.0661
02/05/2020, $176.69, 1216866, $178.85, $179.49, $176.5
02/04/2020, $178.32, 810472, $177.14, $179.54, $176.73
02/03/2020, $176.03, 718004, $177.66, $178.2, $175.95
01/31/2020, $177, 828808, $179.23, $179.5, $176.58
01/30/2020, $180.07, 592127, $177.44, $180.23, $177.44
01/29/2020, $179.42, 447418, $179.46, $180.2118, $178.77
01/28/2020, $179.07, 809754, $178.69, $180.3, $178.06
01/27/2020, $178, 695364, $176.93, $178.3441, $176.01
01/24/2020, $179.66, 669091, $177.91, $179.76, $177.535
