Date, Close/Last, Volume, Open, High, Low
04/13/2020, $46.17, 30449950, $44.9, $46.39, $44.39
04/09/2020, $46.13, 39840440, $49.3, $49.81, $45.35
04/08/2020, $48.29, 27694410, $47.08, $48.69, $46.8
04/07/2020, $46.54, 34646390, $48.09, $48.37, $46.04
04/06/2020, $46.37, 37899130, $43.35, $46.69, $43.34
04/03/2020, $41.22, 28522390, $40.97, $41.86, $40.55
04/02/2020, $41.09, 31457660, $39.79, $41.59, $39.52
04/01/2020, $39.89, 37452840, $40.55, $42.3, $39.33
03/31/2020, $42.06, 36723660, $44.4, $45.17, $41.91
03/30/2020, $44.52, 33763950, $44.17, $45.57, $43.1475
03/27/2020, $43.48, 39791530, $43.25, $45.28, $42.31
03/26/2020, $44.79, 62564930, $44.9, $45.75, $43.33
03/25/2020, $42.5, 54091020, $43.91, $44.88, $40.03
03/24/2020, $43.27, 45588000, $41.82, $44.42, $41.14
03/23/2020, $38.25, 45286040, $36.99, $39.47, $35.69
03/20/2020, $36.11, 37667450, $37.77, $38.59, $35.84
03/19/2020, $36.29, 31015190, $34.66, $37.3, $33.65
03/18/2020, $34.69, 36519000, $34.26, $36.555, $31.13
03/17/2020, $37.38, 34869000, $35.49, $39.13, $34.02
03/16/2020, $34.47, 36879090, $37.35, $39.14, $34.45
03/13/2020, $42.99, 35264760, $41.57, $43.02, $38.35
03/12/2020, $38.81, 40117180, $39.4, $42.5397, $38
03/11/2020, $43.72, 38525900, $46.2, $46.32, $42.845
03/10/2020, $47.86, 31652860, $48.15, $48.26, $45.29
03/09/2020, $45.97, 31260750, $45.48, $48.6, $44.9201
03/06/2020, $51.47, 30313740, $52.2, $53.19, $50
03/05/2020, $53.72, 26223050, $53.45, $55.61, $53.34
03/04/2020, $55.29, 28222020, $53.02, $55.3761, $52.21
03/03/2020, $51.8, 36893230, $54.6, $55.4, $51.1
03/02/2020, $54.59, 33272720, $53.2, $54.69, $52.1
02/28/2020, $52.56, 40288570, $48.65, $52.916, $48.39
02/27/2020, $50.58, 36349250, $50.63, $52.85, $49.99
02/26/2020, $52.37, 28100930, $52.65, $54.27, $51.88
02/25/2020, $52.1, 41894210, $54.84, $55.45, $51.55
02/24/2020, $55.01, 33321080, $53.31, $55.46, $52.61
02/21/2020, $56.99, 27051210, $58.63, $58.73, $55.89
02/20/2020, $59, 20797110, $59.88, $59.99, $57.69
02/19/2020, $59.99, 23335540, $58.58, $60.25, $58.56
02/18/2020, $57.75, 21547970, $57.07, $58.0367, $56.62
02/14/2020, $58.5, 20920170, $60.16, $60.56, $58.26
02/13/2020, $59.33, 23679690, $59.005, $60.625, $58.86
02/12/2020, $59.27, 47180810, $59.04, $61.19, $58.9
02/11/2020, $57.25, 26776850, $57.88, $58.84, $56.33
02/10/2020, $57.33, 15929040, $56.3, $57.34, $56.2
02/07/2020, $56.88, 20891080, $57.97, $58, $56.77
02/06/2020, $58.68, 23358720, $58.08, $59.17, $57.41
02/05/2020, $56.77, 19795260, $57.02, $57.26, $55.82
02/04/2020, $55.5, 19998620, $55.29, $56.02, $54.94
02/03/2020, $53.78, 20481020, $53.254, $54.11, $53
01/31/2020, $53.09, 28550850, $55.15, $55.2, $52.7
01/30/2020, $55.03, 30783780, $54.18, $55.07, $53.22
01/29/2020, $55.3, 19306750, $55.99, $57.19, $55.292
01/28/2020, $56.47, 18544880, $56.25, $56.78, $55.24
01/27/2020, $55.41, 27310070, $55.15, $55.99, $54.62
01/24/2020, $57.76, 28555350, $60, $60.02, $57.24
01/23/2020, $59.2, 26146120, $60.33, $60.56, $59.03
01/22/2020, $59.17, 22604370, $59.515, $60.25, $58.85
01/21/2020, $58.97, 24821720, $57.37, $59.18, $57.27
01/17/2020, $57.66, 20549200, $58.02, $58.12, $57.01
01/16/2020, $57.68, 22732680, $56.8, $57.84, $56.76
01/15/2020, $56.17, 21638610, $57.03, $57.12, $55.84
01/14/2020, $57.52, 26550790, $57.8, $58.295, $56.46
01/13/2020, $57.45, 16192030, $57.01, $57.78, $56.86
01/10/2020, $56.67, 19148560, $57.47, $57.5, $56.2734
01/09/2020, $57.31, 22405700, $58.32, $58.48, $56.48
01/08/2020, $57.52, 29755400, $58.09, $58.39, $57.06
01/07/2020, $58.27, 50303180, $55.38, $58.4, $55.36
01/06/2020, $53.565, 18791490, $53.75, $54.14, $53.164
01/03/2020, $54.53, 16826600, $54.16, $55.305, $54
01/02/2020, $55.39, 20184050, $54.85, $55.49, $54.51
12/31/2019, $53.78, 13299920, $52.91, $53.9, $52.78
12/30/2019, $53.21, 15279480, $53.77, $53.88, $52.66
12/27/2019, $54.03, 17188670, $55.24, $55.53, $53.885
12/26/2019, $55.105, 13550980, $55.45, $55.65, $54.9147
12/24/2019, $55.42, 8621852, $55.45, $55.64, $55.035
12/23/2019, $55.4, 23715220, $55.23, $56.11, $55.14
12/20/2019, $55.06, 44372260, $54.9, $55.93, $54.6343
12/19/2019, $54.53, 56296820, $55.01, $55.29, $53.9
12/18/2019, $53.04, 39580520, $53, $53.72, $52.37
12/17/2019, $53, 28375950, $53.99, $54, $52.65
12/16/2019, $52.94, 38712780, $52.76, $54.3, $52.692
12/13/2019, $51.2, 30050050, $51.02, $52.32, $50.7
12/12/2019, $50.97, 36682620, $49.36, $51.33, $49.32
12/11/2019, $49.26, 22112200, $47.75, $49.34, $47.69
12/10/2019, $47.46, 19283620, $47.04, $47.92, $46.72
12/09/2019, $46.45, 16566740, $47.565, $47.77, $46.43
12/06/2019, $47.93, 20485170, $47.44, $48.33, $47.32
12/05/2019, $46.62, 13016020, $46.71, $47.4, $46.25
12/04/2019, $46.3, 16930410, $46.18, $46.6, $45.73
12/03/2019, $45.23, 20857140, $45.12, $45.4, $44.55
12/02/2019, $46.39, 16094840, $47.57, $47.95, $46.345
11/29/2019, $47.51, 7343564, $47.94, $47.95, $47.44
11/27/2019, $48.16, 15441180, $47.35, $48.265, $47.11
11/26/2019, $46.715, 12919900, $47.65, $47.67, $46.54
11/25/2019, $47.52, 18828570, $46.1, $47.55, $45.94
11/22/2019, $45.87, 11253710, $45.93, $46.38, $45.75
11/21/2019, $45.55, 14192910, $45.3, $46.18, $45.04
11/20/2019, $45.57, 24695540, $46.15, $46.5048, $45.23
11/19/2019, $46.58, 18393960, $48.11, $48.18, $46.28
11/18/2019, $47.82, 12642610, $47.95, $48.405, $47.47
11/15/2019, $47.71, 17865210, $47.6, $48.52, $47.34
11/14/2019, $46.8, 11825150, $46.12, $46.83, $45.77
11/13/2019, $46.3, 15839050, $46.5, $46.55, $45.81
11/12/2019, $46.9, 15170690, $46.8, $47.68, $46.68
11/11/2019, $46.26, 14645830, $46.72, $46.74, $45.85
11/08/2019, $47.19, 18528350, $47.56, $48.005, $46.95
11/07/2019, $48.4, 19253570, $48.52, $49.08, $48
11/06/2019, $47.68, 21803640, $48.15, $48.3, $47.105
11/05/2019, $48.68, 13682560, $49.62, $49.72, $48.605
11/04/2019, $49.59, 16021450, $49.39, $49.9, $49.25
11/01/2019, $48.38, 18311720, $47.48, $48.54, $47.25
10/31/2019, $47.55, 15445760, $47.28, $47.88, $46.46
