Date, Close/Last, Volume, Open, High, Low
04/13/2020, $236.21, 2689472, $242.56, $243.865, $234.38
04/09/2020, $245.28, 4896913, $235.84, $250.87, $235.38
04/08/2020, $233.5, 4572679, $229.63, $236.19, $224.04
04/07/2020, $228.49, 2626944, $240.35, $240.99, $228.16
04/06/2020, $234.51, 3316912, $230.79, $237.04, $228.02
04/03/2020, $221.64, 2189188, $223.96, $228.565, $217.54
04/02/2020, $226.45, 2308621, $215, $229.54, $214.14
04/01/2020, $218.23, 3423107, $230.96, $231.99, $213.04
03/31/2020, $240.62, 4726904, $242.11, $247.9, $239.16
03/30/2020, $246.01, 4093802, $237.31, $248.23, $234.36
03/27/2020, $231.95, 4046130, $225.48, $240.32, $223.39
03/26/2020, $231.1, 3663921, $210.9, $234.17, $210.6
03/25/2020, $210.27, 4448696, $205.68, $220.25, $195.07
03/24/2020, $206.53, 4475161, $187.85, $208.48, $186.49
03/23/2020, $181.66, 5915393, $186.67, $188.57, $174.8
03/20/2020, $191.75, 5620597, $205.75, $209.9, $186.8615
03/19/2020, $207.1, 4360601, $210.01, $221.625, $200.54
03/18/2020, $210.64, 5549454, $209.06, $227.99, $199.76
03/17/2020, $221.76, 5384530, $205.46, $227.47, $204
03/16/2020, $201.37, 5060117, $198, $220.66, $196.74
03/13/2020, $221.56, 7896677, $220.05, $221.99, $196.3588
03/12/2020, $208.89, 7917068, $216.13, $231.66, $206.05
03/11/2020, $241.26, 4907936, $249.2, $249.22, $238.56
03/10/2020, $255.73, 5936101, $265.63, $267.32, $242.31
03/09/2020, $261.28, 3891270, $254.46, $266.32, $254.46
03/06/2020, $271.82, 3639194, $268.56, $272.91, $261.695
03/05/2020, $276.16, 3103157, $277.05, $279.86, $272.44
03/04/2020, $282.22, 3678288, $269.2, $282.57, $269.2
03/03/2020, $265.15, 3909248, $269.09, $274.3, $262.885
03/02/2020, $268.35, 4826735, $253.65, $268.9, $252.33
02/28/2020, $252.76, 6868696, $248.15, $253.91, $243.08
02/27/2020, $255.85, 3651011, $268.04, $270.93, $255.61
02/26/2020, $269.47, 2388128, $268.93, $273.3, $268
02/25/2020, $270.33, 2571394, $273.94, $275.9, $269.8
02/24/2020, $273.94, 2273261, $274.8, $278.61, $273.93
02/21/2020, $277.59, 2757684, $277.53, $278.76, $276.07
02/20/2020, $277.03, 2682863, $275.94, $277.14, $273.31
