Date, Close/Last, Volume, Open, High, Low
04/13/2020, $338.85, 639374, $336.71, $341.54, $334.14
04/09/2020, $336.65, 1115830, $334.61, $339.1246, $330.65
04/08/2020, $329.67, 919018, $330.31, $336.63, $327.08
04/07/2020, $325.52, 1098680, $342.71, $343.31, $324.96
04/06/2020, $332.33, 1047726, $320, $335.271, $319.5
04/03/2020, $313.61, 834905, $313.9, $315.55, $310.3077
04/02/2020, $314.29, 1061932, $301.9, $314.73, $301.6866
04/01/2020, $306.99, 1226512, $293.85, $309.99, $290.615
03/31/2020, $302.55, 1981613, $309.17, $311, $300.38
03/30/2020, $313.72, 1261675, $317.41, $322.92, $308.86
03/27/2020, $312.15, 1504802, $311.89, $318.77, $301.6
03/26/2020, $321.19, 1425505, $290.63, $321.92, $290.63
03/25/2020, $288.36, 1615682, $281.79, $301.9799, $279
03/24/2020, $281.28, 1655312, $280.25, $284, $272.63
03/23/2020, $269.86, 1497432, $280.85, $283.25, $263.31
03/20/2020, $284.02, 1768558, $300.94, $301.165, $274.775
03/19/2020, $296.91, 1711637, $321.15, $322.99, $289.51
03/18/2020, $323, 1779423, $301.01, $325.845, $298.61
03/17/2020, $319.33, 2113402, $288.36, $319.89, $287.5801
03/16/2020, $282.59, 1520192, $274.59, $300.435, $274.59
03/13/2020, $314.5, 2307453, $303.66, $315.645, $289.59
03/12/2020, $290.5, 2525949, $296.99, $308.96, $289.2602
03/11/2020, $317.85, 1484375, $325.45, $330.355, $311.87
03/10/2020, $334.89, 1826739, $324.69, $335.14, $321.63
03/09/2020, $313.28, 1355483, $306.94, $320.735, $280
03/06/2020, $328.96, 1361290, $319.32, $331.9, $315.84
03/05/2020, $327.78, 1214057, $339.48, $342.03, $325.86
03/04/2020, $346.97, 1193710, $335.57, $347.99, $330.52
03/03/2020, $329.38, 1207954, $335.99, $347.9, $329.01
03/02/2020, $335.99, 1547061, $330.46, $336.93, $321.86
02/28/2020, $328.84, 2921170, $320, $329.82, $313.98
02/27/2020, $331.57, 2054478, $329.49, $337.79, $325
02/26/2020, $334.32, 934426, $342.5, $347.15, $334.31
02/25/2020, $339.97, 1459067, $361.07, $361.435, $338.78
02/24/2020, $359.39, 997495, $357.99, $365.85, $357.7245
02/21/2020, $365.01, 880309, $360.66, $365.93, $358.03
02/20/2020, $363.25, 995296, $365.28, $367.62, $360.53
02/19/2020, $366.15, 864665, $373.22, $374.39, $365.96
02/18/2020, $372.42, 810889, $367.7, $372.64, $365.75
02/14/2020, $370.94, 635087, $368.82, $371.64, $367.01
02/13/2020, $368, 848566, $366.7, $370.47, $365.04
