Date, Close/Last, Volume, Open, High, Low
04/13/2020, $154.29, 1335730, $159.13, $159.3, $152.75
04/09/2020, $159.3, 2214130, $160.36, $164.67, $157.02
04/08/2020, $158.97, 1385897, $155.46, $160.26, $154.255
04/07/2020, $153.53, 2062354, $159.69, $161.99, $153.04
04/06/2020, $154.75, 2698136, $150.74, $155.9, $149.8103
04/03/2020, $142.32, 2285901, $143.3, $144.38, $140.68
04/02/2020, $143.72, 2982390, $138.09, $144.11, $136.65
04/01/2020, $140.01, 2067650, $138.69, $142.42, $137.81
03/31/2020, $146, 2316789, $147.03, $149.89, $144.72
03/30/2020, $148.29, 2010023, $143.34, $149.92, $142.04
03/27/2020, $143.36, 1565294, $140.82, $146.62, $138.705
03/26/2020, $146.92, 2522641, $143.19, $149.1, $140.3
03/25/2020, $140.4, 2947732, $137, $150.74, $135.95
03/24/2020, $140.23, 2723050, $127.02, $141.12, $125.81
03/23/2020, $118.88, 3417540, $121.83, $123.84, $112.62
03/20/2020, $123.71, 2712112, $138.77, $138.77, $123.51
03/19/2020, $136.33, 2349142, $128.33, $139.31, $125.84
03/18/2020, $130.84, 2745089, $129.07, $132.71, $119.29
03/17/2020, $139.59, 2661991, $128.56, $142.13, $125.53
03/16/2020, $126.44, 2617569, $132.52, $141.86, $126.34
03/13/2020, $146.86, 3268489, $141.24, $147.35, $136.27
03/12/2020, $133.5, 3940611, $137.33, $141.93, $129.24
03/11/2020, $151.36, 2547545, $155.67, $156.97, $148.63
03/10/2020, $160.51, 2673410, $160.89, $161.89, $152.41
03/09/2020, $154.5, 3101157, $159.46, $164.25, $151.365
03/06/2020, $174.6, 2163606, $168.86, $175.25, $168.04
03/05/2020, $175.35, 1912416, $177.48, $179.52, $174
03/04/2020, $184.24, 1832080, $179.48, $184.48, $177.64
03/03/2020, $176.86, 2129623, $182.32, $187.63, $175.09
03/02/2020, $182.59, 2540581, $183.74, $184.615, $177.49
02/28/2020, $182.35, 3173687, $179.21, $182.58, $176.3981
02/27/2020, $184.28, 4335918, $185.84, $193.05, $183.26
02/26/2020, $190.07, 1956013, $195.44, $196.99, $189.42
02/25/2020, $194.85, 2171119, $203.57, $203.83, $193.93
02/24/2020, $203, 1557338, $201.28, $203.66, $200
02/21/2020, $208.05, 1363390, $210.79, $211.61, $206.8
02/20/2020, $210.81, 949140, $209.15, $211.0887, $208.14
02/19/2020, $209.17, 703374, $208.67, $210.45, $208.25
02/18/2020, $208.02, 977579, $208.61, $210.39, $207.03
02/14/2020, $209.35, 711435, $210.44, $211.21, $208.79
02/13/2020, $210.49, 848564, $209.7, $211.375, $209
02/12/2020, $210.92, 891738, $210.77, $212.73, $209.88
02/11/2020, $209.17, 1425218, $210.63, $213.305, $209.07
02/10/2020, $209.25, 2338351, $208.92, $209.785, $207.66
02/07/2020, $210.18, 2259976, $211.34, $212.1, $208.98
02/06/2020, $212.68, 1001820, $213.46, $214.54, $212.02
02/05/2020, $213.8, 1409799, $214.87, $214.95, $213.17
02/04/2020, $211.87, 2551182, $209.44, $213.27, $209.2
02/03/2020, $206.99, 1971772, $209.92, $210.4, $206.73
01/31/2020, $208.21, 2163343, $212.26, $212.75, $207.52
01/30/2020, $214.5, 1917132, $212.19, $215.095, $211.54
01/29/2020, $214.83, 3193419, $217.2, $219.88, $214.83
01/28/2020, $204.76, 1456569, $203, $205.72, $202.555
01/27/2020, $202.66, 1314136, $203.26, $205.83, $202.6
01/24/2020, $207.86, 1129449, $208, $209.9, $206.91
01/23/2020, $208.61, 1301547, $202.35, $208.84, $201.71
01/22/2020, $203.14, 1447827, $205.55, $205.62, $202.57
01/21/2020, $204.62, 1455192, $208.5, $208.81, $203.775
01/17/2020, $209.32, 2247150, $205.19, $209.4, $203.8501
01/16/2020, $206.25, 1851390, $203.98, $206.6, $203.71
01/15/2020, $202.89, 1584635, $201.76, $203.84, $200.82
01/14/2020, $201.7, 1315939, $200.39, $203.425, $199.97
01/13/2020, $200.28, 1418391, $197.21, $200.38, $196.74
01/10/2020, $197.55, 1459443, $198.91, $200.72, $197.23
01/09/2020, $198.3, 1812005, $198.82, $198.975, $197.63
01/08/2020, $197.63, 1133635, $196.82, $199.35, $195.98
01/07/2020, $196.71, 1478895, $196.52, $197.73, $195.13
01/06/2020, $195.93, 2077498, $195.17, $196.17, $194.2
01/03/2020, $196.44, 2003662, $193.19, $196.59, $193.19
01/02/2020, $196.8, 1314132, $195.05, $196.8, $194.265
12/31/2019, $194.13, 800706, $193.33, $194.42, $192.93
12/30/2019, $193.61, 755163, $195.2, $195.5, $192.71
12/27/2019, $195.2, 490838, $194.88, $195.575, $194.01
12/26/2019, $194.45, 693671, $195.05, $195.06, $193.22
12/24/2019, $194.91, 386273, $194.66, $195.21, $194.07
