Date, Close/Last, Volume, Open, High, Low
03/30/2020, $265.59, 15056250, $255.36, $265.96, $253.59
03/27/2020, $252.73, 15970740, $250, $263.1177, $248.68
03/26/2020, $257.24, 17439690, $253.94, $262.22, $250
03/25/2020, $245.62, 19835770, $253.8, $261.82, $243.66
03/24/2020, $249.18, 27541100, $229, $252.66, $228.05
03/23/2020, $212.69, 16096870, $205.71, $216.48, $198.52
03/20/2020, $205.75, 20115850, $219, $230.32, $205.13
03/19/2020, $212.97, 19137850, $201.96, $216.73, $193.39
03/18/2020, $202.82, 21856660, $200.095, $209.94, $180.6807
03/17/2020, $217.27, 20840800, $200.91, $220.86, $191
03/16/2020, $196.4, 18174300, $212.41, $226.1, $194
03/13/2020, $240.84, 15870940, $230.5, $241.02, $219.61
03/12/2020, $216.31, 20413540, $225.46, $236.119, $215.8
03/11/2020, $246.47, 12551690, $255.455, $256.6, $242.57
03/10/2020, $261.08, 14516220, $256.54, $261.08, $245.99
03/09/2020, $245.44, 15353960, $239.9, $259.4, $238.18
03/06/2020, $266.04, 12885310, $266.08, $268.39, $258
03/05/2020, $273.29, 13508190, $276.5, $283.2, $271.5
03/04/2020, $284.51, 14935180, $270.2, $284.89, $267.2
03/03/2020, $265.89, 16319830, $278.6665, $281.07, $262.4601
03/02/2020, $276.43, 22268640, $276.9, $277.59, $261
02/28/2020, $270.07, 28366880, $242.455, $272.46, $241.79
02/27/2020, $252.6, 22660370, $254.9, $267, $248.89
02/26/2020, $267.65, 18741540, $262.06, $275.45, $262
02/25/2020, $262.05, 26387440, $276.304, $278.79, $257.96
02/24/2020, $273.28, 21422870, $270.19, $281.8723, $268
02/21/2020, $294.07, 19232330, $304.19, $305.2, $290.66
02/20/2020, $308.7, 20251260, $312.765, $316.32, $296.35
02/19/2020, $314.7, 17358280, $301.49, $315.41, $301.4856
02/18/2020, $296.57, 15547030, $285.644, $297.31, $284.86
02/14/2020, $289.79, 26048090, $287.26, $294.97, $286
02/13/2020, $270.78, 13200380, $270.21, $273.48, $269.11
02/12/2020, $272.54, 9366118, $270.01, $272.8, $268.4474
02/11/2020, $267.89, 15963920, $267.32, $272.5, $264.83
02/10/2020, $262.97, 13240190, $252.5, $263, $252.3
02/07/2020, $251.59, 4743803, $252.64, $253.53, $250.572
02/06/2020, $254.245, 5457051, $252.14, $254.25, $248.88
02/05/2020, $250.76, 5205502, $251.99, $252.4, $247.41
02/04/2020, $247.13, 6788589, $246.03, $247.9, $244.02
02/03/2020, $240.33, 6398205, $235.7, $241.1111, $235.45
01/31/2020, $236.43, 9260493, $243.97, $244.45, $234.75
01/30/2020, $245.81, 7262590, $241.61, $246.35, $239.4
01/29/2020, $245.54, 6486279, $247.39, $248.84, $243.94
01/28/2020, $247.97, 7774401, $242.85, $249.27, $240.7143
01/27/2020, $240.2, 11763350, $238.24, $242.25, $232.23
01/24/2020, $250.48, 9337839, $257.5, $259.5, $248.3
01/23/2020, $252.86, 6112861, $251.72, $253.2, $248.15
01/22/2020, $250.05, 5980967, $249.76, $253.59, $249
01/21/2020, $247.94, 5447925, $247.805, $249.29, $246.5703
01/17/2020, $249.28, 6344764, $249.7, $250, $247.37
01/16/2020, $248.93, 7104791, $247.72, $249.17, $246.775
01/15/2020, $245.57, 6577636, $247.79, $248.6891, $244.53
01/14/2020, $247.28, 8989483, $250.26, $251.28, $246.75
01/13/2020, $251.98, 8008451, $247.66, $252.9884, $246.75
01/10/2020, $244.32, 7911560, $247.33, $248.55, $243.75
01/09/2020, $243.02, 6386053, $243.85, $245.9297, $240.855
01/08/2020, $240.38, 6931017, $239.76, $242.04, $238.149
01/07/2020, $239.93, 7980144, $238.2, $241.77, $236.39
