Date, Close/Last, Volume, Open, High, Low
03/30/2020, $53.13, 6064387, $57.03, $57.62, $51.25
03/27/2020, $56.9, 7891308, $55.72, $60.13, $55.15
03/26/2020, $58.36, 4476102, $56.58, $58.63, $54.23
03/25/2020, $54.5, 5400086, $51.99, $59.5, $50.33
03/24/2020, $50.67, 4582825, $46.02, $50.85, $45.19
03/23/2020, $43.34, 5345362, $46.54, $46.54, $40.39
03/20/2020, $47.42, 4918426, $50.07, $52.56, $46.89
03/19/2020, $48.08, 5643149, $42.75, $49.18, $38
03/18/2020, $42.5, 6410757, $51.98, $52.484, $40
03/17/2020, $55.12, 6054091, $56, $56.13, $51.8
03/16/2020, $53.99, 6160436, $63.8, $66.5, $53.94
03/13/2020, $71.92, 5208599, $69.83, $72.11, $67.75
03/12/2020, $67.74, 4919692, $68.53, $73.62, $66.0614
03/11/2020, $73.56, 3661680, $75.1, $75.315, $72.26
03/10/2020, $76.59, 3725175, $74.79, $76.68, $72.7
03/09/2020, $73.32, 3874487, $71.31, $74.95, $71
03/06/2020, $76.65, 2857317, $76.01, $76.9, $74.2
03/05/2020, $77.63, 2286013, $77.05, $78, $76.45
03/04/2020, $78.15, 3610362, $76.06, $78.33, $75.77
03/03/2020, $74.6, 3513041, $75.1, $76.57, $73.96
03/02/2020, $74.99, 4511821, $72.99, $75.06, $71.66
02/28/2020, $72.39, 7018502, $71.46, $72.59, $69.38
02/27/2020, $72.89, 11871550, $74.3, $75.78, $72.89
02/26/2020, $79.76, 5288663, $81.02, $81.735, $79.4401
02/25/2020, $80.92, 3899834, $82.27, $82.28, $80.47
02/24/2020, $82.17, 2865240, $82.12, $83.4, $82
02/21/2020, $82.44, 2222490, $81.83, $82.5, $81.53
02/20/2020, $81.91, 3245938, $84.29, $84.92, $80.38
02/19/2020, $79.67, 1254329, $80.35, $80.37, $79.41
02/18/2020, $80.4, 1309233, $80.5, $80.55, $79.775
02/14/2020, $80.25, 1641910, $78.89, $80.25, $78.81
02/13/2020, $78.79, 1339870, $78.43, $79.28, $78.43
02/12/2020, $78.29, 1942939, $78.41, $78.88, $78
02/11/2020, $78.68, 1675025, $80.01, $80.35, $78.495
02/10/2020, $80.08, 1361186, $80, $80.15, $79.64
02/07/2020, $79.51, 1166717, $79.44, $79.8, $79.19
02/06/2020, $79.15, 1015210, $78.62, $79.39, $78.595
02/05/2020, $78.5, 1786721, $77.88, $78.75, $77.4
02/04/2020, $78.32, 1251679, $78.08, $78.94, $78
02/03/2020, $78.2, 2080106, $78.45, $78.97, $78.04
01/31/2020, $78.41, 6703377, $78.86, $79.145, $77.74
01/30/2020, $78.98, 2671271, $78.03, $79.01, $77.77
01/29/2020, $78.14, 2513565, $78.2, $78.66, $77.93
01/28/2020, $78.13, 3249650, $77.94, $78.65, $77.865
01/27/2020, $77.4, 1792819, $76.9, $77.91, $76.75
01/24/2020, $77.13, 1001867, $77.27, $77.83, $76.95
01/23/2020, $77.24, 1112020, $77.1, $77.59, $76.67
01/22/2020, $76.89, 1229774, $77.89, $78.1698, $76.59
01/21/2020, $77.72, 1839450, $76.36, $77.96, $76.35
01/17/2020, $76.35, 1764109, $76.15, $76.75, $75.9
01/16/2020, $76.15, 1463426, $76, $76.53, $75.7225
01/15/2020, $75.98, 1960531, $75.67, $76.34, $75.5529
01/14/2020, $74.96, 1517963, $74.75, $74.99, $74.2
01/13/2020, $74.96, 1612789, $73.91, $75.03, $73.81
01/10/2020, $73.74, 2429388, $73.28, $73.98, $73.16
01/09/2020, $73.25, 1997960, $74.42, $74.54, $73.18
01/08/2020, $74.52, 1853515, $74.28, $74.642, $73.92
01/07/2020, $74.18, 1561239, $74.7, $74.7, $73.34
01/06/2020, $74.16, 1283004, $73.65, $74.46, $73.32
01/03/2020, $73.79, 1769580, $72.19, $73.9, $72.11
01/02/2020, $72.48, 1997631, $73.85, $74, $71.93
12/31/2019, $73.63, 1389090, $72.97, $73.65, $72.8696
12/30/2019, $73.25, 1500912, $72.98, $73.55, $72.975
12/27/2019, $73.25, 1085915, $73, $73.39, $72.57
12/26/2019, $72.84, 1047684, $72.47, $72.85, $72.37
12/24/2019, $72.36, 621718, $72.04, $72.59, $71.8
12/23/2019, $71.95, 1189761, $72.68, $72.94, $71.84
12/20/2019, $72.5, 4657058, $72.56, $72.93, $72.11
12/19/2019, $72.35, 1693821, $72.09, $72.78, $72.06
12/18/2019, $72.07, 1840721, $71.69, $72.56, $71.63
12/17/2019, $71.73, 2517312, $73.26, $73.505, $71.445
12/16/2019, $73.04, 3267013, $72.81, $73.2, $71.91
12/13/2019, $72.5, 4380741, $73.37, $73.9, $72.13
12/12/2019, $73.14, 3852487, $74.92, $75.11, $72.96
12/11/2019, $74.58, 1673273, $75.89, $75.95, $74.26
12/10/2019, $75.61, 1215195, $75.76, $76.08, $74.93
12/09/2019, $75.75, 1135373, $76.16, $76.16, $75.58
12/06/2019, $75.94, 1344782, $75.63, $76.34, $75.63
12/05/2019, $75.68, 1385701, $75.6, $75.8, $75.215
12/04/2019, $75.94, 1624669, $75.06, $76.17, $75.0205
12/03/2019, $75.4, 2186064, $75.71, $76.13, $75.095
12/02/2019, $75.49, 1869251, $76.4, $76.59, $75.27
11/29/2019, $76.63, 1296821, $77.46, $77.88, $76.6
11/27/2019, $77.69, 2538220, $76.75, $77.69, $76.4
11/26/2019, $76.73, 2906715, $76.55, $77, $76.33
11/25/2019, $76.3, 1513860, $76.44, $77.03, $76.26
11/22/2019, $76.22, 1267246, $76.58, $76.89, $75.7
11/21/2019, $76.5, 1743089, $77.65, $77.705, $76.46
11/20/2019, $77.99, 1289293, $77.79, $78.37, $77.29
11/19/2019, $77.79, 1651970, $78.13, $78.41, $77.6894
11/18/2019, $78.27, 1753007, $77.49, $79.15, $77.48
11/15/2019, $77.46, 1836093, $77.34, $77.55, $77.09
11/14/2019, $77.24, 1372381, $77.17, $77.525, $76.91
11/13/2019, $76.82, 2286963, $75.91, $77.27, $75.76
11/12/2019, $75.76, 2070667, $76.67, $77.07, $75.63
11/11/2019, $76.56, 1723020, $76.45, $76.93, $76.4
11/08/2019, $76.32, 1956042, $77.49, $77.59, $76.21
11/07/2019, $77.57, 2407139, $78.51, $78.64, $76.86
11/06/2019, $78.8, 1869430, $78.48, $79.18, $78.2
11/05/2019, $78.23, 3301802, $79.5, $79.54, $77.2
11/04/2019, $80.16, 3114114, $80.89, $81.05, $79.36
11/01/2019, $81.08, 2095751, $81.7, $81.96, $80.2
10/31/2019, $81.79, 3166069, $81.83, $82.17, $81.23
10/30/2019, $81.94, 1182841, $81.15, $81.97, $80.93
10/29/2019, $80.85, 1508100, $80.96, $81.71, $80.7
10/28/2019, $80.88, 2305712, $80.57, $80.95, $80.19
10/25/2019, $80.88, 1829091, $80.85, $81.14, $80.3
10/24/2019, $80.85, 2362249, $80.3, $80.9, $79.91
