Date, Close/Last, Volume, Open, High, Low
03/30/2020, $50.36, 20611900, $50.4, $51.585, $49.59
03/27/2020, $49.83, 20025300, $49.09, $51.6, $48.5625
03/26/2020, $50.48, 22418940, $46.38, $50.74, $46.19
03/25/2020, $45.94, 25625780, $47.1, $48.74, $45.48
03/24/2020, $47.84, 19323690, $45.33, $48.01, $45.3
03/23/2020, $44.19, 23063660, $45, $46.49, $43.885
03/20/2020, $45.65, 26341190, $45.02, $46.7, $44.51
03/19/2020, $45.07, 20159070, $46.47, $47.97, $44.87
03/18/2020, $47.27, 29557010, $43.67, $47.8, $42.56
03/17/2020, $46.86, 25588860, $43.62, $47.71, $41.66
03/16/2020, $42.72, 27493700, $42.51, $47.57, $41.26
03/13/2020, $47.93, 28339430, $44.45, $47.99, $43.42
03/12/2020, $39.8, 24123760, $41.115, $43.395, $39.71
03/11/2020, $44.72, 24142850, $46.81, $47.48, $44.27
03/10/2020, $48.58, 27067700, $47.45, $48.91, $46.16
03/09/2020, $46.01, 25949260, $44.95, $47.57, $44.66
03/06/2020, $47.37, 24581380, $46.57, $48.3, $46.46
03/05/2020, $48, 15842950, $49.23, $49.68, $47.745
03/04/2020, $50.54, 14813720, $49.85, $50.585, $48.83
03/03/2020, $48.85, 21830510, $50.62, $51.84, $48.25
03/02/2020, $50.9, 17328620, $49.73, $50.9, $48.67
02/28/2020, $49.46, 24427060, $49.24, $49.89, $47.9
02/27/2020, $50.78, 16161100, $50.88, $53.46, $50.76
02/26/2020, $52.05, 16413100, $51.31, $53.14, $51.24
02/25/2020, $50.96, 12202810, $53.07, $53.22, $50.8
02/24/2020, $52.65, 10992550, $53.1, $53.53, $52.51
02/21/2020, $54.68, 9078643, $55.08, $55.34, $54.44
02/20/2020, $55.51, 6114630, $55.4, $55.865, $54.875
02/19/2020, $55.44, 6819545, $55.59, $55.77, $55.39
02/18/2020, $55.45, 7185651, $55.42, $55.76, $55.1
02/14/2020, $55.47, 7496836, $55.38, $55.835, $55.24
02/13/2020, $55.31, 8480140, $55.31, $55.64, $55.01
02/12/2020, $55.73, 7541074, $55.55, $55.89, $55.25
02/11/2020, $55.15, 8466579, $55.17, $55.54, $55.11
02/10/2020, $54.99, 7198216, $54.72, $55.07, $54.45
02/07/2020, $54.72, 7864760, $54.27, $54.97, $54.19
02/06/2020, $54.71, 8832013, $55, $55.35, $54.71
02/05/2020, $54.74, 9612932, $54.67, $55.03, $54.58
02/04/2020, $54.04, 9769854, $53.75, $54.56, $53.75
02/03/2020, $53.09, 8892516, $52.73, $53.41, $52.69
01/31/2020, $52.45, 8884763, $53.34, $53.485, $52.285
01/30/2020, $53.31, 7176193, $52.82, $53.325, $52.2846
01/29/2020, $53.2, 6332477, $53.78, $53.94, $53.18
01/28/2020, $53.46, 8620547, $52.86, $53.68, $52.655
01/27/2020, $52.69, 8259053, $53.18, $53.515, $52.63
01/24/2020, $54.07, 6426029, $55.06, $55.195, $53.88
01/23/2020, $54.98, 6583173, $54.41, $55, $54.28
01/22/2020, $54.72, 6380481, $55.41, $55.645, $54.6
01/21/2020, $55.22, 8773031, $54.98, $55.36, $54.915
01/17/2020, $55.13, 11166620, $55.63, $55.69, $54.85
01/16/2020, $55.43, 9866036, $54.98, $55.45, $54.93
01/15/2020, $54.76, 9090815, $54.88, $55.18, $54.68
01/14/2020, $54.88, 12627490, $54.52, $55.18, $54.5
01/13/2020, $54.58, 10859990, $54.46, $54.79, $54.36
01/10/2020, $54.45, 9734775, $54.55, $54.65, $54.22
01/09/2020, $54.38, 10671020, $54.25, $54.8, $54.03
01/08/2020, $54.13, 11857640, $53.94, $54.6, $53.7
01/07/2020, $54.16, 12037350, $53.89, $54.33, $53.61
01/06/2020, $54.04, 10982370, $53.36, $54.2, $53.35
01/03/2020, $53.76, 11026720, $52.99, $54.05, $52.95
01/02/2020, $53.95, 13206090, $53.27, $53.96, $53.23
12/31/2019, $52.98, 7095128, $52.57, $53, $52.55
12/30/2019, $52.7, 5936134, $53.4, $53.49, $52.62
12/27/2019, $53.46, 7262263, $53.66, $53.8, $53.34
