Date, Close/Last, Volume, Open, High, Low
03/30/2020, $318.19, 760135, $315.25, $320.85, $306.56
03/27/2020, $313.43, 902908, $315.1, $325.52, $307.2171
03/26/2020, $326.74, 1602250, $300, $329, $300
03/25/2020, $298.92, 2171775, $279.51, $314.735, $274.93
03/24/2020, $277.13, 2921616, $272.27, $294.99, $271
03/23/2020, $260.92, 1900602, $255.85, $270.8394, $251.515
03/20/2020, $263.77, 1104414, $290.73, $291.5317, $261
03/19/2020, $290.53, 936826, $291.27, $306.32, $277.36
03/18/2020, $293.72, 1187453, $291.21, $312.48, $274.94
03/17/2020, $327.54, 1111332, $307.18, $331.29, $301.89
03/16/2020, $299.65, 1148834, $325.72, $336.0017, $298.5301
03/13/2020, $354.3, 952464, $344, $354.92, $328.71
03/12/2020, $330.29, 1616601, $359.89, $361.66, $330.24
03/11/2020, $374.35, 1231726, $385.51, $387.47, $370.99
03/10/2020, $393.52, 1284193, $381.68, $394.55, $381.13
03/09/2020, $373.63, 1476898, $358.56, $380, $355.0001
03/06/2020, $368.08, 1175820, $354.03, $369.57, $352.235
03/05/2020, $361.33, 810218, $368.87, $371.9436, $358.45
03/04/2020, $377.2, 734271, $368.02, $377.5, $363.62
03/03/2020, $364.17, 1406887, $368.43, $380.48, $362.25
03/02/2020, $378.39, 1222661, $367.01, $378.39, $364.45
02/28/2020, $368.72, 1691766, $360.91, $372.5, $358.87
02/27/2020, $370.47, 1110173, $371.24, $380.93, $370.0643
02/26/2020, $377.69, 807259, $379.5, $384.21, $376.72
02/25/2020, $377.35, 1005763, $389.71, $390.9, $376.75
02/24/2020, $387.77, 758248, $386.15, $391.29, $385.48
02/21/2020, $391.5, 641950, $393.3, $394.21, $389.37
02/20/2020, $395.18, 1095985, $391.15, $395.72, $388.69
02/19/2020, $392.15, 781890, $394.96, $398.1057, $390.5
02/18/2020, $395.99, 1095345, $393.23, $399.36, $391.3101
02/14/2020, $390.89, 899016, $393.59, $396.01, $389.77
02/13/2020, $392.6, 723684, $391.84, $396.23, $391.84
02/12/2020, $392.47, 840814, $391.19, $393.26, $389.325
02/11/2020, $389.76, 1255384, $388.13, $394.33, $387.77
02/10/2020, $391.31, 845676, $385.33, $392, $385.33
02/07/2020, $387.69, 1187935, $396.28, $397.49, $386.18
02/06/2020, $398.13, 2185400, $404.28, $412.49, $388.425
02/05/2020, $419.21, 938030, $410.53, $421.71, $410.27
02/04/2020, $407.59, 666594, $409.78, $415.96, $407.47
02/03/2020, $406.23, 775083, $407.84, $412.07, $405.87
01/31/2020, $406.1, 1275130, $415.28, $417.95, $405
01/30/2020, $419.88, 623756, $420.7, $420.79, $417
01/29/2020, $424.13, 368292, $427.7, $429.525, $423.895
01/28/2020, $428.06, 457051, $427.35, $429.84, $425.59
01/27/2020, $426.81, 448295, $425.88, $428.845, $425.88
01/24/2020, $430.77, 374899, $437.46, $439.12, $429.71
01/23/2020, $436.05, 685440, $432.74, $436.91, $430.89
01/22/2020, $435.71, 754166, $441.18, $443.855, $433.52
01/21/2020, $440.6, 622251, $439.92, $446.83, $439.81
01/17/2020, $440.68, 606910, $442.68, $442.8, $436.16
01/16/2020, $441.07, 875646, $439.9, $443.99, $438.45
01/15/2020, $438.15, 349056, $436.87, $440.34, $436.78
01/14/2020, $438.51, 432780, $434.16, $438.79, $432.5
01/13/2020, $435.5, 574455, $436.63, $437.84, $433.07
01/10/2020, $436.85, 569414, $437.88, $438.39, $434.9
01/09/2020, $437.37, 561231, $434.99, $439.54, $433.45
01/08/2020, $431.9, 479511, $428.87, $437.57, $428.87
01/07/2020, $428.77, 661464, $433.94, $434.51, $425.28
01/06/2020, $434.66, 837203, $437.03, $437.03, $429.22
01/03/2020, $438.75, 482933, $435.81, $439.22, $433.04
01/02/2020, $437.52, 796135, $438.5, $439.06, $434.44
12/31/2019, $438.26, 390510, $437.76, $440.165, $435.97
12/30/2019, $437.51, 297782, $437.36, $439.26, $435.425
12/27/2019, $437.21, 256726, $439.65, $440.9999, $436.05
12/26/2019, $439.09, 242171, $440.72, $442.04, $436.53
12/24/2019, $439.83, 127853, $435.9, $439.84, $435.9
12/23/2019, $437.41, 362150, $441.86, $442.5, $435.5
12/20/2019, $441.16, 890905, $445.66, $446.395, $439.26
12/19/2019, $442.65, 479878, $435.47, $444.16, $433.63
12/18/2019, $440.54, 534488, $443.69, $444.296, $439.71
12/17/2019, $443.7, 458870, $441.21, $446.38, $441.21
12/16/2019, $440.52, 563747, $443.65, $445.82, $440.42
12/13/2019, $441.35, 474475, $438.56, $442.56, $436.71
12/12/2019, $441.2, 380462, $444.46, $448.5312, $440.98
12/11/2019, $444.65, 422545, $439.47, $444.8, $439.25
12/10/2019, $441.9, 518888, $448.1, $448.1, $441.26
12/09/2019, $439.73, 385026, $441.3, $444.31, $437.605
12/06/2019, $445.57, 335859, $444.13, $447.21, $442.03
