Date, Close/Last, Volume, Open, High, Low
04/13/2020, $65.93, 2236501, $66.82, $66.89, $65.3
04/09/2020, $67.27, 1989837, $67.02, $68.15, $65.88
04/08/2020, $66.46, 2275768, $65.76, $66.91, $64.97
04/07/2020, $65.53, 2137280, $66.21, $67.67, $65.13
04/06/2020, $64.94, 2626210, $64.46, $65.24, $62.7
04/03/2020, $61.61, 2355643, $61.02, $62.05, $60.475
04/02/2020, $60.87, 2446595, $60.26, $62.065, $59.315
04/01/2020, $60.12, 3168527, $59.23, $60.53, $58.21
03/31/2020, $61.13, 2264502, $60.59, $62.16, $60.02
03/30/2020, $62.27, 2222933, $58.66, $62.5, $58.45
03/27/2020, $59.49, 1795798, $58.26, $60.915, $57.75
03/26/2020, $60.45, 2753885, $59.11, $60.98, $57.68
03/25/2020, $58.98, 3117354, $56.56, $60.9, $55.93
03/24/2020, $57, 3325534, $52.24, $57.14, $51.8705
03/23/2020, $49.91, 3334149, $52.78, $53.82, $49.11
03/20/2020, $52.3, 3510678, $55.46, $56.38, $52.04
03/19/2020, $56.03, 2982846, $55.22, $58.28, $52.63
03/18/2020, $55.75, 3328770, $57.25, $58.39, $53.69
03/17/2020, $59.67, 3574798, $60.44, $61.57, $58.55
03/16/2020, $60.17, 3507558, $58.01, $63.96, $58
03/13/2020, $65.13, 3727618, $61.67, $65.17, $59.4
03/12/2020, $59.21, 4561784, $57.27, $62.82, $57.27
03/11/2020, $62.49, 2609845, $62.44, $63.91, $61.17
03/10/2020, $64.65, 2522489, $62.95, $64.66, $60.97
03/09/2020, $60.91, 3460956, $60.48, $61.95, $59.7
03/06/2020, $64.56, 2703486, $62.36, $64.98, $62.16
03/05/2020, $65.36, 2276251, $67.27, $67.4104, $65.01
03/04/2020, $69.45, 1690080, $68.48, $69.52, $67.75
03/03/2020, $67.55, 2652299, $69.12, $71.08, $67.24
03/02/2020, $69.68, 2582694, $67.32, $69.69, $66.26
02/28/2020, $66.9, 4193903, $65.58, $67.51, $65.15
02/27/2020, $67.77, 3333192, $68.4, $69.94, $67.13
02/26/2020, $69.42, 2161683, $70.93, $71.29, $69.13
02/25/2020, $69.99, 2719358, $73.1, $73.25, $69.75
02/24/2020, $72.73, 1712166, $73.09, $73.72, $72.36
02/21/2020, $75.36, 1938924, $75, $75.52, $74.56
02/20/2020, $75.54, 1710524, $74.17, $75.65, $74.05
02/19/2020, $74.23, 1129738, $74.37, $74.61, $73.63
02/18/2020, $74.3, 1431439, $74.57, $75.06, $73.89
02/14/2020, $74.74, 2958470, $74.7, $74.87, $74.09
02/13/2020, $74.83, 1985092, $76.01, $76.29, $74.75
02/12/2020, $76.56, 1861194, $76, $76.94, $76
02/11/2020, $75.66, 1936046, $75.74, $75.9, $75.13
02/10/2020, $75.31, 1598632, $74.79, $75.42, $74.645
02/07/2020, $75.41, 2084981, $77.1, $77.18, $75.27
02/06/2020, $77.59, 1682600, $78.22, $78.5, $77.26
02/05/2020, $77.99, 1988446, $77.24, $78.1662, $76.97
02/04/2020, $76.18, 2474734, $75.62, $76.32, $75.34
02/03/2020, $74.34, 2567852, $74.88, $75.5, $74.13
01/31/2020, $74.21, 3312436, $75.47, $75.51, $73.86
01/30/2020, $76.06, 2065100, $75.51, $76.15, $74.98
01/29/2020, $76.11, 2386574, $77.23, $78.08, $75.97
01/28/2020, $76.77, 3210687, $76.34, $77.5416, $74.97
01/27/2020, $75.165, 2368275, $75.32, $75.86, $74.85
01/24/2020, $76.79, 1540741, $77.23, $77.2575, $76.23
01/23/2020, $77.6, 1201672, $76.72, $77.765, $75.69
01/22/2020, $76.94, 991187, $77.87, $77.9, $76.825
01/21/2020, $77.54, 1527882, $78.48, $78.48, $77.26
01/17/2020, $78.52, 1721487, $78.79, $79.24, $78.23
01/16/2020, $78.56, 1330348, $77.91, $78.57, $77.445
01/15/2020, $77.46, 1463900, $77.89, $78.035, $77.254
01/14/2020, $78.2, 1439388, $78.71, $78.98, $78.05
01/13/2020, $78.06, 1083934, $77.92, $78.1186, $77.4
01/10/2020, $77.81, 1205577, $78.57, $78.74, $77.72
01/09/2020, $78.45, 1832390, $78.84, $79.16, $77.58
01/08/2020, $78.96, 1832912, $78.24, $79.205, $77.25
01/07/2020, $77.92, 1740751, $77.81, $78.105, $77.28
01/06/2020, $78.44, 1800496, $78.27, $78.52, $77.42
01/03/2020, $78.73, 1604706, $78.31, $78.83, $77.665
01/02/2020, $79.51, 1579483, $79.19, $79.66, $78.63
12/31/2019, $79.1, 1046044, $79.1, $79.525, $78.71
12/30/2019, $78.97, 784860, $79.32, $79.46, $78.6
12/27/2019, $79.41, 692412, $79.75, $79.84, $79.2
12/26/2019, $79.51, 513202, $79.61, $79.6672, $78.89
12/24/2019, $79.49, 330279, $79.59, $79.6, $79.09
12/23/2019, $79.55, 1151733, $79.96, $80.45, $79.38
12/20/2019, $80.17, 5134456, $80.23, $80.26, $79.185
12/19/2019, $79.69, 1707937, $80.65, $80.8698, $79.4
12/18/2019, $82.62, 1784359, $82.18, $82.75, $81.86
12/17/2019, $82.15, 2304254, $82.74, $83.11, $82.06
12/16/2019, $82.82, 1911464, $82.75, $83.41, $82.6
12/13/2019, $82.01, 1446284, $82.64, $83.265, $81.56
12/12/2019, $82.95, 1646212, $81.42, $83.18, $81.19
12/11/2019, $81.4, 1148315, $81.5, $81.82, $81.03
12/10/2019, $81.2, 1411658, $81.08, $81.36, $80.53
12/09/2019, $81.07, 938631, $81.08, $81.185, $80.59
12/06/2019, $81.12, 909754, $81.07, $81.55, $80.98
12/05/2019, $80.11, 1583288, $80.03, $80.27, $79.55
12/04/2019, $79.84, 1343922, $80.33, $80.99, $79.84
12/03/2019, $80.09, 1662990, $79.61, $80.22, $78.88
12/02/2019, $80.7, 1496270, $81.75, $81.99, $80.65
11/29/2019, $81.37, 843797, $81.6, $82.01, $81.28
11/27/2019, $82.16, 1113740, $81.67, $82.25, $81
11/26/2019, $81.78, 1458637, $81.64, $81.83, $80.93
11/25/2019, $81.52, 1428308, $80.69, $81.68, $80.18
11/22/2019, $80.44, 1039570, $79.98, $80.5, $79.74
11/21/2019, $79.79, 1564640, $79.27, $80, $78.98
11/20/2019, $78.85, 1057798, $79, $79.46, $78.38
11/19/2019, $79.43, 1115051, $79.93, $80.3, $79.01
11/18/2019, $80.03, 1125260, $79.54, $80.165, $79.2
11/15/2019, $80.22, 1305670, $80.25, $80.48, $79.69
11/14/2019, $79.53, 1189309, $80.28, $80.28, $79.25
11/13/2019, $79.14, 1318908, $79.13, $79.29, $78.24
11/12/2019, $79.43, 1201719, $79.91, $79.98, $79.28
11/11/2019, $79.915, 842634, $79.58, $80.15, $79.43
11/08/2019, $80.07, 1099864, $79.35, $80.11, $79.12
11/07/2019, $79.87, 1864125, $80, $80.57, $79.57
11/06/2019, $79.68, 1298376, $79.45, $79.79, $78.53
11/05/2019, $79.67, 1943159, $79.36, $80.36, $78.59
11/04/2019, $79.3, 1860303, $78.39, $79.42, $78.11
11/01/2019, $78.05, 2206206, $76.43, $78.07, $76.06
10/31/2019, $76.06, 2355950, $76.13, $76.465, $74.77
10/30/2019, $76.465, 1792890, $76.25, $76.81, $75.85
10/29/2019, $77.32, 1769792, $77.02, $77.66, $76.41
10/28/2019, $77.51, 1492835, $76.99, $77.8, $76.93
10/25/2019, $76.895, 1926959, $75.28, $77.18, $75.14
10/24/2019, $75.3, 1833366, $75.38, $75.62, $74.16
10/23/2019, $75.11, 2963123, $75.36, $76, $74.3
10/22/2019, $76.37, 4278260, $74.05, $76.39, $73
10/21/2019, $73, 3509944, $72.54, $74.45, $72.49
10/18/2019, $72.035, 2594664, $70.87, $72.42, $70.3
10/17/2019, $70.78, 1700760, $70.5, $70.9, $70.07
10/16/2019, $70.07, 1630849, $70.13, $70.86, $69.84
10/15/2019, $70.345, 1421310, $69.09, $70.71, $68.79
10/14/2019, $69.48, 1504985, $68.66, $69.59, $68.28
10/11/2019, $69.1, 2574197, $68.51, $69.87, $68.51
10/10/2019, $67.32, 1120477, $67.47, $68.09, $66.99
10/09/2019, $66.89, 1281333, $67.28, $67.285, $66.18
10/08/2019, $66.56, 1482652, $66.82, $67.39, $66.31
10/07/2019, $67.73, 1503081, $67.51, $68.67, $67.05
10/04/2019, $67.84, 1124661, $66.94, $67.94, $66.84
10/03/2019, $66.99, 1495049, $66.19, $67, $65.17
10/02/2019, $66.22, 1945230, $67.18, $67.21, $65.5901
